t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1758264660,9,0.6485576776250671,0.0,0.0,0.0,events/second
1758264690,9,0.2048481456144379,0.0,0.0,0.0,events/second
1758264720,9,0.12170134307316936,0.0,0.0,0.0,events/second
1758264750,9,0.08655858699254318,0.0,0.0,0.0,events/second
1758264780,9,0.06716342276414217,0.0,0.0,0.0,events/second
1758264810,17,0.10364829701842297,0.0,0.0,0.0,events/second
1758264840,18,0.0927689992870285,0.0,0.0,0.0,events/second
1758264870,18,0.0803396930040905,0.0,0.0,0.0,events/second
1758264900,18,0.07084715712082967,0.0,0.0,0.0,events/second
1758264930,18,0.06336183355764297,0.0,0.0,0.0,events/second
1758265140,7,0.6197310246947939,0.0,0.0,0.0,events/second
1758265170,7,0.16928899471084832,0.0,0.0,0.0,events/second
1758265200,7,0.09809514571897264,0.0,0.0,0.0,events/second
1758265230,7,0.06905228528163283,0.0,0.0,0.0,events/second
1758265260,7,0.05327726434034156,0.0,0.0,0.0,events/second
1758265290,7,0.04336908455971274,0.0,0.0,0.0,events/second
1758265320,7,0.03656790947403379,0.0,0.0,0.0,events/second
1758265350,7,0.03161088296407916,0.0,0.0,0.0,events/second
1758265380,7,0.027838739723899428,0.0,0.0,0.0,events/second
1758265410,7,0.02487072005192449,0.0,0.0,0.0,events/second
1758265440,7,0.02247450786965714,0.0,0.0,0.0,events/second
1758266130,7,0.23756290003810646,0.0,0.0,0.0,events/second
1758266160,7,0.1176591268927664,0.0,0.0,0.0,events/second
1758266190,7,0.07820184928895589,0.0,0.0,0.0,events/second
1758266220,7,0.05856827445111481,0.0,0.0,0.0,events/second
1758266400,7,0.3999942012269228,0.0,0.0,0.0,events/second
1758266430,7,0.14720453653763063,0.0,0.0,0.0,events/second
1758266460,7,0.0902450742162856,0.0,0.0,0.0,events/second
1758266490,7,0.06506301654766196,0.0,0.0,0.0,events/second
1758266520,7,0.05087126155910431,0.0,0.0,0.0,events/second
1758266550,7,0.041759604381343955,0.0,0.0,0.0,events/second
1758266580,7,0.03541744274821861,0.0,0.0,0.0,events/second
1758266610,7,0.03074754650468785,0.0,0.0,0.0,events/second
1758266640,7,0.02716595649759531,0.0,0.0,0.0,events/second
1758266670,7,0.024331260941355282,0.0,0.0,0.0,events/second
1758266700,7,0.0220327354999945,0.0,0.0,0.0,events/second
1758266730,7,0.020131239484418296,0.0,0.0,0.0,events/second
1758266760,7,0.018531596844911555,0.0,0.0,0.0,events/second
1758266790,7,0.017167222212773982,0.0,0.0,0.0,events/second
1758266820,7,0.015990229578652114,0.0,0.0,0.0,events/second
1758266850,18,0.03847951424884099,0.0,0.0,0.0,events/second
1758266880,21,0.042186282287311826,0.0,0.0,0.0,events/second
1758266910,21,0.03978691022866164,0.0,0.0,0.0,events/second
1758266940,21,0.03764596106814827,0.0,0.0,0.0,events/second
1758266970,21,0.03572398088677202,0.0,0.0,0.0,events/second
1758267000,21,0.03398894342486616,0.0,0.0,0.0,events/second
1758267030,21,0.03241456535880501,0.0,0.0,0.0,events/second
1758267060,21,0.030979451416617818,0.0,0.0,0.0,events/second
1758267090,21,0.029665546249557515,0.0,0.0,0.0,events/second
1758267120,21,0.028458469016966914,0.0,0.0,0.0,events/second
1758267150,21,0.02734631818959273,0.0,0.0,0.0,events/second
1758267180,21,0.02631772828885459,0.0,0.0,0.0,events/second
1758267210,21,0.02536369068847846,0.0,0.0,0.0,events/second
1758267240,21,0.024476377229083867,0.0,0.0,0.0,events/second
1758267270,21,0.02364888908434733,0.0,0.0,0.0,events/second
1758267300,21,0.02287556480905122,0.0,0.0,0.0,events/second
1758267330,21,0.022151318493474445,0.0,0.0,0.0,events/second
1758267360,21,0.02147132030365871,0.0,0.0,0.0,events/second
1758267390,21,0.020831870754140853,0.0,0.0,0.0,events/second
1758267420,21,0.020229426106070227,0.0,0.0,0.0,events/second
1758267450,21,0.01966088138275772,0.0,0.0,0.0,events/second
1758267480,21,0.019123412175813315,0.0,0.0,0.0,events/second
1758267510,21,0.018614723161952812,0.0,0.0,0.0,events/second
1758267540,21,0.018132250508581176,0.0,0.0,0.0,events/second
1758267570,21,0.017674169554502746,0.0,0.0,0.0,events/second
1758267600,21,0.01723873071099686,0.0,0.0,0.0,events/second
1758267630,21,0.016824263259312935,0.0,0.0,0.0,events/second
1758267660,21,0.016429096091811004,0.0,0.0,0.0,events/second
1758267690,21,0.016052167939976617,0.0,0.0,0.0,events/second
1758267720,21,0.0156920008118835,0.0,0.0,0.0,events/second
1758267750,21,0.01534781786801893,0.0,0.0,0.0,events/second
1758267780,21,0.01501841048369395,0.0,0.0,0.0,events/second
1758267810,21,0.014702772135936702,0.0,0.0,0.0,events/second
1758267840,21,0.014400155249472617,0.0,0.0,0.0,events/second
1758267870,21,0.014109777181914092,0.0,0.0,0.0,events/second
1758267900,21,0.013830801887382812,0.0,0.0,0.0,events/second
1758267930,21,0.013562619716038008,0.0,0.0,0.0,events/second
1758267960,21,0.01330472454147868,0.0,0.0,0.0,events/second
1758267990,21,0.013056375156052385,0.0,0.0,0.0,events/second
1758268020,21,0.012817166558800018,0.0,0.0,0.0,events/second
1758268050,21,0.012586572788147548,0.0,0.0,0.0,events/second
1758268080,21,0.012364150078550034,0.0,0.0,0.0,events/second
1758268110,21,0.012149422751245783,0.0,0.0,0.0,events/second
1758268140,21,0.0119420756431325,0.0,0.0,0.0,events/second
1758268170,21,0.011741587465592056,0.0,0.0,0.0,events/second
1758268200,21,0.011547725030852038,0.0,0.0,0.0,events/second
1758268231,21,0.011360191907959925,0.0,0.0,0.0,events/second
1758268261,21,0.011178650720123109,0.0,0.0,0.0,events/second
1758268291,21,0.011002831118932088,0.0,0.0,0.0,events/second
1758268321,21,0.010832488340910652,0.0,0.0,0.0,events/second
1758268351,21,0.010667281945736353,0.0,0.0,0.0,events/second
1758268381,21,0.010507025608830954,0.0,0.0,0.0,events/second
1758268411,21,0.010351557132483967,0.0,0.0,0.0,events/second
1758268441,21,0.01020066574542981,0.0,0.0,0.0,events/second
1758268471,21,0.010054052852210432,0.0,0.0,0.0,events/second
1758268501,21,0.009911599477427079,0.0,0.0,0.0,events/second
1758268531,21,0.009773111763983551,0.0,0.0,0.0,events/second
1758268561,21,0.00963848426547114,0.0,0.0,0.0,events/second
1758268591,21,0.009507514902312018,0.0,0.0,0.0,events/second
1758268621,21,0.009380028113405478,0.0,0.0,0.0,events/second
1758268651,21,0.00925593238822121,0.0,0.0,0.0,events/second
1758268681,21,0.009135101601381063,0.0,0.0,0.0,events/second
1758268711,21,0.009017357576524027,0.0,0.0,0.0,events/second
1758268741,21,0.008902594644183429,0.0,0.0,0.0,events/second
1758268771,21,0.008790739580450284,0.0,0.0,0.0,events/second
1758268801,21,0.008681643793436186,0.0,0.0,0.0,events/second
1758268831,21,0.008575219377357663,0.0,0.0,0.0,events/second
1758268861,21,0.008471403313229034,0.0,0.0,0.0,events/second
1758268891,21,0.008370076581488368,0.0,0.0,0.0,events/second
1758268921,21,0.008271102380881606,0.0,0.0,0.0,events/second
1758268951,21,0.00817447054431907,0.0,0.0,0.0,events/second
1758268981,21,0.008080053908863809,0.0,0.0,0.0,events/second
1758269011,21,0.00798781831385374,0.0,0.0,0.0,events/second
