t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1758264660,2,0.1441194116950496,0.0,0.0,0.0,events/second
1758264690,2,0.04552181106904762,0.0,0.0,0.0,events/second
1758264720,2,0.027044740930319968,0.0,0.0,0.0,events/second
1758264750,2,0.019235233414022543,0.0,0.0,0.0,events/second
1758264780,2,0.014925205493083673,0.0,0.0,0.0,events/second
1758264810,2,0.012193918233042328,0.0,0.0,0.0,events/second
1758264840,2,0.010307667235560394,0.0,0.0,0.0,events/second
1758264870,2,0.008926633050055649,0.0,0.0,0.0,events/second
1758264900,2,0.007871903226726195,0.0,0.0,0.0,events/second
1758264930,2,0.007040204249053954,0.0,0.0,0.0,events/second
1758265140,1,0.08852995226349886,0.0,0.0,0.0,events/second
1758265170,1,0.024184147774816565,0.0,0.0,0.0,events/second
1758265200,1,0.014013595171641567,0.0,0.0,0.0,events/second
1758265230,1,0.009864612144166177,0.0,0.0,0.0,events/second
1758265260,1,0.007611038944635194,0.0,0.0,0.0,events/second
1758265290,1,0.006195583416405781,0.0,0.0,0.0,events/second
1758265320,1,0.005223987313329492,0.0,0.0,0.0,events/second
1758265350,1,0.004515840651839416,0.0,0.0,0.0,events/second
1758265380,1,0.003976963167238704,0.0,0.0,0.0,events/second
1758265410,1,0.0035529602838729997,0.0,0.0,0.0,events/second
1758265440,1,0.0032106438401567814,0.0,0.0,0.0,events/second
1758266130,1,0.03393719169949097,0.0,0.0,0.0,events/second
1758266160,1,0.01680845288624189,0.0,0.0,0.0,events/second
1758266190,1,0.011171693916267733,0.0,0.0,0.0,events/second
1758266220,1,0.008366897708255595,0.0,0.0,0.0,events/second
1758266400,2,0.1142820370162832,0.0,0.0,0.0,events/second
1758266430,2,0.04205843317334186,0.0,0.0,0.0,events/second
1758266460,2,0.025784311007646867,0.0,0.0,0.0,events/second
1758266490,2,0.01858943447425997,0.0,0.0,0.0,events/second
1758266520,2,0.014534646096367308,0.0,0.0,0.0,events/second
1758266550,2,0.011931315352463669,0.0,0.0,0.0,events/second
1758266580,2,0.010119269909591826,0.0,0.0,0.0,events/second
1758266610,2,0.008785013950771265,0.0,0.0,0.0,events/second
1758266640,2,0.007761702708908719,0.0,0.0,0.0,events/second
1758266670,2,0.006951789509721336,0.0,0.0,0.0,events/second
1758266700,2,0.006295067642363584,0.0,0.0,0.0,events/second
1758266730,2,0.005751783120063082,0.0,0.0,0.0,events/second
1758266760,2,0.005294742042595324,0.0,0.0,0.0,events/second
1758266790,2,0.004904920969036611,0.0,0.0,0.0,events/second
1758266820,2,0.004568637323035249,0.0,0.0,0.0,events/second
1758266850,2,0.004275501831811397,0.0,0.0,0.0,events/second
1758266880,2,0.004017741298551019,0.0,0.0,0.0,events/second
1758266910,2,0.0037892295398435187,0.0,0.0,0.0,events/second
1758266940,2,0.0035853296068987773,0.0,0.0,0.0,events/second
1758266970,2,0.0034022838928207343,0.0,0.0,0.0,events/second
1758267000,2,0.003237042356157026,0.0,0.0,0.0,events/second
1758267030,2,0.003087101521830547,0.0,0.0,0.0,events/second
1758267060,2,0.002950423988400051,0.0,0.0,0.0,events/second
1758267090,2,0.002825290104637402,0.0,0.0,0.0,events/second
1758267120,2,0.00271033032600492,0.0,0.0,0.0,events/second
1758267150,2,0.0026044112873532957,0.0,0.0,0.0,events/second
1758267180,2,0.0025064503251606036,0.0,0.0,0.0,events/second
1758267210,2,0.0024155896270151227,0.0,0.0,0.0,events/second
1758267240,2,0.002331083489385649,0.0,0.0,0.0,events/second
1758267270,2,0.0022522751143664705,0.0,0.0,0.0,events/second
1758267300,2,0.0021786252220455235,0.0,0.0,0.0,events/second
1758267330,2,0.002109649444642368,0.0,0.0,0.0,events/second
1758267360,2,0.0020448876676208544,0.0,0.0,0.0,events/second
1758267390,2,0.0019839876458009865,0.0,0.0,0.0,events/second
