t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1758264660,2,0.14410434330346614,0.0,0.0,0.0,events/second
1758264690,2,0.04552146345423338,0.0,0.0,0.0,events/second
1758264720,2,0.027044613920178665,0.0,0.0,0.0,events/second
1758264750,2,0.01923516383686406,0.0,0.0,0.0,events/second
1758264780,2,0.014925168559275427,0.0,0.0,0.0,events/second
1758264810,2,0.012193894323473195,0.0,0.0,0.0,events/second
1758264840,2,0.010307650034037276,0.0,0.0,0.0,events/second
1758264870,2,0.00892661384606556,0.0,0.0,0.0,events/second
1758264900,2,0.007871892246213846,0.0,0.0,0.0,events/second
1758264930,2,0.007040196514525992,0.0,0.0,0.0,events/second
1758265140,1,0.08852045808699713,0.0,0.0,0.0,events/second
1758265170,1,0.0241839037682614,0.0,0.0,0.0,events/second
1758265200,1,0.014013514832696562,0.0,0.0,0.0,events/second
1758265230,1,0.009864573044933019,0.0,0.0,0.0,events/second
1758265260,1,0.007611015837260529,0.0,0.0,0.0,events/second
1758265290,1,0.006195566131574186,0.0,0.0,0.0,events/second
1758265320,1,0.005223975794227551,0.0,0.0,0.0,events/second
1758265350,1,0.004515831876827401,0.0,0.0,0.0,events/second
1758265380,1,0.0039769568597337775,0.0,0.0,0.0,events/second
1758265410,1,0.0035529551940742935,0.0,0.0,0.0,events/second
1758265440,1,0.0032106392200130104,0.0,0.0,0.0,events/second
1758266130,1,0.03393599370913553,0.0,0.0,0.0,events/second
1758266160,1,0.016808342617813575,0.0,0.0,0.0,events/second
1758266190,1,0.011171643881467772,0.0,0.0,0.0,events/second
1758266220,1,0.008366870497409432,0.0,0.0,0.0,events/second
1758266400,1,0.05713738729914616,0.0,0.0,0.0,events/second
1758266430,1,0.021029005115391713,0.0,0.0,0.0,events/second
1758266460,1,0.012892076688626476,0.0,0.0,0.0,events/second
1758266490,1,0.009294677851289611,0.0,0.0,0.0,events/second
1758266520,1,0.007267297296176169,0.0,0.0,0.0,events/second
1758266550,1,0.005965640550819786,0.0,0.0,0.0,events/second
1758266580,1,0.0050596234169446455,0.0,0.0,0.0,events/second
1758266610,1,0.00439249772194636,0.0,0.0,0.0,events/second
1758266640,1,0.003880844551409317,0.0,0.0,0.0,events/second
1758266670,1,0.0034758893699909847,0.0,0.0,0.0,events/second
1758266700,1,0.0031475292530849437,0.0,0.0,0.0,events/second
1758266730,1,0.0028758878754161278,0.0,0.0,0.0,events/second
1758266760,1,0.002647367682417541,0.0,0.0,0.0,events/second
1758266790,1,0.0024524577773667447,0.0,0.0,0.0,events/second
1758266820,1,0.002284316341547498,0.0,0.0,0.0,events/second
1758266850,1,0.0021377488681000797,0.0,0.0,0.0,events/second
1758266880,1,0.0020088687747590412,0.0,0.0,0.0,events/second
1758266910,1,0.0018946130584186532,0.0,0.0,0.0,events/second
1758266940,1,0.0017926631818445302,0.0,0.0,0.0,events/second
1758266970,1,0.0017011405081512742,0.0,0.0,0.0,events/second
1758267000,1,0.001618520002398038,0.0,0.0,0.0,events/second
1758267030,1,0.0015435496208664424,0.0,0.0,0.0,events/second
1758267060,1,0.0014752109463361885,0.0,0.0,0.0,events/second
1758267090,1,0.0014126440433612298,0.0,0.0,0.0,events/second
1758267120,1,0.001355164191876435,0.0,0.0,0.0,events/second
1758267150,1,0.0013022048280264405,0.0,0.0,0.0,events/second
1758267180,1,0.0012532244021091676,0.0,0.0,0.0,events/second
1758267210,1,0.0012077941168002176,0.0,0.0,0.0,events/second
1758267240,1,0.0011655410681664128,0.0,0.0,0.0,events/second
1758267270,1,0.0011261368868206217,0.0,0.0,0.0,events/second
1758267300,1,0.0010893119506791688,0.0,0.0,0.0,events/second
1758267330,1,0.0010548242293038977,0.0,0.0,0.0,events/second
1758267360,1,0.0010224432436873262,0.0,0.0,0.0,events/second
1758267390,1,9.919932832468102E-4,0.0,0.0,0.0,events/second
1758267420,1,9.633054355631934E-4,0.0,0.0,0.0,events/second
1758267450,1,9.362320814599273E-4,0.0,0.0,0.0,events/second
1758267480,1,9.106382797293258E-4,0.0,0.0,0.0,events/second
1758267510,1,8.864150354779179E-4,0.0,0.0,0.0,events/second
1758267540,1,8.63440112883314E-4,0.0,0.0,0.0,events/second
1758267570,1,8.416268269043932E-4,0.0,0.0,0.0,events/second
1758267600,1,8.208916232508662E-4,0.0,0.0,0.0,events/second
1758267630,1,8.011548746861806E-4,0.0,0.0,0.0,events/second
1758267660,1,7.823376170012584E-4,0.0,0.0,0.0,events/second
1758267690,1,7.643886770687332E-4,0.0,0.0,0.0,events/second
1758267720,1,7.47237821103368E-4,0.0,0.0,0.0,events/second
1758267750,1,7.308481685982377E-4,0.0,0.0,0.0,events/second
1758267780,1,7.151621632942303E-4,0.0,0.0,0.0,events/second
1758267810,1,7.001317723124532E-4,0.0,0.0,0.0,events/second
1758267840,1,6.857214197405058E-4,0.0,0.0,0.0,events/second
1758267870,1,6.7189393243556E-4,0.0,0.0,0.0,events/second
1758267900,1,6.586093791473662E-4,0.0,0.0,0.0,events/second
1758267930,1,6.458388347611685E-4,0.0,0.0,0.0,events/second
1758267960,1,6.335581028132034E-4,0.0,0.0,0.0,events/second
1758267990,1,6.217318766880123E-4,0.0,0.0,0.0,events/second
1758268020,1,6.103410762859958E-4,0.0,0.0,0.0,events/second
1758268050,1,5.993604370660399E-4,0.0,0.0,0.0,events/second
1758268080,1,5.887688877412449E-4,0.0,0.0,0.0,events/second
1758268110,1,5.785437870696019E-4,0.0,0.0,0.0,events/second
1758268140,1,5.686701209009505E-4,0.0,0.0,0.0,events/second
1758268170,1,5.591230338293633E-4,0.0,0.0,0.0,events/second
1758268200,1,5.498914520240027E-4,0.0,0.0,0.0,events/second
1758268231,1,5.409613906653728E-4,0.0,0.0,0.0,events/second
1758268261,1,5.323165483683507E-4,0.0,0.0,0.0,events/second
1758268291,1,5.239442118676639E-4,0.0,0.0,0.0,events/second
1758268321,1,5.158326552346839E-4,0.0,0.0,0.0,events/second
1758268351,1,5.079656581088503E-4,0.0,0.0,0.0,events/second
