t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1758264660,11,0.7925390603416257,0.0,0.0,0.0,events/second
1758264690,11,0.25036729451121376,0.0,0.0,0.0,events/second
1758264720,11,0.14874508973865636,0.0,0.0,0.0,events/second
1758264750,11,0.10579324115565666,0.0,0.0,0.0,events/second
1758264780,11,0.08208827582737677,0.0,0.0,0.0,events/second
1758264810,19,0.11584190595141475,0.0,0.0,0.0,events/second
1758264840,20,0.1030764325012934,0.0,0.0,0.0,events/second
1758264870,20,0.08926605519049895,0.0,0.0,0.0,events/second
1758264900,20,0.07871888193594569,0.0,0.0,0.0,events/second
1758264930,20,0.07040193605098855,0.0,0.0,0.0,events/second
1758265140,8,0.7081315516165188,0.0,0.0,0.0,events/second
1758265170,8,0.19347046561854978,0.0,0.0,0.0,events/second
1758265200,8,0.11210788662110142,0.0,0.0,0.0,events/second
1758265230,8,0.07891647342644653,0.0,0.0,0.0,events/second
1758265260,8,0.06088806056805119,0.0,0.0,0.0,events/second
1758265290,8,0.04956448071819865,0.0,0.0,0.0,events/second
1758265320,8,0.041791772754494104,0.0,0.0,0.0,events/second
1758265350,8,0.03612662928715985,0.0,0.0,0.0,events/second
1758265380,8,0.03181563689804029,0.0,0.0,0.0,events/second
1758265410,8,0.028423627353699202,0.0,0.0,0.0,events/second
1758265440,8,0.02568510028522662,0.0,0.0,0.0,events/second
1758266130,8,0.27148357623115954,0.0,0.0,0.0,events/second
1758266160,8,0.13446639446040543,0.0,0.0,0.0,events/second
1758266190,8,0.08937299649272097,0.0,0.0,0.0,events/second
1758266220,8,0.06693487935791632,0.0,0.0,0.0,events/second
1758266400,9,0.5142237282882958,0.0,0.0,0.0,events/second
1758266430,9,0.1892604382988281,0.0,0.0,0.0,events/second
1758266460,9,0.11602846522211838,0.0,0.0,0.0,events/second
1758266490,9,0.08365199274206311,0.0,0.0,0.0,events/second
1758266520,9,0.06540560370183973,0.0,0.0,0.0,events/second
1758266550,9,0.053690716367941684,0.0,0.0,0.0,events/second
1758266580,9,0.0455365799482964,0.0,0.0,0.0,events/second
1758266610,9,0.039532452686542666,0.0,0.0,0.0,events/second
1758266640,9,0.03492758282629194,0.0,0.0,0.0,events/second
1758266670,9,0.03128298971577205,0.0,0.0,0.0,events/second
1758266700,9,0.028327750607784086,0.0,0.0,0.0,events/second
1758266730,9,0.02588298059161393,0.0,0.0,0.0,events/second
1758266760,9,0.023826300191134818,0.0,0.0,0.0,events/second
1758266790,9,0.022072112791474627,0.0,0.0,0.0,events/second
1758266820,9,0.020558840832558597,0.0,0.0,0.0,events/second
1758266850,20,0.042754965032225485,0.0,0.0,0.0,events/second
1758266880,23,0.046203968537243706,0.0,0.0,0.0,events/second
1758266910,23,0.043576088653157576,0.0,0.0,0.0,events/second
1758266940,23,0.041231241112312425,0.0,0.0,0.0,events/second
1758266970,23,0.03912622088492126,0.0,0.0,0.0,events/second
1758267000,23,0.03722595187910127,0.0,0.0,0.0,events/second
1758267030,23,0.03550163310946701,0.0,0.0,0.0,events/second
1758267060,23,0.033929844217637756,0.0,0.0,0.0,events/second
1758267090,23,0.032490805511353804,0.0,0.0,0.0,events/second
1758267120,23,0.03116876757680152,0.0,0.0,0.0,events/second
1758267150,23,0.029950705186514808,0.0,0.0,0.0,events/second
1758267180,23,0.028824155627751015,0.0,0.0,0.0,events/second
1758267210,23,0.027779259687212666,0.0,0.0,0.0,events/second
1758267240,23,0.02680743959359615,0.0,0.0,0.0,events/second
1758267270,23,0.025901143289516725,0.0,0.0,0.0,events/second
1758267300,23,0.02505417072818285,0.0,0.0,0.0,events/second
1758267330,23,0.024260953872940166,0.0,0.0,0.0,events/second
1758267360,23,0.023516190474054448,0.0,0.0,0.0,events/second
1758267390,23,0.02281584133433173,0.0,0.0,0.0,events/second
1758267420,23,0.022156020975586325,0.0,0.0,0.0,events/second
1758267450,23,0.021533335121711145,0.0,0.0,0.0,events/second
1758267480,23,0.020944677513694353,0.0,0.0,0.0,events/second
1758267510,23,0.020387540327579685,0.0,0.0,0.0,events/second
1758267540,23,0.01985912018712296,0.0,0.0,0.0,events/second
1758267570,23,0.019357414835710615,0.0,0.0,0.0,events/second
1758267600,23,0.018880504974295314,0.0,0.0,0.0,events/second
1758267630,23,0.01842655828838265,0.0,0.0,0.0,events/second
1758267660,23,0.017993762989369305,0.0,0.0,0.0,events/second
1758267690,23,0.01758093753392125,0.0,0.0,0.0,events/second
1758267720,23,0.017186467495423664,0.0,0.0,0.0,events/second
1758267750,23,0.016809505654138912,0.0,0.0,0.0,events/second
1758267780,23,0.016448727945351672,0.0,0.0,0.0,events/second
1758267810,23,0.016103028977335183,0.0,0.0,0.0,events/second
1758267840,23,0.015771590681390675,0.0,0.0,0.0,events/second
1758267870,23,0.01545355887088327,0.0,0.0,0.0,events/second
1758267900,23,0.015148013934583692,0.0,0.0,0.0,events/second
1758267930,23,0.014854291644394436,0.0,0.0,0.0,events/second
1758267960,23,0.014571834461043874,0.0,0.0,0.0,events/second
1758267990,23,0.01429983106384131,0.0,0.0,0.0,events/second
1758268020,23,0.014037843178089395,0.0,0.0,0.0,events/second
1758268050,23,0.013785288742943646,0.0,0.0,0.0,events/second
1758268080,23,0.013541683191023949,0.0,0.0,0.0,events/second
1758268110,23,0.013306505902420858,0.0,0.0,0.0,events/second
1758268140,23,0.013079411006789807,0.0,0.0,0.0,events/second
1758268170,23,0.012859828564365145,0.0,0.0,0.0,events/second
1758268200,23,0.0126475017475801,0.0,0.0,0.0,events/second
1758268231,23,0.012442111029543937,0.0,0.0,0.0,events/second
1758268261,23,0.012243279473906228,0.0,0.0,0.0,events/second
1758268291,23,0.012050715923345279,0.0,0.0,0.0,events/second
1758268321,23,0.011864150156082269,0.0,0.0,0.0,events/second
1758268351,23,0.011683209084880209,0.0,0.0,0.0,events/second
1758268381,23,0.011507690263741379,0.0,0.0,0.0,events/second
1758268411,23,0.011337416521540501,0.0,0.0,0.0,events/second
1758268441,23,0.01117215301503935,0.0,0.0,0.0,events/second
1758268471,23,0.011011578273259387,0.0,0.0,0.0,events/second
1758268501,23,0.010855558235193992,0.0,0.0,0.0,events/second
1758268531,23,0.010703880603759782,0.0,0.0,0.0,events/second
1758268561,23,0.010556432161835267,0.0,0.0,0.0,events/second
