t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1758264660,11,0.7924632537310718,0.0,0.0,0.0,events/second
1758264690,11,0.25036639813633804,0.0,0.0,0.0,events/second
1758264720,11,0.14874480895153183,0.0,0.0,0.0,events/second
1758264750,11,0.105793050786684,0.0,0.0,0.0,events/second
1758264780,11,0.08208821156678348,0.0,0.0,0.0,events/second
1758264810,19,0.11584184069104735,0.0,0.0,0.0,events/second
1758264840,20,0.10307636338733489,0.0,0.0,0.0,events/second
1758264870,20,0.08926592243667575,0.0,0.0,0.0,events/second
1758264900,20,0.07871885123149559,0.0,0.0,0.0,events/second
1758264930,20,0.07040191669612457,0.0,0.0,0.0,events/second
1758265140,8,0.708060415502774,0.0,0.0,0.0,events/second
1758265170,8,0.19346987140609037,0.0,0.0,0.0,events/second
1758265200,8,0.11210772449183656,0.0,0.0,0.0,events/second
1758265230,8,0.0789164009503768,0.0,0.0,0.0,events/second
1758265260,8,0.060888019462770185,0.0,0.0,0.0,events/second
1758265290,8,0.04956444208760015,0.0,0.0,0.0,events/second
1758265320,8,0.04179174572661521,0.0,0.0,0.0,events/second
1758265350,8,0.03612661023222309,0.0,0.0,0.0,events/second
1758265380,8,0.03181562592794996,0.0,0.0,0.0,events/second
1758265410,8,0.02842361800222978,0.0,0.0,0.0,events/second
1758265440,8,0.025685087247430242,0.0,0.0,0.0,events/second
1758266130,8,0.27147444101054163,0.0,0.0,0.0,events/second
1758266160,8,0.13446618200650903,0.0,0.0,0.0,events/second
1758266190,8,0.08937290243962473,0.0,0.0,0.0,events/second
1758266220,8,0.0669348325950466,0.0,0.0,0.0,events/second
1758266400,9,0.5141856126306474,0.0,0.0,0.0,events/second
1758266430,9,0.18925988707792016,0.0,0.0,0.0,events/second
1758266460,9,0.11602828347723905,0.0,0.0,0.0,events/second
1758266490,9,0.08365190861477358,0.0,0.0,0.0,events/second
1758266520,9,0.06540553934337955,0.0,0.0,0.0,events/second
1758266550,9,0.05369067456892538,0.0,0.0,0.0,events/second
1758266580,9,0.04553655831395416,0.0,0.0,0.0,events/second
1758266610,9,0.039532432543606416,0.0,0.0,0.0,events/second
1758266640,9,0.03492757142667109,0.0,0.0,0.0,events/second
1758266670,9,0.0312829697626993,0.0,0.0,0.0,events/second
1758266700,9,0.02832774112982586,0.0,0.0,0.0,events/second
1758266730,9,0.025882974175187458,0.0,0.0,0.0,events/second
1758266760,9,0.023826293227441196,0.0,0.0,0.0,events/second
1758266790,9,0.022072108423111296,0.0,0.0,0.0,events/second
1758266820,9,0.02055883708022502,0.0,0.0,0.0,events/second
1758266850,20,0.04275495730898166,0.0,0.0,0.0,events/second
1758266880,23,0.04620395738984266,0.0,0.0,0.0,events/second
1758266910,23,0.0435760798853081,0.0,0.0,0.0,events/second
1758266940,23,0.04123122893133724,0.0,0.0,0.0,events/second
1758266970,23,0.03912620997587455,0.0,0.0,0.0,events/second
1758267000,23,0.037225946522793964,0.0,0.0,0.0,events/second
1758267030,23,0.03550162614457652,0.0,0.0,0.0,events/second
1758267060,23,0.033929837180093715,0.0,0.0,0.0,events/second
1758267090,23,0.03249079765821949,0.0,0.0,0.0,events/second
1758267120,23,0.03116875866442027,0.0,0.0,0.0,events/second
1758267150,23,0.029950700178665874,0.0,0.0,0.0,events/second
1758267180,23,0.028824150736680296,0.0,0.0,0.0,events/second
1758267210,23,0.027779255053734665,0.0,0.0,0.0,events/second
1758267240,23,0.02680743470685308,0.0,0.0,0.0,events/second
1758267270,23,0.025901136093717095,0.0,0.0,0.0,events/second
1758267300,23,0.0250541671338529,0.0,0.0,0.0,events/second
