t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1758264660,11,0.7922399720226936,0.0,0.0,0.0,events/second
1758264690,11,0.25036650298850316,0.0,0.0,0.0,events/second
1758264720,11,0.14874449095535933,0.0,0.0,0.0,events/second
1758264750,11,0.10579262843658842,0.0,0.0,0.0,events/second
1758264780,11,0.08208824434028607,0.0,0.0,0.0,events/second
1758264810,19,0.1158418695073044,0.0,0.0,0.0,events/second
1758264840,20,0.10307634824708733,0.0,0.0,0.0,events/second
1758264870,20,0.0892658915591174,0.0,0.0,0.0,events/second
1758264900,20,0.07871883434560742,0.0,0.0,0.0,events/second
1758264930,20,0.07040111487881373,0.0,0.0,0.0,events/second
1758265140,8,0.7078690707669982,0.0,0.0,0.0,events/second
1758265170,8,0.19347059054399574,0.0,0.0,0.0,events/second
1758265200,8,0.11210793815065591,0.0,0.0,0.0,events/second
1758265230,8,0.07891654076469722,0.0,0.0,0.0,events/second
1758265260,8,0.06088810440756651,0.0,0.0,0.0,events/second
1758265290,8,0.04956441438906819,0.0,0.0,0.0,events/second
1758265320,8,0.04179175950253296,0.0,0.0,0.0,events/second
1758265350,8,0.03612662245152526,0.0,0.0,0.0,events/second
1758265380,8,0.03181563516458837,0.0,0.0,0.0,events/second
1758265410,8,0.02842363730100335,0.0,0.0,0.0,events/second
1758265440,8,0.02568508696704767,0.0,0.0,0.0,events/second
1758266130,8,0.27145246225061603,0.0,0.0,0.0,events/second
1758266160,8,0.13446666906936192,0.0,0.0,0.0,events/second
1758266190,8,0.08937310891738237,0.0,0.0,0.0,events/second
1758266220,8,0.06693496201914889,0.0,0.0,0.0,events/second
1758266400,9,0.5140947618650515,0.0,0.0,0.0,events/second
1758266430,9,0.18926019313447545,0.0,0.0,0.0,events/second
1758266460,9,0.11602833433583103,0.0,0.0,0.0,events/second
1758266490,9,0.08365200323854827,0.0,0.0,0.0,events/second
1758266520,9,0.0654055431934759,0.0,0.0,0.0,events/second
1758266550,9,0.053690677387554314,0.0,0.0,0.0,events/second
1758266580,9,0.045536595108476054,0.0,0.0,0.0,events/second
1758266610,9,0.03953244139955,0.0,0.0,0.0,events/second
1758266640,9,0.03492759358884212,0.0,0.0,0.0,events/second
1758266670,9,0.03128298505099146,0.0,0.0,0.0,events/second
1758266700,9,0.028327749520003043,0.0,0.0,0.0,events/second
1758266730,9,0.025882985846833344,0.0,0.0,0.0,events/second
1758266760,9,0.02382629922605747,0.0,0.0,0.0,events/second
1758266790,9,0.022072117787758475,0.0,0.0,0.0,events/second
