t,value
1758264660,2
1758264690,2
1758264720,2
1758264750,2
1758264780,2
1758264810,10
1758264840,11
1758264870,11
1758264900,11
1758264930,11
1758265140,8
1758265170,8
1758265200,8
1758265230,8
1758265260,8
1758265290,8
1758265320,8
1758265350,8
1758265380,8
1758265410,8
1758265440,8
1758266130,8
1758266160,8
1758266190,8
1758266220,8
1758266400,9
1758266430,9
1758266460,9
1758266490,9
1758266520,9
1758266550,9
1758266580,9
1758266610,9
1758266640,9
1758266670,9
1758266700,9
1758266730,9
1758266760,9
1758266790,9
1758266820,9
1758266850,20
1758266880,22
1758266910,22
1758266940,22
1758266970,22
1758267000,22
1758267030,22
1758267060,22
1758267090,22
1758267120,22
1758267150,22
1758267180,22
1758267210,22
1758267240,22
1758267270,22
1758267300,22
1758267330,22
1758267360,22
1758267390,22
1758267420,22
1758267450,22
1758267480,22
1758267510,22
1758267540,22
1758267570,22
1758267600,22
1758267630,22
1758267660,22
1758267690,22
1758267720,22
1758267750,22
1758267780,22
1758267810,22
1758267840,22
1758267870,22
1758267900,22
1758267930,22
1758267960,22
1758267990,22
1758268020,22
1758268050,22
1758268080,22
1758268110,22
1758268140,22
1758268170,22
1758268200,22
1758268231,22
1758268261,22
1758268291,22
1758268321,22
1758268351,22
1758268381,22
1758268411,22
1758268441,22
1758268471,22
1758268501,22
1758268531,22
1758268561,22
1758268591,22
1758268621,22
1758268651,22
1758268681,22
1758268711,22
1758268741,22
1758268771,22
1758268801,22
1758268831,22
1758268861,22
1758268891,22
1758268921,22
1758268951,22
1758268981,22
1758269011,22
1758269041,22
1758269071,22
1758269101,22
1758269131,22
1758269161,22
1758269191,22
1758269221,22
1758269251,22
1758269281,22
1758269311,22
1758269341,22
1758269371,22
1758269401,22
1758269431,22
1758269461,22
1758269491,22
1758269521,22
1758269551,22
1758269581,22
1758269611,22
1758269641,22
1758269671,22
1758269701,22
1758269731,22
1758269761,22
1758269791,22
1758269821,22
1758269851,22
1758269881,22
1758269911,22
1758269941,22
1758269971,22
1758270001,22
1758270031,22
1758270061,22
1758270091,22
1758270121,22
1758270151,22
1758270181,22
1758270211,22
1758270241,22
1758270271,22
1758270301,22
1758270331,22
1758270362,22
1758270392,23
1758270422,24
1758270452,25
1758270482,27
1758270512,28
1758270542,28
1758270572,28
1758270602,28
1758270632,28
1758270662,28
1758270692,28
1758270722,28
1758270752,28
1758270782,28
1758270812,28
1758270842,28
1758270872,28
1758270902,28
1758270932,28
1758496830,0
1758496860,10
1758496890,10
1758496920,10
1758496950,11
1758496980,11
1758497010,11
1758497040,11
1758497070,11
1758497100,11
1758497130,11
1758497160,11
1758497190,11
1758497220,11
1758497250,11
1758497280,11
1758497310,11
1758497340,11
1758497370,11
1758497400,11
1758497430,11
1758497460,11
1758497490,11
1758497520,11
1758497550,11
1758497580,11
1758497610,11
1758497640,11
1758497670,11
1758497700,11
1758497730,11
1758497760,11
1758497790,11
1758497820,11
1758497850,11
1758497880,12
1758497910,12
1758497940,12
1758497970,12
1758498000,12
1758498030,12
1758498060,12
1758498090,12
1758498120,12
1758498150,12
1758498180,12
1758498210,12
1758498240,12
1758498270,12
1758498300,12
1758498330,12
1758498360,12
1758498390,12
1758498420,12
1758498450,12
1758498480,12
1758498510,12
1758498540,12
1758498570,12
1758498780,0
1758498810,7
1758498840,7
1758498870,7
1758498900,7
1758498930,7
1758498960,7
1758498990,7
1758499020,7
1758499050,7
1758499080,7
1758499110,7
1758499140,7
1758499170,7
1758499200,7
1758499230,7
1758499260,7
1758499290,7
1758499320,7
1758499350,7
1758499380,7
1758499410,7
1758499440,7
1758499470,7
1758499500,7
1758499530,7
1758499560,7
1758499590,7
1758499620,7
1758499650,7
1758499680,7
1758499710,7
1758499740,7
1758499770,7
1758499800,7
1758499830,7
1758499860,7
1758499890,7
1758499980,0
1758500010,7
1758500040,7
1758500070,7
1758500100,7
1758500130,7
1758500160,15
1758500190,15
1758500220,36
1758500250,36
1758500280,36
1758500310,36
1758500340,36
1758500370,36
1758500400,36
1758500430,36
1758500460,36
1758500490,36
1758500520,36
1758500550,36
1758500580,36
1758500610,36
1758500640,36
1758500670,36
1758500700,37
1758500730,39
1758500760,39
1758500790,40
1758500820,41
1758500850,42
1758500880,42
1758500910,42
1758500940,42
1758500970,43
1758501000,43
1758501030,43
1758501060,43
1758501090,43
1758501120,43
1758501150,43
1758501180,43
1758501211,43
1758501241,43
1758501271,43
1758501301,43
1758501331,43
1758501361,43
1758501391,43
1758501421,43
1758501451,43
1758501481,43
1758501511,43
1758501541,43
1758501571,43
1758501601,43
1758501631,43
1758501661,43
1758501691,43
1758501721,43
1758501751,43
1758501781,43
1758501811,44
1758501841,45
1758501871,46
1758501901,46
1758501931,46
1758501961,46
1758501991,46
1758502021,46
1758502051,46
1758502081,46
1758502111,46
1758502141,46
1758502171,46
1758502201,46
1758502231,46
1758502261,46
1758502291,46
1758502321,46
1758502351,46
1758502381,46
1758502411,46
1758502441,46
1758502471,46
1758502501,46
1758502531,46
1758502561,4
1758502591,4
1758502621,6
1758502651,6
