t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1758264660,11,0.7921665159365827,0.0,0.0,0.0,events/second
1758264690,11,0.2503656060494503,0.0,0.0,0.0,events/second
1758264720,11,0.14874421982497174,0.0,0.0,0.0,events/second
1758264750,11,0.1057923908597825,0.0,0.0,0.0,events/second
1758264780,11,0.08208817916085992,0.0,0.0,0.0,events/second
1758264810,19,0.11584180304630178,0.0,0.0,0.0,events/second
1758264840,20,0.1030762902360747,0.0,0.0,0.0,events/second
1758264870,20,0.08926582103883846,0.0,0.0,0.0,events/second
1758264900,20,0.07871880134843401,0.0,0.0,0.0,events/second
1758264930,20,0.07040109455792,0.0,0.0,0.0,events/second
1758265140,8,0.7078034230293683,0.0,0.0,0.0,events/second
1758265170,8,0.19347019518124559,0.0,0.0,0.0,events/second
1758265200,8,0.11210779801551485,0.0,0.0,0.0,events/second
1758265230,8,0.07891648136690481,0.0,0.0,0.0,events/second
1758265260,8,0.06088807057791381,0.0,0.0,0.0,events/second
1758265290,8,0.04956437772387504,0.0,0.0,0.0,events/second
1758265320,8,0.04179173232184817,0.0,0.0,0.0,events/second
1758265350,8,0.036126605582691054,0.0,0.0,0.0,events/second
1758265380,8,0.03181561910802449,0.0,0.0,0.0,events/second
1758265410,8,0.028423630221753697,0.0,0.0,0.0,events/second
1758265440,8,0.0256850714058245,0.0,0.0,0.0,events/second
1758266130,8,0.2714434709606925,0.0,0.0,0.0,events/second
1758266160,8,0.13446650226971388,0.0,0.0,0.0,events/second
1758266190,8,0.08937303393429527,0.0,0.0,0.0,events/second
1758266220,8,0.06693492382470576,0.0,0.0,0.0,events/second
1758266400,9,0.5140661081818196,0.0,0.0,0.0,events/second
1758266430,9,0.189259788773879,0.0,0.0,0.0,events/second
1758266460,9,0.1160281587242934,0.0,0.0,0.0,events/second
1758266490,9,0.08365193707185997,0.0,0.0,0.0,events/second
1758266520,9,0.06540547840734712,0.0,0.0,0.0,events/second
1758266550,9,0.05369063007946917,0.0,0.0,0.0,events/second
1758266580,9,0.04553657702224465,0.0,0.0,0.0,events/second
1758266610,9,0.039532423114635555,0.0,0.0,0.0,events/second
1758266640,9,0.03492758362602781,0.0,0.0,0.0,events/second
1758266670,9,0.03128297552570953,0.0,0.0,0.0,events/second
1758266700,9,0.028327740933668744,0.0,0.0,0.0,events/second
1758266730,9,0.025882980621388538,0.0,0.0,0.0,events/second
1758266760,9,0.023826291139595442,0.0,0.0,0.0,events/second
1758266790,9,0.02207211393904992,0.0,0.0,0.0,events/second
1758266820,9,0.020558842171000815,0.0,0.0,0.0,events/second
1758266850,20,0.04275496544352258,0.0,0.0,0.0,events/second
1758266880,22,0.044195088452048024,0.0,0.0,0.0,events/second
1758266910,22,0.04168145046929364,0.0,0.0,0.0,events/second
1758266940,22,0.0394385504014888,0.0,0.0,0.0,events/second
1758266970,22,0.03742504912841912,0.0,0.0,0.0,events/second
1758267000,22,0.03560741865424798,0.0,0.0,0.0,events/second
1758267030,22,0.03395807274737964,0.0,0.0,0.0,events/second
1758267060,22,0.032454603872416686,0.0,0.0,0.0,events/second
1758267090,22,0.031078143025217008,0.0,0.0,0.0,events/second
1758267120,22,0.029813579576226826,0.0,0.0,0.0,events/second
1758267150,22,0.028648482336888187,0.0,0.0,0.0,events/second
1758267180,22,0.027570923567855107,0.0,0.0,0.0,events/second
1758267210,22,0.026571457886510264,0.0,0.0,0.0,events/second
1758267240,22,0.025641886586793464,0.0,0.0,0.0,events/second
1758267270,22,0.02477498614056025,0.0,0.0,0.0,events/second
1758267300,22,0.023964856229398895,0.0,0.0,0.0,events/second
1758267330,22,0.02320613022232756,0.0,0.0,0.0,events/second
1758267360,22,0.02249374613814394,0.0,0.0,0.0,events/second
1758267390,22,0.02182383297022936,0.0,0.0,0.0,events/second
1758267420,22,0.021192704267021835,0.0,0.0,0.0,events/second
1758267450,22,0.02059708290242609,0.0,0.0,0.0,events/second
1758267480,22,0.020034033499206468,0.0,0.0,0.0,events/second
1758267510,22,0.019501110543703154,0.0,0.0,0.0,events/second
1758267540,22,0.018995680343019884,0.0,0.0,0.0,events/second
1758267570,22,0.018515788591483073,0.0,0.0,0.0,events/second
1758267600,22,0.018059610175885338,0.0,0.0,0.0,events/second
1758267630,22,0.017625389532955744,0.0,0.0,0.0,events/second
1758267660,22,0.017211421613009068,0.0,0.0,0.0,events/second
1758267690,22,0.016816546094389307,0.0,0.0,0.0,events/second
1758267720,22,0.016439222229709095,0.0,0.0,0.0,events/second
1758267750,22,0.016078653006348215,0.0,0.0,0.0,events/second
1758267780,22,0.01573356215773371,0.0,0.0,0.0,events/second
1758267810,22,0.015402893012183217,0.0,0.0,0.0,events/second
1758267840,22,0.015085862138207813,0.0,0.0,0.0,events/second
1758267870,22,0.014781662554793028,0.0,0.0,0.0,events/second
1758267900,22,0.014489396260172913,0.0,0.0,0.0,events/second
1758267930,22,0.01420844999403208,0.0,0.0,0.0,events/second
1758267960,22,0.013938270761090174,0.0,0.0,0.0,events/second
1758267990,22,0.013678095200737813,0.0,0.0,0.0,events/second
1758268020,22,0.013427498752064592,0.0,0.0,0.0,events/second
1758268050,22,0.013185926245561435,0.0,0.0,0.0,events/second
1758268080,22,0.012952912376843992,0.0,0.0,0.0,events/second
1758268110,22,0.012727957632978761,0.0,0.0,0.0,events/second
1758268140,22,0.012510738822268585,0.0,0.0,0.0,events/second
1758268170,22,0.012300696379010996,0.0,0.0,0.0,events/second
1758268200,22,0.012097604022221766,0.0,0.0,0.0,events/second
1758268231,22,0.01190114773550156,0.0,0.0,0.0,events/second
1758268261,22,0.011710957252904868,0.0,0.0,0.0,events/second
1758268291,22,0.01152676952906397,0.0,0.0,0.0,events/second
1758268321,22,0.011348316387980964,0.0,0.0,0.0,events/second
1758268351,22,0.011175239819004517,0.0,0.0,0.0,events/second
1758268381,22,0.01100734608207789,0.0,0.0,0.0,events/second
1758268411,22,0.010844485114514779,0.0,0.0,0.0,events/second
1758268441,22,0.010686403364055531,0.0,0.0,0.0,events/second
1758268471,22,0.010532812201256382,0.0,0.0,0.0,events/second
1758268501,22,0.010383576073552494,0.0,0.0,0.0,events/second
1758268531,22,0.010238491678332509,0.0,0.0,0.0,events/second
1758268561,22,0.01009745559265712,0.0,0.0,0.0,events/second
1758268591,22,0.009960249598226485,0.0,0.0,0.0,events/second
1758268621,22,0.009826689572212768,0.0,0.0,0.0,events/second
1758268651,22,0.009696688436378519,0.0,0.0,0.0,events/second
1758268681,22,0.009570101831476588,0.0,0.0,0.0,events/second
1758268711,22,0.009446751951421422,0.0,0.0,0.0,events/second
1758268741,22,0.009326524015370383,0.0,0.0,0.0,events/second
1758268771,22,0.009209343391328602,0.0,0.0,0.0,events/second
1758268801,22,0.009095050581952077,0.0,0.0,0.0,events/second
1758268831,22,0.008983560020399368,0.0,0.0,0.0,events/second
1758268861,22,0.00887480043150043,0.0,0.0,0.0,events/second
1758268891,22,0.008768648560957553,0.0,0.0,0.0,events/second
1758268921,22,0.008664960036779594,0.0,0.0,0.0,events/second
1758268951,22,0.008563727928920633,0.0,0.0,0.0,events/second
1758268981,22,0.008464815131896744,0.0,0.0,0.0,events/second
1758269011,22,0.00836818819000178,0.0,0.0,0.0,events/second
1758269041,22,0.008273737709362303,0.0,0.0,0.0,events/second
1758269071,22,0.00818136952207221,0.0,0.0,0.0,events/second
1758269101,22,0.00809106615291324,0.0,0.0,0.0,events/second
1758269131,22,0.00800270536023811,0.0,0.0,0.0,events/second
1758269161,22,0.007916268257812272,0.0,0.0,0.0,events/second
1758269191,22,0.007831690995046228,0.0,0.0,0.0,events/second
1758269221,22,0.00774890395003156,0.0,0.0,0.0,events/second
1758269251,22,0.007667847925014936,0.0,0.0,0.0,events/second
1758269281,22,0.0075884830340388985,0.0,0.0,0.0,events/second
1758269311,22,0.007510740823763674,0.0,0.0,0.0,events/second
1758269341,22,0.00743457740370847,0.0,0.0,0.0,events/second
1758269371,22,0.007359933149122354,0.0,0.0,0.0,events/second
1758269401,22,0.007286749609432209,0.0,0.0,0.0,events/second
1758269431,22,0.0072150099437063705,0.0,0.0,0.0,events/second
1758269461,22,0.007144682886075011,0.0,0.0,0.0,events/second
1758269491,22,0.007075723263820023,0.0,0.0,0.0,events/second
1758269521,22,0.007008065629495898,0.0,0.0,0.0,events/second
1758269551,22,0.006941704611043765,0.0,0.0,0.0,events/second
1758269581,22,0.006876587158435263,0.0,0.0,0.0,events/second
1758269611,22,0.006812654414235326,0.0,0.0,0.0,events/second
1758269641,22,0.006749906038508268,0.0,0.0,0.0,events/second
1758269671,22,0.006688314502761538,0.0,0.0,0.0,events/second
1758269701,22,0.006627842425909793,0.0,0.0,0.0,events/second
1758269731,22,0.006568449144028736,0.0,0.0,0.0,events/second
1758269761,22,0.006510090774319809,0.0,0.0,0.0,events/second
1758269791,22,0.006452771316654115,0.0,0.0,0.0,events/second
1758269821,22,0.006396446047121218,0.0,0.0,0.0,events/second
1758269851,22,0.006341103121422123,0.0,0.0,0.0,events/second
1758269881,22,0.006286701729153502,0.0,0.0,0.0,events/second
1758269911,22,0.006233244473789592,0.0,0.0,0.0,events/second
1758269941,22,0.006180685959487936,0.0,0.0,0.0,events/second
1758269971,22,0.006129010485635474,0.0,0.0,0.0,events/second
1758270001,22,0.006078190466053942,0.0,0.0,0.0,events/second
1758270031,22,0.006028206150244132,0.0,0.0,0.0,events/second
1758270061,22,0.005979030740449092,0.0,0.0,0.0,events/second
1758270091,22,0.005930647613779291,0.0,0.0,0.0,events/second
1758270121,22,0.005883044952585896,0.0,0.0,0.0,events/second
1758270151,22,0.005836207892050079,0.0,0.0,0.0,events/second
1758270181,22,0.0057900998000045625,0.0,0.0,0.0,events/second
1758270211,22,0.005744710073509488,0.0,0.0,0.0,events/second
1758270241,22,0.00570003345383057,0.0,0.0,0.0,events/second
1758270271,22,0.005656040744572499,0.0,0.0,0.0,events/second
1758270301,22,0.005612726033291573,0.0,0.0,0.0,events/second
1758270331,22,0.005570072493836999,0.0,0.0,0.0,events/second
1758270362,22,0.005528058880680264,0.0,0.0,0.0,events/second
1758270392,23,0.005736078782442586,0.0,0.0,0.0,events/second
1758270422,24,0.005941016587887933,0.0,0.0,0.0,events/second
1758270452,25,0.006142926864171408,0.0,0.0,0.0,events/second
1758270482,27,0.006585791894961384,0.0,0.0,0.0,events/second
1758270512,28,0.006780071224884067,0.0,0.0,0.0,events/second
1758270542,28,0.00673115465717032,0.0,0.0,0.0,events/second
1758270572,28,0.006682934239893737,0.0,0.0,0.0,events/second
1758270602,28,0.0066353989922826855,0.0,0.0,0.0,events/second
1758270632,28,0.006588528174968266,0.0,0.0,0.0,events/second
1758270662,28,0.006542331609036383,0.0,0.0,0.0,events/second
1758270692,28,0.00649676251900865,0.0,0.0,0.0,events/second
1758270722,28,0.006451842504974763,0.0,0.0,0.0,events/second
1758270752,28,0.0064075281635382455,0.0,0.0,0.0,events/second
1758270782,28,0.006363832352172272,0.0,0.0,0.0,events/second
1758270812,28,0.006320716205926359,0.0,0.0,0.0,events/second
1758270842,28,0.006278186645279729,0.0,0.0,0.0,events/second
1758270872,28,0.006236217074944271,0.0,0.0,0.0,events/second
1758270902,28,0.006194811384054179,0.0,0.0,0.0,events/second
1758270932,28,0.006153948396085813,0.0,0.0,0.0,events/second
1758496830,0,0.0,0.0,0.0,0.0,events/second
1758496860,10,0.21730696184705597,0.0,0.0,0.0,events/second
1758496890,10,0.13151649572213928,0.0,0.0,0.0,events/second
1758496920,10,0.09428963223545282,0.0,0.0,0.0,events/second
1758496950,11,0.08084254316021511,0.0,0.0,0.0,events/second
1758496980,11,0.0662327904683688,0.0,0.0,0.0,events/second
1758497010,11,0.056094370084058966,0.0,0.0,0.0,events/second
1758497040,11,0.04864873228143735,0.0,0.0,0.0,events/second
1758497070,11,0.04294753509201121,0.0,0.0,0.0,events/second
1758497100,11,0.03844303979176526,0.0,0.0,0.0,events/second
1758497130,11,0.03479431269928696,0.0,0.0,0.0,events/second
1758497160,11,0.03177745539408047,0.0,0.0,0.0,events/second
1758497190,11,0.02924164758212974,0.0,0.0,0.0,events/second
1758497220,11,0.02708133373125398,0.0,0.0,0.0,events/second
1758497250,11,0.025218148452641496,0.0,0.0,0.0,events/second
1758497280,11,0.023594381424993243,0.0,0.0,0.0,events/second
1758497310,11,0.022167235137082252,0.0,0.0,0.0,events/second
1758497340,11,0.020903242402473644,0.0,0.0,0.0,events/second
1758497370,11,0.019775410792662314,0.0,0.0,0.0,events/second
1758497400,11,0.01876274559064724,0.0,0.0,0.0,events/second
1758497430,11,0.017848857550754722,0.0,0.0,0.0,events/second
1758497460,11,0.017020036436221683,0.0,0.0,0.0,events/second
1758497490,11,0.01626465838641494,0.0,0.0,0.0,events/second
1758497520,11,0.01557336831792178,0.0,0.0,0.0,events/second
1758497550,11,0.014938524386902045,0.0,0.0,0.0,events/second
1758497580,11,0.014353564691421527,0.0,0.0,0.0,events/second
1758497610,11,0.01381256784522998,0.0,0.0,0.0,events/second
1758497640,11,0.013310859262420288,0.0,0.0,0.0,events/second
1758497670,11,0.0128442642813278,0.0,0.0,0.0,events/second
1758497700,11,0.012409353821824488,0.0,0.0,0.0,events/second
1758497730,11,0.012002944318749624,0.0,0.0,0.0,events/second
1758497760,11,0.011622228270011883,0.0,0.0,0.0,events/second
1758497790,11,0.011264997988413405,0.0,0.0,0.0,events/second
1758497820,11,0.010929014175326619,0.0,0.0,0.0,events/second
1758497850,11,0.010612578419914042,0.0,0.0,0.0,events/second
1758497880,12,0.011251592577487562,0.0,0.0,0.0,events/second
1758497910,12,0.010943592726134684,0.0,0.0,0.0,events/second
1758497940,12,0.010652052052197901,0.0,0.0,0.0,events/second
1758497970,12,0.010375632735146769,0.0,0.0,0.0,events/second
1758498000,12,0.010113127313904652,0.0,0.0,0.0,events/second
1758498030,12,0.009863632311869175,0.0,0.0,0.0,events/second
1758498060,12,0.009626181350414513,0.0,0.0,0.0,events/second
1758498090,12,0.009399816347923497,0.0,0.0,0.0,events/second
1758498120,12,0.00918387830361062,0.0,0.0,0.0,events/second
1758498150,12,0.008977664752230457,0.0,0.0,0.0,events/second
1758498180,12,0.008780457712536209,0.0,0.0,0.0,events/second
1758498210,12,0.008591728667905854,0.0,0.0,0.0,events/second
1758498240,12,0.008411009773172736,0.0,0.0,0.0,events/second
1758498270,12,0.008237762521270883,0.0,0.0,0.0,events/second
1758498300,12,0.008071482017087864,0.0,0.0,0.0,events/second
1758498330,12,0.007911778726556802,0.0,0.0,0.0,events/second
1758498360,12,0.007758299873588706,0.0,0.0,0.0,events/second
1758498390,12,0.007610640675347157,0.0,0.0,0.0,events/second
1758498420,12,0.007468471786605073,0.0,0.0,0.0,events/second
1758498450,12,0.007331513220821871,0.0,0.0,0.0,events/second
1758498480,12,0.007199533292126217,0.0,0.0,0.0,events/second
1758498510,12,0.00707220620864273,0.0,0.0,0.0,events/second
1758498540,12,0.006949273670863111,0.0,0.0,0.0,events/second
1758498570,12,0.006830543554664787,0.0,0.0,0.0,events/second
1758498780,0,0.0,0.0,0.0,0.0,events/second
1758498810,7,0.2075837828906125,0.0,0.0,0.0,events/second
1758498840,7,0.10984365085409095,0.0,0.0,0.0,events/second
1758498870,7,0.07466846093982726,0.0,0.0,0.0,events/second
1758498900,7,0.05656164185459751,0.0,0.0,0.0,events/second
1758498930,7,0.04552386020233332,0.0,0.0,0.0,events/second
1758498960,7,0.03808932889084286,0.0,0.0,0.0,events/second
1758498990,7,0.03274311751305376,0.0,0.0,0.0,events/second
1758499020,7,0.028712658886148372,0.0,0.0,0.0,events/second
1758499050,7,0.025566009621473346,0.0,0.0,0.0,events/second
1758499080,7,0.023040625784028265,0.0,0.0,0.0,events/second
1758499110,7,0.020969497498432264,0.0,0.0,0.0,events/second
1758499140,7,0.019239328009685763,0.0,0.0,0.0,events/second
1758499170,7,0.01777313884635377,0.0,0.0,0.0,events/second
1758499200,7,0.016514771306545828,0.0,0.0,0.0,events/second
1758499230,7,0.01542250542985106,0.0,0.0,0.0,events/second
1758499260,7,0.01446582459520101,0.0,0.0,0.0,events/second
1758499290,7,0.013621070964573677,0.0,0.0,0.0,events/second
1758499320,7,0.012869302067629191,0.0,0.0,0.0,events/second
1758499350,7,0.012196279907254783,0.0,0.0,0.0,events/second
1758499380,7,0.011590165940569953,0.0,0.0,0.0,events/second
1758499410,7,0.011041440968111776,0.0,0.0,0.0,events/second
1758499440,7,0.010542253379481935,0.0,0.0,0.0,events/second
1758499470,7,0.010086347302853743,0.0,0.0,0.0,events/second
1758499500,7,0.009668283980433675,0.0,0.0,0.0,events/second
1758499530,7,0.009283401165180661,0.0,0.0,0.0,events/second
1758499560,7,0.00892797156226174,0.0,0.0,0.0,events/second
1758499590,7,0.008598783583669124,0.0,0.0,0.0,events/second
1758499620,7,0.008293042272615087,0.0,0.0,0.0,events/second
1758499650,7,0.00800824652526522,0.0,0.0,0.0,events/second
1758499680,7,0.0077423780073710745,0.0,0.0,0.0,events/second
1758499710,7,0.0074936630068944705,0.0,0.0,0.0,events/second
1758499740,7,0.007260381889839329,0.0,0.0,0.0,events/second
1758499770,7,0.007041240407764086,0.0,0.0,0.0,events/second
1758499800,7,0.006834903447190486,0.0,0.0,0.0,events/second
1758499830,7,0.006640256123656315,0.0,0.0,0.0,events/second
1758499860,7,0.006456395073533628,0.0,0.0,0.0,events/second
1758499890,7,0.006282435426000966,0.0,0.0,0.0,events/second
1758499980,0,0.0,0.0,0.0,0.0,events/second
1758500010,7,0.19350647074165991,0.0,0.0,0.0,events/second
1758500040,7,0.10575830028571526,0.0,0.0,0.0,events/second
1758500070,7,0.07276000694413191,0.0,0.0,0.0,events/second
1758500100,7,0.05545852953768819,0.0,0.0,0.0,events/second
1758500130,7,0.0448033776728787,0.0,0.0,0.0,events/second
1758500160,15,0.08053299657798654,0.0,0.0,0.0,events/second
1758500190,15,0.06935337479416785,0.0,0.0,0.0,events/second
1758500220,36,0.1461657093094888,0.0,0.0,0.0,events/second
1758500250,36,0.1302874053194504,0.0,0.0,0.0,events/second
1758500280,36,0.11752159165850806,0.0,0.0,0.0,events/second
1758500310,36,0.10703680590382862,0.0,0.0,0.0,events/second
1758500340,36,0.09826778355354561,0.0,0.0,0.0,events/second
1758500370,36,0.0908281998876813,0.0,0.0,0.0,events/second
1758500400,36,0.08443335686658292,0.0,0.0,0.0,events/second
1758500430,36,0.07888061723827064,0.0,0.0,0.0,events/second
1758500460,36,0.07401307899715982,0.0,0.0,0.0,events/second
1758500490,36,0.06970975409385044,0.0,0.0,0.0,events/second
1758500520,36,0.06588141418355724,0.0,0.0,0.0,events/second
1758500550,36,0.062451593986347,0.0,0.0,0.0,events/second
1758500580,36,0.059361185610196036,0.0,0.0,0.0,events/second
1758500610,36,0.05656280070159643,0.0,0.0,0.0,events/second
1758500640,36,0.05401584126087688,0.0,0.0,0.0,events/second
1758500670,36,0.05168844816412583,0.0,0.0,0.0,events/second
1758500700,37,0.05092921929779365,0.0,0.0,0.0,events/second
1758500730,39,0.051552962200095157,0.0,0.0,0.0,events/second
1758500760,39,0.04958614906670319,0.0,0.0,0.0,events/second
1758500790,40,0.04898786009573985,0.0,0.0,0.0,events/second
1758500820,41,0.04842954822623508,0.0,0.0,0.0,events/second
1758500850,42,0.04790571581354292,0.0,0.0,0.0,events/second
1758500880,42,0.046313420366961094,0.0,0.0,0.0,events/second
1758500910,42,0.0448261256270876,0.0,0.0,0.0,events/second
1758500940,42,0.04343473459379527,0.0,0.0,0.0,events/second
1758500970,43,0.04313051205392579,0.0,0.0,0.0,events/second
1758501000,43,0.041869961709549035,0.0,0.0,0.0,events/second
1758501030,43,0.04068123296024279,0.0,0.0,0.0,events/second
1758501060,43,0.0395579172429032,0.0,0.0,0.0,events/second
1758501090,43,0.038494851275728915,0.0,0.0,0.0,events/second
1758501120,43,0.037487712930221434,0.0,0.0,0.0,events/second
1758501150,43,0.03653200333363298,0.0,0.0,0.0,events/second
1758501180,43,0.0356234664795652,0.0,0.0,0.0,events/second
1758501211,43,0.03475911961430909,0.0,0.0,0.0,events/second
1758501241,43,0.03393588517568674,0.0,0.0,0.0,events/second
1758501271,43,0.03315068747489011,0.0,0.0,0.0,events/second
1758501301,43,0.03240090077593545,0.0,0.0,0.0,events/second
1758501331,43,0.03168429158573979,0.0,0.0,0.0,events/second
1758501361,43,0.030998657835972797,0.0,0.0,0.0,events/second
1758501391,43,0.030342235492680697,0.0,0.0,0.0,events/second
1758501421,43,0.029713117000140402,0.0,0.0,0.0,events/second
1758501451,43,0.029109372120169195,0.0,0.0,0.0,events/second
1758501481,43,0.02852970433379913,0.0,0.0,0.0,events/second
1758501511,43,0.027972676124727418,0.0,0.0,0.0,events/second
1758501541,43,0.027437029492151693,0.0,0.0,0.0,events/second
1758501571,43,0.026921382272389965,0.0,0.0,0.0,events/second
1758501601,43,0.026424879496153755,0.0,0.0,0.0,events/second
1758501631,43,0.02594640611327001,0.0,0.0,0.0,events/second
1758501661,43,0.025484826753494904,0.0,0.0,0.0,events/second
1758501691,43,0.02503939227181241,0.0,0.0,0.0,events/second
1758501721,43,0.0246092971187732,0.0,0.0,0.0,events/second
1758501751,43,0.024193672195900136,0.0,0.0,0.0,events/second
1758501781,43,0.0237918779388125,0.0,0.0,0.0,events/second
1758501811,44,0.023947436472863837,0.0,0.0,0.0,events/second
1758501841,45,0.02409813190894801,0.0,0.0,0.0,events/second
1758501871,46,0.024243912767561108,0.0,0.0,0.0,events/second
1758501901,46,0.02386641328202068,0.0,0.0,0.0,events/second
1758501931,46,0.02350040007124506,0.0,0.0,0.0,events/second
1758501961,46,0.023145600645876094,0.0,0.0,0.0,events/second
1758501991,46,0.022801290861217235,0.0,0.0,0.0,events/second
1758502021,46,0.022467056866978984,0.0,0.0,0.0,events/second
1758502051,46,0.022142555220074026,0.0,0.0,0.0,events/second
1758502081,46,0.021827148789817077,0.0,0.0,0.0,events/second
1758502111,46,0.0215207031735786,0.0,0.0,0.0,events/second
1758502141,46,0.021222692132733853,0.0,0.0,0.0,events/second
1758502171,46,0.020932758536335975,0.0,0.0,0.0,events/second
1758502201,46,0.02065071485318118,0.0,0.0,0.0,events/second
1758502231,46,0.02037614984609115,0.0,0.0,0.0,events/second
1758502261,46,0.0201088012448102,0.0,0.0,0.0,events/second
1758502291,46,0.019848351590829837,0.0,0.0,0.0,events/second
1758502321,46,0.019594567752454436,0.0,0.0,0.0,events/second
1758502351,46,0.019347125965971764,0.0,0.0,0.0,events/second
1758502381,46,0.019105959614287172,0.0,0.0,0.0,events/second
1758502411,46,0.01887075437826897,0.0,0.0,0.0,events/second
1758502441,46,0.018641174999042914,0.0,0.0,0.0,events/second
1758502471,46,0.01841707058750661,0.0,0.0,0.0,events/second
1758502501,46,0.01819842303656413,0.0,0.0,0.0,events/second
1758502531,46,0.017984905659499804,0.0,0.0,0.0,events/second
1758502561,59,0.022800038569070803,0.0,0.0,0.0,events/second
1758502591,59,0.022538596017430725,0.0,0.0,0.0,events/second
1758502621,61,0.023038491797126602,0.0,0.0,0.0,events/second
1758502651,61,0.022780321354123303,0.0,0.0,0.0,events/second
