t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1758264660,12,0.8640147864034486,0.0,0.0,0.0,events/second
1758264690,12,0.2731226170947842,0.0,0.0,0.0,events/second
1758264720,12,0.16226506650107192,0.0,0.0,0.0,events/second
1758264750,12,0.11540871893944558,0.0,0.0,0.0,events/second
1758264780,12,0.08955036600040538,0.0,0.0,0.0,events/second
1758264810,24,0.14632599907633423,0.0,0.0,0.0,events/second
1758264840,37,0.19069058726569402,0.0,0.0,0.0,events/second
1758264870,37,0.16514132594049594,0.0,0.0,0.0,events/second
1758264900,50,0.19679652367411052,0.0,0.0,0.0,events/second
1758264930,53,0.1865625482533691,0.0,0.0,0.0,events/second
1758265140,9,0.7960964595405601,0.0,0.0,0.0,events/second
1758265170,9,0.2176500639876678,0.0,0.0,0.0,events/second
1758265200,9,0.12611994016399192,0.0,0.0,0.0,events/second
1758265230,9,0.08878041807014533,0.0,0.0,0.0,events/second
1758265260,10,0.0761096741591945,0.0,0.0,0.0,events/second
1758265290,10,0.06195517394472681,0.0,0.0,0.0,events/second
1758265320,10,0.05223945256982113,0.0,0.0,0.0,events/second
1758265350,10,0.04515810342199252,0.0,0.0,0.0,events/second
1758265380,10,0.03976940649790957,0.0,0.0,0.0,events/second
1758265410,10,0.035529449021722115,0.0,0.0,0.0,events/second
1758265440,10,0.03210625496759415,0.0,0.0,0.0,events/second
1758266130,9,0.3053409019381442,0.0,0.0,0.0,events/second
1758266160,9,0.15127249286453953,0.0,0.0,0.0,events/second
1758266190,27,0.30163091635385253,0.0,0.0,0.0,events/second
1758266220,37,0.30957168352964703,0.0,0.0,0.0,events/second
1758266400,10,0.5711123970785499,0.0,0.0,0.0,events/second
1758266430,10,0.2102849608935792,0.0,0.0,0.0,events/second
1758266460,10,0.1289188477382935,0.0,0.0,0.0,events/second
1758266490,10,0.09294594795689433,0.0,0.0,0.0,events/second
1758266520,10,0.07267230693543009,0.0,0.0,0.0,events/second
1758266550,10,0.059655984993107446,0.0,0.0,0.0,events/second
1758266580,10,0.0505960073563316,0.0,0.0,0.0,events/second
1758266610,10,0.043924764310805706,0.0,0.0,0.0,events/second
1758266640,10,0.03880831544812661,0.0,0.0,0.0,events/second
1758266670,11,0.03823465011732716,0.0,0.0,0.0,events/second
1758266700,11,0.03462271127137628,0.0,0.0,0.0,events/second
1758266730,11,0.031634688252188584,0.0,0.0,0.0,events/second
1758266760,11,0.029120961754008176,0.0,0.0,0.0,events/second
1758266790,11,0.026976971839065517,0.0,0.0,0.0,events/second
1758266820,11,0.02512743255208093,0.0,0.0,0.0,events/second
1758266850,33,0.07054558350977747,0.0,0.0,0.0,events/second
1758266880,37,0.07432798622775699,0.0,0.0,0.0,events/second
1758266910,37,0.07010049994551164,0.0,0.0,0.0,events/second
1758266940,37,0.06632836126221103,0.0,0.0,0.0,events/second
1758266970,37,0.06294203270958491,0.0,0.0,0.0,events/second
1758267000,37,0.05988513263735643,0.0,0.0,0.0,events/second
1758267030,37,0.05711123329025297,0.0,0.0,0.0,events/second
1758267060,37,0.05458267790404533,0.0,0.0,0.0,events/second
1758267090,37,0.05226772072626537,0.0,0.0,0.0,events/second
1758267120,37,0.05014095737738714,0.0,0.0,0.0,events/second
1758267150,37,0.04818148363279871,0.0,0.0,0.0,events/second
1758267180,37,0.04636923400481615,0.0,0.0,0.0,events/second
1758267210,37,0.04468831649456914,0.0,0.0,0.0,events/second
1758267240,37,0.04312494557894114,0.0,0.0,0.0,events/second
1758267270,37,0.041666988042080855,0.0,0.0,0.0,events/second
1758267300,37,0.04030449887244411,0.0,0.0,0.0,events/second
1758267330,37,0.03902846187004922,0.0,0.0,0.0,events/second
1758267360,37,0.03783036134090165,0.0,0.0,0.0,events/second
1758267390,37,0.03670368443875171,0.0,0.0,0.0,events/second
1758267420,37,0.03564224722804367,0.0,0.0,0.0,events/second
1758267450,37,0.03464051950122705,0.0,0.0,0.0,events/second
1758267480,37,0.033693576358205475,0.0,0.0,0.0,events/second
1758267510,37,0.032797283141353835,0.0,0.0,0.0,events/second
1758267540,37,0.03194726066637376,0.0,0.0,0.0,events/second
1758267570,37,0.03114017099187571,0.0,0.0,0.0,events/second
1758267600,37,0.03037295997623475,0.0,0.0,0.0,events/second
1758267630,37,0.02964268052029294,0.0,0.0,0.0,events/second
1758267660,37,0.028946462613585123,0.0,0.0,0.0,events/second
1758267690,37,0.028282355560919393,0.0,0.0,0.0,events/second
1758267720,37,0.02764776546215038,0.0,0.0,0.0,events/second
1758267750,37,0.027041353978823977,0.0,0.0,0.0,events/second
1758267780,37,0.026460975577064495,0.0,0.0,0.0,events/second
1758267810,37,0.02590485075350574,0.0,0.0,0.0,events/second
1758267840,37,0.02537166097584311,0.0,0.0,0.0,events/second
1758267870,37,0.0248600554009936,0.0,0.0,0.0,events/second
1758267900,37,0.024368517542631786,0.0,0.0,0.0,events/second
1758267930,37,0.023896017917476555,0.0,0.0,0.0,events/second
1758267960,37,0.023441623720169613,0.0,0.0,0.0,events/second
1758267990,37,0.02300405873192049,0.0,0.0,0.0,events/second
1758268020,37,0.02258259912038389,0.0,0.0,0.0,events/second
1758268050,37,0.022176319608769982,0.0,0.0,0.0,events/second
1758268080,37,0.02178443321281891,0.0,0.0,0.0,events/second
1758268110,37,0.021406099151141268,0.0,0.0,0.0,events/second
1758268140,37,0.02104077393737232,0.0,0.0,0.0,events/second
1758268170,37,0.020687525918545068,0.0,0.0,0.0,events/second
1758268200,37,0.02034595920960238,0.0,0.0,0.0,events/second
1758268231,37,0.02001555835100369,0.0,0.0,0.0,events/second
1758268261,37,0.01969569105988429,0.0,0.0,0.0,events/second
1758268291,37,0.01938592164957697,0.0,0.0,0.0,events/second
1758268321,37,0.01908579701635709,0.0,0.0,0.0,events/second
1758268351,37,0.018794712383932124,0.0,0.0,0.0,events/second
1758268381,37,0.01851234123747609,0.0,0.0,0.0,events/second
1758268411,37,0.01823844574885057,0.0,0.0,0.0,events/second
1758268441,37,0.017972579299307286,0.0,0.0,0.0,events/second
1758268471,37,0.017714268293704944,0.0,0.0,0.0,events/second
1758268501,37,0.017463280304577385,0.0,0.0,0.0,events/second
1758268531,37,0.01721927452563922,0.0,0.0,0.0,events/second
1758268561,37,0.016982075668355488,0.0,0.0,0.0,events/second
1758268591,37,0.016751322562914568,0.0,0.0,0.0,events/second
1758268621,37,0.016526698209996638,0.0,0.0,0.0,events/second
1758268651,37,0.016308061717418106,0.0,0.0,0.0,events/second
1758268681,37,0.01609516562163633,0.0,0.0,0.0,events/second
1758268711,37,0.015887713741500675,0.0,0.0,0.0,events/second
1758268741,37,0.015685512310611823,0.0,0.0,0.0,events/second
1758268771,37,0.015488434941058052,0.0,0.0,0.0,events/second
1758268801,37,0.015296215713553562,0.0,0.0,0.0,events/second
1758268831,37,0.015108709676830964,0.0,0.0,0.0,events/second
1758268861,37,0.014925795791447444,0.0,0.0,0.0,events/second
1758268891,37,0.014747267868080439,0.0,0.0,0.0,events/second
1758268921,37,0.014572882637785656,0.0,0.0,0.0,events/second
1758268951,37,0.01440262885775941,0.0,0.0,0.0,events/second
1758268981,37,0.01423627537419432,0.0,0.0,0.0,events/second
1758269011,37,0.014073766945146041,0.0,0.0,0.0,events/second
1758269041,37,0.013914918267672665,0.0,0.0,0.0,events/second
1758269071,37,0.01375957215163455,0.0,0.0,0.0,events/second
1758269101,37,0.013607698103043733,0.0,0.0,0.0,events/second
1758269131,37,0.0134590909017939,0.0,0.0,0.0,events/second
1758269161,37,0.013313720055594112,0.0,0.0,0.0,events/second
1758269191,37,0.013171476555010865,0.0,0.0,0.0,events/second
1758269221,37,0.013032243695134735,0.0,0.0,0.0,events/second
1758269251,37,0.012895922468911084,0.0,0.0,0.0,events/second
1758269281,37,0.01276244502319919,0.0,0.0,0.0,events/second
1758269311,37,0.012631697194145598,0.0,0.0,0.0,events/second
1758269341,37,0.012503603825449253,0.0,0.0,0.0,events/second
1758269371,37,0.01237806502131691,0.0,0.0,0.0,events/second
1758269401,37,0.012254985058610265,0.0,0.0,0.0,events/second
1758269431,37,0.012134331643714101,0.0,0.0,0.0,events/second
1758269461,37,0.012016054604051094,0.0,0.0,0.0,events/second
1758269491,37,0.011900076805469286,0.0,0.0,0.0,events/second
1758269521,37,0.011786288999982178,0.0,0.0,0.0,events/second
1758269551,37,0.011674682048627129,0.0,0.0,0.0,events/second
1758269581,37,0.011565165669133739,0.0,0.0,0.0,events/second
1758269611,37,0.011457643271187621,0.0,0.0,0.0,events/second
1758269641,37,0.011352111789699698,0.0,0.0,0.0,events/second
1758269671,37,0.011248526218816845,0.0,0.0,0.0,events/second
1758269701,37,0.011146822755560639,0.0,0.0,0.0,events/second
1758269731,37,0.01104693472210787,0.0,0.0,0.0,events/second
1758269761,37,0.010948786490759562,0.0,0.0,0.0,events/second
1758269791,37,0.010852385269187734,0.0,0.0,0.0,events/second
1758269821,37,0.010757656769804813,0.0,0.0,0.0,events/second
1758269851,37,0.01066458025541051,0.0,0.0,0.0,events/second
1758269881,37,0.01057308589327761,0.0,0.0,0.0,events/second
1758269911,37,0.010483181504454646,0.0,0.0,0.0,events/second
1758269941,37,0.010394787696160626,0.0,0.0,0.0,events/second
1758269971,37,0.010307878992038614,0.0,0.0,0.0,events/second
1758270001,37,0.010222408939979602,0.0,0.0,0.0,events/second
1758270031,37,0.010138344183970178,0.0,0.0,0.0,events/second
1758270061,37,0.010055640141435292,0.0,0.0,0.0,events/second
1758270091,37,0.009974268784404368,0.0,0.0,0.0,events/second
1758270121,37,0.009894209943510963,0.0,0.0,0.0,events/second
1758270151,37,0.009815438186622692,0.0,0.0,0.0,events/second
1758270181,37,0.009737892914881094,0.0,0.0,0.0,events/second
1758270211,37,0.009661555626752314,0.0,0.0,0.0,events/second
1758270241,37,0.009586418015934234,0.0,0.0,0.0,events/second
1758270271,37,0.009512429992833447,0.0,0.0,0.0,events/second
1758270301,37,0.009439582719504748,0.0,0.0,0.0,events/second
1758270331,37,0.009367846424630412,0.0,0.0,0.0,events/second
1758270362,49,0.012312492311751572,0.0,0.0,0.0,events/second
1758270392,53,0.013217918090782651,0.0,0.0,0.0,events/second
1758270422,58,0.014357454208631793,0.0,0.0,0.0,events/second
1758270452,66,0.016217324056687014,0.0,0.0,0.0,events/second
1758270482,72,0.01756210857821807,0.0,0.0,0.0,events/second
1758270512,77,0.018645192588394376,0.0,0.0,0.0,events/second
1758270542,84,0.020193460325800112,0.0,0.0,0.0,events/second
1758270572,91,0.021719532502120494,0.0,0.0,0.0,events/second
1758270602,94,0.02227597849134195,0.0,0.0,0.0,events/second
1758270632,94,0.022118626409148336,0.0,0.0,0.0,events/second
1758270662,94,0.021963537384072356,0.0,0.0,0.0,events/second
1758270692,94,0.021810556071036716,0.0,0.0,0.0,events/second
1758270722,94,0.021659753385539323,0.0,0.0,0.0,events/second
1758270752,94,0.021510983796928597,0.0,0.0,0.0,events/second
1758270782,94,0.0213642907693425,0.0,0.0,0.0,events/second
1758270812,94,0.021219543641439517,0.0,0.0,0.0,events/second
1758270842,99,0.022197870452787042,0.0,0.0,0.0,events/second
1758270872,103,0.022940366278610774,0.0,0.0,0.0,events/second
1758270902,107,0.023673025442971226,0.0,0.0,0.0,events/second
1758270932,110,0.024176221667977203,0.0,0.0,0.0,events/second
1758496830,0,0.0,0.0,0.0,0.0,events/second
1758496860,11,0.23903391549092456,0.0,0.0,0.0,events/second
1758496890,12,0.15781834134383066,0.0,0.0,0.0,events/second
1758496920,13,0.12257568467236908,0.0,0.0,0.0,events/second
1758496950,16,0.11758851487399724,0.0,0.0,0.0,events/second
1758496980,17,0.10235930546227169,0.0,0.0,0.0,events/second
