t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1758264660,0,0.0,0.0,0.0,0.0,events/second
1758264690,0,0.0,0.0,0.0,0.0,events/second
1758264720,0,0.0,0.0,0.0,0.0,events/second
1758264750,0,0.0,0.0,0.0,0.0,events/second
1758264780,0,0.0,0.0,0.0,0.0,events/second
1758264810,0,0.0,0.0,0.0,0.0,events/second
1758264840,0,0.0,0.0,0.0,0.0,events/second
1758264870,0,0.0,0.0,0.0,0.0,events/second
1758264900,0,0.0,0.0,0.0,0.0,events/second
1758264930,0,0.0,0.0,0.0,0.0,events/second
1758265140,0,0.0,0.0,0.0,0.0,events/second
1758265170,0,0.0,0.0,0.0,0.0,events/second
1758265200,0,0.0,0.0,0.0,0.0,events/second
1758265230,0,0.0,0.0,0.0,0.0,events/second
1758265260,0,0.0,0.0,0.0,0.0,events/second
1758265290,0,0.0,0.0,0.0,0.0,events/second
1758265320,0,0.0,0.0,0.0,0.0,events/second
1758265350,0,0.0,0.0,0.0,0.0,events/second
1758265380,0,0.0,0.0,0.0,0.0,events/second
1758265410,0,0.0,0.0,0.0,0.0,events/second
1758265440,0,0.0,0.0,0.0,0.0,events/second
1758266130,0,0.0,0.0,0.0,0.0,events/second
1758266160,0,0.0,0.0,0.0,0.0,events/second
1758266190,0,0.0,0.0,0.0,0.0,events/second
1758266220,1,0.008330007001879016,0.010541994097562058,0.0030413993186727347,0.001077675326868502,events/second
1758266400,0,0.0,0.0,0.0,0.0,events/second
1758266430,0,0.0,0.0,0.0,0.0,events/second
1758266460,0,0.0,0.0,0.0,0.0,events/second
1758266490,0,0.0,0.0,0.0,0.0,events/second
1758266520,0,0.0,0.0,0.0,0.0,events/second
1758266550,0,0.0,0.0,0.0,0.0,events/second
1758266580,0,0.0,0.0,0.0,0.0,events/second
1758266610,0,0.0,0.0,0.0,0.0,events/second
1758266640,0,0.0,0.0,0.0,0.0,events/second
1758266670,0,0.0,0.0,0.0,0.0,events/second
1758266700,0,0.0,0.0,0.0,0.0,events/second
1758266730,0,0.0,0.0,0.0,0.0,events/second
1758266760,0,0.0,0.0,0.0,0.0,events/second
1758266790,0,0.0,0.0,0.0,0.0,events/second
1758266820,0,0.0,0.0,0.0,0.0,events/second
1758266850,0,0.0,0.0,0.0,0.0,events/second
1758266880,0,0.0,0.0,0.0,0.0,events/second
1758266910,0,0.0,0.0,0.0,0.0,events/second
1758266940,0,0.0,0.0,0.0,0.0,events/second
1758266970,0,0.0,0.0,0.0,0.0,events/second
1758267000,0,0.0,0.0,0.0,0.0,events/second
1758267030,0,0.0,0.0,0.0,0.0,events/second
1758267060,0,0.0,0.0,0.0,0.0,events/second
1758267090,0,0.0,0.0,0.0,0.0,events/second
1758267120,0,0.0,0.0,0.0,0.0,events/second
1758267150,0,0.0,0.0,0.0,0.0,events/second
1758267180,0,0.0,0.0,0.0,0.0,events/second
1758267210,0,0.0,0.0,0.0,0.0,events/second
1758267240,0,0.0,0.0,0.0,0.0,events/second
1758267270,0,0.0,0.0,0.0,0.0,events/second
1758267300,0,0.0,0.0,0.0,0.0,events/second
1758267330,0,0.0,0.0,0.0,0.0,events/second
1758267360,0,0.0,0.0,0.0,0.0,events/second
1758267390,0,0.0,0.0,0.0,0.0,events/second
1758267420,0,0.0,0.0,0.0,0.0,events/second
1758267450,0,0.0,0.0,0.0,0.0,events/second
1758267480,0,0.0,0.0,0.0,0.0,events/second
1758267510,0,0.0,0.0,0.0,0.0,events/second
1758267540,0,0.0,0.0,0.0,0.0,events/second
1758267570,0,0.0,0.0,0.0,0.0,events/second
1758267600,0,0.0,0.0,0.0,0.0,events/second
1758267630,0,0.0,0.0,0.0,0.0,events/second
1758267660,0,0.0,0.0,0.0,0.0,events/second
1758267690,0,0.0,0.0,0.0,0.0,events/second
1758267720,0,0.0,0.0,0.0,0.0,events/second
1758267750,0,0.0,0.0,0.0,0.0,events/second
1758267780,0,0.0,0.0,0.0,0.0,events/second
1758267810,0,0.0,0.0,0.0,0.0,events/second
1758267840,0,0.0,0.0,0.0,0.0,events/second
1758267870,0,0.0,0.0,0.0,0.0,events/second
1758267900,0,0.0,0.0,0.0,0.0,events/second
1758267930,0,0.0,0.0,0.0,0.0,events/second
1758267960,0,0.0,0.0,0.0,0.0,events/second
1758267990,0,0.0,0.0,0.0,0.0,events/second
1758268020,0,0.0,0.0,0.0,0.0,events/second
1758268050,0,0.0,0.0,0.0,0.0,events/second
1758268080,0,0.0,0.0,0.0,0.0,events/second
1758268110,0,0.0,0.0,0.0,0.0,events/second
1758268140,0,0.0,0.0,0.0,0.0,events/second
1758268170,0,0.0,0.0,0.0,0.0,events/second
1758268200,0,0.0,0.0,0.0,0.0,events/second
1758268231,0,0.0,0.0,0.0,0.0,events/second
1758268261,0,0.0,0.0,0.0,0.0,events/second
1758268291,0,0.0,0.0,0.0,0.0,events/second
1758268321,0,0.0,0.0,0.0,0.0,events/second
1758268351,0,0.0,0.0,0.0,0.0,events/second
1758268381,0,0.0,0.0,0.0,0.0,events/second
1758268411,0,0.0,0.0,0.0,0.0,events/second
1758268441,0,0.0,0.0,0.0,0.0,events/second
1758268471,0,0.0,0.0,0.0,0.0,events/second
1758268501,0,0.0,0.0,0.0,0.0,events/second
1758268531,0,0.0,0.0,0.0,0.0,events/second
1758268561,0,0.0,0.0,0.0,0.0,events/second
1758268591,0,0.0,0.0,0.0,0.0,events/second
1758268621,0,0.0,0.0,0.0,0.0,events/second
1758268651,0,0.0,0.0,0.0,0.0,events/second
1758268681,0,0.0,0.0,0.0,0.0,events/second
1758268711,0,0.0,0.0,0.0,0.0,events/second
1758268741,0,0.0,0.0,0.0,0.0,events/second
1758268771,0,0.0,0.0,0.0,0.0,events/second
1758268801,0,0.0,0.0,0.0,0.0,events/second
1758268831,0,0.0,0.0,0.0,0.0,events/second
1758268861,0,0.0,0.0,0.0,0.0,events/second
1758268891,0,0.0,0.0,0.0,0.0,events/second
1758268921,0,0.0,0.0,0.0,0.0,events/second
1758268951,0,0.0,0.0,0.0,0.0,events/second
1758268981,0,0.0,0.0,0.0,0.0,events/second
1758269011,0,0.0,0.0,0.0,0.0,events/second
1758269041,0,0.0,0.0,0.0,0.0,events/second
1758269071,0,0.0,0.0,0.0,0.0,events/second
1758269101,0,0.0,0.0,0.0,0.0,events/second
1758269131,0,0.0,0.0,0.0,0.0,events/second
1758269161,0,0.0,0.0,0.0,0.0,events/second
1758269191,0,0.0,0.0,0.0,0.0,events/second
1758269221,0,0.0,0.0,0.0,0.0,events/second
1758269251,0,0.0,0.0,0.0,0.0,events/second
1758269281,0,0.0,0.0,0.0,0.0,events/second
1758269311,0,0.0,0.0,0.0,0.0,events/second
1758269341,0,0.0,0.0,0.0,0.0,events/second
1758269371,0,0.0,0.0,0.0,0.0,events/second
1758269401,0,0.0,0.0,0.0,0.0,events/second
1758269431,0,0.0,0.0,0.0,0.0,events/second
1758269461,0,0.0,0.0,0.0,0.0,events/second
1758269491,0,0.0,0.0,0.0,0.0,events/second
1758269521,0,0.0,0.0,0.0,0.0,events/second
1758269551,0,0.0,0.0,0.0,0.0,events/second
1758269581,0,0.0,0.0,0.0,0.0,events/second
1758269611,0,0.0,0.0,0.0,0.0,events/second
1758269641,0,0.0,0.0,0.0,0.0,events/second
1758269671,0,0.0,0.0,0.0,0.0,events/second
1758269701,0,0.0,0.0,0.0,0.0,events/second
1758269731,0,0.0,0.0,0.0,0.0,events/second
1758269761,0,0.0,0.0,0.0,0.0,events/second
1758269791,0,0.0,0.0,0.0,0.0,events/second
1758269821,0,0.0,0.0,0.0,0.0,events/second
1758269851,0,0.0,0.0,0.0,0.0,events/second
1758269881,0,0.0,0.0,0.0,0.0,events/second
1758269911,0,0.0,0.0,0.0,0.0,events/second
1758269941,0,0.0,0.0,0.0,0.0,events/second
1758269971,0,0.0,0.0,0.0,0.0,events/second
1758270001,0,0.0,0.0,0.0,0.0,events/second
1758270031,0,0.0,0.0,0.0,0.0,events/second
1758270061,0,0.0,0.0,0.0,0.0,events/second
1758270091,0,0.0,0.0,0.0,0.0,events/second
1758270121,0,0.0,0.0,0.0,0.0,events/second
1758270151,0,0.0,0.0,0.0,0.0,events/second
