t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1758264660,14,1010,317.07142857142856,2,323.1107131727962,205.0,498.5,1010.0,1010.0,1010.0,1010.0
1758264690,14,1010,317.07142857142856,2,323.1107131727962,205.0,498.5,1010.0,1010.0,1010.0,1010.0
1758264720,14,1010,317.07142857142856,2,323.1107131727962,205.0,498.5,1010.0,1010.0,1010.0,1010.0
1758264750,14,1010,317.07142857142856,2,323.1107131727962,205.0,498.5,1010.0,1010.0,1010.0,1010.0
1758264780,14,1010,317.07142857142856,2,323.1107131727962,205.0,498.5,1010.0,1010.0,1010.0,1010.0
1758264810,26,1010,179.3846153846154,0,278.31450942027107,32.0,232.0,931.9499999999997,1010.0,1010.0,1010.0
1758264840,39,1010,121.43589743589743,0,240.63313361474633,13.0,87.0,787.0,1010.0,1010.0,1010.0
1758264870,39,1010,121.43589743589743,0,240.63313361474633,13.0,87.0,787.0,1010.0,1010.0,1010.0
1758264900,52,1010,91.88461538461539,0,214.05310444695397,3.0,46.25,764.2499999999998,996.6199999999994,1010.0,1010.0
1758264930,55,1010,86.98181818181818,0,209.03982350606742,3.0,41.0,758.9999999999999,983.239999999999,1010.0,1010.0
1758265140,9,836,392.77777777777777,6,269.5935727061097,399.0,618.0,836.0,836.0,836.0,836.0
1758265170,9,836,392.77777777777777,6,269.5935727061097,399.0,618.0,836.0,836.0,836.0,836.0
1758265200,9,836,392.77777777777777,6,269.5935727061097,399.0,618.0,836.0,836.0,836.0,836.0
1758265230,9,836,392.77777777777777,6,269.5935727061097,399.0,618.0,836.0,836.0,836.0,836.0
1758265260,10,836,354.1,6,282.0722720627936,348.0,608.0,836.0,836.0,836.0,836.0
1758265290,10,836,354.1,6,282.0722720627936,348.0,608.0,836.0,836.0,836.0,836.0
1758265320,10,836,354.1,6,282.0722720627936,348.0,608.0,836.0,836.0,836.0,836.0
1758265350,10,836,354.1,6,282.0722720627936,348.0,608.0,836.0,836.0,836.0,836.0
1758265380,10,836,354.1,6,282.0722720627936,348.0,608.0,836.0,836.0,836.0,836.0
1758265410,10,836,354.1,6,282.0722720627936,348.0,608.0,836.0,836.0,836.0,836.0
1758265440,10,836,354.1,6,282.0722720627936,348.0,608.0,836.0,836.0,836.0,836.0
1758266130,9,848,387.44444444444446,4,270.8477944857181,427.0,592.5,848.0,848.0,848.0,848.0
1758266160,9,848,387.44444444444446,4,270.8477944857181,427.0,592.5,848.0,848.0,848.0,848.0
1758266190,27,848,130.88888888888889,1,238.2205399226222,3.0,235.0,751.1999999999995,848.0,848.0,848.0
1758266220,36,848,98.66666666666667,1,212.97994540063425,3.0,5.75,642.2999999999996,848.0,848.0,848.0
1758266400,11,758,263.72727272727275,2,271.2541579069677,140.0,532.0,758.0,758.0,758.0,758.0
1758266430,11,758,263.72727272727275,2,271.2541579069677,140.0,532.0,758.0,758.0,758.0,758.0
1758266460,11,758,263.72727272727275,2,271.2541579069677,140.0,532.0,758.0,758.0,758.0,758.0
1758266490,11,758,263.72727272727275,2,271.2541579069677,140.0,532.0,758.0,758.0,758.0,758.0
1758266520,11,758,263.72727272727275,2,271.2541579069677,140.0,532.0,758.0,758.0,758.0,758.0
1758266550,11,758,263.72727272727275,2,271.2541579069677,140.0,532.0,758.0,758.0,758.0,758.0
1758266580,11,758,263.72727272727275,2,271.2541579069677,140.0,532.0,758.0,758.0,758.0,758.0
1758266610,11,758,263.72727272727275,2,271.2541579069677,140.0,532.0,758.0,758.0,758.0,758.0
1758266640,11,758,263.72727272727275,2,271.2541579069677,140.0,532.0,758.0,758.0,758.0,758.0
1758266670,12,758,242.08333333333334,2,269.2793272061672,110.0,521.75,758.0,758.0,758.0,758.0
1758266700,12,758,242.08333333333334,2,269.2793272061672,110.0,521.75,758.0,758.0,758.0,758.0
1758266730,12,758,242.08333333333334,2,269.2793272061672,110.0,521.75,758.0,758.0,758.0,758.0
1758266760,12,758,242.08333333333334,2,269.2793272061672,110.0,521.75,758.0,758.0,758.0,758.0
1758266790,12,758,242.08333333333334,2,269.2793272061672,110.0,521.75,758.0,758.0,758.0,758.0
1758266820,12,758,242.08333333333334,2,269.2793272061672,110.0,521.75,758.0,758.0,758.0,758.0
1758266850,34,758,97.70588235294117,0,190.14707695213272,21.0,61.0,591.5,758.0,758.0,758.0
1758266880,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758266910,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758266940,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758266970,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758267000,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758267030,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758267060,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758267090,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758267120,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758267150,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758267180,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758267210,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758267240,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758267270,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758267300,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758267330,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758267360,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758267390,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758267420,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758267450,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758267480,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758267510,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758267540,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758267570,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758267600,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758267630,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758267660,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758267690,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758267720,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758267750,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758267780,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758267810,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758267840,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758267870,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758267900,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758267930,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758267960,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758267990,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758268020,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758268050,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758268080,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758268110,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758268140,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758268170,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758268200,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758268231,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758268261,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758268291,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758268321,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758268351,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758268381,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758268411,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758268441,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758268471,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758268501,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758268531,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758268561,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758268591,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758268621,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758268651,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758268681,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758268711,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758268741,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758268771,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758268801,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758268831,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758268861,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758268891,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758268921,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758268951,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758268981,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758269011,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758269041,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758269071,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758269101,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758269131,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758269161,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758269191,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758269221,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758269251,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758269281,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758269311,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758269341,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758269371,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758269401,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758269431,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758269461,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758269491,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758269521,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758269551,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758269581,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758269611,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758269641,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758269671,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758269701,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758269731,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758269761,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758269791,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758269821,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758269851,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758269881,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758269911,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758269941,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758269971,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758270001,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758270031,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758270061,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758270091,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758270121,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
1758270151,38,758,92.02631578947368,0,180.91142925395397,21.0,61.0,547.0999999999993,758.0,758.0,758.0
