t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1758264660,8,1010,467.375,20,355.96546281105094,414.0,778.25,1010.0,1010.0,1010.0,1010.0
1758264690,8,1010,467.375,20,355.96546281105094,414.0,778.25,1010.0,1010.0,1010.0,1010.0
1758264720,8,1010,467.375,20,355.96546281105094,414.0,778.25,1010.0,1010.0,1010.0,1010.0
1758264750,8,1010,467.375,20,355.96546281105094,414.0,778.25,1010.0,1010.0,1010.0,1010.0
1758264780,8,1010,467.375,20,355.96546281105094,414.0,778.25,1010.0,1010.0,1010.0,1010.0
1758264810,16,1010,245.375,0,334.56855301517305,47.0,414.0,1010.0,1010.0,1010.0,1010.0
1758264840,25,1010,159.64,0,289.2236562477789,20.0,179.0,943.0999999999999,1010.0,1010.0,1010.0
1758264870,25,1010,159.64,0,289.2236562477789,20.0,179.0,943.0999999999999,1010.0,1010.0,1010.0
1758264900,34,1010,118.29411764705883,0,256.38613509193453,3.5,49.25,842.75,1010.0,1010.0,1010.0
1758264930,36,1010,111.83333333333333,0,250.41479874115154,3.0,46.25,820.4499999999997,1010.0,1010.0,1010.0
1758265140,6,836,526.6666666666666,254,206.01909296632357,516.5,687.5,836.0,836.0,836.0,836.0
1758265170,6,836,526.6666666666666,254,206.01909296632357,516.5,687.5,836.0,836.0,836.0,836.0
1758265200,6,836,526.6666666666666,254,206.01909296632357,516.5,687.5,836.0,836.0,836.0,836.0
1758265230,6,836,526.6666666666666,254,206.01909296632357,516.5,687.5,836.0,836.0,836.0,836.0
1758265260,7,836,452.2857142857143,6,272.2086909497407,435.0,638.0,836.0,836.0,836.0,836.0
1758265290,7,836,452.2857142857143,6,272.2086909497407,435.0,638.0,836.0,836.0,836.0,836.0
1758265320,7,836,452.2857142857143,6,272.2086909497407,435.0,638.0,836.0,836.0,836.0,836.0
1758265350,7,836,452.2857142857143,6,272.2086909497407,435.0,638.0,836.0,836.0,836.0,836.0
1758265380,7,836,452.2857142857143,6,272.2086909497407,435.0,638.0,836.0,836.0,836.0,836.0
1758265410,7,836,452.2857142857143,6,272.2086909497407,435.0,638.0,836.0,836.0,836.0,836.0
1758265440,7,836,452.2857142857143,6,272.2086909497407,435.0,638.0,836.0,836.0,836.0,836.0
1758266130,6,848,526.5,235,205.53223591446672,521.5,666.5,848.0,848.0,848.0,848.0
1758266160,6,848,526.5,235,205.53223591446672,521.5,666.5,848.0,848.0,848.0,848.0
