t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1758264660,8,0.5562177405008683,0.12792893659308274,0.026445673885412014,0.008864243192165234,events/second
1758264690,8,0.18007016217785066,0.07759282230813813,0.02392903527669721,0.008573638734050223,events/second
1758264720,8,0.10746333492393846,0.04706242570352017,0.021651886495858093,0.008292561423289537,events/second
1758264750,8,0.07657729311324026,0.028544804109632897,0.0195914370725199,0.008020698922841617,events/second
1758264780,8,0.059482376154138775,0.017313298867983537,0.01772706533631288,0.007757749135291091,events/second
1758264810,16,0.09725963359618953,0.12820135016613468,0.04204867737164265,0.01631855380471298,events/second
1758264840,25,0.1285198536202667,0.21017089102199246,0.06730685267608506,0.025700593656254246,events/second
1758264870,25,0.11133803653642821,0.12747508918396114,0.060901758791555516,0.02485802797627481,events/second
1758264900,34,0.13356358328028295,0.22123760360689282,0.08485757329988841,0.03401535847607102,events/second
1758264930,36,0.1265031849445082,0.1636124655644145,0.08328444886131285,0.03510398586611272,events/second
1758265140,6,0.5102600887519185,0.09594670244481204,0.019834255414059008,0.006648182394123925,events/second
1758265170,6,0.14353561177138424,0.05819461673110361,0.01794677645752291,0.006430229050537669,events/second
1758265200,6,0.08355221309321303,0.03529681927764015,0.016238914871893575,0.006219421067467154,events/second
1758265230,6,0.05892497655780292,0.021408603082224677,0.014693577804389929,0.006015524192131215,events/second
1758265260,7,0.05309465093160671,0.027697512098729477,0.016546369670156984,0.006920203593663207,events/second
1758265290,7,0.04324783767978386,0.01679939028564104,0.014971774410213358,0.00669333233440449,events/second
1758265320,7,0.036481687161373205,0.010189345272719868,0.013547021700754308,0.006473898799712831,events/second
1758265350,7,0.03154646823004374,0.006180150310302587,0.012257852137787644,0.006261659151973382,events/second
1758265380,7,0.02778877339842906,0.003748450644831066,0.011091363279022338,0.006056377547519157,events/second
1758265410,7,0.024830853432487917,0.002273550242509634,0.010035880511889427,0.005857825874558254,events/second
1758265440,7,0.02244189091689831,0.0013789779284791865,0.009080840210095434,0.0056657834996928285,events/second
1758266130,6,0.1999610969020607,0.07472336699713872,0.018866927362915523,0.006538297604420338,events/second
1758266160,6,0.09996125152026694,0.04532201308072378,0.01707150184133248,0.00632394671273828,events/second
1758266190,18,0.19990823678842778,0.19815925993530675,0.054148116425081945,0.019303103077694984,events/second
1758266220,24,0.19992018536459644,0.18344163124210122,0.06724363776961807,0.02513632404722136,events/second
1758266400,7,0.38861704694658256,0.10298776563419279,0.02275749467545622,0.007713242195364193,events/second
1758266430,7,0.14566625019922722,0.06246523743243704,0.020591832723106905,0.007460372038273422,events/second
1758266460,7,0.08966426664074738,0.03788708166900233,0.018632260753804437,0.007215791951003811,events/second
1758266490,7,0.06476090196356812,0.022979676639286413,0.016859166712645146,0.006979230152739351,events/second
1758266520,7,0.050686200315358095,0.013937878432009382,0.015254804878507632,0.006750423772698989,events/second
1758266550,7,0.04163487474718033,0.008453750600361139,0.013803118258911206,0.006529118558030946,events/second
1758266580,7,0.03532774745390855,0.0051274589286831145,0.012489577886238225,0.006315068591283389,events/second
1758266610,7,0.030679881245367555,0.003109961046663603,0.011301037406942813,0.006108036017137512,events/second
1758266640,7,0.027113161300776765,0.0018862867253134677,0.01022560150842593,0.005907790778099386,events/second
1758266670,8,0.02775872867792976,0.012602226806580658,0.01234502094720763,0.006797789432507281,events/second
1758266700,8,0.02514054703401769,0.007643636938843603,0.01117023687947119,0.006574931386807479,events/second
1758266730,8,0.02297398073828028,0.004636100155120665,0.010107248296870765,0.006359379496884677,events/second
1758266760,8,0.021150858017061687,0.0028119368855791804,0.009145416452388895,0.006150894238462017,events/second
1758266790,8,0.01959555146258482,0.0017055259342806284,0.008275115009643152,0.005949243939802469,events/second
1758266820,8,0.018253629299464606,0.0010344537700762355,0.007487633699276125,0.005754204524271949,events/second
1758266850,27,0.05765742827459166,0.19306546284786988,0.05408233463950689,0.021924758698957516,events/second
1758266880,31,0.06221221752008813,0.20518025968551507,0.07347223268466889,0.029851430661861397,events/second
1758266910,31,0.05867717730829507,0.12444811826706494,0.06648042531973306,0.028872784358574564,events/second
1758266940,31,0.05552257552380514,0.07548159927251874,0.06015397639623969,0.027926221897358338,events/second
1758266970,31,0.052690340449548276,0.04578190420292544,0.054429568686969576,0.027010691444758133,events/second
1758267000,31,0.05013340054771173,0.02776812855910096,0.049249910395528465,0.026125175650521634,events/second
