t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1758264660,4,213,76.75,2,99.00294608411072,46.0,181.5,213.0,213.0,213.0,213.0
1758264690,4,213,76.75,2,99.00294608411072,46.0,181.5,213.0,213.0,213.0,213.0
1758264720,4,213,76.75,2,99.00294608411072,46.0,181.5,213.0,213.0,213.0,213.0
1758264750,4,213,76.75,2,99.00294608411072,46.0,181.5,213.0,213.0,213.0,213.0
1758264780,4,213,76.75,2,99.00294608411072,46.0,181.5,213.0,213.0,213.0,213.0
1758264810,8,213,43.125,2,74.29369805998738,9.0,70.0,213.0,213.0,213.0,213.0
1758264840,12,213,29.333333333333332,1,62.669890310380715,3.0,17.5,213.0,213.0,213.0,213.0
1758264870,12,213,29.333333333333332,1,62.669890310380715,3.0,17.5,213.0,213.0,213.0,213.0
1758264900,16,213,22.6875,1,54.96874111711128,3.0,11.0,213.0,213.0,213.0,213.0
1758264930,17,213,21.470588235294116,1,53.459234056263405,3.0,9.0,213.0,213.0,213.0,213.0
1758265140,3,297,125.0,6,152.56801761837244,72.0,297.0,297.0,297.0,297.0,297.0
1758265170,3,297,125.0,6,152.56801761837244,72.0,297.0,297.0,297.0,297.0,297.0
1758265200,3,297,125.0,6,152.56801761837244,72.0,297.0,297.0,297.0,297.0,297.0
1758265230,3,297,125.0,6,152.56801761837244,72.0,297.0,297.0,297.0,297.0,297.0
1758265260,3,297,125.0,6,152.56801761837244,72.0,297.0,297.0,297.0,297.0,297.0
1758265290,3,297,125.0,6,152.56801761837244,72.0,297.0,297.0,297.0,297.0,297.0
1758265320,3,297,125.0,6,152.56801761837244,72.0,297.0,297.0,297.0,297.0,297.0
1758265350,3,297,125.0,6,152.56801761837244,72.0,297.0,297.0,297.0,297.0,297.0
1758265380,3,297,125.0,6,152.56801761837244,72.0,297.0,297.0,297.0,297.0,297.0
1758265410,3,297,125.0,6,152.56801761837244,72.0,297.0,297.0,297.0,297.0,297.0
1758265440,3,297,125.0,6,152.56801761837244,72.0,297.0,297.0,297.0,297.0,297.0
1758266130,3,236,109.33333333333333,4,117.46205060926415,88.0,236.0,236.0,236.0,236.0,236.0
1758266160,3,236,109.33333333333333,4,117.46205060926415,88.0,236.0,236.0,236.0,236.0,236.0
1758266190,9,236,38.111111111111114,2,79.39056059199426,3.0,46.0,236.0,236.0,236.0,236.0
1758266220,12,236,29.083333333333332,2,69.64645567348555,2.5,3.75,236.0,236.0,236.0,236.0
1758266400,4,294,95.0,2,137.54514410427825,42.0,240.5,294.0,294.0,294.0,294.0
