t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1758264660,4,0.2780886751230513,0.06396446829654137,0.013222836942706007,0.004432121596082617,events/second
1758264690,4,0.09003506284971842,0.038796411154069066,0.011964517638348606,0.0042868193670251116,events/second
1758264720,4,0.053731646891445974,0.023531212851760085,0.010825943247929046,0.004146280711644769,events/second
1758264750,4,0.03828862654545137,0.014272402054816448,0.00979571853625995,0.0040103494614208085,events/second
1758264780,4,0.029741163133111145,0.008656649433991769,0.00886353266815644,0.0038788745676455456,events/second
1758264810,8,0.04862981984285102,0.06410067508306734,0.021024338685821323,0.00815927690235649,events/second
1758264840,12,0.061689530150001136,0.0977291765371253,0.03202789100408137,0.01229935095702968,events/second
1758264870,12,0.0534422593225324,0.05927574191823504,0.02898003420127013,0.011896130271117874,events/second
1758264900,16,0.0628534461900691,0.09991702314716427,0.039445056263977075,0.01593825032773919,events/second
1758264930,17,0.059737617232842447,0.07531527591371386,0.038942433532102486,0.016517624072696836,events/second
1758265140,3,0.2551126553250213,0.04797335122240602,0.009917127707029504,0.0033240911970619626,events/second
1758265170,3,0.07176779438264717,0.029097308365551806,0.008973388228761455,0.0032151145252688343,events/second
1758265200,3,0.041776104219615876,0.017648409638820074,0.008119457435946787,0.003109710533733577,events/second
1758265230,3,0.02946249140383937,0.010704301541112338,0.0073467889021949645,0.0030077620960656075,events/second
1758265260,3,0.02275485124497264,0.006492487075493826,0.006647649501117334,0.0029091559257341604,events/second
1758265290,3,0.018534724938769332,0.003937892469075018,0.006015042010599044,0.0028137824501827144,events/second
1758265320,3,0.015635006363356387,0.0023884525171454815,0.005442635082248265,0.0027215356890704285,events/second
1758265350,3,0.013519915851394785,0.0014486696809165491,0.004924699875133453,0.0026323131365053086,events/second
1758265380,3,0.011909474346707421,8.78662577272005E-4,0.004456052719617765,0.0025460156471382228,events/second
1758265410,3,0.010641794935972263,5.32935792657592E-4,0.004032003237451054,0.002462547325991202,events/second
1758265440,3,0.009617952303464615,3.2324189790508464E-4,0.0036483073988878415,0.0023818154218976017,events/second
1758266130,3,0.09997838567280139,0.03736168349856936,0.009433463681457761,0.003269148802210169,events/second
1758266160,3,0.049980665396097065,0.02266100654036189,0.00853575092066624,0.00316197335636914,events/second
1758266190,9,0.09995417034653498,0.09907962996765338,0.027074058212540972,0.009651551538847492,events/second
1758266220,12,0.09996013989461562,0.09172081562105061,0.033621818884809036,0.01256816202361068,events/second
1758266400,4,0.2220590519971533,0.0588501517909673,0.013004282671689269,0.004407566968779539,events/second
1758266430,4,0.08323785604420664,0.035694421389964016,0.011766761556061088,0.0042630697361562405,events/second
1758266460,4,0.05123670108672672,0.021649760953715614,0.010647006145031104,0.0041233096862878914,events/second
1758266490,4,0.03700623612993549,0.01313124379387795,0.00963380955008294,0.003988131515851056,events/second
1758266520,4,0.028963539807633568,0.007964501961148219,0.008717031359147216,0.003857385012970849,events/second
1758266550,4,0.02379135934740796,0.0048307146287777936,0.007887496147949256,0.0037309248903033957,events/second
1758266580,4,0.020187287203755313,0.002929976530676065,0.007136901649278982,0.0036086106235905056,events/second
1758266610,4,0.017531361549163602,0.0017771205980934872,0.006457735661110176,0.003490306295507148,events/second
1758266640,4,0.015493235497093956,0.001077878128750553,0.0058432008619576726,0.0033758804446282187,events/second
1758266670,4,0.013879365817452128,6.537661325208919E-4,0.0052871467809992734,0.0032652059193467656,events/second
1758266700,4,0.01257027402264655,3.965292036556736E-4,0.004784008242096518,0.003158159736581341,events/second
1758266730,4,0.011486990296567117,2.4050711948860095E-4,0.004328749665641363,0.0030546229451154836,events/second
1758266760,4,0.010575429833348686,1.4587494184900633E-4,0.003916814670782954,0.0029544804934174577,events/second
1758266790,4,0.009797775757691423,8.847762471521989E-5,0.0035440804736366154,0.002857621101793386,events/second
1758266820,4,0.00912681535360676,5.3664392088329143E-5,0.003206816625077016,0.0027639371387316917,events/second
1758266850,7,0.014948222860302441,0.03165853139182259,0.012025845631167684,0.005906350481906967,events/second
1758266880,7,0.014047918261158487,0.01920186993061528,0.010881435110604791,0.005712717281190071,events/second
1758266910,7,0.01324968501306145,0.011646522836732265,0.009845929650005475,0.005525432131868826,events/second
1758266940,7,0.012537355141435256,0.0070639731795214735,0.008908965562674651,0.005344286920064143,events/second
1758266970,7,0.011897818453248584,0.00428451631276751,0.008061165397101812,0.00516908035468143,events/second
1758267000,7,0.011320444884032988,0.0025986905057324185,0.0072940440842744255,0.0049996177437331155,events/second
1758267030,7,0.010796482088280934,0.001576185466830841,0.0065999240162553366,0.004835710777994189,events/second
1758267060,7,0.010318832213807725,9.560048110263753E-4,0.005971858206101999,0.004677177321750347,events/second
1758267090,7,0.009881497225837272,5.798462287202791E-4,0.00540356076008619,0.004523841210406243,events/second
1758267120,7,0.009479697011278368,3.516945156375935E-4,0.004889343966356816,0.004375532054728922,events/second
1758267150,7,0.009109474933129951,2.133135065869847E-4,0.004424061370407999,0.004232085051508926,events/second
1758267180,7,0.008767057779391985,1.2938118187581904E-4,0.004003056267632604,0.004093340800428652,events/second
