t,value
1758264660,-1
1758264690,-1
1758264720,-1
1758264750,-1
1758264780,-1
1758264810,-1
1758264840,-1
1758264870,-1
1758264900,-1
1758264930,-1
1758265140,-1
1758265170,-1
1758265200,-1
1758265230,-1
1758265260,-1
1758265290,-1
1758265320,-1
1758265350,-1
1758265380,-1
1758265410,-1
1758265440,-1
1758266130,-1
1758266160,-1
1758266190,-1
1758266220,-1
1758266400,-1
1758266430,-1
1758266460,-1
1758266490,-1
1758266520,-1
1758266550,-1
1758266580,-1
1758266610,-1
1758266640,-1
1758266670,-1
1758266700,-1
1758266730,-1
1758266760,-1
1758266790,-1
1758266820,-1
1758266850,-1
1758266880,-1
1758266910,-1
1758266940,-1
1758266970,-1
1758267000,-1
1758267030,-1
1758267060,-1
1758267090,-1
1758267120,-1
1758267150,-1
1758267180,-1
1758267210,-1
1758267240,-1
1758267270,-1
1758267300,-1
1758267330,-1
1758267360,-1
1758267390,-1
1758267420,-1
1758267450,-1
1758267480,-1
1758267510,-1
1758267540,-1
1758267570,-1
1758267600,-1
1758267630,-1
1758267660,-1
1758267690,-1
1758267720,-1
1758267750,-1
1758267780,-1
1758267810,-1
1758267840,-1
1758267870,-1
1758267900,-1
1758267930,-1
1758267960,-1
1758267990,-1
1758268020,-1
1758268050,-1
1758268080,-1
1758268110,-1
1758268140,-1
1758268170,-1
1758268200,-1
1758268231,-1
1758268261,-1
1758268291,-1
1758268321,-1
1758268351,-1
1758268381,-1
1758268411,-1
1758268441,-1
1758268471,-1
1758268501,-1
1758268531,-1
1758268561,-1
1758268591,-1
1758268621,-1
1758268651,-1
1758268681,-1
1758268711,-1
1758268741,-1
1758268771,-1
1758268801,-1
1758268831,-1
1758268861,-1
1758268891,-1
1758268921,-1
1758268951,-1
1758268981,-1
1758269011,-1
1758269041,-1
1758269071,-1
1758269101,-1
1758269131,-1
1758269161,-1
1758269191,-1
1758269221,-1
1758269251,-1
1758269281,-1
1758269311,-1
1758269341,-1
1758269371,-1
1758269401,-1
1758269431,-1
1758269461,-1
1758269491,-1
1758269521,-1
1758269551,-1
1758269581,-1
1758269611,-1
1758269641,-1
1758269671,-1
1758269701,-1
1758269731,-1
1758269761,-1
1758269791,-1
1758269821,-1
1758269851,-1
1758269881,-1
1758269911,-1
1758269941,-1
1758269971,-1
1758270001,-1
1758270031,-1
1758270061,-1
1758270091,-1
1758270121,-1
1758270151,-1
1758270181,-1
1758270211,-1
1758270241,-1
1758270271,-1
1758270301,-1
1758270331,-1
1758270362,-1
1758270392,-1
1758270422,-1
1758270452,-1
1758270482,-1
1758270512,-1
1758270542,-1
1758270572,-1
1758270602,-1
1758270632,-1
1758270662,-1
1758270692,-1
1758270722,-1
1758270752,-1
1758270782,-1
1758270812,-1
1758270842,-1
1758270872,-1
1758270902,-1
1758270932,-1
1758496830,-1
1758496860,-1
1758496890,-1
1758496920,-1
1758496950,-1
1758496980,-1
1758497010,-1
1758497040,-1
1758497070,-1
1758497100,-1
1758497130,-1
1758497160,-1
1758497190,-1
1758497220,-1
1758497250,-1
1758497280,-1
1758497310,-1
1758497340,-1
1758497370,-1
1758497400,-1
1758497430,-1
1758497460,-1
1758497490,-1
1758497520,-1
1758497550,-1
1758497580,-1
1758497610,-1
1758497640,-1
1758497670,-1
1758497700,-1
1758497730,-1
1758497760,-1
1758497790,-1
1758497820,-1
1758497850,-1
1758497880,-1
1758497910,-1
1758497940,-1
1758497970,-1
1758498000,-1
1758498030,-1
1758498060,-1
1758498090,-1
1758498120,-1
1758498150,-1
1758498180,-1
1758498210,-1
1758498240,-1
1758498270,-1
1758498300,-1
1758498330,-1
1758498360,-1
1758498390,-1
1758498420,-1
1758498450,-1
1758498480,-1
1758498510,-1
1758498540,-1
1758498570,-1
1758498780,-1
1758498810,-1
1758498840,-1
1758498870,-1
1758498900,-1
1758498930,-1
1758498960,-1
1758498990,-1
1758499020,-1
1758499050,-1
1758499080,-1
1758499110,-1
1758499140,-1
1758499170,-1
1758499200,-1
1758499230,-1
1758499260,-1
1758499290,-1
1758499320,-1
1758499350,-1
1758499380,-1
1758499410,-1
1758499440,-1
1758499470,-1
1758499500,-1
1758499530,-1
1758499560,-1
1758499590,-1
1758499620,-1
1758499650,-1
1758499680,-1
1758499710,-1
1758499740,-1
1758499770,-1
1758499800,-1
1758499830,-1
1758499860,-1
1758499890,-1
1758499980,-1
1758500010,-1
1758500040,-1
1758500070,-1
1758500100,-1
1758500130,-1
1758500160,-1
1758500190,-1
1758500220,-1
1758500250,-1
1758500280,-1
1758500310,-1
1758500340,-1
1758500370,-1
1758500400,-1
1758500430,-1
1758500460,-1
1758500490,-1
1758500520,-1
1758500550,-1
1758500580,-1
1758500610,-1
1758500640,-1
1758500670,-1
1758500700,-1
1758500730,-1
1758500760,-1
1758500790,-1
1758500820,-1
1758500850,-1
1758500880,-1
1758500910,-1
1758500940,-1
1758500970,-1
1758501000,-1
1758501030,-1
1758501060,-1
1758501090,-1
1758501120,-1
1758501150,-1
1758501180,-1
1758501211,-1
1758501241,-1
1758501271,-1
1758501301,-1
1758501331,-1
1758501361,-1
1758501391,-1
1758501421,-1
1758501451,-1
1758501481,-1
1758501511,-1
1758501541,-1
1758501571,-1
1758501601,-1
1758501631,-1
1758501661,-1
1758501691,-1
1758501721,-1
1758501751,-1
1758501781,-1
1758501811,-1
1758501841,-1
1758501871,-1
1758501901,-1
1758501931,-1
1758501961,-1
1758501991,-1
1758502021,-1
1758502051,-1
1758502081,-1
1758502111,-1
1758502141,-1
1758502171,-1
1758502201,-1
1758502231,-1
1758502261,-1
1758502291,-1
1758502321,-1
1758502351,-1
1758502381,-1
1758502411,-1
1758502441,-1
1758502471,-1
1758502501,-1
1758502531,-1
1758502561,-1
1758502591,-1
1758502621,-1
1758502651,-1
