t,value
1758264660,18
1758264690,18
1758264720,18
1758264750,18
1758264780,18
1758264810,18
1758264840,18
1758264870,18
1758264900,18
1758264930,18
1758265140,18
1758265170,18
1758265200,18
1758265230,18
1758265260,18
1758265290,18
1758265320,18
1758265350,18
1758265380,18
1758265410,18
1758265440,18
1758266130,18
1758266160,18
1758266190,18
1758266220,18
1758266400,18
1758266430,18
1758266460,18
1758266490,18
1758266520,18
1758266550,18
1758266580,18
1758266610,18
1758266640,18
1758266670,18
1758266700,18
1758266730,18
1758266760,18
1758266790,18
1758266820,18
1758266850,18
1758266880,18
1758266910,18
1758266940,18
1758266970,18
1758267000,18
1758267030,18
1758267060,18
1758267090,18
1758267120,18
1758267150,18
1758267180,18
1758267210,18
1758267240,18
1758267270,18
1758267300,18
1758267330,18
1758267360,18
1758267390,18
1758267420,18
1758267450,18
1758267480,18
1758267510,18
1758267540,18
1758267570,18
1758267600,18
1758267630,18
1758267660,18
1758267690,18
1758267720,18
1758267750,18
1758267780,18
1758267810,18
1758267840,18
1758267870,18
1758267900,18
1758267930,18
1758267960,18
1758267990,18
1758268020,18
1758268050,18
1758268080,18
1758268110,18
1758268140,18
1758268170,18
1758268200,18
1758268231,18
1758268261,18
1758268291,18
1758268321,18
1758268351,18
1758268381,18
1758268411,18
1758268441,18
1758268471,18
1758268501,18
1758268531,18
1758268561,18
1758268591,18
1758268621,18
1758268651,18
1758268681,18
1758268711,18
1758268741,18
1758268771,18
1758268801,18
1758268831,18
1758268861,18
1758268891,18
1758268921,18
1758268951,18
1758268981,18
1758269011,18
1758269041,18
1758269071,18
1758269101,18
1758269131,18
1758269161,18
1758269191,18
1758269221,18
1758269251,18
1758269281,18
1758269311,18
1758269341,18
1758269371,18
1758269401,18
1758269431,18
1758269461,18
1758269491,18
1758269521,18
1758269551,18
1758269581,18
1758269611,18
1758269641,18
1758269671,18
1758269701,18
1758269731,18
1758269761,18
1758269791,18
1758269821,18
1758269851,18
1758269881,18
1758269911,18
1758269941,18
1758269971,18
1758270001,18
1758270031,18
1758270061,18
1758270091,18
1758270121,18
1758270151,18
1758270181,18
1758270211,18
1758270241,18
1758270271,18
1758270301,18
1758270331,18
1758270362,18
1758270392,18
1758270422,18
1758270452,18
1758270482,18
1758270512,18
1758270542,18
1758270572,18
1758270602,18
1758270632,18
1758270662,18
1758270692,18
1758270722,18
1758270752,18
1758270782,18
1758270812,18
1758270842,18
1758270872,18
1758270902,18
1758270932,18
1758496830,18
1758496860,18
1758496890,18
1758496920,18
1758496950,18
1758496980,18
1758497010,18
1758497040,18
1758497070,18
1758497100,18
1758497130,18
1758497160,18
1758497190,18
1758497220,18
1758497250,18
1758497280,18
1758497310,18
1758497340,18
1758497370,18
1758497400,18
1758497430,18
1758497460,18
1758497490,18
1758497520,18
1758497550,18
1758497580,18
1758497610,18
1758497640,18
1758497670,18
1758497700,18
1758497730,18
1758497760,18
1758497790,18
1758497820,18
1758497850,18
1758497880,18
1758497910,18
1758497940,18
1758497970,18
1758498000,18
1758498030,18
1758498060,18
1758498090,18
1758498120,18
1758498150,18
1758498180,18
1758498210,18
1758498240,18
1758498270,18
1758498300,18
1758498330,18
1758498360,18
1758498390,18
1758498420,18
1758498450,18
1758498480,18
1758498510,18
1758498540,18
1758498570,18
1758498780,18
1758498810,18
1758498840,18
1758498870,18
1758498900,18
1758498930,18
1758498960,18
1758498990,18
1758499020,18
1758499050,18
1758499080,18
1758499110,18
1758499140,18
1758499170,18
1758499200,18
1758499230,18
1758499260,18
1758499290,18
1758499320,18
1758499350,18
1758499380,18
1758499410,18
1758499440,18
1758499470,18
1758499500,18
1758499530,18
1758499560,18
1758499590,18
1758499620,18
1758499650,18
1758499680,18
1758499710,18
1758499740,18
1758499770,18
1758499800,18
1758499830,18
1758499860,18
1758499890,18
1758499980,18
1758500010,18
1758500040,18
1758500070,18
1758500100,18
1758500130,18
1758500160,18
1758500190,18
1758500220,18
1758500250,18
1758500280,18
1758500310,18
1758500340,18
1758500370,18
1758500400,18
1758500430,18
1758500460,18
1758500490,18
1758500520,18
1758500550,18
1758500580,18
1758500610,18
1758500640,18
1758500670,18
1758500700,18
1758500730,18
1758500760,18
1758500790,18
1758500820,18
1758500850,18
1758500880,18
1758500910,18
1758500940,18
1758500970,18
1758501000,18
1758501030,18
1758501060,18
1758501090,18
1758501120,18
1758501150,18
1758501180,18
1758501211,18
1758501241,18
1758501271,18
1758501301,18
1758501331,18
1758501361,18
1758501391,18
1758501421,18
1758501451,18
1758501481,18
1758501511,18
1758501541,18
1758501571,18
1758501601,18
1758501631,18
1758501661,18
1758501691,18
1758501721,18
1758501751,18
1758501781,18
1758501811,18
1758501841,18
1758501871,18
1758501901,18
1758501931,18
1758501961,18
1758501991,18
1758502021,18
1758502051,18
1758502081,18
1758502111,18
1758502141,18
1758502171,18
1758502201,18
1758502231,18
1758502261,18
1758502291,18
1758502321,18
1758502351,18
1758502381,18
1758502411,18
1758502441,18
1758502471,18
1758502501,18
1758502531,18
1758502561,18
1758502591,18
1758502621,18
1758502651,18
