t,value
1758264660,561
1758264690,561
1758264720,561
1758264750,561
1758264780,561
1758264810,561
1758264840,561
1758264870,561
1758264900,561
1758264930,561
1758265140,561
1758265170,561
1758265200,561
1758265230,561
1758265260,561
1758265290,561
1758265320,561
1758265350,561
1758265380,561
1758265410,561
1758265440,561
1758266130,561
1758266160,561
1758266190,561
1758266220,561
1758266400,561
1758266430,561
1758266460,561
1758266490,561
1758266520,561
1758266550,561
1758266580,561
1758266610,561
1758266640,561
1758266670,561
1758266700,561
1758266730,561
1758266760,561
1758266790,561
1758266820,561
1758266850,561
1758266880,561
1758266910,561
1758266940,561
1758266970,561
1758267000,561
1758267030,561
1758267060,561
1758267090,561
1758267120,561
1758267150,561
1758267180,561
1758267210,561
1758267240,561
1758267270,561
1758267300,561
1758267330,561
1758267360,561
1758267390,561
1758267420,561
1758267450,561
1758267480,561
1758267510,561
1758267540,561
1758267570,561
1758267600,561
1758267630,561
1758267660,561
1758267690,561
1758267720,561
1758267750,561
1758267780,561
1758267810,561
1758267840,561
1758267870,561
1758267900,561
1758267930,561
1758267960,561
1758267990,561
1758268020,561
1758268050,561
1758268080,561
1758268110,561
1758268140,561
1758268170,561
1758268200,561
1758268231,561
1758268261,561
1758268291,561
1758268321,561
1758268351,561
1758268381,561
1758268411,561
1758268441,561
1758268471,561
1758268501,561
1758268531,561
1758268561,561
1758268591,561
1758268621,561
1758268651,561
1758268681,561
1758268711,561
1758268741,561
1758268771,561
1758268801,561
1758268831,561
1758268861,561
1758268891,561
1758268921,561
1758268951,561
1758268981,561
1758269011,561
1758269041,561
1758269071,561
1758269101,561
1758269131,561
1758269161,561
1758269191,561
1758269221,561
1758269251,561
1758269281,561
1758269311,561
1758269341,561
1758269371,561
1758269401,561
1758269431,561
1758269461,561
1758269491,561
1758269521,561
1758269551,561
1758269581,561
1758269611,561
1758269641,561
1758269671,561
1758269701,561
1758269731,561
1758269761,561
1758269791,561
1758269821,561
1758269851,561
1758269881,561
1758269911,561
1758269941,561
1758269971,561
1758270001,561
1758270031,561
1758270061,561
1758270091,561
1758270121,561
1758270151,561
1758270181,561
1758270211,561
1758270241,561
1758270271,561
1758270301,561
1758270331,561
1758270362,561
1758270392,561
1758270422,561
1758270452,561
1758270482,561
1758270512,561
1758270542,561
1758270572,561
1758270602,561
1758270632,561
1758270662,561
1758270692,561
1758270722,561
1758270752,561
1758270782,561
1758270812,561
1758270842,561
1758270872,561
1758270902,561
1758270932,561
1758496830,561
1758496860,561
1758496890,561
1758496920,561
1758496950,561
1758496980,561
1758497010,561
1758497040,561
1758497070,561
1758497100,561
1758497130,561
1758497160,561
1758497190,561
1758497220,561
1758497250,561
1758497280,561
1758497310,561
1758497340,561
1758497370,561
1758497400,561
1758497430,561
1758497460,561
1758497490,561
1758497520,561
1758497550,561
1758497580,561
1758497610,561
1758497640,561
1758497670,561
1758497700,561
1758497730,561
1758497760,561
1758497790,561
1758497820,561
1758497850,561
1758497880,561
1758497910,561
1758497940,561
1758497970,561
1758498000,561
1758498030,561
1758498060,561
1758498090,561
1758498120,561
1758498150,561
1758498180,561
1758498210,561
1758498240,561
1758498270,561
1758498300,561
1758498330,561
1758498360,561
1758498390,561
1758498420,561
1758498450,561
1758498480,561
1758498510,561
1758498540,561
1758498570,561
1758498780,561
1758498810,561
1758498840,561
1758498870,561
1758498900,561
1758498930,561
1758498960,561
1758498990,561
1758499020,561
1758499050,561
1758499080,561
1758499110,561
1758499140,561
1758499170,561
1758499200,561
1758499230,561
1758499260,561
1758499290,561
1758499320,561
1758499350,561
1758499380,561
1758499410,561
1758499440,561
1758499470,561
1758499500,561
1758499530,561
1758499560,561
1758499590,561
1758499620,561
1758499650,561
1758499680,561
1758499710,561
1758499740,561
1758499770,561
1758499800,561
1758499830,561
1758499860,561
1758499890,561
1758499980,561
1758500010,561
1758500040,561
1758500070,561
1758500100,561
1758500130,561
1758500160,561
1758500190,561
1758500220,561
1758500250,561
1758500280,561
1758500310,561
1758500340,561
1758500370,561
1758500400,561
1758500430,561
1758500460,561
1758500490,561
1758500520,561
1758500550,561
1758500580,561
1758500610,561
1758500640,561
1758500670,561
1758500700,561
1758500730,561
1758500760,561
1758500790,561
1758500820,561
1758500850,561
1758500880,561
1758500910,561
1758500940,561
1758500970,561
1758501000,561
1758501030,561
1758501060,561
1758501090,561
1758501120,561
1758501150,561
1758501180,561
1758501211,561
1758501241,561
1758501271,561
1758501301,561
1758501331,561
1758501361,561
1758501391,561
1758501421,561
1758501451,561
1758501481,561
1758501511,561
1758501541,561
1758501571,561
1758501601,561
1758501631,561
1758501661,561
1758501691,561
1758501721,561
1758501751,561
1758501781,561
1758501811,561
1758501841,561
1758501871,561
1758501901,561
1758501931,561
1758501961,561
1758501991,561
1758502021,561
1758502051,561
1758502081,561
1758502111,561
1758502141,561
1758502171,561
1758502201,561
1758502231,561
1758502261,561
1758502291,561
1758502321,561
1758502351,561
1758502381,561
1758502411,561
1758502441,561
1758502471,561
1758502501,561
1758502531,561
1758502561,561
1758502591,561
1758502621,561
1758502651,561
