t,value
1758264660,1317
1758264690,1317
1758264720,1317
1758264750,1317
1758264780,1317
1758264810,1317
1758264840,1317
1758264870,1317
1758264900,1317
1758264930,1317
1758265140,1317
1758265170,1317
1758265200,1317
1758265230,1317
1758265260,1317
1758265290,1317
1758265320,1317
1758265350,1317
1758265380,1317
1758265410,1317
1758265440,1317
1758266130,1317
1758266160,1317
1758266190,1317
1758266220,1317
1758266400,1317
1758266430,1317
1758266460,1317
1758266490,1317
1758266520,1317
1758266550,1317
1758266580,1317
1758266610,1317
1758266640,1317
1758266670,1317
1758266700,1317
1758266730,1317
1758266760,1317
1758266790,1317
1758266820,1317
1758266850,1317
1758266880,1317
1758266910,1317
1758266940,1317
1758266970,1317
1758267000,1317
1758267030,1317
1758267060,1317
1758267090,1317
1758267120,1317
1758267150,1317
1758267180,1317
1758267210,1317
1758267240,1317
1758267270,1317
1758267300,1317
1758267330,1317
1758267360,1317
1758267390,1317
1758267420,1317
1758267450,1317
1758267480,1317
1758267510,1317
1758267540,1317
1758267570,1317
1758267600,1317
1758267630,1317
1758267660,1317
1758267690,1317
1758267720,1317
1758267750,1317
1758267780,1317
1758267810,1317
1758267840,1317
1758267870,1317
1758267900,1317
1758267930,1317
1758267960,1317
1758267990,1317
1758268020,1317
1758268050,1317
1758268080,1317
1758268110,1317
1758268140,1317
1758268170,1317
1758268200,1317
1758268231,1317
1758268261,1317
1758268291,1317
1758268321,1317
1758268351,1317
1758268381,1317
1758268411,1317
1758268441,1317
1758268471,1317
1758268501,1317
1758268531,1317
1758268561,1317
1758268591,1317
1758268621,1317
1758268651,1317
1758268681,1317
1758268711,1317
1758268741,1317
1758268771,1317
1758268801,1317
1758268831,1317
1758268861,1317
1758268891,1317
1758268921,1317
1758268951,1317
1758268981,1317
1758269011,1317
1758269041,1317
1758269071,1317
1758269101,1317
1758269131,1317
1758269161,1317
1758269191,1317
1758269221,1317
1758269251,1317
1758269281,1317
1758269311,1317
1758269341,1317
1758269371,1317
1758269401,1317
1758269431,1317
1758269461,1317
1758269491,1317
1758269521,1317
1758269551,1317
1758269581,1317
1758269611,1317
1758269641,1317
1758269671,1317
1758269701,1317
1758269731,1317
1758269761,1317
1758269791,1317
1758269821,1317
1758269851,1317
1758269881,1317
1758269911,1317
1758269941,1317
1758269971,1317
1758270001,1317
1758270031,1317
1758270061,1317
1758270091,1317
1758270121,1317
1758270151,1317
1758270181,1317
1758270211,1317
1758270241,1317
1758270271,1317
1758270301,1317
1758270331,1317
1758270362,1317
1758270392,1317
1758270422,1317
1758270452,1317
1758270482,1317
1758270512,1317
1758270542,1317
1758270572,1317
1758270602,1317
1758270632,1317
1758270662,1317
1758270692,1317
1758270722,1317
1758270752,1317
1758270782,1317
1758270812,1317
1758270842,1317
1758270872,1317
1758270902,1317
1758270932,1317
1758496830,1317
1758496860,1317
1758496890,1317
1758496920,1317
1758496950,1317
1758496980,1317
1758497010,1317
1758497040,1317
1758497070,1317
1758497100,1317
1758497130,1317
1758497160,1317
1758497190,1317
1758497220,1317
1758497250,1317
1758497280,1317
1758497310,1317
1758497340,1317
1758497370,1317
1758497400,1317
1758497430,1317
1758497460,1317
1758497490,1317
1758497520,1317
1758497550,1317
1758497580,1317
1758497610,1317
1758497640,1317
1758497670,1317
1758497700,1317
1758497730,1317
1758497760,1317
1758497790,1317
1758497820,1317
1758497850,1317
1758497880,1317
1758497910,1317
1758497940,1317
1758497970,1317
1758498000,1317
1758498030,1317
1758498060,1317
1758498090,1317
1758498120,1317
1758498150,1317
1758498180,1317
1758498210,1317
1758498240,1317
1758498270,1317
1758498300,1317
1758498330,1317
1758498360,1317
1758498390,1317
1758498420,1317
1758498450,1317
1758498480,1317
1758498510,1317
1758498540,1317
1758498570,1317
1758498780,1317
1758498810,1317
1758498840,1317
1758498870,1317
1758498900,1317
1758498930,1317
1758498960,1317
1758498990,1317
1758499020,1317
1758499050,1317
1758499080,1317
1758499110,1317
1758499140,1317
1758499170,1317
1758499200,1317
1758499230,1317
1758499260,1317
1758499290,1317
1758499320,1317
1758499350,1317
1758499380,1317
1758499410,1317
1758499440,1317
1758499470,1317
1758499500,1317
1758499530,1317
1758499560,1317
1758499590,1317
1758499620,1317
1758499650,1317
1758499680,1317
1758499710,1317
1758499740,1317
1758499770,1317
1758499800,1317
1758499830,1317
1758499860,1317
1758499890,1317
1758499980,1317
1758500010,1317
1758500040,1317
1758500070,1317
1758500100,1317
1758500130,1317
1758500160,1317
1758500190,1317
1758500220,1317
1758500250,1317
1758500280,1317
1758500310,1317
1758500340,1317
1758500370,1317
1758500400,1317
1758500430,1317
1758500460,1317
1758500490,1317
1758500520,1317
1758500550,1317
1758500580,1317
1758500610,1317
1758500640,1317
1758500670,1317
1758500700,1317
1758500730,1317
1758500760,1317
1758500790,1317
1758500820,1317
1758500850,1317
1758500880,1317
1758500910,1317
1758500940,1317
1758500970,1317
1758501000,1317
1758501030,1317
1758501060,1317
1758501090,1317
1758501120,1317
1758501150,1317
1758501180,1317
1758501211,1317
1758501241,1317
1758501271,1317
1758501301,1317
1758501331,1317
1758501361,1317
1758501391,1317
1758501421,1317
1758501451,1317
1758501481,1317
1758501511,1317
1758501541,1317
1758501571,1317
1758501601,1317
1758501631,1317
1758501661,1317
1758501691,1317
1758501721,1317
1758501751,1317
1758501781,1317
1758501811,1317
1758501841,1317
1758501871,1317
1758501901,1317
1758501931,1317
1758501961,1317
1758501991,1317
1758502021,1317
1758502051,1317
1758502081,1317
1758502111,1317
1758502141,1317
1758502171,1317
1758502201,1317
1758502231,1317
1758502261,1317
1758502291,1317
1758502321,1317
1758502351,1317
1758502381,1317
1758502411,1317
1758502441,1317
1758502471,1317
1758502501,1317
1758502531,1317
1758502561,1317
1758502591,1317
1758502621,1317
1758502651,1317
