t,value
1758264660,129920
1758264690,129920
1758264720,129920
1758264750,129920
1758264780,129920
1758264810,129920
1758264840,129920
1758264870,129920
1758264900,129920
1758264930,129920
1758265140,129920
1758265170,129920
1758265200,129920
1758265230,129920
1758265260,129920
1758265290,129920
1758265320,129920
1758265350,129920
1758265380,129920
1758265410,129920
1758265440,129920
1758266130,129920
1758266160,129920
1758266190,129920
1758266220,129920
1758266400,129920
1758266430,129920
1758266460,129920
1758266490,129920
1758266520,129920
1758266550,129920
1758266580,129920
1758266610,129920
1758266640,129920
1758266670,129920
1758266700,129920
1758266730,129920
1758266760,129920
1758266790,129920
1758266820,129920
1758266850,129920
1758266880,129920
1758266910,129920
1758266940,129920
1758266970,129920
1758267000,129920
1758267030,129920
1758267060,129920
1758267090,129920
1758267120,129920
1758267150,129920
1758267180,129920
1758267210,129920
1758267240,129920
1758267270,129920
1758267300,129920
1758267330,129920
1758267360,129920
1758267390,129920
1758267420,129920
1758267450,129920
1758267480,129920
1758267510,129920
1758267540,129920
1758267570,129920
1758267600,129920
1758267630,129920
1758267660,129920
1758267690,129920
1758267720,129920
1758267750,129920
1758267780,129920
1758267810,129920
1758267840,129920
1758267870,129920
1758267900,129920
1758267930,129920
1758267960,129920
1758267990,129920
1758268020,129920
1758268050,129920
1758268080,129920
1758268110,129920
1758268140,129920
1758268170,129920
1758268200,129920
1758268231,129920
1758268261,129920
1758268291,129920
1758268321,129920
1758268351,129920
1758268381,129920
1758268411,129920
1758268441,129920
1758268471,129920
1758268501,129920
1758268531,129920
1758268561,129920
1758268591,129920
1758268621,129920
1758268651,129920
1758268681,129920
1758268711,129920
1758268741,129920
1758268771,129920
1758268801,129920
1758268831,129920
1758268861,129920
1758268891,129920
1758268921,129920
1758268951,129920
1758268981,129920
1758269011,129920
1758269041,129920
1758269071,129920
1758269101,129920
1758269131,129920
1758269161,129920
1758269191,129920
1758269221,129920
1758269251,129920
1758269281,129920
1758269311,129920
1758269341,129920
1758269371,129920
1758269401,129920
1758269431,129920
1758269461,129920
1758269491,129920
1758269521,129920
1758269551,129920
1758269581,129920
1758269611,129920
1758269641,129920
1758269671,129920
1758269701,129920
1758269731,129920
1758269761,129920
1758269791,129920
1758269821,129920
1758269851,129920
1758269881,129920
1758269911,129920
1758269941,129920
1758269971,129920
1758270001,129920
1758270031,129920
1758270061,129920
1758270091,129920
1758270121,129920
1758270151,129920
1758270181,129920
1758270211,129920
1758270241,129920
1758270271,129920
1758270301,129920
1758270331,129920
1758270362,129920
1758270392,129920
1758270422,129920
1758270452,129920
1758270482,129920
1758270512,129920
1758270542,129920
1758270572,129920
1758270602,129920
1758270632,129920
1758270662,129920
1758270692,129920
1758270722,129920
1758270752,129920
1758270782,129920
1758270812,129920
1758270842,129920
1758270872,129920
1758270902,129920
1758270932,129920
1758496830,129920
1758496860,129920
1758496890,129920
1758496920,129920
1758496950,129920
1758496980,129920
1758497010,129920
1758497040,129920
1758497070,129920
1758497100,129920
1758497130,129920
1758497160,129920
1758497190,129920
1758497220,129920
1758497250,129920
1758497280,129920
1758497310,129920
1758497340,129920
1758497370,129920
1758497400,129920
1758497430,129920
1758497460,129920
1758497490,129920
1758497520,129920
1758497550,129920
1758497580,129920
1758497610,129920
1758497640,129920
1758497670,129920
1758497700,129920
1758497730,129920
1758497760,129920
1758497790,129920
