t,value
1758264660,2557959
1758264690,2557959
1758264720,2557959
1758264750,2557959
1758264780,2557959
1758264810,2557959
1758264840,2557959
1758264870,2557959
1758264900,2557959
1758264930,2557959
1758265140,2615324
1758265170,2615324
1758265200,2615324
1758265230,2615324
1758265260,2615324
1758265290,2615324
1758265320,2615324
1758265350,2615324
1758265380,2615324
1758265410,2615324
1758265440,2615324
1758266130,2648092
1758266160,2648092
1758266190,2648092
1758266220,2648092
1758266400,2648093
1758266430,2648093
1758266460,2648093
1758266490,2648093
1758266520,2648093
1758266550,2648093
1758266580,2648093
1758266610,2648093
1758266640,2648093
1758266670,2648093
1758266700,2648093
1758266730,2648093
1758266760,2648093
1758266790,2648093
1758266820,2648093
1758266850,2648093
1758266880,2648093
1758266910,2648093
1758266940,2648093
1758266970,2648093
1758267000,2648093
1758267030,2648093
1758267060,2648093
1758267090,2648093
1758267120,2648093
1758267150,2648093
1758267180,2648093
1758267210,2648093
1758267240,2648093
1758267270,2648093
1758267300,2648093
1758267330,2648093
1758267360,2648093
1758267390,2648093
1758267420,2648093
1758267450,2648093
1758267480,2648093
1758267510,2648093
1758267540,2648093
1758267570,2648093
1758267600,2648093
1758267630,2648093
1758267660,2648093
1758267690,2648093
1758267720,2648093
1758267750,2648093
1758267780,2648093
1758267810,2648093
1758267840,2648093
1758267870,2648093
1758267900,2648093
1758267930,2648093
1758267960,2648093
1758267990,2648093
1758268020,2648093
1758268050,2648093
1758268080,2648093
1758268110,2648093
1758268140,2648093
1758268170,2648093
1758268200,2648093
1758268231,2648093
1758268261,2648093
1758268291,2648093
1758268321,2648093
1758268351,2648093
1758268381,2648093
1758268411,2648093
1758268441,2648093
1758268471,2648093
1758268501,2648093
1758268531,2648093
1758268561,2648093
1758268591,2648093
1758268621,2648093
1758268651,2648093
1758268681,2648093
1758268711,2648093
1758268741,2648093
1758268771,2648093
1758268801,2648093
1758268831,2648093
1758268861,2648093
1758268891,2648093
1758268921,2648093
1758268951,2648093
1758268981,2648093
1758269011,2648093
1758269041,2648093
1758269071,2648093
1758269101,2648093
1758269131,2648093
1758269161,2648093
1758269191,2648093
1758269221,2648093
1758269251,2648093
1758269281,2648093
1758269311,2648093
1758269341,2648093
1758269371,2648093
1758269401,2648093
1758269431,2648093
1758269461,2648093
1758269491,2648093
1758269521,2648093
1758269551,2648093
1758269581,2648093
1758269611,2648093
1758269641,2648093
1758269671,2648093
1758269701,2648093
1758269731,2648093
1758269761,2648093
1758269791,2648093
1758269821,2648093
1758269851,2648093
1758269881,2648093
1758269911,2648093
1758269941,2648093
1758269971,2648093
1758270001,2648093
1758270031,2648093
1758270061,2648093
1758270091,2648093
1758270121,2648093
1758270151,2648093
1758270181,2648093
1758270211,2648093
1758270241,2648093
1758270271,2648093
1758270301,2648093
1758270331,2648093
