t,value
1758264660,3426279
1758264690,3426279
1758264720,3426279
1758264750,3426279
1758264780,3426279
1758264810,3426279
1758264840,3426279
1758264870,3426279
1758264900,3426279
1758264930,3426279
1758265140,3486033
1758265170,3486033
1758265200,3486033
1758265230,3486033
1758265260,3486033
1758265290,3486033
1758265320,3486033
1758265350,3486033
1758265380,3486033
1758265410,3486033
1758265440,3486033
1758266130,3519033
1758266160,3519033
1758266190,3519033
1758266220,3519033
1758266400,3519266
1758266430,3519266
1758266460,3519266
1758266490,3519266
1758266520,3519266
1758266550,3519266
1758266580,3519266
1758266610,3519266
1758266640,3519266
1758266670,3519266
1758266700,3519266
1758266730,3519266
1758266760,3519266
1758266790,3519266
1758266820,3519266
1758266850,3519266
1758266880,3519266
1758266910,3519266
1758266940,3519266
1758266970,3519266
1758267000,3519266
1758267030,3519266
1758267060,3519266
1758267090,3519266
1758267120,3519266
1758267150,3519266
1758267180,3519266
1758267210,3519266
1758267240,3519266
1758267270,3519266
1758267300,3519266
1758267330,3519266
1758267360,3519266
1758267390,3519266
1758267420,3519266
1758267450,3519266
1758267480,3519266
1758267510,3519266
1758267540,3519266
1758267570,3519266
1758267600,3519266
1758267630,3519266
1758267660,3519266
1758267690,3519266
1758267720,3519266
1758267750,3519266
1758267780,3519266
1758267810,3519266
1758267840,3519266
1758267870,3519266
1758267900,3519266
1758267930,3519266
1758267960,3519266
1758267990,3519266
1758268020,3519266
1758268050,3519266
1758268080,3519266
1758268110,3519266
1758268140,3519266
1758268170,3519266
1758268200,3519266
1758268231,3519266
1758268261,3519266
1758268291,3519266
1758268321,3519266
1758268351,3519266
1758268381,3519266
1758268411,3519266
1758268441,3519266
1758268471,3519266
1758268501,3519266
1758268531,3519266
1758268561,3519266
1758268591,3519266
1758268621,3519266
1758268651,3519266
1758268681,3519266
1758268711,3519266
1758268741,3519266
1758268771,3519266
1758268801,3519266
1758268831,3519266
1758268861,3519266
1758268891,3519266
1758268921,3519266
1758268951,3519266
1758268981,3519266
1758269011,3519266
1758269041,3519266
1758269071,3519266
1758269101,3519266
1758269131,3519266
1758269161,3519266
1758269191,3519266
1758269221,3519266
1758269251,3519266
1758269281,3519266
1758269311,3519266
1758269341,3519266
1758269371,3519266
1758269401,3519266
1758269431,3519266
1758269461,3519266
