t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1758264660,214,15.408100830611835,0.0,0.0,0.0,events/second
1758264690,214,4.871451910723779,0.0,0.0,0.0,events/second
1758264720,214,2.8939906021441724,0.0,0.0,0.0,events/second
1758264750,214,2.058244406026169,0.0,0.0,0.0,events/second
1758264780,214,1.5970610995082963,0.0,0.0,0.0,events/second
1758264810,214,1.3047957869753695,0.0,0.0,0.0,events/second
1758264840,214,1.1029522952408144,0.0,0.0,0.0,events/second
1758264870,214,0.9551705652117688,0.0,0.0,0.0,events/second
1758264900,214,0.8423118419394209,0.0,0.0,0.0,events/second
1758264930,214,0.7533089278583239,0.0,0.0,0.0,events/second
1758265140,214,18.93109851538433,0.0,0.0,0.0,events/second
1758265170,214,5.176055760516749,0.0,0.0,0.0,events/second
1758265200,214,2.999124464473918,0.0,0.0,0.0,events/second
1758265230,214,2.1111384176890695,0.0,0.0,0.0,events/second
1758265260,214,1.6288289535836595,0.0,0.0,0.0,events/second
1758265290,214,1.325888850746316,0.0,0.0,0.0,events/second
1758265320,214,1.1179598743524062,0.0,0.0,0.0,events/second
1758265350,214,0.9664122003691245,0.0,0.0,0.0,events/second
1758265380,214,0.851087373886549,0.0,0.0,0.0,events/second
1758265410,214,0.760348037717181,0.0,0.0,0.0,events/second
1758265440,214,0.687087625599028,0.0,0.0,0.0,events/second
1758266130,214,7.263651842712951,0.0,0.0,0.0,events/second
1758266160,214,3.5980368888799283,0.0,0.0,0.0,events/second
1758266190,214,2.3911944937664935,0.0,0.0,0.0,events/second
1758266220,214,1.7907723958661041,0.0,0.0,0.0,events/second
1758266400,214,12.223695850319723,0.0,0.0,0.0,events/second
1758266430,214,4.5008071219594115,0.0,0.0,0.0,events/second
1758266460,214,2.7591158189019005,0.0,0.0,0.0,events/second
1758266490,214,1.989184219796007,0.0,0.0,0.0,events/second
1758266520,214,1.5552703062226867,0.0,0.0,0.0,events/second
1758266550,214,1.276695977627633,0.0,0.0,0.0,events/second
1758266580,214,1.0827965656081162,0.0,0.0,0.0,events/second
1758266610,214,0.9400210651165383,0.0,0.0,0.0,events/second
1758266640,214,0.8305226487023034,0.0,0.0,0.0,events/second
1758266670,214,0.7438575096281049,0.0,0.0,0.0,events/second
1758266700,214,0.6735851162623286,0.0,0.0,0.0,events/second
