t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1758264660,5,0.3599815663519355,0.0,0.0,0.0,events/second
1758264690,5,0.1138178692511354,0.0,0.0,0.0,events/second
1758264720,5,0.0676162495311371,0.0,0.0,0.0,events/second
1758264750,5,0.04808963219567174,0.0,0.0,0.0,events/second
1758264780,5,0.03731440629628008,0.0,0.0,0.0,events/second
1758264810,5,0.03048581383839365,0.0,0.0,0.0,events/second
1758264840,5,0.025769863939148808,0.0,0.0,0.0,events/second
1758264870,5,0.022317017981453854,0.0,0.0,0.0,events/second
1758264900,5,0.019680153857112727,0.0,0.0,0.0,events/second
1758264930,5,0.017600653431439708,0.0,0.0,0.0,events/second
1758265140,5,0.4422840421891917,0.0,0.0,0.0,events/second
1758265170,5,0.12093479032601784,0.0,0.0,0.0,events/second
1758265200,5,0.07007262901867053,0.0,0.0,0.0,events/second
1758265230,5,0.04932548324055083,0.0,0.0,0.0,events/second
1758265260,5,0.03805664439547691,0.0,0.0,0.0,events/second
1758265290,5,0.030978636918228598,0.0,0.0,0.0,events/second
1758265320,5,0.026120504034494167,0.0,0.0,0.0,events/second
1758265350,5,0.02257968664048165,0.0,0.0,0.0,events/second
1758265380,5,0.01988518922499689,0.0,0.0,0.0,events/second
1758265410,5,0.017765117814763396,0.0,0.0,0.0,events/second
1758265440,5,0.016053428909079057,0.0,0.0,0.0,events/second
1758266130,5,0.169705911162017,0.0,0.0,0.0,events/second
1758266160,5,0.0840655265559846,0.0,0.0,0.0,events/second
1758266190,5,0.055868698555662406,0.0,0.0,0.0,events/second
1758266220,5,0.0418402920588283,0.0,0.0,0.0,events/second
1758266400,4,0.2284710579717893,0.0,0.0,0.0,events/second
1758266430,4,0.08412650094375528,0.0,0.0,0.0,events/second
1758266460,4,0.051571970652516265,0.0,0.0,0.0,events/second
1758266490,4,0.037180876006758894,0.0,0.0,0.0,events/second
1758266520,4,0.02907038552558062,0.0,0.0,0.0,events/second
1758266550,4,0.02386341938481767,0.0,0.0,0.0,events/second
1758266580,4,0.0202391478659357,0.0,0.0,0.0,events/second
1758266610,4,0.01757045519174281,0.0,0.0,0.0,events/second
1758266640,4,0.01552376425762179,0.0,0.0,0.0,events/second
1758266670,4,0.013903859410875297,0.0,0.0,0.0,events/second
1758266700,4,0.012590360133351857,0.0,0.0,0.0,events/second
1758266730,4,0.011503756880816878,0.0,0.0,0.0,events/second
1758266760,4,0.010589645133441163,0.0,0.0,0.0,events/second
1758266790,4,0.009809972388449507,0.0,0.0,0.0,events/second
1758266820,4,0.00913740116407247,0.0,0.0,0.0,events/second
1758266850,4,0.008551111337339313,0.0,0.0,0.0,events/second
1758266880,4,0.00803556396452682,0.0,0.0,0.0,events/second
1758266910,4,0.007578530203997952,0.0,0.0,0.0,events/second
1758266940,4,0.007170721206871474,0.0,0.0,0.0,events/second
1758266970,4,0.006804623781598599,0.0,0.0,0.0,events/second
1758267000,4,0.006474139522371001,0.0,0.0,0.0,events/second
1758267030,4,0.006174252029256183,0.0,0.0,0.0,events/second
1758267060,4,0.005900891169593751,0.0,0.0,0.0,events/second
1758267090,4,0.005650617834725756,0.0,0.0,0.0,events/second
1758267120,4,0.0054206969982504415,0.0,0.0,0.0,events/second
1758267150,4,0.005208854249957196,0.0,0.0,0.0,events/second
1758267180,4,0.0050129341200901,0.0,0.0,0.0,events/second
1758267210,4,0.004831210036571782,0.0,0.0,0.0,events/second
1758267240,4,0.00466219346888581,0.0,0.0,0.0,events/second
1758267270,4,0.004504576377354057,0.0,0.0,0.0,events/second
1758267300,4,0.004357277489765536,0.0,0.0,0.0,events/second
1758267330,4,0.004219325680411692,0.0,0.0,0.0,events/second
1758267360,4,0.0040897981123562376,0.0,0.0,0.0,events/second
1758267390,4,0.00396799179579286,0.0,0.0,0.0,events/second
1758267420,4,0.0038532417027190326,0.0,0.0,0.0,events/second
1758267450,4,0.0037449443923622803,0.0,0.0,0.0,events/second
1758267480,4,0.003642572115088608,0.0,0.0,0.0,events/second
1758267510,4,0.0035456706462316076,0.0,0.0,0.0,events/second
1758267540,4,0.0034537793144102727,0.0,0.0,0.0,events/second
1758267570,4,0.0033665239499058187,0.0,0.0,0.0,events/second
1758267600,4,0.003283582088694587,0.0,0.0,0.0,events/second
1758267630,4,0.0032046317308954543,0.0,0.0,0.0,events/second
1758267660,4,0.0031293643973946176,0.0,0.0,0.0,events/second
1758267690,4,0.003057567142251469,0.0,0.0,0.0,events/second
1758267720,4,0.002988963259815815,0.0,0.0,0.0,events/second
1758267750,4,0.0029234037289743026,0.0,0.0,0.0,events/second
1758267780,4,0.0028606603946372843,0.0,0.0,0.0,events/second
1758267810,4,0.002800537790800645,0.0,0.0,0.0,events/second
1758267840,4,0.002742894097322618,0.0,0.0,0.0,events/second
1758267870,4,0.002687586289900476,0.0,0.0,0.0,events/second
1758267900,4,0.0026344463262392612,0.0,0.0,0.0,events/second
1758267930,4,0.0025833652829312455,0.0,0.0,0.0,events/second
1758267960,4,0.002534240424103057,0.0,0.0,0.0,events/second
1758267990,4,0.0024869365366051344,0.0,0.0,0.0,events/second
1758268020,4,0.0024413729384631286,0.0,0.0,0.0,events/second
1758268050,4,0.0023974491834030894,0.0,0.0,0.0,events/second
1758268080,4,0.002355083609329291,0.0,0.0,0.0,events/second
1758268110,4,0.002314181602364692,0.0,0.0,0.0,events/second
1758268140,4,0.002274687224534151,0.0,0.0,0.0,events/second
1758268170,4,0.002236497745959473,0.0,0.0,0.0,events/second
1758268200,4,0.002199570524517911,0.0,0.0,0.0,events/second
1758268231,4,0.002163852133836743,0.0,0.0,0.0,events/second
1758268261,4,0.00212927096562295,0.0,0.0,0.0,events/second
1758268291,4,0.0020957829877871095,0.0,0.0,0.0,events/second
1758268321,4,0.0020633368183573643,0.0,0.0,0.0,events/second
1758268351,4,0.002031867384826661,0.0,0.0,0.0,events/second
1758268381,4,0.0020013399887838625,0.0,0.0,0.0,events/second
1758268411,4,0.0019717307721296966,0.0,0.0,0.0,events/second
1758268441,4,0.0019429876846109172,0.0,0.0,0.0,events/second
1758268471,4,0.0019150624395238036,0.0,0.0,0.0,events/second
1758268501,4,0.001887928468101562,0.0,0.0,0.0,events/second
1758268531,4,0.0018615489893255824,0.0,0.0,0.0,events/second
1758268561,4,0.0018359060931347432,0.0,0.0,0.0,events/second
1758268591,4,0.0018109595061274778,0.0,0.0,0.0,events/second
1758268621,4,0.0017866757355702615,0.0,0.0,0.0,events/second
1758268651,4,0.0017630393572933053,0.0,0.0,0.0,events/second
1758268681,4,0.001740023241918488,0.0,0.0,0.0,events/second
1758268711,4,0.0017175952235553983,0.0,0.0,0.0,events/second
1758268741,4,0.0016957360460979937,0.0,0.0,0.0,events/second
1758268771,4,0.0016744303332101138,0.0,0.0,0.0,events/second
1758268801,4,0.0016536494992686434,0.0,0.0,0.0,events/second
1758268831,4,0.0016333787384637405,0.0,0.0,0.0,events/second
1758268861,4,0.0016136041498787384,0.0,0.0,0.0,events/second
1758268891,4,0.0015943036109126376,0.0,0.0,0.0,events/second
1758268921,4,0.0015754509745514501,0.0,0.0,0.0,events/second
1758268951,4,0.001557045237844166,0.0,0.0,0.0,events/second
1758268981,4,0.0015390605516016457,0.0,0.0,0.0,events/second
1758269011,4,0.0015214922760610258,0.0,0.0,0.0,events/second
1758269041,4,0.0015043194695854875,0.0,0.0,0.0,events/second
1758269071,4,0.0014875252986983663,0.0,0.0,0.0,events/second
1758269101,4,0.0014711062170393615,0.0,0.0,0.0,events/second
1758269131,4,0.0014550403874327193,0.0,0.0,0.0,events/second
1758269161,4,0.0014393247196266845,0.0,0.0,0.0,events/second
1758269191,4,0.0014239469989218796,0.0,0.0,0.0,events/second
1758269221,4,0.0014088946942208476,0.0,0.0,0.0,events/second
1758269251,4,0.0013941572002612544,0.0,0.0,0.0,events/second
1758269281,4,0.001379727127231695,0.0,0.0,0.0,events/second
1758269311,4,0.0013655919934645246,0.0,0.0,0.0,events/second
1758269341,4,0.0013517440964885535,0.0,0.0,0.0,events/second
1758269371,4,0.0013381718950041008,0.0,0.0,0.0,events/second
1758269401,4,0.001324866125364142,0.0,0.0,0.0,events/second
1758269431,4,0.0013118225606230658,0.0,0.0,0.0,events/second
1758269461,4,0.0012990357713106358,0.0,0.0,0.0,events/second
1758269491,4,0.001286497646436045,0.0,0.0,0.0,events/second
1758269521,4,0.0012741961181488351,0.0,0.0,0.0,events/second
1758269551,4,0.0012621305969297396,0.0,0.0,0.0,events/second
1758269581,4,0.0012502906971979361,0.0,0.0,0.0,events/second
1758269611,4,0.0012386668566134215,0.0,0.0,0.0,events/second
1758269641,4,0.001227257928472252,0.0,0.0,0.0,events/second
1758269671,4,0.0012160594761575804,0.0,0.0,0.0,events/second
1758269701,4,0.0012050642839551524,0.0,0.0,0.0,events/second
1758269731,4,0.0011942657816593634,0.0,0.0,0.0,events/second
1758269761,4,0.0011836548102798978,0.0,0.0,0.0,events/second
1758269791,4,0.001173233126544367,0.0,0.0,0.0,events/second
1758269821,4,0.0011629922862608662,0.0,0.0,0.0,events/second
1758269851,4,0.0011529299608031957,0.0,0.0,0.0,events/second
1758269881,4,0.0011430383242290044,0.0,0.0,0.0,events/second
1758269911,4,0.0011333191818883718,0.0,0.0,0.0,events/second
1758269941,4,0.0011237630734652962,0.0,0.0,0.0,events/second
1758269971,4,0.0011143674595186237,0.0,0.0,0.0,events/second
1758270001,4,0.0011051274098020122,0.0,0.0,0.0,events/second
1758270031,4,0.0010960392652226245,0.0,0.0,0.0,events/second
1758270061,4,0.0010870982028934248,0.0,0.0,0.0,events/second
1758270091,4,0.001078301371341102,0.0,0.0,0.0,events/second
1758270121,4,0.001069646354645623,0.0,0.0,0.0,events/second
1758270151,4,0.001061130367166369,0.0,0.0,0.0,events/second
1758270181,4,0.0010527470728367114,0.0,0.0,0.0,events/second
1758270211,4,0.0010444943297402496,0.0,0.0,0.0,events/second
1758270241,4,0.0010363714427509747,0.0,0.0,0.0,events/second
1758270271,4,0.0010283727259173371,0.0,0.0,0.0,events/second
1758270301,4,0.0010204972236199969,0.0,0.0,0.0,events/second
1758270331,4,0.001012741708711209,0.0,0.0,0.0,events/second
1758270362,4,0.0010051032023479453,0.0,0.0,0.0,events/second
1758270392,4,9.97580504904488E-4,0.0,0.0,0.0,events/second
1758270422,4,9.90171056658789E-4,0.0,0.0,0.0,events/second
1758270452,4,9.828698972188838E-4,0.0,0.0,0.0,events/second
1758270482,4,9.756744296290065E-4,0.0,0.0,0.0,events/second
1758270512,4,9.685831126423733E-4,0.0,0.0,0.0,events/second
1758270542,4,9.615950160850335E-4,0.0,0.0,0.0,events/second
1758270572,4,9.547063922737137E-4,0.0,0.0,0.0,events/second
1758270602,4,9.479156145109443E-4,0.0,0.0,0.0,events/second
1758270632,4,9.412197442622218E-4,0.0,0.0,0.0,events/second
1758270662,4,9.346201025858405E-4,0.0,0.0,0.0,events/second
1758270692,4,9.28110325377986E-4,0.0,0.0,0.0,events/second
1758270722,4,9.216931896572169E-4,0.0,0.0,0.0,events/second
1758270752,4,9.153625380717117E-4,0.0,0.0,0.0,events/second
1758270782,4,9.091202603691043E-4,0.0,0.0,0.0,events/second
1758270812,4,9.02960774656772E-4,0.0,0.0,0.0,events/second
1758270842,4,8.968851060398541E-4,0.0,0.0,0.0,events/second
1758270872,4,8.908894644299374E-4,0.0,0.0,0.0,events/second
1758270902,4,8.849743476379737E-4,0.0,0.0,0.0,events/second
1758270932,4,8.791366802791717E-4,0.0,0.0,0.0,events/second
1758496830,0,0.0,0.0,0.0,0.0,events/second
1758496860,5,0.10866878452564853,0.0,0.0,0.0,events/second
1758496890,5,0.06576388746414441,0.0,0.0,0.0,events/second
1758496920,5,0.047147590571915664,0.0,0.0,0.0,events/second
1758496950,5,0.03674829917158465,0.0,0.0,0.0,events/second
1758496980,5,0.0301069517908478,0.0,0.0,0.0,events/second
1758497010,5,0.025498242452679478,0.0,0.0,0.0,events/second
1758497040,5,0.022113603014998914,0.0,0.0,0.0,events/second
1758497070,5,0.019522084914863222,0.0,0.0,0.0,events/second
1758497100,5,0.017474501555884796,0.0,0.0,0.0,events/second
1758497130,5,0.01581591965989626,0.0,0.0,0.0,events/second
1758497160,5,0.01444457040073562,0.0,0.0,0.0,events/second
1758497190,5,0.013291889095495996,0.0,0.0,0.0,events/second
1758497220,5,0.012309895535037464,0.0,0.0,0.0,events/second
1758497250,5,0.011462967436584738,0.0,0.0,0.0,events/second
1758497280,5,0.010724867512808982,0.0,0.0,0.0,events/second
1758497310,5,0.010076146409738756,0.0,0.0,0.0,events/second
1758497340,5,0.009501579635315938,0.0,0.0,0.0,events/second
1758497370,5,0.008988927261222907,0.0,0.0,0.0,events/second
1758497400,5,0.00852861097001178,0.0,0.0,0.0,events/second
1758497430,5,0.008113198886913845,0.0,0.0,0.0,events/second
1758497460,5,0.007736452873134073,0.0,0.0,0.0,events/second
1758497490,5,0.0073930958163711,0.0,0.0,0.0,events/second
1758497520,5,0.007078868533906071,0.0,0.0,0.0,events/second
1758497550,5,0.006790296708854166,0.0,0.0,0.0,events/second
1758497580,5,0.006524396016814783,0.0,0.0,0.0,events/second
1758497610,5,0.006278489186982588,0.0,0.0,0.0,events/second
1758497640,5,0.0060504376269179955,0.0,0.0,0.0,events/second
1758497670,5,0.005838345343012289,0.0,0.0,0.0,events/second
1758497700,5,0.00564065552631179,0.0,0.0,0.0,events/second
1758497730,5,0.005455921621489806,0.0,0.0,0.0,events/second
1758497760,5,0.005282863975543304,0.0,0.0,0.0,events/second
1758497790,5,0.005120487414030247,0.0,0.0,0.0,events/second
1758497820,5,0.004967765108135289,0.0,0.0,0.0,events/second
1758497850,5,0.004823929032193007,0.0,0.0,0.0,events/second
1758497880,5,0.004688191700487287,0.0,0.0,0.0,events/second
1758497910,5,0.004559851852780268,0.0,0.0,0.0,events/second
1758497940,5,0.0044383764854842205,0.0,0.0,0.0,events/second
1758497970,5,0.004323202362356724,0.0,0.0,0.0,events/second
1758498000,5,0.004213823864853554,0.0,0.0,0.0,events/second
1758498030,5,0.004109867928510405,0.0,0.0,0.0,events/second
1758498060,5,0.004010927808749643,0.0,0.0,0.0,events/second
1758498090,5,0.003916608097379726,0.0,0.0,0.0,events/second
1758498120,5,0.003826635173583814,0.0,0.0,0.0,events/second
1758498150,5,0.003740709919604674,0.0,0.0,0.0,events/second
1758498180,5,0.003658540132808615,0.0,0.0,0.0,events/second
1758498210,5,0.00357990334616981,0.0,0.0,0.0,events/second
1758498240,5,0.0035046034411122477,0.0,0.0,0.0,events/second
1758498270,5,0.0034324166378309523,0.0,0.0,0.0,events/second
1758498300,5,0.003363132325373009,0.0,0.0,0.0,events/second
1758498330,5,0.0032965888185608324,0.0,0.0,0.0,events/second
1758498360,5,0.0032326387299199933,0.0,0.0,0.0,events/second
1758498390,5,0.0031711135855748357,0.0,0.0,0.0,events/second
1758498420,5,0.003111875921971825,0.0,0.0,0.0,events/second
1758498450,5,0.0030548095439261705,0.0,0.0,0.0,events/second
1758498480,5,0.002999817410411862,0.0,0.0,0.0,events/second
1758498510,5,0.00294676399967857,0.0,0.0,0.0,events/second
1758498540,5,0.002895541772130174,0.0,0.0,0.0,events/second
1758498570,5,0.0028460703413143626,0.0,0.0,0.0,events/second
1758498780,0,0.0,0.0,0.0,0.0,events/second
1758498810,3,0.08897778125147035,0.0,0.0,0.0,events/second
1758498840,3,0.04707963272707714,0.0,0.0,0.0,events/second
1758498870,3,0.03200242880513271,0.0,0.0,0.0,events/second
1758498900,3,0.024241643083635356,0.0,0.0,0.0,events/second
1758498930,3,0.01951086608616841,0.0,0.0,0.0,events/second
1758498960,3,0.0163244542482732,0.0,0.0,0.0,events/second
1758498990,3,0.014033104872764402,0.0,0.0,0.0,events/second
1758499020,3,0.012305657328081615,0.0,0.0,0.0,events/second
1758499050,3,0.01095706986607409,0.0,0.0,0.0,events/second
1758499080,3,0.009874716938276549,0.0,0.0,0.0,events/second
1758499110,3,0.008987067232795184,0.0,0.0,0.0,events/second
1758499140,3,0.008245531956699867,0.0,0.0,0.0,events/second
1758499170,3,0.007617155341619838,0.0,0.0,0.0,events/second
1758499200,3,0.007077842708648504,0.0,0.0,0.0,events/second
1758499230,3,0.006609719111426774,0.0,0.0,0.0,events/second
1758499260,3,0.006199694148545999,0.0,0.0,0.0,events/second
1758499290,3,0.005837660726366892,0.0,0.0,0.0,events/second
1758499320,3,0.005515457601710832,0.0,0.0,0.0,events/second
1758499350,3,0.005227024164454307,0.0,0.0,0.0,events/second
1758499380,3,0.0049672536617128655,0.0,0.0,0.0,events/second
1758499410,3,0.004732084592689381,0.0,0.0,0.0,events/second
1758499440,3,0.004518143270956566,0.0,0.0,0.0,events/second
1758499470,3,0.00432275057518231,0.0,0.0,0.0,events/second
1758499500,3,0.0041435788891073175,0.0,0.0,0.0,events/second
1758499530,3,0.003978628113174596,0.0,0.0,0.0,events/second
1758499560,3,0.0038262988429773543,0.0,0.0,0.0,events/second
1758499590,3,0.0036852154337473912,0.0,0.0,0.0,events/second
1758499620,3,0.003554182275127653,0.0,0.0,0.0,events/second
1758499650,3,0.003432125939807577,0.0,0.0,0.0,events/second
1758499680,3,0.0033181808020794437,0.0,0.0,0.0,events/second
1758499710,3,0.003211586909529278,0.0,0.0,0.0,events/second
1758499740,3,0.003111607256334959,0.0,0.0,0.0,events/second
1758499770,3,0.0030176902008942153,0.0,0.0,0.0,events/second
1758499800,3,0.0029292591956777358,0.0,0.0,0.0,events/second
1758499830,3,0.002845836103933831,0.0,0.0,0.0,events/second
