t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1758264660,4,0.28797866607965095,0.0,0.0,0.0,events/second
1758264690,4,0.09105468486688348,0.0,0.0,0.0,events/second
1758264720,4,0.054093133418996124,0.0,0.0,0.0,events/second
1758264750,4,0.03847176699461982,0.0,0.0,0.0,events/second
1758264780,4,0.029851567676868192,0.0,0.0,0.0,events/second
1758264810,9,0.05487453045312369,0.0,0.0,0.0,events/second
1758264840,13,0.06700171351109849,0.0,0.0,0.0,events/second
1758264870,13,0.05802426793681242,0.0,0.0,0.0,events/second
1758264900,17,0.06691257484004214,0.0,0.0,0.0,events/second
1758264930,17,0.05984226485067655,0.0,0.0,0.0,events/second
1758265140,2,0.17690961702703406,0.0,0.0,0.0,events/second
1758265170,2,0.0483741516561533,0.0,0.0,0.0,events/second
1758265200,2,0.02802910848703158,0.0,0.0,0.0,events/second
1758265230,2,0.01973023302237815,0.0,0.0,0.0,events/second
1758265260,2,0.015222681776971564,0.0,0.0,0.0,events/second
1758265290,2,0.012391469615415457,0.0,0.0,0.0,events/second
1758265320,2,0.010448212028141125,0.0,0.0,0.0,events/second
1758265350,2,0.009031883042085754,0.0,0.0,0.0,events/second
1758265380,2,0.007954081985102087,0.0,0.0,0.0,events/second
1758265410,2,0.0071060523370866545,0.0,0.0,0.0,events/second
1758265440,2,0.006421375264386401,0.0,0.0,0.0,events/second
1758266130,2,0.0678822441958178,0.0,0.0,0.0,events/second
1758266160,3,0.050439545753892694,0.0,0.0,0.0,events/second
1758266190,7,0.07821641255143108,0.0,0.0,0.0,events/second
1758266220,10,0.08368077465448714,0.0,0.0,0.0,events/second
1758266400,4,0.2284700361804578,0.0,0.0,0.0,events/second
1758266430,4,0.08412684879292368,0.0,0.0,0.0,events/second
1758266460,4,0.051572103037838615,0.0,0.0,0.0,events/second
1758266490,4,0.03718095477016512,0.0,0.0,0.0,events/second
1758266520,4,0.02907042942793292,0.0,0.0,0.0,events/second
1758266550,4,0.023863451431378916,0.0,0.0,0.0,events/second
1758266580,4,0.02023917162410376,0.0,0.0,0.0,events/second
1758266610,4,0.017570472009329697,0.0,0.0,0.0,events/second
1758266640,4,0.01552377822284588,0.0,0.0,0.0,events/second
1758266670,4,0.013903870603956354,0.0,0.0,0.0,events/second
1758266700,4,0.012590368990504867,0.0,0.0,0.0,events/second
1758266730,4,0.011503764523250347,0.0,0.0,0.0,events/second
1758266760,4,0.010589651634795513,0.0,0.0,0.0,events/second
1758266790,4,0.009809977885908854,0.0,0.0,0.0,events/second
1758266820,4,0.009137406023315277,0.0,0.0,0.0,events/second
1758266850,8,0.017102231079999766,0.0,0.0,0.0,events/second
1758266880,8,0.016071133846922735,0.0,0.0,0.0,events/second
1758266910,8,0.015157066521860448,0.0,0.0,0.0,events/second
1758266940,8,0.014341447640510867,0.0,0.0,0.0,events/second
1758266970,8,0.013609252332398064,0.0,0.0,0.0,events/second
1758267000,8,0.012948282890396918,0.0,0.0,0.0,events/second
1758267030,8,0.01234850813178403,0.0,0.0,0.0,events/second
1758267060,8,0.01180178608935833,0.0,0.0,0.0,events/second
1758267090,8,0.01130123877140153,0.0,0.0,0.0,events/second
1758267120,8,0.010841397396225652,0.0,0.0,0.0,events/second
1758267150,8,0.010417711091036563,0.0,0.0,0.0,events/second
1758267180,8,0.010025870946628997,0.0,0.0,0.0,events/second
