t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1758264660,2,0.14397942545528597,0.0,0.0,0.0,events/second
1758264690,2,0.04552727475861695,0.0,0.0,0.0,events/second
1758264720,2,0.02704656630716384,0.0,0.0,0.0,events/second
1758264750,2,0.019235877984025204,0.0,0.0,0.0,events/second
1758264780,2,0.014925785943696162,0.0,0.0,0.0,events/second
1758264810,4,0.024388683814845755,0.0,0.0,0.0,events/second
1758264840,6,0.030923871487929338,0.0,0.0,0.0,events/second
1758264870,6,0.026780411871763547,0.0,0.0,0.0,events/second
1758264900,8,0.03148827366100932,0.0,0.0,0.0,events/second
1758264930,8,0.028161070015225532,0.0,0.0,0.0,events/second
1758265140,2,0.17689895164816533,0.0,0.0,0.0,events/second
1758265170,2,0.04837419190519382,0.0,0.0,0.0,events/second
1758265200,2,0.02802911987868459,0.0,0.0,0.0,events/second
1758265230,2,0.01973024051606133,0.0,0.0,0.0,events/second
1758265260,2,0.015222686735996045,0.0,0.0,0.0,events/second
1758265290,2,0.012391470022319044,0.0,0.0,0.0,events/second
1758265320,2,0.010448210827324783,0.0,0.0,0.0,events/second
1758265350,2,0.009031884628718057,0.0,0.0,0.0,events/second
1758265380,2,0.007954082753801318,0.0,0.0,0.0,events/second
1758265410,2,0.007106053397502389,0.0,0.0,0.0,events/second
1758265440,2,0.006421375181918282,0.0,0.0,0.0,events/second
1758266130,2,0.06788111917148867,0.0,0.0,0.0,events/second
1758266160,2,0.03362643490260653,0.0,0.0,0.0,events/second
1758266190,6,0.06704273019808601,0.0,0.0,0.0,events/second
1758266220,8,0.06694469361375631,0.0,0.0,0.0,events/second
1758266400,2,0.11423039413769617,0.0,0.0,0.0,events/second
1758266430,2,0.042063435454787704,0.0,0.0,0.0,events/second
1758266460,2,0.025786044238042403,0.0,0.0,0.0,events/second
1758266490,2,0.01859048248277024,0.0,0.0,0.0,events/second
1758266520,2,0.014535214354803273,0.0,0.0,0.0,events/second
1758266550,2,0.01193172770881489,0.0,0.0,0.0,events/second
1758266580,2,0.010119587916495967,0.0,0.0,0.0,events/second
1758266610,2,0.008785236695429228,0.0,0.0,0.0,events/second
1758266640,2,0.007761890247077597,0.0,0.0,0.0,events/second
1758266670,2,0.0069519362154040415,0.0,0.0,0.0,events/second
1758266700,2,0.006295184919286483,0.0,0.0,0.0,events/second
1758266730,2,0.005751882888569876,0.0,0.0,0.0,events/second
1758266760,2,0.005294826414547167,0.0,0.0,0.0,events/second
1758266790,2,0.004904989068060796,0.0,0.0,0.0,events/second
1758266820,2,0.004568703437467841,0.0,0.0,0.0,events/second
1758266850,4,0.008551116159705293,0.0,0.0,0.0,events/second
1758266880,4,0.008035566116332252,0.0,0.0,0.0,events/second
1758266910,4,0.007578533075705042,0.0,0.0,0.0,events/second
1758266940,4,0.00717072358886868,0.0,0.0,0.0,events/second
1758266970,4,0.006804626250701894,0.0,0.0,0.0,events/second
1758267000,4,0.0064741412702053955,0.0,0.0,0.0,events/second
1758267030,4,0.006174253982977942,0.0,0.0,0.0,events/second
1758267060,4,0.005900893109967676,0.0,0.0,0.0,events/second
1758267090,4,0.005650619166983702,0.0,0.0,0.0,events/second
1758267120,4,0.005420699003706177,0.0,0.0,0.0,events/second
1758267150,4,0.00520885527962297,0.0,0.0,0.0,events/second
1758267180,4,0.005012935542420684,0.0,0.0,0.0,events/second
1758267210,4,0.0048312113127189,0.0,0.0,0.0,events/second
1758267240,4,0.004662194500804914,0.0,0.0,0.0,events/second
1758267270,4,0.0045045777667949765,0.0,0.0,0.0,events/second
1758267300,4,0.004357278640784034,0.0,0.0,0.0,events/second
1758267330,4,0.004219325149891024,0.0,0.0,0.0,events/second
1758267360,4,0.004089798981295427,0.0,0.0,0.0,events/second
1758267390,4,0.003967992234683638,0.0,0.0,0.0,events/second
1758267420,4,0.0038532425902268533,0.0,0.0,0.0,events/second
