t,value
1758264660,21
1758264690,21
1758264720,21
1758264750,21
1758264780,21
1758264810,21
1758264840,21
1758264870,21
1758264900,21
1758264930,21
1758265140,17
1758265170,17
1758265200,17
1758265230,17
1758265260,17
1758265290,17
1758265320,17
1758265350,17
1758265380,17
1758265410,17
1758265440,17
1758266100,0
1758266130,17
1758266160,17
1758266190,17
1758266220,17
1758266400,21
1758266430,21
1758266460,21
1758266490,21
1758266520,21
1758266550,21
1758266580,21
1758266610,21
1758266640,21
1758266670,21
1758266700,21
1758266730,21
1758266760,21
1758266790,21
1758266820,21
1758266850,21
1758266880,21
1758266910,21
1758266940,21
1758266970,21
1758267000,22
1758267030,22
1758267060,22
1758267090,22
1758267120,22
1758267150,22
1758267180,22
1758267210,22
1758267240,22
1758267270,22
1758267300,22
1758267330,22
1758267360,22
1758267390,22
1758267420,22
1758267450,22
1758267480,22
1758267510,22
1758267540,22
1758267570,22
1758267600,22
1758267630,22
1758267660,22
1758267690,22
1758267720,22
1758267750,22
1758267780,22
1758267810,22
1758267840,22
1758267870,22
1758267900,22
1758267930,22
1758267960,22
1758267990,22
1758268020,22
1758268050,22
1758268080,22
1758268110,22
1758268140,22
1758268170,22
1758268200,22
1758268231,22
1758268261,22
1758268291,22
1758268321,22
1758268351,22
1758268381,22
1758268411,22
1758268441,22
1758268471,22
1758268501,22
1758268531,22
1758268561,22
1758268591,22
1758268621,22
1758268651,22
1758268681,22
1758268711,22
1758268741,22
1758268771,22
1758268801,22
1758268831,22
1758268861,22
1758268891,22
1758268921,22
1758268951,22
1758268981,22
1758269011,22
1758269041,22
1758269071,22
1758269101,22
1758269131,22
1758269161,22
1758269191,22
1758269221,22
1758269251,22
1758269281,22
1758269311,22
1758269341,22
1758269371,22
1758269401,22
1758269431,22
1758269461,22
1758269491,22
1758269521,22
1758269551,22
1758269581,22
1758269611,22
1758269641,22
1758269671,22
1758269701,22
1758269731,22
1758269761,22
1758269791,22
1758269821,22
1758269851,22
1758269881,22
1758269911,22
1758269941,22
1758269971,22
1758270001,22
1758270031,22
1758270061,22
1758270091,22
1758270121,22
1758270151,22
1758270181,22
1758270211,22
1758270241,22
1758270271,22
1758270301,22
1758270331,22
1758270362,22
1758270392,22
1758270422,22
1758270452,22
1758270482,22
1758270512,22
1758270542,22
1758270572,22
1758270602,22
1758270632,22
1758270662,22
1758270692,22
1758270722,22
1758270752,22
1758270782,22
1758270812,22
1758270842,22
1758270872,22
1758270902,22
1758270932,22
1758496830,0
1758496860,21
1758496890,21
1758496920,21
1758496950,21
1758496980,21
1758497010,21
1758497040,21
1758497070,21
1758497100,21
1758497130,21
1758497160,21
1758497190,21
1758497220,21
1758497250,21
1758497280,21
1758497310,21
1758497340,21
1758497370,21
1758497400,21
1758497430,22
1758497460,23
1758497490,23
1758497520,23
1758497550,23
1758497580,23
1758497610,23
1758497640,23
1758497670,23
1758497700,23
1758497730,24
1758497760,24
1758497790,24
1758497820,24
1758497850,24
1758497880,24
1758497910,24
1758497940,24
1758497970,24
1758498000,24
1758498030,24
1758498060,24
1758498090,24
1758498120,24
1758498150,24
1758498180,24
1758498210,24
1758498240,24
1758498270,24
1758498300,24
1758498330,24
1758498360,24
1758498390,24
1758498420,24
1758498450,24
1758498480,24
1758498510,24
1758498540,24
1758498570,24
1758498780,0
1758498810,17
1758498840,17
1758498870,17
1758498900,17
1758498930,17
1758498960,17
1758498990,17
1758499020,17
1758499050,17
1758499080,17
1758499110,17
1758499140,17
1758499170,17
1758499200,17
1758499230,17
1758499260,17
1758499290,17
1758499320,17
1758499350,17
1758499380,18
1758499410,18
1758499440,18
1758499470,18
1758499500,18
1758499530,18
1758499560,18
1758499590,18
1758499620,18
1758499650,18
1758499680,18
1758499710,18
1758499740,18
1758499770,18
1758499800,18
1758499830,18
1758499860,18
1758499890,18
1758499980,1
1758500010,17
1758500040,17
1758500070,17
1758500100,17
1758500130,17
1758500160,17
1758500190,17
1758500220,17
1758500250,17
1758500280,17
1758500310,17
1758500340,17
1758500370,17
1758500400,17
1758500430,17
1758500460,17
1758500490,17
1758500520,17
1758500550,17
1758500580,18
1758500610,18
1758500640,18
1758500670,18
1758500700,18
1758500730,18
1758500760,18
1758500790,18
1758500820,18
1758500850,18
1758500880,18
1758500910,18
1758500940,18
1758500970,18
1758501000,18
1758501030,18
1758501060,18
1758501090,18
1758501120,18
1758501150,18
1758501180,18
1758501211,18
1758501241,18
1758501271,18
1758501301,18
1758501331,18
1758501361,18
1758501391,18
1758501421,18
1758501451,18
1758501481,18
1758501511,18
1758501541,18
1758501571,18
1758501601,18
1758501631,18
1758501661,18
1758501691,18
1758501721,18
1758501751,18
1758501781,18
1758501811,18
1758501841,18
1758501871,18
1758501901,18
1758501931,18
1758501961,18
1758501991,18
1758502021,18
1758502051,18
1758502081,18
1758502111,18
1758502141,18
1758502171,18
1758502201,18
1758502231,18
1758502261,18
1758502291,18
1758502321,18
1758502351,18
1758502381,18
1758502411,18
1758502441,18
1758502471,18
1758502501,18
1758502531,18
1758502561,18
1758502591,18
1758502621,18
1758502651,18
