t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1758264660,0,0.0,0.0,0.0,0.0,events/second
1758264690,0,0.0,0.0,0.0,0.0,events/second
1758264720,0,0.0,0.0,0.0,0.0,events/second
1758264750,0,0.0,0.0,0.0,0.0,events/second
1758264780,0,0.0,0.0,0.0,0.0,events/second
1758264810,0,0.0,0.0,0.0,0.0,events/second
1758264840,0,0.0,0.0,0.0,0.0,events/second
1758264870,0,0.0,0.0,0.0,0.0,events/second
1758264900,0,0.0,0.0,0.0,0.0,events/second
1758264930,0,0.0,0.0,0.0,0.0,events/second
1758265140,0,0.0,0.0,0.0,0.0,events/second
1758265170,0,0.0,0.0,0.0,0.0,events/second
1758265200,0,0.0,0.0,0.0,0.0,events/second
1758265230,0,0.0,0.0,0.0,0.0,events/second
1758265260,0,0.0,0.0,0.0,0.0,events/second
1758265290,0,0.0,0.0,0.0,0.0,events/second
1758265320,0,0.0,0.0,0.0,0.0,events/second
1758265350,0,0.0,0.0,0.0,0.0,events/second
1758265380,0,0.0,0.0,0.0,0.0,events/second
1758265410,0,0.0,0.0,0.0,0.0,events/second
1758265440,0,0.0,0.0,0.0,0.0,events/second
1758266100,0,0.0,0.0,0.0,0.0,events/second
1758266130,0,0.0,0.0,0.0,0.0,events/second
1758266160,0,0.0,0.0,0.0,0.0,events/second
1758266190,0,0.0,0.0,0.0,0.0,events/second
1758266220,0,0.0,0.0,0.0,0.0,events/second
1758266400,2,0.09626696029501472,0.0,0.0,0.0,events/second
1758266430,2,0.03936045046114763,0.0,0.0,0.0,events/second
1758266460,2,0.02474431547263197,0.0,0.0,0.0,events/second
1758266490,2,0.01804287324626328,0.0,0.0,0.0,events/second
1758266520,2,0.014198278679209413,0.0,0.0,0.0,events/second
1758266550,2,0.011703744074251735,0.0,0.0,0.0,events/second
1758266580,2,0.009955120559439269,0.0,0.0,0.0,events/second
1758266610,2,0.008661014018625051,0.0,0.0,0.0,events/second
1758266640,2,0.007664763920959805,0.0,0.0,0.0,events/second
1758266670,2,0.006873920476351581,0.0,0.0,0.0,events/second
1758266700,2,0.00623114412559034,0.0,0.0,0.0,events/second
1758266730,2,0.005698373379460002,0.0,0.0,0.0,events/second
1758266760,2,0.0052494489064232285,0.0,0.0,0.0,events/second
1758266790,2,0.004866022164593738,0.0,0.0,0.0,events/second
1758266820,2,0.004534879273980158,0.0,0.0,0.0,events/second
1758266850,2,0.0042459209889249986,0.0,0.0,0.0,events/second
1758266880,2,0.003991598488291762,0.0,0.0,0.0,events/second
1758266910,2,0.003765968556139313,0.0,0.0,0.0,events/second
1758266940,2,0.0035644962544561193,0.0,0.0,0.0,events/second
1758266970,2,0.0033835184945079123,0.0,0.0,0.0,events/second
1758267000,2,0.0032200520259587566,0.0,0.0,0.0,events/second
1758267030,2,0.0030716455263266533,0.0,0.0,0.0,events/second
1758267060,2,0.0029363025339659856,0.0,0.0,0.0,events/second
1758267090,2,0.0028123368917987173,0.0,0.0,0.0,events/second
1758267120,2,0.00269840956189707,0.0,0.0,0.0,events/second
1758267150,2,0.0025933997317325853,0.0,0.0,0.0,events/second
1758267180,2,0.002496252644252343,0.0,0.0,0.0,events/second
1758267210,2,0.002406116468464906,0.0,0.0,0.0,events/second
1758267240,2,0.0023222590303542596,0.0,0.0,0.0,events/second
1758267270,2,0.0022440375746606333,0.0,0.0,0.0,events/second
1758267300,2,0.0021709175760114847,0.0,0.0,0.0,events/second
1758267330,2,0.0021024206121955957,0.0,0.0,0.0,events/second
1758267360,2,0.0020380951689649906,0.0,0.0,0.0,events/second
1758267390,2,0.001977590075044326,0.0,0.0,0.0,events/second
1758267420,2,0.0019205804364674207,0.0,0.0,0.0,events/second
1758267450,2,0.0018667652702038472,0.0,0.0,0.0,events/second
1758267480,2,0.0018158869032848981,0.0,0.0,0.0,events/second
1758267510,2,0.001767718646627802,0.0,0.0,0.0,events/second
1758267540,2,0.0017220349183081278,0.0,0.0,0.0,events/second
1758267570,2,0.0016786489911639797,0.0,0.0,0.0,events/second
1758267600,2,0.0016374024145626735,0.0,0.0,0.0,events/second
1758267630,2,0.0015981356124375133,0.0,0.0,0.0,events/second
1758267660,2,0.0015606956111577197,0.0,0.0,0.0,events/second
1758267690,2,0.0015249772783265457,0.0,0.0,0.0,events/second
1758267720,2,0.0014908438516645724,0.0,0.0,0.0,events/second
1758267750,2,0.0014582221028095485,0.0,0.0,0.0,events/second
1758267780,2,0.0014269980580233347,0.0,0.0,0.0,events/second
1758267810,2,0.0013970751984834515,0.0,0.0,0.0,events/second
1758267840,2,0.0013683830268517061,0.0,0.0,0.0,events/second
1758267870,2,0.001340851651591367,0.0,0.0,0.0,events/second
1758267900,2,0.0013143966591691472,0.0,0.0,0.0,events/second
1758267930,2,0.00128896457015146,0.0,0.0,0.0,events/second
1758267960,2,0.0012645043099356365,0.0,0.0,0.0,events/second
1758267990,2,0.0012409493017028596,0.0,0.0,0.0,events/second
1758268020,2,0.0012182588711206,0.0,0.0,0.0,events/second
1758268050,2,0.0011963831763097004,0.0,0.0,0.0,events/second
1758268080,2,0.0011752824859063002,0.0,0.0,0.0,events/second
1758268110,2,0.001154909069811128,0.0,0.0,0.0,events/second
1758268140,2,0.0011352357424358546,0.0,0.0,0.0,events/second
1758268170,2,0.0011162111507382422,0.0,0.0,0.0,events/second
1758268200,2,0.0010978139050185835,0.0,0.0,0.0,events/second
1758268231,2,0.0010800183398821511,0.0,0.0,0.0,events/second
1758268261,2,0.001062788180366145,0.0,0.0,0.0,events/second
1758268291,2,0.001046101917207266,0.0,0.0,0.0,events/second
1758268321,2,0.0010299337811372497,0.0,0.0,0.0,events/second
1758268351,2,0.0010142512570920483,0.0,0.0,0.0,events/second
1758268381,2,9.990377173797614E-4,0.0,0.0,0.0,events/second
1758268411,2,9.842811559762612E-4,0.0,0.0,0.0,events/second
1758268441,2,9.69955371027935E-4,0.0,0.0,0.0,events/second
1758268471,2,9.56036750278879E-4,0.0,0.0,0.0,events/second
1758268501,2,9.425118358169046E-4,0.0,0.0,0.0,events/second
1758268531,2,9.293622860908307E-4,0.0,0.0,0.0,events/second
1758268561,2,9.165794666570002E-4,0.0,0.0,0.0,events/second
1758268591,2,9.041430976098146E-4,0.0,0.0,0.0,events/second
1758268621,2,8.920369567294855E-4,0.0,0.0,0.0,events/second
1758268651,2,8.802529847504567E-4,0.0,0.0,0.0,events/second
1758268681,2,8.687775461975461E-4,0.0,0.0,0.0,events/second
1758268711,2,8.575951422479558E-4,0.0,0.0,0.0,events/second
1758268741,2,8.466960505342556E-4,0.0,0.0,0.0,events/second
1758268771,2,8.360724092785271E-4,0.0,0.0,0.0,events/second
1758268801,2,8.257101367253888E-4,0.0,0.0,0.0,events/second
1758268831,2,8.156019766478315E-4,0.0,0.0,0.0,events/second
1758268861,2,8.057408236971899E-4,0.0,0.0,0.0,events/second
1758268891,2,7.961157777111328E-4,0.0,0.0,0.0,events/second
1758268921,2,7.867137850421423E-4,0.0,0.0,0.0,events/second
1758268951,2,7.775344198067093E-4,0.0,0.0,0.0,events/second
1758268981,2,7.685647005849915E-4,0.0,0.0,0.0,events/second
1758269011,2,7.598025126129252E-4,0.0,0.0,0.0,events/second
1758269041,2,7.512372875496613E-4,0.0,0.0,0.0,events/second
1758269071,2,7.428606989397985E-4,0.0,0.0,0.0,events/second
1758269101,2,7.346709204251568E-4,0.0,0.0,0.0,events/second
1758269131,2,7.266570970911847E-4,0.0,0.0,0.0,events/second
1758269161,2,7.188178566875827E-4,0.0,0.0,0.0,events/second
1758269191,2,7.111469365824599E-4,0.0,0.0,0.0,events/second
1758269221,2,7.036381505417502E-4,0.0,0.0,0.0,events/second
1758269251,2,6.962862266580105E-4,0.0,0.0,0.0,events/second
1758269281,2,6.890874823286452E-4,0.0,0.0,0.0,events/second
1758269311,2,6.820357526650901E-4,0.0,0.0,0.0,events/second
1758269341,2,6.751271150288713E-4,0.0,0.0,0.0,events/second
1758269371,2,6.683559203484765E-4,0.0,0.0,0.0,events/second
1758269401,2,6.617174246618205E-4,0.0,0.0,0.0,events/second
1758269431,2,6.55209694948191E-4,0.0,0.0,0.0,events/second
1758269461,2,6.488298316016407E-4,0.0,0.0,0.0,events/second
