t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1758264660,44,2.566468156770911,0.0,0.0,0.0,events/second
1758264690,44,0.932600529467418,0.0,0.0,0.0,events/second
1758264720,44,0.5699718536499231,0.0,0.0,0.0,events/second
1758264750,44,0.4103600031043361,0.0,0.0,0.0,events/second
1758264780,44,0.3205910979390365,0.0,0.0,0.0,events/second
1758264810,53,0.3168707200309212,0.0,0.0,0.0,events/second
1758264840,60,0.30414390211866565,0.0,0.0,0.0,events/second
1758264870,60,0.2639746242355211,0.0,0.0,0.0,events/second
1758264900,68,0.2642694881918821,0.0,0.0,0.0,events/second
1758264930,68,0.23666147336613502,0.0,0.0,0.0,events/second
1758265140,38,2.6151689433547527,0.0,0.0,0.0,events/second
1758265170,38,0.8526720743518561,0.0,0.0,0.0,events/second
1758265200,38,0.5095487846552141,0.0,0.0,0.0,events/second
1758265230,38,0.3633280458903974,0.0,0.0,0.0,events/second
1758265260,38,0.28230905017764923,0.0,0.0,0.0,events/second
1758265290,38,0.23083039689935783,0.0,0.0,0.0,events/second
1758265320,38,0.19523021832998108,0.0,0.0,0.0,events/second
1758265350,38,0.16914513384348057,0.0,0.0,0.0,events/second
1758265380,38,0.14921582196774416,0.0,0.0,0.0,events/second
1758265410,39,0.13699997148398288,0.0,0.0,0.0,events/second
1758265440,39,0.12393489355439029,0.0,0.0,0.0,events/second
1758266100,0,0.0,0.0,0.0,0.0,events/second
1758266130,38,1.155812374361484,0.0,0.0,0.0,events/second
1758266160,38,0.6042227762379725,0.0,0.0,0.0,events/second
1758266190,55,0.5919779146171203,0.0,0.0,0.0,events/second
1758266220,63,0.5125480187628405,0.0,0.0,0.0,events/second
1758266400,49,2.3585094672615665,0.0,0.0,0.0,events/second
1758266430,49,0.9643310249111658,0.0,0.0,0.0,events/second
1758266460,49,0.6062356105724902,0.0,0.0,0.0,events/second
1758266490,49,0.4420504272344757,0.0,0.0,0.0,events/second
1758266520,49,0.3478578049213132,0.0,0.0,0.0,events/second
1758266550,49,0.28674174508874917,0.0,0.0,0.0,events/second
1758266580,49,0.24390046778900173,0.0,0.0,0.0,events/second
1758266610,50,0.21652535346615284,0.0,0.0,0.0,events/second
1758266640,50,0.1916191069097222,0.0,0.0,0.0,events/second
1758266670,50,0.1718480148029,0.0,0.0,0.0,events/second
1758266700,50,0.15577860318829245,0.0,0.0,0.0,events/second
1758266730,50,0.14245934020959494,0.0,0.0,0.0,events/second
1758266760,50,0.13123622734522222,0.0,0.0,0.0,events/second
1758266790,50,0.1216505474257603,0.0,0.0,0.0,events/second
1758266820,50,0.11337198562834673,0.0,0.0,0.0,events/second
1758266850,57,0.12100875044505426,0.0,0.0,0.0,events/second
1758266880,57,0.11376054261259329,0.0,0.0,0.0,events/second
1758266910,57,0.10733010308198702,0.0,0.0,0.0,events/second
1758266940,57,0.10158813839971817,0.0,0.0,0.0,events/second
1758266970,57,0.09643027479324648,0.0,0.0,0.0,events/second
1758267000,59,0.09499153120230844,0.0,0.0,0.0,events/second
1758267030,59,0.09061354231688794,0.0,0.0,0.0,events/second
1758267060,59,0.08662092409069895,0.0,0.0,0.0,events/second
1758267090,59,0.0829639364648141,0.0,0.0,0.0,events/second
1758267120,59,0.0796030836010558,0.0,0.0,0.0,events/second
1758267150,59,0.0765052886536391,0.0,0.0,0.0,events/second
1758267180,59,0.07363945253669629,0.0,0.0,0.0,events/second
1758267210,59,0.07098043530735314,0.0,0.0,0.0,events/second
1758267240,59,0.06850664004318427,0.0,0.0,0.0,events/second
1758267270,59,0.06619910903927419,0.0,0.0,0.0,events/second
1758267300,59,0.06404206806829715,0.0,0.0,0.0,events/second
1758267330,59,0.062021405803935156,0.0,0.0,0.0,events/second
1758267360,59,0.0601238067921273,0.0,0.0,0.0,events/second
1758267390,59,0.058338905512093635,0.0,0.0,0.0,events/second
1758267420,59,0.056657123566761385,0.0,0.0,0.0,events/second
1758267450,59,0.055069574319631436,0.0,0.0,0.0,events/second
1758267480,59,0.05356866332103447,0.0,0.0,0.0,events/second
1758267510,59,0.0521476978493138,0.0,0.0,0.0,events/second
1758267540,59,0.05080002972263244,0.0,0.0,0.0,events/second
1758267570,59,0.0495201456590869,0.0,0.0,0.0,events/second
1758267600,59,0.04830337102395953,0.0,0.0,0.0,events/second
1758267630,59,0.04714500099636805,0.0,0.0,0.0,events/second
1758267660,59,0.046040520263324274,0.0,0.0,0.0,events/second
1758267690,59,0.04498682861297083,0.0,0.0,0.0,events/second
1758267720,59,0.04397989370603104,0.0,0.0,0.0,events/second
1758267750,59,0.043017551920000584,0.0,0.0,0.0,events/second
1758267780,59,0.042096442516425824,0.0,0.0,0.0,events/second
1758267810,59,0.04121371667108597,0.0,0.0,0.0,events/second
1758267840,59,0.040367298002347396,0.0,0.0,0.0,events/second
1758267870,59,0.0395551236185221,0.0,0.0,0.0,events/second
1758267900,59,0.038774701552517055,0.0,0.0,0.0,events/second
1758267930,59,0.03802445466020301,0.0,0.0,0.0,events/second
1758267960,59,0.037302876586499424,0.0,0.0,0.0,events/second
1758267990,59,0.03660800467959801,0.0,0.0,0.0,events/second
1758268020,59,0.03593863696513133,0.0,0.0,0.0,events/second
1758268050,59,0.03529330308043875,0.0,0.0,0.0,events/second
1758268080,59,0.03467083321402918,0.0,0.0,0.0,events/second
1758268110,59,0.0340698169298873,0.0,0.0,0.0,events/second
1758268140,59,0.03348945437524481,0.0,0.0,0.0,events/second
1758268170,59,0.032928228733599976,0.0,0.0,0.0,events/second
1758268200,59,0.03238550816441946,0.0,0.0,0.0,events/second
1758268231,59,0.03186054057231188,0.0,0.0,0.0,events/second
1758268261,59,0.03135225089094628,0.0,0.0,0.0,events/second
1758268291,59,0.030860006531804325,0.0,0.0,0.0,events/second
1758268321,59,0.03038304647785021,0.0,0.0,0.0,events/second
1758268351,59,0.02992041149850672,0.0,0.0,0.0,events/second
1758268381,59,0.0294716118898176,0.0,0.0,0.0,events/second
1758268411,59,0.029036293771202128,0.0,0.0,0.0,events/second
1758268441,59,0.028613683373163695,0.0,0.0,0.0,events/second
1758268471,59,0.028203083769223942,0.0,0.0,0.0,events/second
1758268501,59,0.0278040992745112,0.0,0.0,0.0,events/second
1758268531,59,0.027416186639621008,0.0,0.0,0.0,events/second
1758268561,59,0.027039092955335554,0.0,0.0,0.0,events/second
1758268591,59,0.02667221965402527,0.0,0.0,0.0,events/second
1758268621,59,0.02631508979395676,0.0,0.0,0.0,events/second
1758268651,59,0.025967463208989707,0.0,0.0,0.0,events/second
1758268681,59,0.02562893751597118,0.0,0.0,0.0,events/second
1758268711,59,0.025299056158245275,0.0,0.0,0.0,events/second
1758268741,59,0.0249775333881909,0.0,0.0,0.0,events/second
1758268771,59,0.024664135703579847,0.0,0.0,0.0,events/second
1758268801,59,0.02435844874176021,0.0,0.0,0.0,events/second
1758268831,59,0.024060258290506256,0.0,0.0,0.0,events/second
1758268861,59,0.02376935426747598,0.0,0.0,0.0,events/second
1758268891,59,0.023485415360211134,0.0,0.0,0.0,events/second
1758268921,59,0.023208056540978465,0.0,0.0,0.0,events/second
1758268951,59,0.022937265360221334,0.0,0.0,0.0,events/second
1758268981,59,0.022672658412837624,0.0,0.0,0.0,events/second
1758269011,59,0.022414174005414907,0.0,0.0,0.0,events/second
1758269041,59,0.02216149994192607,0.0,0.0,0.0,events/second
1758269071,59,0.02191439066268641,0.0,0.0,0.0,events/second
1758269101,59,0.02167279204267777,0.0,0.0,0.0,events/second
1758269131,59,0.0214363841367672,0.0,0.0,0.0,events/second
1758269161,59,0.021205126742560573,0.0,0.0,0.0,events/second
1758269191,59,0.02097883460680402,0.0,0.0,0.0,events/second
1758269221,59,0.02075732532339888,0.0,0.0,0.0,events/second
1758269251,59,0.020540443639221764,0.0,0.0,0.0,events/second
1758269281,59,0.02032808067336412,0.0,0.0,0.0,events/second
1758269311,59,0.020120054495715956,0.0,0.0,0.0,events/second
1758269341,59,0.0199162498019189,0.0,0.0,0.0,events/second
1758269371,59,0.019716499646985648,0.0,0.0,0.0,events/second
1758269401,59,0.01952066387444886,0.0,0.0,0.0,events/second
1758269431,59,0.019328686031359725,0.0,0.0,0.0,events/second
1758269461,59,0.019140479839128074,0.0,0.0,0.0,events/second
1758269491,59,0.018955934415454685,0.0,0.0,0.0,events/second
1758269521,59,0.018774865017346622,0.0,0.0,0.0,events/second
1758269551,59,0.018597266557547076,0.0,0.0,0.0,events/second
1758269581,59,0.018422983646881406,0.0,0.0,0.0,events/second
1758269611,59,0.01825188237451714,0.0,0.0,0.0,events/second
1758269641,59,0.018083907241866665,0.0,0.0,0.0,events/second
1758269671,59,0.01791909055243364,0.0,0.0,0.0,events/second
1758269701,59,0.017757229943302227,0.0,0.0,0.0,events/second
1758269731,59,0.01759826522400563,0.0,0.0,0.0,events/second
1758269761,59,0.017442056567428435,0.0,0.0,0.0,events/second
1758269791,59,0.017288630267548517,0.0,0.0,0.0,events/second
1758269821,59,0.017137866875872224,0.0,0.0,0.0,events/second
1758269851,59,0.016989728871217327,0.0,0.0,0.0,events/second
1758269881,59,0.01684409769302303,0.0,0.0,0.0,events/second
1758269911,59,0.016701006705801515,0.0,0.0,0.0,events/second
1758269941,59,0.016560315065852548,0.0,0.0,0.0,events/second
1758269971,59,0.016421982471615016,0.0,0.0,0.0,events/second
1758270001,59,0.01628593835828543,0.0,0.0,0.0,events/second
1758270031,59,0.016152128619060506,0.0,0.0,0.0,events/second
1758270061,59,0.016020483223321606,0.0,0.0,0.0,events/second
1758270091,59,0.01589095534137154,0.0,0.0,0.0,events/second
1758270121,59,0.015763520846933582,0.0,0.0,0.0,events/second
1758270151,59,0.015638128078065753,0.0,0.0,0.0,events/second
1758270181,59,0.01551468570670297,0.0,0.0,0.0,events/second
1758270211,59,0.01539316604230206,0.0,0.0,0.0,events/second
1758270241,59,0.01527355819665435,0.0,0.0,0.0,events/second
1758270271,59,0.01515577633620107,0.0,0.0,0.0,events/second
1758270301,59,0.015039805731471746,0.0,0.0,0.0,events/second
1758270331,59,0.014925600700087721,0.0,0.0,0.0,events/second
1758270362,68,0.01707274782014812,0.0,0.0,0.0,events/second
1758270392,68,0.01694507090137603,0.0,0.0,0.0,events/second
1758270422,68,0.016819314884450466,0.0,0.0,0.0,events/second
1758270452,68,0.016695394820456635,0.0,0.0,0.0,events/second
1758270482,68,0.016573265273288867,0.0,0.0,0.0,events/second
1758270512,68,0.01645290579565037,0.0,0.0,0.0,events/second
1758270542,68,0.016334294730790944,0.0,0.0,0.0,events/second
1758270572,68,0.01621737144339652,0.0,0.0,0.0,events/second
1758270602,68,0.01610210703614168,0.0,0.0,0.0,events/second
1758270632,68,0.015988452608333436,0.0,0.0,0.0,events/second
1758270662,68,0.01587642925898177,0.0,0.0,0.0,events/second
1758270692,68,0.015765932070344095,0.0,0.0,0.0,events/second
1758270722,68,0.01565700559537462,0.0,0.0,0.0,events/second
1758270752,68,0.015549545562898223,0.0,0.0,0.0,events/second
1758270782,68,0.015443584683049249,0.0,0.0,0.0,events/second
1758270812,68,0.015339028000924662,0.0,0.0,0.0,events/second
1758270842,68,0.015235893232088024,0.0,0.0,0.0,events/second
1758270872,68,0.015134116035954354,0.0,0.0,0.0,events/second
1758270902,68,0.015033704729643492,0.0,0.0,0.0,events/second
1758270932,68,0.01493460646460913,0.0,0.0,0.0,events/second
1758496830,0,0.0,0.0,0.0,0.0,events/second
1758496860,44,0.8872064157347962,0.0,0.0,0.0,events/second
1758496890,44,0.5526811634056562,0.0,0.0,0.0,events/second
1758496920,44,0.4013411482153344,0.0,0.0,0.0,events/second
1758496950,44,0.31508884830229433,0.0,0.0,0.0,events/second
1758496980,44,0.25934673933762703,0.0,0.0,0.0,events/second
1758497010,44,0.22035815935466527,0.0,0.0,0.0,events/second
1758497040,44,0.1915637623903643,0.0,0.0,0.0,events/second
1758497070,44,0.16942453100918836,0.0,0.0,0.0,events/second
1758497100,44,0.15187415828191816,0.0,0.0,0.0,events/second
1758497130,45,0.14074826103732857,0.0,0.0,0.0,events/second
1758497160,45,0.12866952673328816,0.0,0.0,0.0,events/second
1758497190,45,0.11849850587445915,0.0,0.0,0.0,events/second
1758497220,45,0.10982048413226106,0.0,0.0,0.0,events/second
1758497250,45,0.1023263198687992,0.0,0.0,0.0,events/second
1758497280,45,0.09578772661220093,0.0,0.0,0.0,events/second
1758497310,45,0.09003532078431543,0.0,0.0,0.0,events/second
1758497340,45,0.08493594444860814,0.0,0.0,0.0,events/second
1758497370,45,0.08038265435948638,0.0,0.0,0.0,events/second
1758497400,45,0.07629129720161143,0.0,0.0,0.0,events/second
1758497430,49,0.0790498231137116,0.0,0.0,0.0,events/second
1758497460,51,0.07847682123087868,0.0,0.0,0.0,events/second
1758497490,51,0.07501221597102625,0.0,0.0,0.0,events/second
1758497520,51,0.07184009165722884,0.0,0.0,0.0,events/second
