t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1758264660,2,0.11664873503428809,0.0,0.0,0.0,events/second
1758264690,2,0.042390537104446666,0.0,0.0,0.0,events/second
1758264720,2,0.025907657721606976,0.0,0.0,0.0,events/second
1758264750,2,0.018652642016219734,0.0,0.0,0.0,events/second
1758264780,2,0.014572276234700058,0.0,0.0,0.0,events/second
1758264810,2,0.011957354863931442,0.0,0.0,0.0,events/second
1758264840,2,0.0101381077413511,0.0,0.0,0.0,events/second
1758264870,2,0.00879913536563405,0.0,0.0,0.0,events/second
1758264900,2,0.007772618509222255,0.0,0.0,0.0,events/second
1758264930,2,0.006960621327194441,0.0,0.0,0.0,events/second
1758265140,2,0.13763057459911585,0.0,0.0,0.0,events/second
1758265170,2,0.04487725807384843,0.0,0.0,0.0,events/second
1758265200,2,0.026818279195353577,0.0,0.0,0.0,events/second
1758265230,2,0.01912248933009316,0.0,0.0,0.0,events/second
1758265260,2,0.014858347914158262,0.0,0.0,0.0,events/second
1758265290,2,0.012148950841389197,0.0,0.0,0.0,events/second
1758265320,2,0.010275262396254701,0.0,0.0,0.0,events/second
1758265350,2,0.008902367056786433,0.0,0.0,0.0,events/second
1758265380,2,0.007853457532722307,0.0,0.0,0.0,events/second
1758265410,2,0.007025634363249974,0.0,0.0,0.0,events/second
1758265440,2,0.006355629889505639,0.0,0.0,0.0,events/second
1758266100,0,0.0,0.0,0.0,0.0,events/second
1758266130,2,0.060831620013290316,0.0,0.0,0.0,events/second
1758266160,2,0.031801036535069216,0.0,0.0,0.0,events/second
1758266190,2,0.021526393557422502,0.0,0.0,0.0,events/second
1758266220,2,0.016271323658129302,0.0,0.0,0.0,events/second
1758266400,2,0.09626131358015241,0.0,0.0,0.0,events/second
1758266430,2,0.03935999429122643,0.0,0.0,0.0,events/second
1758266460,2,0.02474415973990206,0.0,0.0,0.0,events/second
1758266490,2,0.018042804019326168,0.0,0.0,0.0,events/second
1758266520,2,0.014198230418459938,0.0,0.0,0.0,events/second
