t,value
1758264660,35
1758264690,35
1758264720,35
1758264750,35
1758264780,35
1758264810,35
1758264840,35
1758264870,35
1758264900,35
1758264930,35
1758265140,31
1758265170,31
1758265200,31
1758265230,31
1758265260,31
1758265290,31
1758265320,31
1758265350,31
1758265380,31
1758265410,31
1758265440,31
1758266100,0
1758266130,31
1758266160,31
1758266190,31
1758266220,31
1758266400,35
1758266430,35
1758266460,35
1758266490,35
1758266520,35
1758266550,35
1758266580,35
1758266610,35
1758266640,35
1758266670,35
1758266700,35
1758266730,35
1758266760,35
1758266790,35
1758266820,35
1758266850,35
1758266880,35
1758266910,35
1758266940,35
1758266970,35
1758267000,37
1758267030,37
1758267060,37
1758267090,37
1758267120,37
1758267150,37
1758267180,37
1758267210,37
1758267240,37
1758267270,37
1758267300,37
1758267330,37
1758267360,37
1758267390,37
1758267420,37
1758267450,37
1758267480,37
1758267510,37
1758267540,37
1758267570,37
1758267600,37
1758267630,37
1758267660,37
1758267690,37
1758267720,37
1758267750,37
1758267780,37
1758267810,37
1758267840,37
1758267870,37
1758267900,37
1758267930,37
1758267960,37
1758267990,37
1758268020,37
1758268050,37
1758268080,37
1758268110,37
1758268140,37
1758268170,37
1758268200,37
1758268231,37
1758268261,37
1758268291,37
1758268321,37
1758268351,37
1758268381,37
1758268411,37
1758268441,37
1758268471,37
1758268501,37
1758268531,37
1758268561,37
1758268591,37
1758268621,37
1758268651,37
1758268681,37
1758268711,37
1758268741,37
1758268771,37
1758268801,37
1758268831,37
1758268861,37
1758268891,37
1758268921,37
1758268951,37
1758268981,37
1758269011,37
1758269041,37
1758269071,37
1758269101,37
1758269131,37
1758269161,37
1758269191,37
1758269221,37
1758269251,37
1758269281,37
1758269311,37
1758269341,37
1758269371,37
1758269401,37
1758269431,37
1758269461,37
1758269491,37
1758269521,37
1758269551,37
1758269581,37
1758269611,37
1758269641,37
1758269671,37
1758269701,37
1758269731,37
1758269761,37
1758269791,37
1758269821,37
1758269851,37
1758269881,37
1758269911,37
1758269941,37
1758269971,37
1758270001,37
1758270031,37
1758270061,37
1758270091,37
1758270121,37
1758270151,37
1758270181,37
1758270211,37
1758270241,37
1758270271,37
1758270301,37
1758270331,37
1758270362,37
1758270392,37
1758270422,37
1758270452,37
1758270482,37
1758270512,37
1758270542,37
1758270572,37
1758270602,37
1758270632,37
1758270662,37
1758270692,37
1758270722,37
1758270752,37
1758270782,37
1758270812,37
1758270842,37
1758270872,37
1758270902,37
1758270932,37
1758496830,0
1758496860,35
1758496890,35
1758496920,35
1758496950,35
1758496980,35
1758497010,35
1758497040,35
1758497070,35
1758497100,35
1758497130,35
1758497160,35
1758497190,35
1758497220,35
1758497250,35
1758497280,35
1758497310,35
1758497340,35
1758497370,35
1758497400,35
1758497430,37
1758497460,38
1758497490,38
1758497520,38
1758497550,38
1758497580,38
1758497610,38
1758497640,38
1758497670,38
1758497700,38
1758497730,41
1758497760,41
1758497790,41
1758497820,41
1758497850,41
1758497880,41
1758497910,41
1758497940,41
1758497970,41
1758498000,41
1758498030,41
1758498060,41
1758498090,41
1758498120,41
1758498150,41
1758498180,41
1758498210,41
1758498240,41
1758498270,41
1758498300,41
1758498330,41
1758498360,41
1758498390,41
1758498420,41
1758498450,41
1758498480,41
1758498510,41
1758498540,41
1758498570,41
1758498780,0
1758498810,31
1758498840,31
1758498870,31
1758498900,31
1758498930,31
1758498960,31
1758498990,31
1758499020,31
1758499050,31
1758499080,31
1758499110,31
1758499140,31
1758499170,31
1758499200,31
1758499230,31
1758499260,31
1758499290,31
1758499320,31
1758499350,31
1758499380,33
1758499410,33
1758499440,33
1758499470,33
1758499500,33
1758499530,33
1758499560,33
1758499590,33
1758499620,33
1758499650,33
1758499680,33
1758499710,33
1758499740,33
1758499770,33
1758499800,33
1758499830,33
1758499860,33
1758499890,33
1758499980,1
1758500010,31
1758500040,31
1758500070,31
1758500100,31
1758500130,31
1758500160,31
1758500190,31
1758500220,31
1758500250,31
1758500280,31
1758500310,31
1758500340,31
1758500370,31
1758500400,31
1758500430,31
1758500460,31
1758500490,31
1758500520,31
1758500550,31
1758500580,33
1758500610,33
1758500640,33
1758500670,33
1758500700,33
1758500730,33
1758500760,33
1758500790,33
1758500820,33
1758500850,33
1758500880,33
1758500910,33
1758500940,33
1758500970,33
1758501000,33
1758501030,33
1758501060,33
1758501090,33
1758501120,33
1758501150,33
1758501180,33
1758501211,33
1758501241,33
1758501271,33
1758501301,33
1758501331,33
1758501361,33
1758501391,33
1758501421,33
1758501451,33
1758501481,33
1758501511,33
1758501541,33
1758501571,33
1758501601,33
1758501631,33
1758501661,33
1758501691,33
1758501721,33
1758501751,33
1758501781,33
1758501811,33
1758501841,33
1758501871,33
1758501901,33
1758501931,33
1758501961,33
1758501991,33
1758502021,33
1758502051,33
1758502081,33
1758502111,33
1758502141,33
1758502171,33
1758502201,33
1758502231,33
1758502261,33
1758502291,33
1758502321,33
1758502351,33
1758502381,33
1758502411,33
1758502441,33
1758502471,33
1758502501,33
1758502531,33
1758502561,33
1758502591,33
1758502621,33
1758502651,33
