t,value
1758264660,33
1758264690,33
1758264720,33
1758264750,33
1758264780,33
1758264810,33
1758264840,33
1758264870,33
1758264900,34
1758264930,34
1758265140,29
1758265170,29
1758265200,29
1758265230,29
1758265260,29
1758265290,29
1758265320,29
1758265350,29
1758265380,29
1758265410,30
1758265440,30
1758266100,0
1758266130,29
1758266160,29
1758266190,32
1758266220,33
1758266400,33
1758266430,33
1758266460,33
1758266490,33
1758266520,33
1758266550,33
1758266580,33
1758266610,34
1758266640,34
1758266670,34
1758266700,34
1758266730,34
1758266760,34
1758266790,34
1758266820,34
1758266850,34
1758266880,34
1758266910,34
1758266940,34
1758266970,34
1758267000,36
1758267030,36
1758267060,36
1758267090,36
1758267120,36
1758267150,36
1758267180,36
1758267210,36
1758267240,36
1758267270,36
1758267300,36
1758267330,36
1758267360,36
1758267390,36
1758267420,36
1758267450,36
1758267480,36
1758267510,36
1758267540,36
1758267570,36
1758267600,36
1758267630,36
1758267660,36
1758267690,36
1758267720,36
1758267750,36
1758267780,36
1758267810,36
1758267840,36
1758267870,36
1758267900,36
1758267930,36
1758267960,36
1758267990,36
1758268020,36
1758268050,36
1758268080,36
1758268110,36
1758268140,36
1758268170,36
1758268200,36
1758268231,36
1758268261,36
1758268291,36
1758268321,36
1758268351,36
1758268381,36
1758268411,36
1758268441,36
1758268471,36
1758268501,36
1758268531,36
1758268561,36
1758268591,36
1758268621,36
1758268651,36
1758268681,36
1758268711,36
1758268741,36
1758268771,36
1758268801,36
1758268831,36
1758268861,36
1758268891,36
1758268921,36
1758268951,36
1758268981,36
1758269011,36
1758269041,36
1758269071,36
1758269101,36
1758269131,36
1758269161,36
1758269191,36
1758269221,36
1758269251,36
1758269281,36
1758269311,36
1758269341,36
1758269371,36
1758269401,36
1758269431,36
1758269461,36
1758269491,36
1758269521,36
1758269551,36
1758269581,36
1758269611,36
1758269641,36
1758269671,36
1758269701,36
1758269731,36
1758269761,36
1758269791,36
1758269821,36
1758269851,36
1758269881,36
1758269911,36
1758269941,36
1758269971,36
1758270001,36
1758270031,36
1758270061,36
1758270091,36
1758270121,36
1758270151,36
1758270181,36
1758270211,36
1758270241,36
1758270271,36
1758270301,36
1758270331,36
1758270362,36
1758270392,36
1758270422,36
1758270452,36
1758270482,36
1758270512,36
1758270542,36
1758270572,36
1758270602,36
1758270632,36
1758270662,36
1758270692,36
1758270722,36
1758270752,36
1758270782,36
1758270812,36
1758270842,36
1758270872,36
1758270902,36
1758270932,36
1758496830,0
1758496860,33
1758496890,33
1758496920,33
1758496950,33
1758496980,33
1758497010,33
1758497040,33
1758497070,33
1758497100,33
1758497130,34
1758497160,34
1758497190,34
1758497220,34
1758497250,34
1758497280,34
1758497310,34
1758497340,34
1758497370,34
1758497400,34
1758497430,36
1758497460,37
1758497490,37
1758497520,37
1758497550,37
1758497580,37
1758497610,37
1758497640,37
1758497670,37
1758497700,37
1758497730,41
1758497760,41
1758497790,41
1758497820,41
1758497850,41
1758497880,41
1758497910,41
1758497940,41
1758497970,41
1758498000,41
1758498030,41
1758498060,41
1758498090,41
1758498120,41
1758498150,41
1758498180,41
1758498210,41
1758498240,41
1758498270,41
1758498300,41
1758498330,41
1758498360,41
1758498390,41
1758498420,42
1758498450,42
1758498480,42
1758498510,42
1758498540,42
1758498570,42
1758498780,0
1758498810,29
1758498840,29
1758498870,29
1758498900,29
1758498930,29
1758498960,29
1758498990,29
1758499020,33
1758499050,33
1758499080,33
1758499110,33
1758499140,33
1758499170,33
1758499200,33
1758499230,33
1758499260,33
1758499290,33
1758499320,33
1758499350,33
1758499380,35
1758499410,35
1758499440,35
1758499470,35
1758499500,35
1758499530,35
1758499560,35
1758499590,35
1758499620,35
1758499650,35
1758499680,35
1758499710,35
1758499740,35
1758499770,35
1758499800,36
1758499830,36
1758499860,36
1758499890,36
1758499980,1
1758500010,29
1758500040,29
1758500070,29
1758500100,29
1758500130,29
1758500160,29
1758500190,29
1758500220,29
1758500250,29
1758500280,30
1758500310,30
1758500340,30
1758500370,30
1758500400,30
1758500430,30
1758500460,30
1758500490,30
1758500520,30
1758500550,30
1758500580,32
1758500610,32
1758500640,32
1758500670,32
1758500700,32
1758500730,32
1758500760,32
1758500790,32
1758500820,32
1758500850,32
1758500880,32
1758500910,32
1758500940,32
1758500970,32
1758501000,32
1758501030,32
1758501060,32
1758501090,32
1758501120,32
1758501150,32
1758501180,32
1758501211,32
1758501241,32
1758501271,32
1758501301,32
1758501331,32
1758501361,32
1758501391,32
1758501421,32
1758501451,32
1758501481,32
1758501511,32
1758501541,32
1758501571,32
1758501601,32
1758501631,32
1758501661,32
1758501691,32
1758501721,32
1758501751,32
1758501781,32
1758501811,32
1758501841,32
1758501871,32
1758501901,32
1758501931,32
1758501961,32
1758501991,32
1758502021,32
1758502051,32
1758502081,32
1758502111,32
1758502141,32
1758502171,32
1758502201,32
1758502231,32
1758502261,32
1758502291,32
1758502321,32
1758502351,32
1758502381,32
1758502411,32
1758502441,32
1758502471,32
1758502501,32
1758502531,32
1758502561,32
1758502591,32
1758502621,32
1758502651,32
