t,value
1758264660,33
1758264690,33
1758264720,33
1758264750,33
1758264780,33
1758264810,33
1758264840,33
1758264870,33
1758264900,33
1758264930,33
1758265140,29
1758265170,29
1758265200,29
1758265230,29
1758265260,29
1758265290,29
1758265320,29
1758265350,29
1758265380,29
1758265410,29
1758265440,29
1758266100,0
1758266130,29
1758266160,29
1758266190,29
1758266220,29
1758266400,33
1758266430,33
1758266460,33
1758266490,33
1758266520,33
1758266550,33
1758266580,33
1758266610,33
1758266640,33
1758266670,33
1758266700,33
1758266730,33
1758266760,33
1758266790,33
1758266820,33
1758266850,33
1758266880,33
1758266910,33
1758266940,33
1758266970,33
1758267000,35
1758267030,35
1758267060,35
1758267090,35
1758267120,35
1758267150,35
1758267180,35
1758267210,35
1758267240,35
1758267270,35
1758267300,35
1758267330,35
1758267360,35
1758267390,35
1758267420,35
1758267450,35
1758267480,35
1758267510,35
1758267540,35
1758267570,35
1758267600,35
1758267630,35
1758267660,35
1758267690,35
1758267720,35
1758267750,35
1758267780,35
1758267810,35
1758267840,35
1758267870,35
1758267900,35
1758267930,35
1758267960,35
1758267990,35
1758268020,35
1758268050,35
1758268080,35
1758268110,35
1758268140,35
1758268170,35
1758268200,35
1758268231,35
1758268261,35
1758268291,35
1758268321,35
1758268351,35
1758268381,35
1758268411,35
1758268441,35
1758268471,35
1758268501,35
1758268531,35
1758268561,35
1758268591,35
1758268621,35
1758268651,35
1758268681,35
1758268711,35
1758268741,35
1758268771,35
1758268801,35
1758268831,35
1758268861,35
1758268891,35
1758268921,35
1758268951,35
1758268981,35
1758269011,35
1758269041,35
1758269071,35
1758269101,35
1758269131,35
1758269161,35
1758269191,35
1758269221,35
1758269251,35
1758269281,35
1758269311,35
1758269341,35
1758269371,35
1758269401,35
1758269431,35
1758269461,35
1758269491,35
1758269521,35
1758269551,35
1758269581,35
1758269611,35
1758269641,35
1758269671,35
1758269701,35
1758269731,35
1758269761,35
1758269791,35
1758269821,35
1758269851,35
1758269881,35
1758269911,35
1758269941,35
1758269971,35
1758270001,35
1758270031,35
1758270061,35
1758270091,35
1758270121,35
1758270151,35
1758270181,35
1758270211,35
1758270241,35
1758270271,35
1758270301,35
1758270331,35
1758270362,35
1758270392,35
1758270422,35
1758270452,35
1758270482,35
1758270512,35
1758270542,35
1758270572,35
1758270602,35
1758270632,35
1758270662,35
1758270692,35
1758270722,35
1758270752,35
1758270782,35
1758270812,35
1758270842,35
1758270872,35
1758270902,35
1758270932,35
1758496830,0
1758496860,33
1758496890,33
1758496920,33
1758496950,33
1758496980,33
1758497010,33
1758497040,33
1758497070,33
1758497100,33
1758497130,33
1758497160,33
1758497190,33
1758497220,33
1758497250,33
1758497280,33
1758497310,33
1758497340,33
1758497370,33
1758497400,33
1758497430,35
1758497460,36
1758497490,36
1758497520,36
1758497550,36
1758497580,36
1758497610,36
1758497640,36
1758497670,36
1758497700,36
1758497730,39
1758497760,39
1758497790,39
1758497820,39
1758497850,39
1758497880,39
1758497910,39
1758497940,39
1758497970,39
1758498000,39
1758498030,39
1758498060,39
1758498090,39
1758498120,39
1758498150,39
1758498180,39
1758498210,39
1758498240,39
1758498270,39
1758498300,39
1758498330,39
1758498360,39
1758498390,39
1758498420,39
1758498450,39
1758498480,39
1758498510,39
1758498540,39
1758498570,39
1758498780,0
1758498810,29
1758498840,29
1758498870,29
1758498900,29
1758498930,29
1758498960,29
1758498990,29
1758499020,29
1758499050,29
1758499080,29
1758499110,29
1758499140,29
1758499170,29
1758499200,29
1758499230,29
1758499260,29
1758499290,29
1758499320,29
1758499350,29
1758499380,31
1758499410,31
1758499440,31
1758499470,31
1758499500,31
1758499530,31
1758499560,31
1758499590,31
1758499620,31
1758499650,31
1758499680,31
1758499710,31
1758499740,31
1758499770,31
1758499800,31
1758499830,31
1758499860,31
1758499890,31
1758499980,1
1758500010,29
1758500040,29
1758500070,29
1758500100,29
1758500130,29
1758500160,29
1758500190,29
1758500220,29
1758500250,29
1758500280,29
1758500310,29
1758500340,29
1758500370,29
1758500400,29
1758500430,29
1758500460,29
1758500490,29
1758500520,29
1758500550,29
1758500580,31
1758500610,31
1758500640,31
1758500670,31
1758500700,31
1758500730,31
1758500760,31
1758500790,31
1758500820,31
1758500850,31
1758500880,31
1758500910,31
1758500940,31
1758500970,31
1758501000,31
1758501030,31
1758501060,31
1758501090,31
1758501120,31
1758501150,31
1758501180,31
1758501211,31
1758501241,31
1758501271,31
1758501301,31
1758501331,31
1758501361,31
1758501391,31
1758501421,31
1758501451,31
1758501481,31
1758501511,31
1758501541,31
1758501571,31
1758501601,31
1758501631,31
1758501661,31
1758501691,31
1758501721,31
1758501751,31
1758501781,31
1758501811,31
1758501841,31
1758501871,31
1758501901,31
1758501931,31
1758501961,31
1758501991,31
1758502021,31
1758502051,31
1758502081,31
1758502111,31
1758502141,31
1758502171,31
1758502201,31
1758502231,31
1758502261,31
1758502291,31
1758502321,31
1758502351,31
1758502381,31
1758502411,31
1758502441,31
1758502471,31
1758502501,31
1758502531,31
1758502561,31
1758502591,31
1758502621,31
1758502651,31
