t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1758264660,2,0.1166029772459726,0.0,0.0,0.0,events/second
1758264690,2,0.04239014860576629,0.0,0.0,0.0,events/second
1758264720,2,0.02590747119460004,0.0,0.0,0.0,events/second
1758264750,2,0.018652532404335752,0.0,0.0,0.0,events/second
1758264780,2,0.014572245815449194,0.0,0.0,0.0,events/second
1758264810,2,0.011957336119501063,0.0,0.0,0.0,events/second
1758264840,2,0.010138083130445662,0.0,0.0,0.0,events/second
1758264870,2,0.008799116319178615,0.0,0.0,0.0,events/second
1758264900,3,0.011658908511561674,0.0,0.0,0.0,events/second
1758264930,3,0.010440922397651122,0.0,0.0,0.0,events/second
1758265140,2,0.13757362390056663,0.0,0.0,0.0,events/second
1758265170,2,0.04487699666228684,0.0,0.0,0.0,events/second
1758265200,2,0.026818155957555927,0.0,0.0,0.0,events/second
1758265230,2,0.01912243649098223,0.0,0.0,0.0,events/second
1758265260,2,0.014858331831044548,0.0,0.0,0.0,events/second
1758265290,2,0.01214892653221086,0.0,0.0,0.0,events/second
1758265320,2,0.01027524469034861,0.0,0.0,0.0,events/second
1758265350,2,0.008902360542265357,0.0,0.0,0.0,events/second
1758265380,2,0.007853448993579294,0.0,0.0,0.0,events/second
1758265410,3,0.010538445562502325,0.0,0.0,0.0,events/second
1758265440,3,0.00953342655397465,0.0,0.0,0.0,events/second
1758266100,0,0.0,0.0,0.0,0.0,events/second
1758266130,2,0.06083101350968301,0.0,0.0,0.0,events/second
1758266160,2,0.03180095643984172,0.0,0.0,0.0,events/second
1758266190,5,0.05381580021970817,0.0,0.0,0.0,events/second
1758266220,6,0.04881391748050206,0.0,0.0,0.0,events/second
1758266400,2,0.09623658555827988,0.0,0.0,0.0,events/second
1758266430,2,0.03935947570029609,0.0,0.0,0.0,events/second
1758266460,2,0.02474392312909326,0.0,0.0,0.0,events/second
1758266490,2,0.01804276827480008,0.0,0.0,0.0,events/second
1758266520,2,0.014198183992493006,0.0,0.0,0.0,events/second
1758266550,2,0.011703698447182609,0.0,0.0,0.0,events/second
1758266580,2,0.009955091739955806,0.0,0.0,0.0,events/second
1758266610,3,0.01299147851249078,0.0,0.0,0.0,events/second
1758266640,3,0.011497118343096621,0.0,0.0,0.0,events/second
1758266670,3,0.010310858959131641,0.0,0.0,0.0,events/second
1758266700,3,0.00934669345708166,0.0,0.0,0.0,events/second
1758266730,3,0.008547545997706336,0.0,0.0,0.0,events/second
1758266760,3,0.007874156472227913,0.0,0.0,0.0,events/second
1758266790,3,0.007299019688202721,0.0,0.0,0.0,events/second
1758266820,3,0.006802310488017535,0.0,0.0,0.0,events/second
1758266850,3,0.006368872962537937,0.0,0.0,0.0,events/second
1758266880,3,0.00598738029078826,0.0,0.0,0.0,events/second
1758266910,3,0.0056489435631114065,0.0,0.0,0.0,events/second
1758266940,3,0.005346731736432297,0.0,0.0,0.0,events/second
1758266970,3,0.005075268340805779,0.0,0.0,0.0,events/second
1758267000,3,0.0048300695010775685,0.0,0.0,0.0,events/second
1758267030,3,0.004607461201216573,0.0,0.0,0.0,events/second
1758267060,3,0.004404448086594799,0.0,0.0,0.0,events/second
1758267090,3,0.004218498723014314,0.0,0.0,0.0,events/second
1758267120,3,0.004047611308682597,0.0,0.0,0.0,events/second
1758267150,3,0.0038900923741866816,0.0,0.0,0.0,events/second
1758267180,3,0.0037443747378385385,0.0,0.0,0.0,events/second
1758267210,3,0.0036091709707115247,0.0,0.0,0.0,events/second
1758267240,3,0.003483384094787432,0.0,0.0,0.0,events/second
1758267270,3,0.003366053470114155,0.0,0.0,0.0,events/second
1758267300,3,0.003256373339762937,0.0,0.0,0.0,events/second
1758267330,3,0.003153625272969775,0.0,0.0,0.0,events/second
1758267360,3,0.00305713857885211,0.0,0.0,0.0,events/second
1758267390,3,0.0029663812050333654,0.0,0.0,0.0,events/second
1758267420,3,0.0028808691157136295,0.0,0.0,0.0,events/second
1758267450,3,0.002800144750944102,0.0,0.0,0.0,events/second
1758267480,3,0.0027238281961740915,0.0,0.0,0.0,events/second
1758267510,3,0.00265157416484263,0.0,0.0,0.0,events/second
1758267540,3,0.0025830503509065104,0.0,0.0,0.0,events/second
1758267570,3,0.0025179723064122817,0.0,0.0,0.0,events/second
1758267600,3,0.0024561013319300226,0.0,0.0,0.0,events/second
1758267630,3,0.0023972019839265993,0.0,0.0,0.0,events/second
1758267660,3,0.0023410417126744016,0.0,0.0,0.0,events/second
1758267690,3,0.0022874636050758466,0.0,0.0,0.0,events/second
1758267720,3,0.002236264109034628,0.0,0.0,0.0,events/second
1758267750,3,0.0021873320316290012,0.0,0.0,0.0,events/second
1758267780,3,0.002140495712057851,0.0,0.0,0.0,events/second
1758267810,3,0.0020956114360394596,0.0,0.0,0.0,events/second
1758267840,3,0.0020525726420139033,0.0,0.0,0.0,events/second
1758267870,3,0.002011276071130128,0.0,0.0,0.0,events/second
1758267900,3,0.00197159385421412,0.0,0.0,0.0,events/second
1758267930,3,0.0019334457254141437,0.0,0.0,0.0,events/second
1758267960,3,0.001896754947401099,0.0,0.0,0.0,events/second
1758267990,3,0.0018614232913351186,0.0,0.0,0.0,events/second
1758268020,3,0.0018273875922833254,0.0,0.0,0.0,events/second
1758268050,3,0.0017945733683805737,0.0,0.0,0.0,events/second
1758268080,3,0.0017629228347170523,0.0,0.0,0.0,events/second
1758268110,3,0.001732362688987516,0.0,0.0,0.0,events/second
1758268140,3,0.001702852464692628,0.0,0.0,0.0,events/second
1758268170,3,0.001674315751108431,0.0,0.0,0.0,events/second
1758268200,3,0.0016467201502291464,0.0,0.0,0.0,events/second
1758268231,3,0.0016200263607352165,0.0,0.0,0.0,events/second
1758268261,3,0.0015941810178009938,0.0,0.0,0.0,events/second
1758268291,3,0.0015691521992695083,0.0,0.0,0.0,events/second
1758268321,3,0.0015449000287250858,0.0,0.0,0.0,events/second
1758268351,3,0.0015213754197332154,0.0,0.0,0.0,events/second
1758268381,3,0.0014985552264220989,0.0,0.0,0.0,events/second
1758268411,3,0.001476420943635058,0.0,0.0,0.0,events/second
1758268441,3,0.0014549321152593885,0.0,0.0,0.0,events/second
1758268471,3,0.0014340544935203636,0.0,0.0,0.0,events/second
1758268501,3,0.0014137669606926874,0.0,0.0,0.0,events/second
1758268531,3,0.0013940422419410632,0.0,0.0,0.0,events/second
1758268561,3,0.0013748684874194841,0.0,0.0,0.0,events/second
1758268591,3,0.0013562137404285084,0.0,0.0,0.0,events/second
1758268621,3,0.0013380547670394972,0.0,0.0,0.0,events/second
1758268651,3,0.0013203791624998192,0.0,0.0,0.0,events/second
1758268681,3,0.0013031656462826155,0.0,0.0,0.0,events/second
1758268711,3,0.0012863917977136991,0.0,0.0,0.0,events/second
1758268741,3,0.001270043611147114,0.0,0.0,0.0,events/second
1758268771,3,0.001254108031357232,0.0,0.0,0.0,events/second
