t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1758264660,42,2.4486059902452086,0.0,0.0,0.0,events/second
1758264690,42,0.8901916924377868,0.0,0.0,0.0,events/second
1758264720,42,0.54405699304783,0.0,0.0,0.0,events/second
1758264750,42,0.39170319071980975,0.0,0.0,0.0,events/second
1758264780,42,0.3060172118462751,0.0,0.0,0.0,events/second
1758264810,51,0.30491211735067286,0.0,0.0,0.0,events/second
1758264840,58,0.2940044061629305,0.0,0.0,0.0,events/second
1758264870,58,0.25517436382588243,0.0,0.0,0.0,events/second
1758264900,65,0.2526097077820539,0.0,0.0,0.0,events/second
1758264930,65,0.22622001071272171,0.0,0.0,0.0,events/second
1758265140,34,2.338701977342944,0.0,0.0,0.0,events/second
1758265170,34,0.7629089672248205,0.0,0.0,0.0,events/second
1758265200,34,0.45590868367902077,0.0,0.0,0.0,events/second
1758265230,34,0.3250814436580076,0.0,0.0,0.0,events/second
1758265260,34,0.25259165914259263,0.0,0.0,0.0,events/second
1758265290,34,0.20653174803661778,0.0,0.0,0.0,events/second
1758265320,34,0.17467915856926014,0.0,0.0,0.0,events/second
1758265350,34,0.1513401352812911,0.0,0.0,0.0,events/second
1758265380,34,0.13350863441117772,0.0,0.0,0.0,events/second
1758265410,34,0.11943571981538237,0.0,0.0,0.0,events/second
1758265440,34,0.10804549552014871,0.0,0.0,0.0,events/second
1758266100,0,0.0,0.0,0.0,0.0,events/second
1758266130,34,1.0341278618804228,0.0,0.0,0.0,events/second
1758266160,34,0.5406164803960658,0.0,0.0,0.0,events/second
1758266190,44,0.47357916477615297,0.0,0.0,0.0,events/second
1758266220,49,0.39864708194692655,0.0,0.0,0.0,events/second
1758266400,44,2.1171790977085996,0.0,0.0,0.0,events/second
1758266430,44,0.86590870057033,0.0,0.0,0.0,events/second
1758266460,44,0.5443661626932156,0.0,0.0,0.0,events/second
1758266490,44,0.3969409528951885,0.0,0.0,0.0,events/second
1758266520,44,0.3123600176772201,0.0,0.0,0.0,events/second
1758266550,44,0.2574813824121819,0.0,0.0,0.0,events/second
1758266580,44,0.21901203768356362,0.0,0.0,0.0,events/second
1758266610,44,0.1905416921110918,0.0,0.0,0.0,events/second
1758266640,44,0.1686244132221082,0.0,0.0,0.0,events/second
1758266670,44,0.15122594091214045,0.0,0.0,0.0,events/second
1758266700,44,0.13708484138523966,0.0,0.0,0.0,events/second
1758266730,44,0.12536401450284315,0.0,0.0,0.0,events/second
1758266760,44,0.11548763304867925,0.0,0.0,0.0,events/second
1758266790,44,0.10705229230254801,0.0,0.0,0.0,events/second
1758266820,44,0.09976722487951194,0.0,0.0,0.0,events/second
1758266850,51,0.10827084431664091,0.0,0.0,0.0,events/second
1758266880,51,0.1017854590116321,0.0,0.0,0.0,events/second
1758266910,51,0.09603204078988574,0.0,0.0,0.0,events/second
1758266940,51,0.09089443371989042,0.0,0.0,0.0,events/second
1758266970,51,0.08627956043623329,0.0,0.0,0.0,events/second
1758267000,53,0.08533122484363342,0.0,0.0,0.0,events/second
1758267030,53,0.08139848137150892,0.0,0.0,0.0,events/second
1758267060,53,0.07781191651637877,0.0,0.0,0.0,events/second
1758267090,53,0.07452680991391679,0.0,0.0,0.0,events/second
1758267120,53,0.07150780164876278,0.0,0.0,0.0,events/second
1758267150,53,0.06872496286226841,0.0,0.0,0.0,events/second
1758267180,53,0.06615062065745568,0.0,0.0,0.0,events/second
1758267210,53,0.06376202078173672,0.0,0.0,0.0,events/second
1758267240,53,0.06153978475280112,0.0,0.0,0.0,events/second
1758267270,53,0.059466944898902994,0.0,0.0,0.0,events/second
1758267300,53,0.05752926244196938,0.0,0.0,0.0,events/second
1758267330,53,0.055714044960532075,0.0,0.0,0.0,events/second
1758267360,53,0.0540094482373949,0.0,0.0,0.0,events/second
1758267390,53,0.052406066882940486,0.0,0.0,0.0,events/second
1758267420,53,0.0508953552231326,0.0,0.0,0.0,events/second
1758267450,53,0.04946922311607199,0.0,0.0,0.0,events/second
1758267480,53,0.04812096479470652,0.0,0.0,0.0,events/second
