t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1758264660,16,0.9326427129587919,0.0,0.0,0.0,events/second
1758264690,17,0.36030890664457266,0.0,0.0,0.0,events/second
1758264720,18,0.23316488245724978,0.0,0.0,0.0,events/second
1758264750,19,0.17719756968235906,0.0,0.0,0.0,events/second
1758264780,20,0.14572167129452585,0.0,0.0,0.0,events/second
1758264810,57,0.34078260206814537,0.0,0.0,0.0,events/second
1758264840,70,0.3548315281979706,0.0,0.0,0.0,events/second
1758264870,71,0.3123675044834768,0.0,0.0,0.0,events/second
1758264900,84,0.3264484465985062,0.0,0.0,0.0,events/second
1758264930,85,0.29582539403521374,0.0,0.0,0.0,events/second
1758265140,16,1.1003921983486098,0.0,0.0,0.0,events/second
1758265170,17,0.3814510941731667,0.0,0.0,0.0,events/second
1758265200,18,0.24136216244170738,0.0,0.0,0.0,events/second
1758265230,19,0.18166248576829794,0.0,0.0,0.0,events/second
1758265260,20,0.14858291386086098,0.0,0.0,0.0,events/second
1758265290,21,0.12756338330209332,0.0,0.0,0.0,events/second
1758265320,22,0.11302744659973844,0.0,0.0,0.0,events/second
1758265350,23,0.10237697612384772,0.0,0.0,0.0,events/second
1758265380,24,0.09424123283107477,0.0,0.0,0.0,events/second
1758265410,25,0.08782026091642604,0.0,0.0,0.0,events/second
1758265440,26,0.08262289638649938,0.0,0.0,0.0,events/second
1758266100,0,0.0,0.0,0.0,0.0,events/second
1758266130,16,0.48664068220356665,0.0,0.0,0.0,events/second
1758266160,17,0.27030609463746785,0.0,0.0,0.0,events/second
1758266190,83,0.893337651074577,0.0,0.0,0.0,events/second
1758266220,116,0.9437321608333374,0.0,0.0,0.0,events/second
1758266400,33,1.587728662637191,0.0,0.0,0.0,events/second
1758266430,34,0.6691029163037562,0.0,0.0,0.0,events/second
1758266460,35,0.43301371271536976,0.0,0.0,0.0,events/second
1758266490,36,0.3247679491505193,0.0,0.0,0.0,events/second
1758266520,37,0.2626650111293295,0.0,0.0,0.0,events/second
1758266550,38,0.2223694180329817,0.0,0.0,0.0,events/second
1758266580,39,0.19412369806138577,0.0,0.0,0.0,events/second
1758266610,40,0.1732192139919289,0.0,0.0,0.0,events/second
1758266640,41,0.15712690971413726,0.0,0.0,0.0,events/second
1758266670,42,0.14435172412803973,0.0,0.0,0.0,events/second
1758266700,43,0.1339689963645933,0.0,0.0,0.0,events/second
1758266730,44,0.12536375933046134,0.0,0.0,0.0,events/second
1758266760,45,0.11811215624052408,0.0,0.0,0.0,events/second
1758266790,46,0.11191813363311666,0.0,0.0,0.0,events/second
1758266820,47,0.1065693860678227,0.0,0.0,0.0,events/second
1758266850,60,0.12737729316088334,0.0,0.0,0.0,events/second
1758266880,60,0.11974739163197945,0.0,0.0,0.0,events/second
1758266910,60,0.11297872134660031,0.0,0.0,0.0,events/second
1758266940,60,0.1069344814996497,0.0,0.0,0.0,events/second
1758266970,60,0.10150523467595861,0.0,0.0,0.0,events/second
1758267000,60,0.09660126710597267,0.0,0.0,0.0,events/second
1758267030,60,0.09214912487226265,0.0,0.0,0.0,events/second
1758267060,60,0.08808887168107364,0.0,0.0,0.0,events/second
1758267090,60,0.08436987602627842,0.0,0.0,0.0,events/second
1758267120,60,0.08095215258057623,0.0,0.0,0.0,events/second
1758267150,60,0.07780175399329219,0.0,0.0,0.0,events/second
1758267180,60,0.07488742994545843,0.0,0.0,0.0,events/second
1758267210,60,0.07218334013738109,0.0,0.0,0.0,events/second
