t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1758264660,21,1.2240673606366959,0.0,0.0,0.0,events/second
1758264690,21,0.4450874361233561,0.0,0.0,0.0,events/second
1758264720,21,0.2720257479987202,0.0,0.0,0.0,events/second
1758264750,21,0.19584990050568585,0.0,0.0,0.0,events/second
1758264780,21,0.15300778183807728,0.0,0.0,0.0,events/second
1758264810,21,0.12555150546460594,0.0,0.0,0.0,events/second
1758264840,21,0.10644947194925862,0.0,0.0,0.0,events/second
1758264870,21,0.09239032962984849,0.0,0.0,0.0,events/second
1758264900,21,0.0816121198008557,0.0,0.0,0.0,events/second
1758264930,21,0.07308628239246724,0.0,0.0,0.0,events/second
1758265140,17,1.1691407553382398,0.0,0.0,0.0,events/second
1758265170,17,0.38145114467194574,0.0,0.0,0.0,events/second
1758265200,17,0.2279531797041538,0.0,0.0,0.0,events/second
1758265230,17,0.1625401339198568,0.0,0.0,0.0,events/second
1758265260,17,0.1262954873841554,0.0,0.0,0.0,events/second
1758265290,17,0.10326559694737857,0.0,0.0,0.0,events/second
1758265320,17,0.08733939194536244,0.0,0.0,0.0,events/second
1758265350,17,0.07566994224234826,0.0,0.0,0.0,events/second
1758265380,17,0.06675420750611528,0.0,0.0,0.0,events/second
1758265410,17,0.05971777952094211,0.0,0.0,0.0,events/second
1758265440,17,0.05402266104769766,0.0,0.0,0.0,events/second
1758266100,0,0.0,0.0,0.0,0.0,events/second
1758266130,17,0.5170557106876452,0.0,0.0,0.0,events/second
1758266160,17,0.27030614836202616,0.0,0.0,0.0,events/second
1758266190,17,0.18297279455442655,0.0,0.0,0.0,events/second
1758266220,17,0.13830559127240952,0.0,0.0,0.0,events/second
1758266400,21,1.0103628442470394,0.0,0.0,0.0,events/second
1758266430,21,0.41326997938660515,0.0,0.0,0.0,events/second
1758266460,21,0.2598082674865569,0.0,0.0,0.0,events/second
1758266490,21,0.1894480974929211,0.0,0.0,0.0,events/second
1758266520,21,0.14908020209400225,0.0,0.0,0.0,events/second
1758266550,21,0.12288841041876665,0.0,0.0,0.0,events/second
1758266580,21,0.10452818600494834,0.0,0.0,0.0,events/second
1758266610,21,0.09094011463709917,0.0,0.0,0.0,events/second
1758266640,21,0.08047966080186775,0.0,0.0,0.0,events/second
1758266670,21,0.07217588185957453,0.0,0.0,0.0,events/second
1758266700,21,0.06542673340327235,0.0,0.0,0.0,events/second
1758266730,21,0.05983271613645286,0.0,0.0,0.0,events/second
1758266760,21,0.05511901774697723,0.0,0.0,0.0,events/second
1758266790,21,0.05109307018047043,0.0,0.0,0.0,events/second
1758266820,21,0.04761611726272636,0.0,0.0,0.0,events/second
1758266850,21,0.04458206011171337,0.0,0.0,0.0,events/second
1758266880,21,0.041911589806440754,0.0,0.0,0.0,events/second
1758266910,21,0.039542557214271495,0.0,0.0,0.0,events/second
1758266940,21,0.03742707196013728,0.0,0.0,0.0,events/second
1758266970,21,0.03552683534005743,0.0,0.0,0.0,events/second
1758267000,22,0.03542046745690834,0.0,0.0,0.0,events/second
1758267030,22,0.03378801575870045,0.0,0.0,0.0,events/second
1758267060,22,0.03229925586606213,0.0,0.0,0.0,events/second
1758267090,22,0.030935623302013243,0.0,0.0,0.0,events/second
1758267120,22,0.029682458541298907,0.0,0.0,0.0,events/second
1758267150,22,0.02852731120320787,0.0,0.0,0.0,events/second
1758267180,22,0.027458726564998,0.0,0.0,0.0,events/second
1758267210,22,0.026467226589322695,0.0,0.0,0.0,events/second
1758267240,22,0.025544795446126436,0.0,0.0,0.0,events/second
1758267270,22,0.024684374695962134,0.0,0.0,0.0,events/second
1758267300,22,0.023880054714111615,0.0,0.0,0.0,events/second
1758267330,22,0.023126557511364366,0.0,0.0,0.0,events/second
1758267360,22,0.022419001159703134,0.0,0.0,0.0,events/second
1758267390,22,0.021753444756015934,0.0,0.0,0.0,events/second
1758267420,22,0.021126362880563118,0.0,0.0,0.0,events/second
1758267450,22,0.020534379668125158,0.0,0.0,0.0,events/second
1758267480,22,0.019974727945149647,0.0,0.0,0.0,events/second
1758267510,22,0.01944486116181355,0.0,0.0,0.0,events/second
1758267540,22,0.018942357074585272,0.0,0.0,0.0,events/second
1758267570,22,0.018465122220494158,0.0,0.0,0.0,events/second
1758267600,22,0.018011398787674517,0.0,0.0,0.0,events/second
1758267630,22,0.017579471840372736,0.0,0.0,0.0,events/second
1758267660,22,0.017167629652974886,0.0,0.0,0.0,events/second
1758267690,22,0.016774722940540172,0.0,0.0,0.0,events/second
1758267720,22,0.016399261014770777,0.0,0.0,0.0,events/second
1758267750,22,0.016040428107182512,0.0,0.0,0.0,events/second
1758267780,22,0.015696961383896094,0.0,0.0,0.0,events/second
1758267810,22,0.01536780980551135,0.0,0.0,0.0,events/second
1758267840,22,0.015052190915521783,0.0,0.0,0.0,events/second
1758267870,22,0.014749351308863888,0.0,0.0,0.0,events/second
1758267900,22,0.01445834852276625,0.0,0.0,0.0,events/second
1758267930,22,0.014178596009303608,0.0,0.0,0.0,events/second
1758267960,22,0.013909530554957276,0.0,0.0,0.0,events/second
1758267990,22,0.013650433067217582,0.0,0.0,0.0,events/second
1758268020,22,0.013400836871858725,0.0,0.0,0.0,events/second
1758268050,22,0.0131601984193432,0.0,0.0,0.0,events/second
1758268080,22,0.012928095885537904,0.0,0.0,0.0,events/second
1758268110,22,0.012703989152031326,0.0,0.0,0.0,events/second
1758268140,22,0.012487579405814873,0.0,0.0,0.0,events/second
1758268170,22,0.012278310103484433,0.0,0.0,0.0,events/second
1758268200,22,0.012075940939599315,0.0,0.0,0.0,events/second
1758268231,22,0.011880188131617925,0.0,0.0,0.0,events/second
1758268261,22,0.011690655592508493,0.0,0.0,0.0,events/second
1758268291,22,0.011507112322888797,0.0,0.0,0.0,events/second
1758268321,22,0.011329263253694164,0.0,0.0,0.0,events/second
1758268351,22,0.011156747479018271,0.0,0.0,0.0,events/second
1758268381,22,0.010989399599321405,0.0,0.0,0.0,events/second
1758268411,22,0.010827084101243244,0.0,0.0,0.0,events/second
1758268441,22,0.010669497879618121,0.0,0.0,0.0,events/second
1758268471,22,0.010516394580056833,0.0,0.0,0.0,events/second
1758268501,22,0.010367620281670016,0.0,0.0,0.0,events/second
1758268531,22,0.0102229710349209,0.0,0.0,0.0,events/second
1758268561,22,0.010082366059112188,0.0,0.0,0.0,events/second
1758268591,22,0.009945564141358903,0.0,0.0,0.0,events/second
1758268621,22,0.009812398452425054,0.0,0.0,0.0,events/second
1758268651,22,0.009682778072417061,0.0,0.0,0.0,events/second
1758268681,22,0.009556545148180893,0.0,0.0,0.0,events/second
1758268711,22,0.009433536327849974,0.0,0.0,0.0,events/second
1758268741,22,0.009313650699464224,0.0,0.0,0.0,events/second
1758268771,22,0.009196789446854935,0.0,0.0,0.0,events/second
1758268801,22,0.009082804283581904,0.0,0.0,0.0,events/second
1758268831,22,0.008971616526279803,0.0,0.0,0.0,events/second
1758268861,22,0.008863144087046707,0.0,0.0,0.0,events/second
1758268891,22,0.008757268420789267,0.0,0.0,0.0,events/second
1758268921,22,0.008653846143028845,0.0,0.0,0.0,events/second
1758268951,22,0.008552873689444908,0.0,0.0,0.0,events/second
1758268981,22,0.008454205227346119,0.0,0.0,0.0,events/second
1758269011,22,0.008357822592794908,0.0,0.0,0.0,events/second
1758269041,22,0.008263605488789558,0.0,0.0,0.0,events/second
1758269071,22,0.008171463705640696,0.0,0.0,0.0,events/second
1758269101,22,0.008081375351206944,0.0,0.0,0.0,events/second
1758269131,22,0.00799322188532466,0.0,0.0,0.0,events/second
1758269161,22,0.007906992146588831,0.0,0.0,0.0,events/second
1758269191,22,0.00782261201470433,0.0,0.0,0.0,events/second
1758269221,22,0.007740015511965625,0.0,0.0,0.0,events/second
1758269251,22,0.007659144841765081,0.0,0.0,0.0,events/second
1758269281,22,0.007579957162538443,0.0,0.0,0.0,events/second
1758269311,22,0.0075023887101799604,0.0,0.0,0.0,events/second
1758269341,22,0.007426393799311024,0.0,0.0,0.0,events/second
1758269371,22,0.007351911449621352,0.0,0.0,0.0,events/second
1758269401,22,0.007278886886262251,0.0,0.0,0.0,events/second
1758269431,22,0.007207303706923972,0.0,0.0,0.0,events/second
1758269461,22,0.0071371230609372505,0.0,0.0,0.0,events/second
1758269491,22,0.007068310715993882,0.0,0.0,0.0,events/second
1758269521,22,0.007000793447049423,0.0,0.0,0.0,events/second
1758269551,22,0.006934570231748395,0.0,0.0,0.0,events/second
1758269581,22,0.006869581965212201,0.0,0.0,0.0,events/second
1758269611,22,0.006805783099901482,0.0,0.0,0.0,events/second
1758269641,22,0.006743148569957968,0.0,0.0,0.0,events/second
1758269671,22,0.006681690402790263,0.0,0.0,0.0,events/second
1758269701,22,0.006621335624937945,0.0,0.0,0.0,events/second
1758269731,22,0.006562062446459758,0.0,0.0,0.0,events/second
1758269761,22,0.006503814071684514,0.0,0.0,0.0,events/second
1758269791,22,0.006446604022911634,0.0,0.0,0.0,events/second
1758269821,22,0.0063903881867333244,0.0,0.0,0.0,events/second
1758269851,22,0.006335150132191863,0.0,0.0,0.0,events/second
1758269881,22,0.006280845026870094,0.0,0.0,0.0,events/second
1758269911,22,0.00622749067339378,0.0,0.0,0.0,events/second
1758269941,22,0.006175030229998727,0.0,0.0,0.0,events/second
1758269971,22,0.006123448879149819,0.0,0.0,0.0,events/second
1758270001,22,0.00607271998969311,0.0,0.0,0.0,events/second
1758270031,22,0.006022825083104859,0.0,0.0,0.0,events/second
1758270061,22,0.005973736451507552,0.0,0.0,0.0,events/second
1758270091,22,0.005925437772162068,0.0,0.0,0.0,events/second
1758270121,22,0.005877920648276869,0.0,0.0,0.0,events/second
1758270151,22,0.0058311640449999836,0.0,0.0,0.0,events/second
1758270181,22,0.005785133321102855,0.0,0.0,0.0,events/second
1758270211,22,0.005739822293246795,0.0,0.0,0.0,events/second
1758270241,22,0.0056952232548664605,0.0,0.0,0.0,events/second
1758270271,22,0.005651304194985404,0.0,0.0,0.0,events/second
1758270301,22,0.005608060794330482,0.0,0.0,0.0,events/second
1758270331,22,0.005565474548926221,0.0,0.0,0.0,events/second
1758270362,22,0.005523533956804622,0.0,0.0,0.0,events/second
1758270392,22,0.005482227020886138,0.0,0.0,0.0,events/second
1758270422,22,0.005441541619862568,0.0,0.0,0.0,events/second
1758270452,22,0.0054014498720384605,0.0,0.0,0.0,events/second
1758270482,22,0.005361937279799797,0.0,0.0,0.0,events/second
1758270512,22,0.005322997529793023,0.0,0.0,0.0,events/second
1758270542,22,0.005284621850620732,0.0,0.0,0.0,events/second
1758270572,22,0.005246795271763411,0.0,0.0,0.0,events/second
1758270602,22,0.005209503562223513,0.0,0.0,0.0,events/second
1758270632,22,0.005172733179581371,0.0,0.0,0.0,events/second
1758270662,22,0.005136489627689744,0.0,0.0,0.0,events/second
1758270692,22,0.00510074126054028,0.0,0.0,0.0,events/second
1758270722,22,0.005065500572556823,0.0,0.0,0.0,events/second
1758270752,22,0.00503073369805368,0.0,0.0,0.0,events/second
1758270782,22,0.004996452598371287,0.0,0.0,0.0,events/second
1758270812,22,0.004962625280352127,0.0,0.0,0.0,events/second
1758270842,22,0.0049292582290006316,0.0,0.0,0.0,events/second
1758270872,22,0.004896330489737841,0.0,0.0,0.0,events/second
1758270902,22,0.004863844480568502,0.0,0.0,0.0,events/second
1758270932,22,0.004831781826270198,0.0,0.0,0.0,events/second
1758496830,0,0.0,0.0,0.0,0.0,events/second
1758496860,21,0.42343183200576767,0.0,0.0,0.0,events/second
1758496890,21,0.263776903761836,0.0,0.0,0.0,events/second
1758496920,21,0.19154722474015465,0.0,0.0,0.0,events/second
1758496950,21,0.15038231534799598,0.0,0.0,0.0,events/second
1758496980,21,0.12377790114288029,0.0,0.0,0.0,events/second
1758497010,21,0.10517007062585329,0.0,0.0,0.0,events/second
1758497040,21,0.0914276310694876,0.0,0.0,0.0,events/second
1758497070,21,0.0808613275913769,0.0,0.0,0.0,events/second
1758497100,21,0.07248519644558953,0.0,0.0,0.0,events/second
1758497130,21,0.06568231490092037,0.0,0.0,0.0,events/second
1758497160,21,0.060045642442550604,0.0,0.0,0.0,events/second
1758497190,21,0.05529916792691504,0.0,0.0,0.0,events/second
