t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1758264660,0,0.0,0.0,0.0,0.0,events/second
1758264690,0,0.0,0.0,0.0,0.0,events/second
1758264720,0,0.0,0.0,0.0,0.0,events/second
1758264750,0,0.0,0.0,0.0,0.0,events/second
1758264780,0,0.0,0.0,0.0,0.0,events/second
1758264810,0,0.0,0.0,0.0,0.0,events/second
1758264840,0,0.0,0.0,0.0,0.0,events/second
1758264870,0,0.0,0.0,0.0,0.0,events/second
1758264900,0,0.0,0.0,0.0,0.0,events/second
1758264930,0,0.0,0.0,0.0,0.0,events/second
1758265140,2,0.1303073686302028,0.02942507589548365,0.0065021413358446346,0.0022037834843897696,events/second
1758265170,2,0.04407895507063847,0.017847210694982008,0.005883380778030544,0.0021315348680781203,events/second
1758265200,2,0.026531117137471597,0.010824880476857807,0.005323503072515552,0.0020616548431439457,events/second
1758265230,2,0.01897604793701904,0.006565621896938975,0.00481690477504147,0.001994065757925528,events/second
1758265260,2,0.014769802779606283,0.0039822509805741094,0.004358515679573608,0.0019286925064854244,events/second
1758265290,2,0.012089666568888064,0.0024153573143888968,0.003943748073974628,0.0018654624451516979,events/second
1758265320,2,0.01023282321058733,0.0014649882653380325,0.003568450824639491,0.0018043053117952528,events/second
1758265350,2,0.008870503788118926,8.885602990467436E-4,0.003228867830555088,0.001745153147753574,events/second
1758265380,2,0.00782864423319576,5.389390643752765E-4,0.0029216004309788363,0.0016879402223141094,events/second
1758265410,2,0.007005774227775119,3.2688306626044595E-4,0.0026435733904996367,0.0016326029596733828,events/second
1758265440,2,0.006339359536750136,1.982646018278368E-4,0.002392004121048259,0.0015790798682906704,events/second
1758266100,0,0.0,0.0,0.0,0.0,events/second
1758266130,2,0.059274412257822796,0.02490778899904623,0.006288975787638508,0.002179432534806779,events/second
1758266160,2,0.03137031471507508,0.015107337693574589,0.005690500613777493,0.002107982237579426,events/second
1758266190,6,0.06398438453417317,0.036235440225469005,0.011543648275219226,0.004230448548638858,events/second
1758266220,8,0.0646312643654043,0.06597816580939372,0.02271295169832789,0.008414466749542117,events/second
1758266400,9,0.41666169566115874,0.2640496635250157,0.21582456647020987,0.2054605875200113,events/second
1758266430,9,0.17432015092716144,0.1601542166147267,0.19528614347363504,0.19872478826384724,events/second
1758266460,9,0.11023484574843546,0.09713844265909022,0.1767022098388839,0.1922098147736706,events/second
1758266490,9,0.0805995091794378,0.05891744370947582,0.15988677131186402,0.18590842751975833,events/second
1758266520,9,0.06352400111912068,0.035735236001690325,0.14467153333193294,0.17981362431240225,events/second
1758266550,9,0.05241649729183149,0.02167451626709189,0.1309042166833695,0.17391863252097806,events/second
1758266580,9,0.04461682132431746,0.013146258650431454,0.11844703343379984,0.16821690154810337,events/second
1758266610,9,0.03883727855922872,0.007973608931999108,0.1071753079062584,0.162702095550522,events/second
1758266640,9,0.03438390287115308,0.004836238285815966,0.09697622888310782,0.1573680863986266,events/second
1758266670,9,0.030846128934820118,0.002933326798023454,0.08774772055345553,0.152208946866795,events/second
1758266700,9,0.0279690174278481,0.0017791526379579126,0.0793974209041296,0.14721894404697428,events/second
1758266730,9,0.025583194152797927,0.001079110623230085,0.07184175732960693,0.14239253297819307,events/second
1758266760,9,0.023572018289447272,6.545136782106548E-4,0.06500511020928751,0.13772435048492332,events/second
1758266790,9,0.021853702062621532,3.969826130360508E-4,0.058819056080914714,0.13320920921744456,events/second
1758266820,9,0.020369271015247308,2.4078212617920097E-4,0.05322168283556718,0.12884209188758838,events/second
1758266850,9,0.019073600209668203,1.4604174183848132E-4,0.04815697008046335,0.1246181456934575,events/second
1758266880,9,0.017932939968251065,8.85787940228762E-5,0.043574228468041425,0.12053267692692439,events/second
1758266910,9,0.016920834786067686,5.372575437524459E-5,0.039427592379931604,0.11658114575791727,events/second
1758266940,9,0.016016909009553354,3.258631724477601E-5,0.03567556088843159,0.11275916118969706,events/second
1758266970,9,0.015204823043528326,1.9764600496079168E-5,0.03228058240127311,0.10906247617952072,events/second
1758267000,9,0.01447120293766127,1.1987836177843542E-5,0.029208678832664994,0.10548698291926767,events/second
1758267030,9,0.013805091637521841,7.27099018547442E-6,0.02642910553919018,0.10202870827078601,events/second
1758267060,9,0.013197541742114715,4.4100784739598845E-6,0.02391404361708072,0.09868380935088583,events/second
1758267090,9,0.01264099559845351,2.674847806195373E-6,0.02163832148127864,0.0954485692610735,events/second
1758267120,9,0.012129486119889139,1.62237720452257E-6,0.019579162939752204,0.09231939295728214,events/second
1758267150,9,0.011657942770105841,9.840215161618124E-7,0.017715959241710728,0.0892928032550084,events/second
1758267180,9,0.011221700841289478,5.9683921936905E-7,0.016030062818299832,0.08636543696541617,events/second
1758267210,9,0.010816895642689842,3.6200128546628316E-7,0.014504600651464656,0.08353404115811432,events/second
1758267240,9,0.01044026410928218,2.195648784906861E-7,0.013124305403113976,0.08079546954645471,events/second
1758267270,9,0.010088928266319684,1.3317283060068007E-7,0.011875362614469044,0.07814667899133458,events/second
1758267300,9,0.009760479321054187,8.077340480002929E-8,0.010745272446316931,0.07558472611961774,events/second
1758267330,9,0.009452750276133138,4.8991546500597366E-8,0.009722724576418349,0.07310676405341708,events/second
1758267360,9,0.00916379934210757,2.9714875019349487E-8,0.008797485002001146,0.07071003924660413,events/second
1758267390,9,0.008891970705420294,1.80229827487645E-8,0.007960293614420797,0.06839188842503004,events/second
1758267420,9,0.008635845179647352,1.0931491616597544E-8,0.007202771520880652,0.06614973562705799,events/second
1758267450,9,0.0083940428354335,6.630284821858034E-9,0.0065173371856565914,0.06398108934111864,events/second
1758267480,9,0.00816543782065443,4.021471027084215E-9,0.0058971305515392565,0.06188353973710759,events/second
1758267510,9,0.007948989500806414,2.439145475072631E-9,0.005335944382075756,0.05985475598854845,events/second
1758267540,9,0.007743712345114602,1.479416514130888E-9,0.004828162137460911,0.05789248368254581,events/second
1758267570,9,0.007548750462695941,8.973114743055724E-10,0.004368701762319111,0.05599454231465011,events/second
1758267600,9,0.007363386339719319,5.442469204782747E-10,0.003952964822785971,0.054158822865850546,events/second
1758267630,9,0.007186922024692054,3.301024437242572E-10,0.003576790483836632,0.05238328545900366,events/second
1758267660,9,0.007018657093639302,2.0021725296482618E-10,0.0032364138662503293,0.050665957092093275,events/second
1758267690,9,0.006858124814688085,1.2143790252660726E-10,0.0029284283664337252,0.049004929445803085,events/second
1758267720,9,0.006704715708801725,7.365581113358162E-11,0.002649751561987155,0.04739835676296549,events/second
1758267750,9,0.006558096662800783,4.46745077185204E-11,0.0023975943617852075,0.04584445379753039,events/second
1758267780,9,0.006417752548191837,2.7096458638851323E-11,0.0021694330918153016,0.04434149383077483,events/second
1758267810,9,0.006283253411377369,1.6434832934098582E-11,0.0019629842373999258,0.04288780675254893,events/second
1758267840,9,0.006154282685007107,9.968230061785732E-12,0.001776181589014236,0.041481777205426215,events/second
1758267870,9,0.006030530726095323,6.0460371555422066E-12,0.001607155562966649,0.0401218427896957,events/second
1758267900,9,0.005911612799468654,3.6671069045981096E-12,0.001454214489976872,0.03880649232720156,events/second
1758267930,9,0.005797289906193992,2.2242127700826454E-12,0.0013158276843811528,0.03753426418210077,events/second
1758267960,9,0.00568733217711169,1.3490532387794913E-12,0.0011906101245156779,0.036303744636672935,events/second
1758267990,9,0.005581445984753591,8.1824215090439E-13,0.0010773085909542384,0.03511356632037733,events/second
1758268020,9,0.00547944051944965,4.962889515927239E-13,9.747891238669908E-4,0.033962406690411645,events/second
1758268050,9,0.005381094071300559,3.010144652176261E-13,8.820256739693433E-4,0.032848986562083946,events/second
1758268080,9,0.005286234902197949,1.8257450217149236E-13,7.980898334758476E-4,0.031772068687364645,events/second
1758268110,9,0.005194642069551634,1.1073703324878092E-13,7.221415442830349E-4,0.03073045638003927,events/second
1758268140,9,0.005106193056157068,6.716540583100293E-14,6.534206903855619E-4,0.029722992185933966,events/second
1758268170,9,0.005020661012203619,4.073787790854498E-14,5.912394903797461E-4,0.028748556596736186,events/second
1758268200,9,0.004937948744918058,2.4708771963162505E-14,5.34975613916106E-4,0.027806066805981414,events/second
1758268231,9,0.004857938958798799,1.498662775950598E-14,4.840659532080518E-4,0.02689447550582348,events/second
