t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1758264660,36,2812,761.7222222222222,3,1031.905134374864,100.0,1300.5,2805.2,2812.0,2812.0,2812.0
1758264690,37,2812,741.3783783783783,3,1024.9697109712113,100.0,1282.0,2804.8,2812.0,2812.0,2812.0
1758264720,38,2812,722.078947368421,3,1017.9995587950765,94.5,1263.5,2804.4,2812.0,2812.0,2812.0
1758264750,39,2812,703.7435897435897,3,1011.0206077848868,89.0,1245.0,2804.0,2812.0,2812.0,2812.0
1758264780,40,2812,686.35,3,1004.0193467846866,87.0,1221.75,2803.8,2812.0,2812.0,2812.0
1758264810,76,2812,365.82894736842104,2,799.9718893087497,9.5,97.25,2797.45,2807.68,2812.0,2812.0
1758264840,88,2812,316.67045454545456,2,753.1048181780603,8.0,85.0,2738.95,2805.76,2812.0,2812.0
1758264870,89,2812,313.17977528089887,2,749.5373506643001,8.0,85.0,2732.5,2805.6,2812.0,2812.0
1758264900,101,2812,276.7821782178218,2,710.1516261188225,7.0,70.0,2634.799999999997,2803.84,2811.84,2812.0
1758264930,102,2812,274.1372549019608,2,707.1319990941472,7.0,66.5,2618.199999999998,2803.76,2811.76,2812.0
1758265140,33,2913,856.939393939394,3,1096.8500905830847,80.0,1468.5,2906.7,2913.0,2913.0,2913.0
1758265170,34,2913,832.0,3,1089.8487245596255,80.0,1450.25,2906.25,2913.0,2913.0,2913.0
1758265200,35,2913,808.4857142857143,3,1082.6763508418705,80.0,1432.0,2905.8,2913.0,2913.0,2913.0
1758265230,36,2913,786.3055555555555,3,1075.363907028538,80.0,1432.0,2905.35,2913.0,2913.0,2913.0
1758265260,37,2913,765.2432432432432,3,1068.0351483345844,80.0,1432.0,2904.9,2913.0,2913.0,2913.0
1758265290,38,2913,745.2894736842105,3,1060.6597872129057,80.0,1432.0,2904.45,2913.0,2913.0,2913.0
1758265320,39,2913,726.4102564102565,3,1053.2305120300045,80.0,1432.0,2904.0,2913.0,2913.0,2913.0
