t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1758264660,36,2.002434871807012,0.5322085243714928,0.11714782118071178,0.039680380032667384,events/second
1758264690,37,0.7708292463324335,0.3375133253394706,0.10925080271361587,0.03948139418303547,events/second
1758264720,38,0.4870730467319133,0.21942471782769565,0.10210528491366651,0.039288931865503404,events/second
1758264750,39,0.36096573750797034,0.14780035680903253,0.09563975303703035,0.039102779213250304,events/second
1758264780,40,0.28971596828074564,0.10435798586888695,0.08978949786754568,0.03892272937084367,events/second
1758264810,76,0.45216479231053125,0.5505990991136437,0.19634896448251696,0.07709502592277898,events/second
1758264840,88,0.4442312616760729,0.509329340611582,0.2166230025997988,0.08778414659819414,events/second
1758264870,89,0.39015419755295155,0.3224600493359853,0.1992059335558573,0.08600202705130705,events/second
1758264900,101,0.3912709532965718,0.3811846452548736,0.2196452036615622,0.09644825075132404,events/second
1758264930,102,0.35398243061094803,0.24591271230650655,0.2019942696330328,0.09438819273220121,events/second
1758265140,33,2.1495571169764753,0.48679233140187383,0.10733997060919065,0.03636856614925697,events/second
1758265170,34,0.7493405500117762,0.3099670118559713,0.10037629252599818,0.036278154473201096,events/second
1758265200,35,0.4642939925054698,0.20271703413789785,0.09407529602916868,0.03619070684444828,events/second
1758265230,36,0.3415680439147203,0.13766663439838947,0.08837391862792385,0.03610612608996959,events/second
1758265260,37,0.2732411839404027,0.09821157252981493,0.08321509902093292,0.03602431822244689,events/second
1758265290,38,0.22970344445090368,0.07428086782566565,0.07854720600762996,0.03594519233583282,events/second
1758265320,39,0.19953990324464607,0.05976616171406975,0.07432352174580482,0.03586866050433478,events/second
1758265350,40,0.1774099965257756,0.052241126567062014,0.07055641275149002,0.035800776341536285,events/second
1758265380,41,0.1604871369248566,0.047676962034986656,0.0671477915756142,0.03573511768630983,events/second
1758265410,42,0.1471212085882863,0.044908656310309984,0.06406354359177201,0.03567161157783882,events/second
1758265440,43,0.1362961284301809,0.04322959401283558,0.06127280060948963,0.03561018744724667,events/second
1758266100,0,0.0,0.0,0.0,0.0,events/second
1758266130,33,0.9780245703244655,0.410978518484263,0.1037681004960354,0.035960636824311866,events/second
1758266160,34,0.5332945220402352,0.26172496644350396,0.0970377480211479,0.03587142318746394,events/second
1758266190,100,1.0664054115595734,0.6054384325670259,0.19331544684800597,0.0708563921713309,events/second
1758266220,133,1.074494011378318,1.093221267603889,0.3773381919637614,0.1398581385473034,events/second
1758266400,46,2.1294038536710334,0.6308991118240244,0.14745356732953296,0.05044893887934226,events/second
1758266430,47,0.9103345123140165,0.3961958428705819,0.1366188403389045,0.04989081303079345,events/second
1758266460,48,0.5879165792084617,0.25384111431553885,0.12681517394357972,0.04935098472398186,events/second
1758266490,49,0.4388190752517023,0.16749860689183566,0.11794444975514813,0.04882885409413774,events/second
1758266520,50,0.3529101687867064,0.11630557848679399,0.10997162205604252,0.048329945590131616,events/second
