t,value
1758264660,61
1758264690,61
1758264720,61
1758264750,61
1758264780,61
1758264810,61
1758264840,61
1758264870,61
1758264900,61
1758264930,61
1758265140,61
1758265170,61
1758265200,61
1758265230,61
1758265260,61
1758265290,61
1758265320,61
1758265350,61
1758265380,61
1758265410,61
1758265440,61
1758266100,61
1758266130,61
1758266160,61
1758266190,61
1758266220,61
1758266400,61
1758266430,61
1758266460,61
1758266490,61
1758266520,61
1758266550,61
1758266580,61
1758266610,61
1758266640,61
1758266670,61
1758266700,61
1758266730,61
1758266760,61
1758266790,61
1758266820,61
1758266850,61
1758266880,61
1758266910,61
1758266940,61
1758266970,61
1758267000,61
1758267030,61
1758267060,61
1758267090,61
1758267120,61
1758267150,61
1758267180,61
1758267210,61
1758267240,61
1758267270,61
1758267300,61
1758267330,61
1758267360,61
1758267390,61
1758267420,61
1758267450,61
1758267480,61
1758267510,61
1758267540,61
1758267570,61
1758267600,61
1758267630,61
1758267660,61
1758267690,61
1758267720,61
1758267750,61
1758267780,61
1758267810,61
1758267840,61
1758267870,61
1758267900,61
1758267930,61
1758267960,61
1758267990,61
1758268020,61
1758268050,61
1758268080,61
1758268110,61
1758268140,61
1758268170,61
1758268200,61
1758268231,61
1758268261,61
1758268291,61
1758268321,61
1758268351,61
1758268381,61
1758268411,61
1758268441,61
1758268471,61
1758268501,61
1758268531,61
1758268561,61
1758268591,61
1758268621,61
1758268651,61
1758268681,61
1758268711,61
1758268741,61
1758268771,61
1758268801,61
1758268831,61
1758268861,61
1758268891,61
1758268921,61
1758268951,61
1758268981,61
1758269011,61
1758269041,61
1758269071,61
1758269101,61
1758269131,61
1758269161,61
1758269191,61
1758269221,61
1758269251,61
1758269281,61
1758269311,61
1758269341,61
1758269371,61
1758269401,61
1758269431,61
1758269461,61
1758269491,61
1758269521,61
1758269551,61
1758269581,61
1758269611,61
1758269641,61
1758269671,61
1758269701,61
1758269731,61
1758269761,61
1758269791,61
1758269821,61
1758269851,61
1758269881,61
1758269911,61
1758269941,61
1758269971,61
1758270001,61
1758270031,61
1758270061,61
1758270091,61
1758270121,61
1758270151,61
1758270181,61
1758270211,61
1758270241,61
1758270271,61
1758270301,61
1758270331,61
1758270362,61
1758270392,61
1758270422,61
1758270452,61
1758270482,61
1758270512,61
1758270542,61
1758270572,61
1758270602,61
1758270632,61
1758270662,61
1758270692,61
1758270722,61
1758270752,61
1758270782,61
1758270812,61
1758270842,61
1758270872,61
1758270902,61
1758270932,61
1758496830,61
1758496860,61
1758496890,61
1758496920,61
1758496950,61
1758496980,61
1758497010,61
1758497040,61
1758497070,61
1758497100,61
1758497130,61
1758497160,61
1758497190,61
1758497220,61
1758497250,61
1758497280,61
1758497310,61
1758497340,61
1758497370,61
1758497400,61
1758497430,61
1758497460,61
1758497490,61
1758497520,61
1758497550,61
1758497580,61
1758497610,61
1758497640,61
1758497670,61
1758497700,61
1758497730,61
1758497760,61
1758497790,61
1758497820,61
1758497850,61
1758497880,61
1758497910,61
1758497940,61
1758497970,61
1758498000,61
1758498030,61
1758498060,61
1758498090,61
1758498120,61
1758498150,61
1758498180,61
1758498210,61
1758498240,61
1758498270,61
1758498300,61
1758498330,61
1758498360,61
1758498390,61
1758498420,61
1758498450,61
1758498480,61
1758498510,61
1758498540,61
1758498570,61
1758498780,61
1758498810,61
1758498840,61
1758498870,61
1758498900,61
1758498930,61
1758498960,61
1758498990,61
1758499020,61
1758499050,61
1758499080,61
1758499110,61
1758499140,61
1758499170,61
1758499200,61
1758499230,61
1758499260,61
1758499290,61
1758499320,61
1758499350,61
1758499380,61
1758499410,61
1758499440,61
1758499470,61
1758499500,61
1758499530,61
1758499560,61
1758499590,61
1758499620,61
1758499650,61
1758499680,61
1758499710,61
1758499740,61
1758499770,61
1758499800,61
1758499830,61
1758499860,61
1758499890,61
1758499980,61
1758500010,61
1758500040,61
1758500070,61
1758500100,61
1758500130,61
1758500160,61
1758500190,61
1758500220,61
1758500250,61
1758500280,61
1758500310,61
1758500340,61
1758500370,61
1758500400,61
1758500430,61
1758500460,61
1758500490,61
1758500520,61
1758500550,61
1758500580,61
1758500610,61
1758500640,61
1758500670,61
1758500700,61
1758500730,61
1758500760,61
1758500790,61
1758500820,61
1758500850,61
1758500880,61
1758500910,61
1758500940,61
1758500970,61
1758501000,61
1758501030,61
1758501060,61
1758501090,61
1758501120,61
1758501150,61
1758501180,61
1758501211,61
1758501241,61
1758501271,61
1758501301,61
1758501331,61
1758501361,61
1758501391,61
1758501421,61
1758501451,61
1758501481,61
1758501511,61
1758501541,61
1758501571,61
1758501601,61
1758501631,61
1758501661,61
1758501691,61
1758501721,61
1758501751,61
1758501781,61
1758501811,61
1758501841,61
1758501871,61
1758501901,61
1758501931,61
1758501961,61
1758501991,61
1758502021,61
1758502051,61
1758502081,61
1758502111,61
1758502141,61
1758502171,61
1758502201,61
1758502231,61
1758502261,61
1758502291,61
1758502321,61
1758502351,61
1758502381,61
1758502411,61
1758502441,61
1758502471,61
1758502501,61
1758502531,61
1758502561,61
1758502591,61
1758502621,61
1758502651,61
