t,value
1758264660,210
1758264690,210
1758264720,210
1758264750,210
1758264780,210
1758264810,210
1758264840,210
1758264870,210
1758264900,210
1758264930,210
1758265140,210
1758265170,210
1758265200,210
1758265230,210
1758265260,210
1758265290,210
1758265320,210
1758265350,210
1758265380,210
1758265410,210
1758265440,210
1758266100,210
1758266130,210
1758266160,210
1758266190,210
1758266220,210
1758266400,210
1758266430,210
1758266460,210
1758266490,210
1758266520,210
1758266550,210
1758266580,210
1758266610,210
1758266640,210
1758266670,210
1758266700,210
1758266730,210
1758266760,210
1758266790,210
1758266820,210
1758266850,210
1758266880,210
1758266910,210
1758266940,210
1758266970,210
1758267000,210
1758267030,210
1758267060,210
1758267090,210
1758267120,210
1758267150,210
1758267180,210
1758267210,210
1758267240,210
1758267270,210
1758267300,210
1758267330,210
1758267360,210
1758267390,210
1758267420,210
1758267450,210
1758267480,210
1758267510,210
1758267540,210
1758267570,210
1758267600,210
1758267630,210
1758267660,210
1758267690,210
1758267720,210
1758267750,210
1758267780,210
1758267810,210
1758267840,210
1758267870,210
1758267900,210
1758267930,210
1758267960,210
1758267990,210
1758268020,210
1758268050,210
1758268080,210
1758268110,210
1758268140,210
1758268170,210
1758268200,210
1758268231,210
1758268261,210
1758268291,210
1758268321,210
1758268351,210
1758268381,210
1758268411,210
1758268441,210
1758268471,210
1758268501,210
1758268531,210
1758268561,210
1758268591,210
1758268621,210
1758268651,210
1758268681,210
1758268711,210
1758268741,210
1758268771,210
1758268801,210
1758268831,210
1758268861,210
1758268891,210
1758268921,210
1758268951,210
1758268981,210
1758269011,210
1758269041,210
1758269071,210
1758269101,210
1758269131,210
1758269161,210
1758269191,210
1758269221,210
1758269251,210
1758269281,210
1758269311,210
1758269341,210
1758269371,210
1758269401,210
1758269431,210
1758269461,210
1758269491,210
1758269521,210
1758269551,210
1758269581,210
1758269611,210
1758269641,210
1758269671,210
1758269701,210
1758269731,210
1758269761,210
1758269791,210
1758269821,210
1758269851,210
1758269881,210
1758269911,210
1758269941,210
1758269971,210
1758270001,210
1758270031,210
1758270061,210
1758270091,210
1758270121,210
1758270151,210
1758270181,210
1758270211,210
1758270241,210
1758270271,210
1758270301,210
1758270331,210
1758270362,210
1758270392,210
1758270422,210
1758270452,210
1758270482,210
1758270512,210
1758270542,210
1758270572,210
1758270602,210
1758270632,210
1758270662,210
1758270692,210
1758270722,210
1758270752,210
1758270782,210
1758270812,210
1758270842,210
1758270872,210
1758270902,210
1758270932,210
1758496830,210
1758496860,210
1758496890,210
1758496920,210
1758496950,210
1758496980,210
1758497010,210
1758497040,210
1758497070,210
1758497100,210
1758497130,210
1758497160,210
1758497190,210
1758497220,210
1758497250,210
1758497280,210
1758497310,210
1758497340,210
1758497370,210
1758497400,210
1758497430,210
1758497460,214
1758497490,214
1758497520,214
1758497550,214
1758497580,214
1758497610,214
1758497640,214
1758497670,219
1758497700,219
1758497730,219
1758497760,219
1758497790,219
1758497820,219
1758497850,219
1758497880,219
1758497910,219
1758497940,219
1758497970,219
1758498000,219
1758498030,219
1758498060,219
1758498090,219
1758498120,219
1758498150,219
1758498180,219
1758498210,219
1758498240,219
1758498270,219
1758498300,219
1758498330,219
1758498360,219
1758498390,219
1758498420,219
1758498450,219
1758498480,219
1758498510,219
1758498540,219
1758498570,219
1758498780,219
1758498810,219
1758498840,219
1758498870,219
1758498900,219
1758498930,219
1758498960,219
1758498990,219
1758499020,219
1758499050,219
1758499080,219
1758499110,219
1758499140,219
1758499170,219
1758499200,219
1758499230,219
1758499260,219
1758499290,219
1758499320,219
1758499350,219
1758499380,219
1758499410,219
1758499440,219
1758499470,219
1758499500,219
1758499530,219
1758499560,219
1758499590,219
1758499620,219
1758499650,219
1758499680,219
1758499710,219
1758499740,219
1758499770,219
1758499800,219
1758499830,219
1758499860,219
1758499890,219
1758499980,219
1758500010,219
1758500040,219
1758500070,219
1758500100,219
1758500130,219
1758500160,219
1758500190,219
1758500220,219
1758500250,219
1758500280,219
1758500310,219
1758500340,219
1758500370,219
1758500400,219
1758500430,219
1758500460,219
1758500490,219
1758500520,219
1758500550,219
1758500580,219
1758500610,219
1758500640,219
1758500670,219
1758500700,219
1758500730,219
1758500760,219
1758500790,219
1758500820,219
1758500850,219
1758500880,219
1758500910,219
1758500940,219
1758500970,219
1758501000,219
1758501030,219
1758501060,219
1758501090,219
1758501120,219
1758501150,219
1758501180,219
1758501211,219
1758501241,219
1758501271,219
1758501301,219
1758501331,219
1758501361,219
1758501391,219
1758501421,219
1758501451,219
1758501481,219
1758501511,219
1758501541,219
1758501571,219
1758501601,219
1758501631,219
1758501661,219
1758501691,219
1758501721,219
1758501751,219
1758501781,219
1758501811,219
1758501841,219
1758501871,219
1758501901,219
1758501931,219
1758501961,219
1758501991,219
1758502021,219
1758502051,219
1758502081,219
1758502111,219
1758502141,219
1758502171,219
1758502201,219
1758502231,219
1758502261,219
1758502291,219
1758502321,219
1758502351,219
1758502381,219
1758502411,219
1758502441,219
1758502471,219
1758502501,219
1758502531,219
1758502561,219
1758502591,219
1758502621,219
1758502651,219
