t,value
1758264660,119
1758264690,119
1758264720,119
1758264750,119
1758264780,119
1758264810,119
1758264840,119
1758264870,119
1758264900,119
1758264930,119
1758265140,119
1758265170,119
1758265200,119
1758265230,119
1758265260,119
1758265290,119
1758265320,119
1758265350,119
1758265380,119
1758265410,119
1758265440,119
1758266100,119
1758266130,119
1758266160,119
1758266190,119
1758266220,119
1758266400,119
1758266430,119
1758266460,119
1758266490,119
1758266520,119
1758266550,119
1758266580,119
1758266610,119
1758266640,119
1758266670,119
1758266700,119
1758266730,119
1758266760,119
1758266790,119
1758266820,119
1758266850,119
1758266880,119
1758266910,119
1758266940,119
1758266970,119
1758267000,119
1758267030,119
1758267060,119
1758267090,119
1758267120,119
1758267150,119
1758267180,119
1758267210,119
1758267240,119
1758267270,119
1758267300,119
1758267330,119
1758267360,119
1758267390,119
1758267420,119
1758267450,119
1758267480,119
1758267510,119
1758267540,119
1758267570,119
1758267600,119
1758267630,119
1758267660,119
1758267690,119
1758267720,119
1758267750,119
1758267780,119
1758267810,119
1758267840,119
1758267870,119
1758267900,119
1758267930,119
1758267960,119
1758267990,119
1758268020,119
1758268050,119
1758268080,119
1758268110,119
1758268140,119
1758268170,119
1758268200,119
1758268231,119
1758268261,119
1758268291,119
1758268321,119
1758268351,119
1758268381,119
1758268411,119
1758268441,119
1758268471,119
1758268501,119
1758268531,119
1758268561,119
1758268591,119
1758268621,119
1758268651,119
1758268681,119
1758268711,119
1758268741,119
1758268771,119
1758268801,119
1758268831,119
1758268861,119
1758268891,119
1758268921,119
1758268951,119
1758268981,119
1758269011,119
1758269041,119
1758269071,119
1758269101,119
1758269131,119
1758269161,119
1758269191,119
1758269221,119
1758269251,119
1758269281,119
1758269311,119
1758269341,119
1758269371,119
1758269401,119
1758269431,119
1758269461,119
1758269491,119
1758269521,119
1758269551,119
1758269581,119
1758269611,119
1758269641,119
1758269671,119
1758269701,119
1758269731,119
1758269761,119
1758269791,119
1758269821,119
1758269851,119
1758269881,119
1758269911,119
1758269941,119
1758269971,119
1758270001,119
1758270031,119
1758270061,119
1758270091,119
1758270121,119
1758270151,119
1758270181,119
1758270211,119
1758270241,119
1758270271,119
1758270301,119
1758270331,119
1758270362,119
1758270392,119
1758270422,119
1758270452,119
1758270482,119
1758270512,119
1758270542,119
1758270572,119
1758270602,119
1758270632,119
1758270662,119
1758270692,119
1758270722,119
1758270752,119
1758270782,119
1758270812,119
1758270842,119
1758270872,119
1758270902,119
1758270932,119
1758496830,119
1758496860,119
1758496890,119
1758496920,119
1758496950,119
1758496980,119
1758497010,119
1758497040,119
1758497070,119
1758497100,119
1758497130,119
1758497160,119
1758497190,119
1758497220,119
1758497250,119
1758497280,119
1758497310,119
1758497340,119
1758497370,119
1758497400,119
1758497430,119
1758497460,119
1758497490,119
1758497520,119
1758497550,119
1758497580,119
1758497610,119
1758497640,119
1758497670,119
1758497700,119
1758497730,119
1758497760,119
1758497790,119
1758497820,119
1758497850,119
1758497880,119
1758497910,119
1758497940,119
1758497970,119
1758498000,119
1758498030,119
1758498060,119
1758498090,119
1758498120,119
1758498150,119
1758498180,119
1758498210,119
1758498240,119
1758498270,119
1758498300,119
1758498330,119
1758498360,119
1758498390,119
1758498420,119
1758498450,119
1758498480,119
1758498510,119
1758498540,119
1758498570,119
1758498780,119
1758498810,119
1758498840,119
1758498870,119
1758498900,119
1758498930,119
1758498960,119
1758498990,119
1758499020,119
1758499050,119
1758499080,119
1758499110,119
1758499140,119
1758499170,119
1758499200,119
1758499230,119
1758499260,119
1758499290,119
1758499320,119
1758499350,119
1758499380,119
1758499410,119
1758499440,119
1758499470,119
1758499500,119
1758499530,119
1758499560,119
1758499590,119
1758499620,119
1758499650,119
1758499680,119
1758499710,119
1758499740,119
1758499770,119
1758499800,119
1758499830,119
1758499860,119
1758499890,119
1758499980,119
1758500010,119
1758500040,119
1758500070,119
1758500100,119
1758500130,119
1758500160,119
1758500190,119
1758500220,119
1758500250,119
1758500280,119
1758500310,119
1758500340,119
1758500370,119
1758500400,119
1758500430,119
1758500460,119
1758500490,119
1758500520,119
1758500550,119
1758500580,119
1758500610,119
1758500640,119
1758500670,119
1758500700,119
1758500730,119
1758500760,119
1758500790,119
1758500820,119
1758500850,119
1758500880,119
1758500910,119
1758500940,119
1758500970,119
1758501000,119
1758501030,119
1758501060,119
1758501090,119
1758501120,119
1758501150,119
1758501180,119
1758501211,119
1758501241,119
1758501271,119
1758501301,119
1758501331,119
1758501361,119
1758501391,119
1758501421,119
1758501451,119
1758501481,119
1758501511,119
1758501541,119
1758501571,119
1758501601,119
1758501631,119
1758501661,119
1758501691,119
1758501721,119
1758501751,119
1758501781,119
1758501811,119
1758501841,119
1758501871,119
1758501901,119
1758501931,119
1758501961,119
1758501991,119
1758502021,119
1758502051,119
1758502081,119
1758502111,119
1758502141,119
1758502171,119
1758502201,119
1758502231,119
1758502261,119
1758502291,119
1758502321,119
1758502351,119
1758502381,119
1758502411,119
1758502441,119
1758502471,119
1758502501,119
1758502531,119
1758502561,119
1758502591,119
1758502621,119
1758502651,119
