t,value
1758264660,11
1758264690,11
1758264720,11
1758264750,11
1758264780,11
1758264810,11
1758264840,11
1758264870,11
1758264900,11
1758264930,11
1758265140,11
1758265170,11
1758265200,11
1758265230,11
1758265260,11
1758265290,11
1758265320,11
1758265350,11
1758265380,11
1758265410,11
1758265440,11
1758266100,11
1758266130,11
1758266160,11
1758266190,11
1758266220,11
1758266400,11
1758266430,11
1758266460,11
1758266490,11
1758266520,11
1758266550,11
1758266580,11
1758266610,11
1758266640,11
1758266670,11
1758266700,11
1758266730,11
1758266760,11
1758266790,11
1758266820,11
1758266850,11
1758266880,11
1758266910,11
1758266940,11
1758266970,11
1758267000,11
1758267030,11
1758267060,11
1758267090,11
1758267120,11
1758267150,11
1758267180,11
1758267210,11
1758267240,11
1758267270,11
1758267300,11
1758267330,11
1758267360,11
1758267390,11
1758267420,11
1758267450,11
1758267480,11
1758267510,11
1758267540,11
1758267570,11
1758267600,11
1758267630,11
1758267660,11
1758267690,11
1758267720,11
1758267750,11
1758267780,11
1758267810,11
1758267840,11
1758267870,11
1758267900,11
1758267930,11
1758267960,11
1758267990,11
1758268020,11
1758268050,11
1758268080,11
1758268110,11
1758268140,11
1758268170,11
1758268200,11
1758268231,11
1758268261,11
1758268291,11
1758268321,11
1758268351,11
1758268381,11
1758268411,11
1758268441,11
1758268471,11
1758268501,11
1758268531,11
1758268561,11
1758268591,11
1758268621,11
1758268651,11
1758268681,11
1758268711,11
1758268741,11
1758268771,11
1758268801,11
1758268831,11
1758268861,11
1758268891,11
1758268921,11
1758268951,11
1758268981,11
1758269011,11
1758269041,11
1758269071,11
1758269101,11
1758269131,11
1758269161,11
1758269191,11
1758269221,11
1758269251,11
1758269281,11
1758269311,11
1758269341,11
1758269371,11
1758269401,11
1758269431,11
1758269461,11
1758269491,11
1758269521,11
1758269551,11
1758269581,11
1758269611,11
1758269641,11
1758269671,11
1758269701,11
1758269731,11
1758269761,11
1758269791,11
1758269821,11
1758269851,11
1758269881,11
1758269911,11
1758269941,11
1758269971,11
1758270001,11
1758270031,11
1758270061,11
1758270091,11
1758270121,11
1758270151,11
1758270181,11
1758270211,11
1758270241,11
1758270271,11
1758270301,11
1758270331,11
1758270362,11
1758270392,11
1758270422,11
1758270452,11
1758270482,11
1758270512,11
1758270542,11
1758270572,11
1758270602,11
1758270632,11
1758270662,11
1758270692,11
1758270722,11
1758270752,11
1758270782,11
1758270812,11
1758270842,11
1758270872,11
1758270902,11
1758270932,11
1758496830,11
1758496860,11
1758496890,11
1758496920,11
1758496950,11
1758496980,11
1758497010,11
1758497040,11
1758497070,11
1758497100,11
1758497130,11
1758497160,11
1758497190,11
1758497220,11
1758497250,11
1758497280,11
1758497310,11
1758497340,11
1758497370,11
1758497400,11
1758497430,11
1758497460,11
1758497490,11
1758497520,11
1758497550,11
1758497580,11
1758497610,11
1758497640,11
1758497670,11
1758497700,11
1758497730,11
1758497760,11
1758497790,11
1758497820,11
1758497850,11
1758497880,11
1758497910,11
1758497940,11
1758497970,11
1758498000,11
1758498030,11
1758498060,11
1758498090,11
1758498120,11
1758498150,11
1758498180,11
1758498210,11
1758498240,11
1758498270,11
1758498300,11
1758498330,11
1758498360,11
1758498390,11
1758498420,11
1758498450,11
1758498480,11
1758498510,11
1758498540,11
1758498570,11
1758498780,11
1758498810,11
1758498840,11
1758498870,11
1758498900,11
1758498930,11
1758498960,11
1758498990,11
1758499020,11
1758499050,11
1758499080,11
1758499110,11
1758499140,11
1758499170,11
1758499200,11
1758499230,11
1758499260,11
1758499290,11
1758499320,11
1758499350,11
1758499380,11
1758499410,11
1758499440,11
1758499470,11
1758499500,11
1758499530,11
1758499560,11
1758499590,11
1758499620,11
1758499650,11
1758499680,11
1758499710,11
1758499740,11
1758499770,11
1758499800,11
1758499830,11
1758499860,11
1758499890,11
1758499980,11
1758500010,11
1758500040,11
1758500070,11
1758500100,11
1758500130,11
1758500160,11
1758500190,11
1758500220,11
1758500250,11
1758500280,11
1758500310,11
1758500340,11
1758500370,11
1758500400,11
1758500430,11
1758500460,11
1758500490,11
1758500520,11
1758500550,11
1758500580,11
1758500610,11
1758500640,11
1758500670,11
1758500700,11
1758500730,11
1758500760,11
1758500790,11
1758500820,11
1758500850,11
1758500880,11
1758500910,11
1758500940,11
1758500970,11
1758501000,11
1758501030,11
1758501060,11
1758501090,11
1758501120,11
1758501150,11
1758501180,11
1758501211,11
1758501241,11
1758501271,11
1758501301,11
1758501331,11
1758501361,11
1758501391,11
1758501421,11
1758501451,11
1758501481,11
1758501511,11
1758501541,11
1758501571,11
1758501601,11
1758501631,11
1758501661,11
1758501691,11
1758501721,11
1758501751,11
1758501781,11
1758501811,11
1758501841,11
1758501871,11
1758501901,11
1758501931,11
1758501961,11
1758501991,11
1758502021,11
1758502051,11
1758502081,11
1758502111,11
1758502141,11
1758502171,11
1758502201,11
1758502231,11
1758502261,11
1758502291,11
1758502321,11
1758502351,11
1758502381,11
1758502411,11
1758502441,11
1758502471,11
1758502501,11
1758502531,11
1758502561,11
1758502591,11
1758502621,11
1758502651,11
