t,value
1758264660,56
1758264690,56
1758264720,56
1758264750,56
1758264780,56
1758264810,56
1758264840,56
1758264870,56
1758264900,56
1758264930,56
1758265140,56
1758265170,56
1758265200,56
1758265230,56
1758265260,56
1758265290,56
1758265320,56
1758265350,56
1758265380,56
1758265410,56
1758265440,56
1758266100,56
1758266130,56
1758266160,56
1758266190,56
1758266220,56
1758266400,56
1758266430,56
1758266460,56
1758266490,56
1758266520,56
1758266550,56
1758266580,56
1758266610,56
1758266640,56
1758266670,56
1758266700,56
1758266730,56
1758266760,56
1758266790,56
1758266820,56
1758266850,56
1758266880,56
1758266910,56
1758266940,56
1758266970,56
1758267000,56
1758267030,56
1758267060,56
1758267090,56
1758267120,56
1758267150,56
1758267180,56
1758267210,56
1758267240,56
1758267270,56
1758267300,56
1758267330,56
1758267360,56
1758267390,56
1758267420,56
1758267450,56
1758267480,56
1758267510,56
1758267540,56
1758267570,56
1758267600,56
1758267630,56
1758267660,56
1758267690,56
1758267720,56
1758267750,56
1758267780,56
1758267810,56
1758267840,56
1758267870,56
1758267900,56
1758267930,56
1758267960,56
1758267990,56
1758268020,56
1758268050,56
1758268080,56
1758268110,56
1758268140,56
1758268170,56
1758268200,56
1758268231,56
1758268261,56
1758268291,56
1758268321,56
1758268351,56
1758268381,56
1758268411,56
1758268441,56
1758268471,56
1758268501,56
1758268531,56
1758268561,56
1758268591,56
1758268621,56
1758268651,56
1758268681,56
1758268711,56
1758268741,56
1758268771,56
1758268801,56
1758268831,56
1758268861,56
1758268891,56
1758268921,56
1758268951,56
1758268981,56
1758269011,56
1758269041,56
1758269071,56
1758269101,56
1758269131,56
1758269161,56
1758269191,56
1758269221,56
1758269251,56
1758269281,56
1758269311,56
1758269341,56
1758269371,56
1758269401,56
1758269431,56
1758269461,56
1758269491,56
1758269521,56
1758269551,56
1758269581,56
1758269611,56
1758269641,56
1758269671,56
1758269701,56
1758269731,56
1758269761,56
1758269791,56
1758269821,56
1758269851,56
1758269881,56
1758269911,56
1758269941,56
1758269971,56
1758270001,56
1758270031,56
1758270061,56
1758270091,56
1758270121,56
1758270151,56
1758270181,56
1758270211,56
1758270241,56
1758270271,56
1758270301,56
1758270331,56
1758270362,56
1758270392,56
1758270422,56
1758270452,56
1758270482,56
1758270512,56
1758270542,56
1758270572,56
1758270602,56
1758270632,56
1758270662,56
1758270692,56
1758270722,56
1758270752,56
1758270782,56
1758270812,56
1758270842,56
1758270872,56
1758270902,56
1758270932,56
1758496830,56
1758496860,56
1758496890,56
1758496920,56
1758496950,56
1758496980,56
1758497010,56
1758497040,56
1758497070,56
1758497100,56
1758497130,56
1758497160,56
1758497190,56
1758497220,56
1758497250,56
1758497280,56
1758497310,56
1758497340,56
1758497370,56
1758497400,56
1758497430,56
1758497460,58
1758497490,58
1758497520,58
1758497550,58
1758497580,58
1758497610,58
1758497640,58
1758497670,60
1758497700,60
1758497730,60
1758497760,60
1758497790,60
1758497820,60
1758497850,60
1758497880,60
1758497910,60
1758497940,60
1758497970,60
1758498000,60
1758498030,60
1758498060,60
1758498090,60
1758498120,60
1758498150,60
1758498180,60
1758498210,60
1758498240,60
1758498270,60
1758498300,60
1758498330,60
1758498360,60
1758498390,60
1758498420,60
1758498450,60
1758498480,60
1758498510,60
1758498540,60
1758498570,60
1758498780,60
1758498810,60
1758498840,60
1758498870,60
1758498900,60
1758498930,60
1758498960,60
1758498990,60
1758499020,60
1758499050,60
1758499080,60
1758499110,60
1758499140,60
1758499170,60
1758499200,60
1758499230,60
1758499260,60
1758499290,60
1758499320,60
1758499350,60
1758499380,60
1758499410,60
1758499440,60
1758499470,60
1758499500,60
1758499530,60
1758499560,60
1758499590,60
1758499620,60
1758499650,60
1758499680,60
1758499710,60
1758499740,60
1758499770,60
1758499800,60
1758499830,60
1758499860,60
1758499890,60
1758499980,60
1758500010,60
1758500040,60
1758500070,60
1758500100,60
1758500130,60
1758500160,60
1758500190,60
1758500220,60
1758500250,60
1758500280,60
1758500310,60
1758500340,60
1758500370,60
1758500400,60
1758500430,60
1758500460,60
1758500490,60
1758500520,60
1758500550,60
1758500580,60
1758500610,60
1758500640,60
1758500670,60
1758500700,60
1758500730,60
1758500760,60
1758500790,60
1758500820,60
1758500850,60
1758500880,60
1758500910,60
1758500940,60
1758500970,60
1758501000,60
1758501030,60
1758501060,60
1758501090,60
1758501120,60
1758501150,60
1758501180,60
1758501211,60
1758501241,60
1758501271,60
1758501301,60
1758501331,60
1758501361,60
1758501391,60
1758501421,60
1758501451,60
1758501481,60
1758501511,60
1758501541,60
1758501571,60
1758501601,60
1758501631,60
1758501661,60
1758501691,60
1758501721,60
1758501751,60
1758501781,60
1758501811,60
1758501841,60
1758501871,60
1758501901,60
1758501931,60
1758501961,60
1758501991,60
1758502021,60
1758502051,60
1758502081,60
1758502111,60
1758502141,60
1758502171,60
1758502201,60
1758502231,60
1758502261,60
1758502291,60
1758502321,60
1758502351,60
1758502381,60
1758502411,60
1758502441,60
1758502471,60
1758502501,60
1758502531,60
1758502561,60
1758502591,60
1758502621,60
1758502651,60
