t,value
1758264660,108
1758264690,108
1758264720,108
1758264750,108
1758264780,108
1758264810,108
1758264840,108
1758264870,108
1758264900,108
1758264930,108
1758265140,108
1758265170,108
1758265200,108
1758265230,108
1758265260,108
1758265290,108
1758265320,108
1758265350,108
1758265380,108
1758265410,108
1758265440,108
1758266100,108
1758266130,108
1758266160,108
1758266190,108
1758266220,108
1758266400,108
1758266430,108
1758266460,108
1758266490,108
1758266520,108
1758266550,108
1758266580,108
1758266610,108
1758266640,108
1758266670,108
1758266700,108
1758266730,108
1758266760,108
1758266790,108
1758266820,108
1758266850,108
1758266880,108
1758266910,108
1758266940,108
1758266970,108
1758267000,108
1758267030,108
1758267060,108
1758267090,108
1758267120,108
1758267150,108
1758267180,108
1758267210,108
1758267240,108
1758267270,108
1758267300,108
1758267330,108
1758267360,108
1758267390,108
1758267420,108
1758267450,108
1758267480,108
1758267510,108
1758267540,108
1758267570,108
1758267600,108
1758267630,108
1758267660,108
1758267690,108
1758267720,108
1758267750,108
1758267780,108
1758267810,108
1758267840,108
1758267870,108
1758267900,108
1758267930,108
1758267960,108
1758267990,108
1758268020,108
1758268050,108
1758268080,108
1758268110,108
1758268140,108
1758268170,108
1758268200,108
1758268231,108
1758268261,108
1758268291,108
1758268321,108
1758268351,108
1758268381,108
1758268411,108
1758268441,108
1758268471,108
1758268501,108
1758268531,108
1758268561,108
1758268591,108
1758268621,108
1758268651,108
1758268681,108
1758268711,108
1758268741,108
1758268771,108
1758268801,108
1758268831,108
1758268861,108
1758268891,108
1758268921,108
1758268951,108
1758268981,108
1758269011,108
1758269041,108
1758269071,108
1758269101,108
1758269131,108
1758269161,108
1758269191,108
1758269221,108
1758269251,108
1758269281,108
1758269311,108
1758269341,108
1758269371,108
1758269401,108
1758269431,108
1758269461,108
1758269491,108
1758269521,108
1758269551,108
1758269581,108
1758269611,108
1758269641,108
1758269671,108
1758269701,108
1758269731,108
1758269761,108
1758269791,108
1758269821,108
1758269851,108
1758269881,108
1758269911,108
1758269941,108
1758269971,108
1758270001,108
1758270031,108
1758270061,108
1758270091,108
1758270121,108
1758270151,108
1758270181,108
1758270211,108
1758270241,108
1758270271,108
1758270301,108
1758270331,108
1758270362,108
1758270392,108
1758270422,108
1758270452,108
1758270482,108
1758270512,108
1758270542,108
1758270572,108
1758270602,108
1758270632,108
1758270662,108
1758270692,108
1758270722,108
1758270752,108
1758270782,108
1758270812,108
1758270842,108
1758270872,108
1758270902,108
1758270932,108
1758496830,108
1758496860,108
1758496890,108
1758496920,108
1758496950,108
1758496980,108
1758497010,108
1758497040,108
1758497070,108
1758497100,108
1758497130,108
1758497160,108
1758497190,108
1758497220,108
1758497250,108
1758497280,108
1758497310,108
1758497340,108
1758497370,108
1758497400,108
1758497430,108
1758497460,109
1758497490,109
1758497520,109
1758497550,109
1758497580,109
1758497610,109
1758497640,109
1758497670,110
1758497700,110
1758497730,112
1758497760,112
1758497790,112
1758497820,112
1758497850,112
1758497880,112
1758497910,112
1758497940,112
1758497970,112
1758498000,112
1758498030,112
1758498060,112
1758498090,112
1758498120,112
1758498150,112
1758498180,112
1758498210,112
1758498240,112
1758498270,112
1758498300,112
1758498330,112
1758498360,112
1758498390,112
1758498420,112
1758498450,112
1758498480,112
1758498510,112
1758498540,112
1758498570,112
1758498780,112
1758498810,112
1758498840,112
1758498870,112
1758498900,112
1758498930,112
1758498960,112
1758498990,112
1758499020,112
1758499050,112
1758499080,112
1758499110,112
1758499140,112
1758499170,112
1758499200,112
1758499230,112
1758499260,112
1758499290,112
1758499320,112
1758499350,112
1758499380,112
1758499410,112
1758499440,112
1758499470,112
1758499500,112
1758499530,112
1758499560,112
1758499590,112
1758499620,112
1758499650,112
1758499680,112
1758499710,112
1758499740,112
1758499770,112
1758499800,112
1758499830,112
1758499860,112
1758499890,112
1758499980,112
1758500010,112
1758500040,112
1758500070,112
1758500100,112
1758500130,112
1758500160,112
1758500190,112
1758500220,112
1758500250,112
1758500280,112
1758500310,112
1758500340,112
1758500370,112
1758500400,112
1758500430,112
1758500460,112
1758500490,112
1758500520,112
1758500550,112
1758500580,112
1758500610,112
1758500640,112
1758500670,112
1758500700,112
1758500730,112
1758500760,112
1758500790,112
1758500820,112
1758500850,112
1758500880,112
1758500910,112
1758500940,112
1758500970,112
1758501000,112
1758501030,112
1758501060,112
1758501090,112
1758501120,112
1758501150,112
1758501180,112
1758501211,112
1758501241,112
1758501271,112
1758501301,112
1758501331,112
1758501361,112
1758501391,112
1758501421,112
1758501451,112
1758501481,112
1758501511,112
1758501541,112
1758501571,112
1758501601,112
1758501631,112
1758501661,112
1758501691,112
1758501721,112
1758501751,112
1758501781,112
1758501811,112
1758501841,112
1758501871,112
1758501901,112
1758501931,112
1758501961,112
1758501991,112
1758502021,112
1758502051,112
1758502081,112
1758502111,112
1758502141,112
1758502171,112
1758502201,112
1758502231,112
1758502261,112
1758502291,112
1758502321,112
1758502351,112
1758502381,112
1758502411,112
1758502441,112
1758502471,112
1758502501,112
1758502531,112
1758502561,112
1758502591,112
1758502621,112
1758502651,112
