t,value
1758264660,449
1758264690,449
1758264720,449
1758264750,449
1758264780,449
1758264810,449
1758264840,449
1758264870,449
1758264900,449
1758264930,449
1758265140,449
1758265170,449
1758265200,449
1758265230,449
1758265260,449
1758265290,449
1758265320,449
1758265350,449
1758265380,449
1758265410,449
1758265440,449
1758266100,449
1758266130,449
1758266160,449
1758266190,449
1758266220,449
1758266400,449
1758266430,449
1758266460,449
1758266490,449
1758266520,449
1758266550,449
1758266580,449
1758266610,449
1758266640,449
1758266670,449
1758266700,449
1758266730,449
1758266760,449
1758266790,449
1758266820,449
1758266850,449
1758266880,449
1758266910,449
1758266940,449
1758266970,449
1758267000,449
1758267030,449
1758267060,449
1758267090,449
1758267120,449
1758267150,449
1758267180,449
1758267210,449
1758267240,449
1758267270,449
1758267300,449
1758267330,449
1758267360,449
1758267390,449
1758267420,449
1758267450,449
1758267480,449
1758267510,449
1758267540,449
1758267570,449
1758267600,449
1758267630,449
1758267660,449
1758267690,449
1758267720,449
1758267750,449
1758267780,449
1758267810,449
1758267840,449
1758267870,449
1758267900,449
1758267930,449
1758267960,449
1758267990,449
1758268020,449
1758268050,449
1758268080,449
1758268110,449
1758268140,449
1758268170,449
1758268200,449
1758268231,449
1758268261,449
1758268291,449
1758268321,449
1758268351,449
1758268381,449
1758268411,449
1758268441,449
1758268471,449
1758268501,449
1758268531,449
1758268561,449
1758268591,449
1758268621,449
1758268651,449
1758268681,449
1758268711,449
1758268741,449
1758268771,449
1758268801,449
1758268831,449
1758268861,449
1758268891,449
1758268921,449
1758268951,449
1758268981,449
1758269011,449
1758269041,449
1758269071,449
1758269101,449
1758269131,449
1758269161,449
1758269191,449
1758269221,449
1758269251,449
1758269281,449
1758269311,449
1758269341,449
1758269371,449
1758269401,449
1758269431,449
1758269461,449
1758269491,449
1758269521,449
1758269551,449
1758269581,449
1758269611,449
1758269641,449
1758269671,449
1758269701,449
1758269731,449
1758269761,449
1758269791,449
1758269821,449
1758269851,449
1758269881,449
1758269911,449
1758269941,449
1758269971,449
1758270001,449
1758270031,449
1758270061,449
1758270091,449
1758270121,449
1758270151,449
1758270181,449
1758270211,449
1758270241,449
1758270271,449
1758270301,449
1758270331,449
1758270362,449
1758270392,449
1758270422,449
1758270452,449
1758270482,449
1758270512,449
1758270542,449
1758270572,449
1758270602,449
1758270632,449
1758270662,449
1758270692,449
1758270722,449
1758270752,449
1758270782,449
1758270812,449
1758270842,449
1758270872,449
1758270902,449
1758270932,449
1758496830,449
1758496860,449
1758496890,449
1758496920,449
1758496950,449
1758496980,449
1758497010,449
1758497040,449
1758497070,449
1758497100,449
1758497130,449
1758497160,449
1758497190,449
1758497220,449
1758497250,449
1758497280,449
1758497310,449
1758497340,449
1758497370,449
1758497400,449
1758497430,449
1758497460,385
1758497490,385
1758497520,385
1758497550,385
1758497580,385
1758497610,385
1758497640,385
1758497670,321
1758497700,321
1758497730,253
1758497760,253
1758497790,253
1758497820,253
1758497850,253
1758497880,253
1758497910,253
1758497940,253
1758497970,253
1758498000,253
1758498030,253
1758498060,253
1758498090,253
1758498120,253
1758498150,253
1758498180,253
1758498210,253
1758498240,253
1758498270,253
1758498300,253
1758498330,253
1758498360,253
1758498390,253
1758498420,253
1758498450,253
1758498480,253
1758498510,253
1758498540,253
1758498570,253
1758498780,253
1758498810,253
1758498840,253
1758498870,253
1758498900,253
1758498930,253
1758498960,253
1758498990,253
1758499020,253
1758499050,253
1758499080,253
1758499110,253
1758499140,253
1758499170,253
1758499200,253
1758499230,253
1758499260,253
1758499290,253
1758499320,253
1758499350,253
1758499380,253
1758499410,253
1758499440,253
1758499470,253
1758499500,253
1758499530,253
1758499560,253
1758499590,253
1758499620,253
1758499650,253
1758499680,253
1758499710,253
1758499740,253
1758499770,253
1758499800,253
1758499830,253
1758499860,253
1758499890,253
1758499980,253
1758500010,253
1758500040,253
1758500070,253
1758500100,253
1758500130,253
1758500160,253
1758500190,253
1758500220,253
1758500250,253
1758500280,253
1758500310,253
1758500340,253
1758500370,253
1758500400,253
1758500430,253
1758500460,253
1758500490,253
1758500520,253
1758500550,253
1758500580,253
1758500610,253
1758500640,253
1758500670,253
1758500700,253
1758500730,253
1758500760,253
1758500790,253
1758500820,253
1758500850,253
1758500880,253
1758500910,253
1758500940,253
1758500970,253
1758501000,253
1758501030,253
1758501060,253
1758501090,253
1758501120,253
1758501150,253
1758501180,253
1758501211,253
1758501241,253
1758501271,253
1758501301,253
1758501331,253
1758501361,253
1758501391,253
1758501421,253
1758501451,253
1758501481,253
1758501511,253
1758501541,253
1758501571,253
1758501601,253
1758501631,253
1758501661,253
1758501691,253
1758501721,253
1758501751,253
1758501781,253
1758501811,253
1758501841,253
1758501871,253
1758501901,253
1758501931,253
1758501961,253
1758501991,253
1758502021,253
1758502051,253
1758502081,253
1758502111,253
1758502141,253
1758502171,253
1758502201,253
1758502231,253
1758502261,253
1758502291,253
1758502321,253
1758502351,253
1758502381,253
1758502411,253
1758502441,253
1758502471,253
1758502501,253
1758502531,253
1758502561,253
1758502591,253
1758502621,253
1758502651,253
