t,value
1758264660,1877082
1758264690,1877082
1758264720,1877082
1758264750,1877082
1758264780,1877082
1758264810,1877082
1758264840,1877082
1758264870,1877082
1758264900,1877082
1758264930,1877082
1758265140,1877082
1758265170,1877082
1758265200,1877082
1758265230,1877082
1758265260,1877082
1758265290,1877082
1758265320,1877082
1758265350,1877082
1758265380,1877082
1758265410,1877082
1758265440,1877082
1758266100,1877082
1758266130,1877082
1758266160,1877082
1758266190,1877082
1758266220,1877082
1758266400,1877082
1758266430,1877082
1758266460,1877082
1758266490,1877082
1758266520,1877082
1758266550,1877082
1758266580,1877082
1758266610,1877082
1758266640,1877082
1758266670,1877082
1758266700,1877082
1758266730,1877082
1758266760,1877082
1758266790,1877082
1758266820,1877082
1758266850,1877082
1758266880,1877082
1758266910,1877082
1758266940,1877082
1758266970,1877082
1758267000,1877082
1758267030,1877082
1758267060,1877082
1758267090,1877082
1758267120,1877082
1758267150,1877082
1758267180,1877082
1758267210,1877082
1758267240,1877082
1758267270,1877082
1758267300,1877082
1758267330,1877082
1758267360,1877082
1758267390,1877082
1758267420,1877082
1758267450,1877082
1758267480,1877082
1758267510,1877082
1758267540,1877082
1758267570,1877082
1758267600,1877082
1758267630,1877082
1758267660,1877082
1758267690,1877082
1758267720,1877082
1758267750,1877082
1758267780,1877082
1758267810,1877082
1758267840,1877082
1758267870,1877082
1758267900,1877082
1758267930,1877082
1758267960,1877082
1758267990,1877082
1758268020,1877082
1758268050,1877082
1758268080,1877082
1758268110,1877082
1758268140,1877082
1758268170,1877082
1758268200,1877082
1758268231,1877082
1758268261,1877082
1758268291,1877082
1758268321,1877082
1758268351,1877082
1758268381,1877082
1758268411,1877082
1758268441,1877082
1758268471,1877082
1758268501,1877082
1758268531,1877082
1758268561,1877082
1758268591,1877082
1758268621,1877082
1758268651,1877082
1758268681,1877082
1758268711,1877082
1758268741,1877082
1758268771,1877082
1758268801,1877082
1758268831,1877082
1758268861,1877082
1758268891,1877082
1758268921,1877082
1758268951,1877082
1758268981,1877082
1758269011,1877082
1758269041,1877082
1758269071,1877082
1758269101,1877082
1758269131,1877082
1758269161,1877082
1758269191,1877082
1758269221,1877082
1758269251,1877082
1758269281,1877082
1758269311,1877082
1758269341,1877082
1758269371,1877082
1758269401,1877082
1758269431,1877082
1758269461,1877082
1758269491,1877082
1758269521,1877082
1758269551,1877082
1758269581,1877082
1758269611,1877082
1758269641,1877082
1758269671,1877082
1758269701,1877082
1758269731,1877082
1758269761,1877082
1758269791,1877082
1758269821,1877082
1758269851,1877082
1758269881,1877082
1758269911,1877082
1758269941,1877082
1758269971,1877082
1758270001,1877082
1758270031,1877082
1758270061,1877082
1758270091,1877082
1758270121,1877082
1758270151,1877082
1758270181,1877082
1758270211,1877082
1758270241,1877082
1758270271,1877082
1758270301,1877082
1758270331,1877082
1758270362,1877082
1758270392,1877082
1758270422,1877082
1758270452,1877082
1758270482,1877082
1758270512,1877082
1758270542,1877082
1758270572,1877082
1758270602,1877082
1758270632,1877082
1758270662,1877082
1758270692,1877082
1758270722,1877082
1758270752,1877082
1758270782,1877082
1758270812,1877082
1758270842,1877082
1758270872,1877082
1758270902,1877082
1758270932,1877082
1758496830,1877082
1758496860,1877082
1758496890,1877082
1758496920,1877082
1758496950,1877082
1758496980,1877082
1758497010,1877082
1758497040,1877082
1758497070,1877082
1758497100,1877082
1758497130,1877082
1758497160,1877082
1758497190,1877082
1758497220,1877082
1758497250,1877082
1758497280,1877082
1758497310,1877082
1758497340,1877082
1758497370,1877082
1758497400,1877082
1758497430,1877082
1758497460,1877082
1758497490,1877082
1758497520,1877082
1758497550,1877082
1758497580,1877082
1758497610,1877082
1758497640,1877082
1758497670,1877082
1758497700,1877082
1758497730,1877082
1758497760,1877082
1758497790,1877082
1758497820,1877082
1758497850,1877082
1758497880,1877082
1758497910,1877082
1758497940,1877082
1758497970,1877082
1758498000,1877082
1758498030,1877082
1758498060,1877082
1758498090,1877082
1758498120,1877082
1758498150,1877082
1758498180,1877082
1758498210,1877082
1758498240,1877082
1758498270,1877082
1758498300,1877082
1758498330,1877082
1758498360,1877082
1758498390,1877082
1758498420,1877082
1758498450,1877082
1758498480,1877082
1758498510,1877082
1758498540,1877082
1758498570,1877082
1758498780,1877082
1758498810,1877082
1758498840,1877082
1758498870,1877082
1758498900,1877082
1758498930,1877082
1758498960,1877082
1758498990,1877082
1758499020,1877082
1758499050,1877082
1758499080,1877082
1758499110,1877082
1758499140,1877082
1758499170,1877082
1758499200,1877082
1758499230,1877082
1758499260,1877082
1758499290,1877082
1758499320,1877082
1758499350,1877082
1758499380,1877082
1758499410,1877082
1758499440,1877082
1758499470,1877082
1758499500,1877082
1758499530,1877082
1758499560,1877082
1758499590,1877082
1758499620,1877082
1758499650,1877082
1758499680,1877082
1758499710,1877082
1758499740,1877082
1758499770,1877082
1758499800,1877082
1758499830,1877082
1758499860,1877082
1758499890,1877082
1758499980,1877082
1758500010,1877082
1758500040,1877082
1758500070,1877082
1758500100,1877082
1758500130,1877082
1758500160,1877082
1758500190,1877082
1758500220,1877082
1758500250,1877082
1758500280,1877082
1758500310,1877082
1758500340,1877082
1758500370,1877082
1758500400,1877082
1758500430,1877082
1758500460,1877082
1758500490,1877082
1758500520,1877082
1758500550,1877082
1758500580,1877082
1758500610,1877082
1758500640,1877082
1758500670,1877082
1758500700,1877082
1758500730,1877082
1758500760,1877082
1758500790,1877082
1758500820,1877082
1758500850,1877082
