t,value
1758264660,1951346
1758264690,1951346
1758264720,1951346
1758264750,1951346
1758264780,1951346
1758264810,1951346
1758264840,1951346
1758264870,1951346
1758264900,1951346
1758264930,1951346
1758265140,1952177
1758265170,1952177
1758265200,1952177
1758265230,1952177
1758265260,1952177
1758265290,1952177
1758265320,1952177
1758265350,1952177
1758265380,1952177
1758265410,1952177
1758265440,1952177
1758266100,1952409
1758266130,1952409
1758266160,1952409
1758266190,1952409
1758266220,1952409
1758266400,1952641
1758266430,1952641
1758266460,1952641
1758266490,1952641
1758266520,1952641
1758266550,1952641
1758266580,1952641
1758266610,1952641
1758266640,1952641
1758266670,1952641
1758266700,1952641
1758266730,1952641
1758266760,1952641
1758266790,1952641
1758266820,1952641
1758266850,1952641
1758266880,1952641
1758266910,1952641
1758266940,1952641
1758266970,1952641
1758267000,1952641
1758267030,1952641
1758267060,1952641
1758267090,1952641
1758267120,1952641
1758267150,1952641
1758267180,1952641
1758267210,1952641
1758267240,1952641
1758267270,1952641
1758267300,1952641
1758267330,1952641
1758267360,1952641
1758267390,1952641
1758267420,1952641
1758267450,1952641
1758267480,1952641
1758267510,1952641
1758267540,1952641
1758267570,1952641
1758267600,1952641
1758267630,1952641
1758267660,1952641
1758267690,1952641
1758267720,1952641
1758267750,1952641
1758267780,1952641
1758267810,1952641
1758267840,1952641
1758267870,1952641
1758267900,1952641
1758267930,1952641
1758267960,1952641
1758267990,1952641
1758268020,1952641
1758268050,1952641
1758268080,1952641
1758268110,1952641
1758268140,1952641
1758268170,1952641
1758268200,1952641
1758268231,1952641
1758268261,1952641
1758268291,1952641
1758268321,1952641
1758268351,1952641
1758268381,1952641
1758268411,1952641
1758268441,1952641
1758268471,1952641
1758268501,1952641
1758268531,1952641
1758268561,1952641
1758268591,1952641
1758268621,1952641
1758268651,1952641
1758268681,1952641
1758268711,1952641
1758268741,1952641
1758268771,1952641
1758268801,1952641
1758268831,1952641
1758268861,1952641
1758268891,1952641
1758268921,1952641
1758268951,1952641
1758268981,1952641
1758269011,1952641
1758269041,1952641
1758269071,1952641
1758269101,1952641
1758269131,1952641
1758269161,1952641
1758269191,1952641
1758269221,1952641
1758269251,1952641
1758269281,1952641
1758269311,1952641
1758269341,1952641
1758269371,1952641
1758269401,1952641
1758269431,1952641
1758269461,1952641
1758269491,1952641
1758269521,1952641
1758269551,1952641
1758269581,1952641
1758269611,1952641
1758269641,1952641
1758269671,1952641
1758269701,1952641
1758269731,1952641
1758269761,1952641
1758269791,1952641
1758269821,1952641
1758269851,1952641
1758269881,1952641
1758269911,1952641
1758269941,1952641
1758269971,1952641
1758270001,1952641
1758270031,1952641
1758270061,1952641
1758270091,1952641
1758270121,1952641
1758270151,1952641
1758270181,1952641
1758270211,1952641
1758270241,1952641
1758270271,1952641
1758270301,1952641
1758270331,1952641
1758270362,1952641
1758270392,1952641
1758270422,1952641
1758270452,1952641
1758270482,1952641
1758270512,1952641
1758270542,1952641
1758270572,1952641
1758270602,1952641
1758270632,1952641
1758270662,1952641
1758270692,1952641
1758270722,1952641
1758270752,1952641
1758270782,1952641
1758270812,1952641
1758270842,1952641
1758270872,1952641
1758270902,1952641
1758270932,1952641
1758496830,1952641
1758496860,1952641
1758496890,1952641
1758496920,1952641
1758496950,1952641
1758496980,1952641
1758497010,1952641
1758497040,1952641
1758497070,1952641
1758497100,1952641
1758497130,1952641
1758497160,1952641
1758497190,1952641
1758497220,1952641
1758497250,1952641
1758497280,1952641
1758497310,1952641
1758497340,1952641
1758497370,1952641
1758497400,1952641
1758497430,1952641
1758497460,1952641
1758497490,1952641
1758497520,1952641
1758497550,1952641
1758497580,1952641
1758497610,1952641
1758497640,1952641
1758497670,1952641
1758497700,1952641
1758497730,1952641
1758497760,1952641
1758497790,1952641
1758497820,1952641
1758497850,1952641
1758497880,1952641
1758497910,1952641
1758497940,1952641
1758497970,1952641
1758498000,1952641
1758498030,1956035
1758498060,1956035
1758498090,1956035
1758498120,1956035
1758498150,1956035
1758498180,1956035
1758498210,1956035
1758498240,1956035
1758498270,1956035
1758498300,1956035
1758498330,1956035
1758498360,1956035
1758498390,1956035
1758498420,1956035
1758498450,1956035
1758498480,1956035
1758498510,1956035
1758498540,1956035
1758498570,1956035
1758498780,1956627
1758498810,1956627
1758498840,1956627
1758498870,1956627
1758498900,1956627
1758498930,1956627
1758498960,1956627
1758498990,1956627
1758499020,1956627
1758499050,1956627
1758499080,1956627
1758499110,1956627
1758499140,1956627
1758499170,1956627
1758499200,1956627
1758499230,1956627
1758499260,1956627
1758499290,1956627
1758499320,1956627
1758499350,1956627
1758499380,1956627
1758499410,1956627
1758499440,1956627
1758499470,1956627
1758499500,1956627
1758499530,1956627
1758499560,1956627
1758499590,1956627
1758499620,1956627
1758499650,1956627
1758499680,1956627
1758499710,1956627
1758499740,1956627
1758499770,1956627
1758499800,1956627
1758499830,1956627
1758499860,1956627
1758499890,1956627
1758499980,1956859
1758500010,1956859
1758500040,1956859
1758500070,1956859
1758500100,1956859
1758500130,1956859
1758500160,1956859
1758500190,1956859
1758500220,1956859
1758500250,1956859
1758500280,1956859
1758500310,1956859
1758500340,1956859
1758500370,1956859
1758500400,1956859
1758500430,1956859
1758500460,1956859
1758500490,1956859
1758500520,1956859
1758500550,1956859
1758500580,1956859
1758500610,1956859
1758500640,1956859
1758500670,1956859
1758500700,1956859
1758500730,1956859
1758500760,1956859
1758500790,1956859
1758500820,1956859
1758500850,1956859
1758500880,1956859
1758500910,1956859
1758500940,1956859
1758500970,1956859
1758501000,1956859
1758501030,1956859
1758501060,1956859
1758501090,1956859
1758501120,1956859
1758501150,1956859
1758501180,1956859
1758501211,1956859
1758501241,1956859
1758501271,1956859
1758501301,1956859
1758501331,1956859
1758501361,1956859
1758501391,1956859
1758501421,1956859
1758501451,1956859
1758501481,1956859
1758501511,1956859
1758501541,1956859
1758501571,1956859
1758501601,1956859
1758501631,1956859
1758501661,1956859
1758501691,1956859
1758501721,1956859
1758501751,1956859
1758501781,1956859
1758501811,1956859
1758501841,1956859
1758501871,1956859
1758501901,1956859
1758501931,1956859
1758501961,1956859
1758501991,1956859
1758502021,1956859
1758502051,1956859
1758502081,1956859
1758502111,1956859
1758502141,1956859
1758502171,1956859
1758502201,1956859
1758502231,1956859
1758502261,1956859
1758502291,1956859
1758502321,1956859
1758502351,1956859
1758502381,1956859
1758502411,1956859
1758502441,1956859
1758502471,1956859
1758502501,1956859
1758502531,1956859
1758502561,1956859
1758502591,1956859
1758502621,1956859
1758502651,1956859
