t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1758264660,67,3.912452213045893,0.0,0.0,0.0,events/second
1758264690,74,1.5695813072504383,0.0,0.0,0.0,events/second
1758264720,81,1.0497252491899354,0.0,0.0,0.0,events/second
1758264750,88,0.8209760760705088,0.0,0.0,0.0,events/second
1758264780,95,0.6923579725770111,0.0,0.0,0.0,events/second
1758264810,127,0.7594501665708927,0.0,0.0,0.0,events/second
1758264840,145,0.7351414419663205,0.0,0.0,0.0,events/second
1758264870,152,0.6688349112293682,0.0,0.0,0.0,events/second
1758264900,170,0.6607602826048874,0.0,0.0,0.0,events/second
1758264930,177,0.616089742706106,0.0,0.0,0.0,events/second
1758265140,34,2.343098880171711,0.0,0.0,0.0,events/second
1758265170,41,0.9207017647236689,0.0,0.0,0.0,events/second
1758265200,48,0.6439360764388613,0.0,0.0,0.0,events/second
1758265230,55,0.526042389890268,0.0,0.0,0.0,events/second
1758265260,62,0.4607284352126702,0.0,0.0,0.0,events/second
1758265290,69,0.4192267688516321,0.0,0.0,0.0,events/second
1758265320,76,0.39052936867925103,0.0,0.0,0.0,events/second
1758265350,83,0.3695056585375344,0.0,0.0,0.0,events/second
1758265380,90,0.35345376912611637,0.0,0.0,0.0,events/second
1758265410,97,0.34078505301467826,0.0,0.0,0.0,events/second
1758265440,104,0.33052853860393205,0.0,0.0,0.0,events/second
1758266100,4,1.4387969585558853,0.0,0.0,0.0,events/second
1758266130,36,1.0963471154591196,0.0,0.0,0.0,events/second
1758266160,43,0.6841745948394422,0.0,0.0,0.0,events/second
1758266190,95,1.0229597952820124,0.0,0.0,0.0,events/second
1758266220,124,1.009163845771586,0.0,0.0,0.0,events/second
1758266400,43,2.0727601376758136,0.0,0.0,0.0,events/second
1758266430,49,0.9651015612022522,0.0,0.0,0.0,events/second
1758266460,56,0.6931821686551728,0.0,0.0,0.0,events/second
1758266490,63,0.5685620645733986,0.0,0.0,0.0,events/second
1758266520,70,0.4970827216333962,0.0,0.0,0.0,events/second
1758266550,77,0.4507028242574284,0.0,0.0,0.0,events/second
1758266580,84,0.41820128678235835,0.0,0.0,0.0,events/second
1758266610,91,0.3941462685187827,0.0,0.0,0.0,events/second
1758266640,98,0.37563298465236034,0.0,0.0,0.0,events/second
1758266670,105,0.3609321931462894,0.0,0.0,0.0,events/second
1758266700,112,0.34898864367054006,0.0,0.0,0.0,events/second
1758266730,119,0.3390931712703079,0.0,0.0,0.0,events/second
1758266760,126,0.3307510115234154,0.0,0.0,0.0,events/second
1758266790,133,0.32362294298185795,0.0,0.0,0.0,events/second
1758266820,140,0.3174714306161357,0.0,0.0,0.0,events/second
1758266850,158,0.3354572268371186,0.0,0.0,0.0,events/second
1758266880,164,0.3273369415774887,0.0,0.0,0.0,events/second
1758266910,170,0.3201314462429975,0.0,0.0,0.0,events/second
1758266940,176,0.3136980957969127,0.0,0.0,0.0,events/second
1758266970,182,0.3079212216383578,0.0,0.0,0.0,events/second
1758267000,188,0.3027045634497609,0.0,0.0,0.0,events/second
1758267030,194,0.29796825051005715,0.0,0.0,0.0,events/second
1758267060,200,0.2936478673868706,0.0,0.0,0.0,events/second
1758267090,206,0.2896871128784373,0.0,0.0,0.0,events/second
1758267120,212,0.2860472849239198,0.0,0.0,0.0,events/second
1758267150,218,0.28269510330772574,0.0,0.0,0.0,events/second
1758267180,224,0.27959451962063936,0.0,0.0,0.0,events/second
1758267210,230,0.27671693228538513,0.0,0.0,0.0,events/second
1758267240,236,0.27403942585711916,0.0,0.0,0.0,events/second
1758267270,242,0.27154103372549043,0.0,0.0,0.0,events/second
1758267300,248,0.26920572398852993,0.0,0.0,0.0,events/second
1758267330,254,0.26701799953123223,0.0,0.0,0.0,events/second
1758267360,260,0.2649632605845986,0.0,0.0,0.0,events/second
1758267390,266,0.2630298652881984,0.0,0.0,0.0,events/second
1758267420,272,0.261209308072615,0.0,0.0,0.0,events/second
1758267450,278,0.2594901309648828,0.0,0.0,0.0,events/second
