t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1758264660,136,7.942426471789733,0.0,0.0,0.0,events/second
1758264690,136,2.8847740655451597,0.0,0.0,0.0,events/second
1758264720,136,1.7625531226869204,0.0,0.0,0.0,events/second
1758264750,136,1.2688075482823908,0.0,0.0,0.0,events/second
1758264780,136,0.9911815019061367,0.0,0.0,0.0,events/second
1758264810,136,0.8132805474630537,0.0,0.0,0.0,events/second
1758264840,136,0.6895199265068291,0.0,0.0,0.0,events/second
1758264870,136,0.59843699661988,0.0,0.0,0.0,events/second
1758264900,136,0.528612811597308,0.0,0.0,0.0,events/second
1758264930,136,0.47338347462147684,0.0,0.0,0.0,events/second
1758265140,136,9.372722355243281,0.0,0.0,0.0,events/second
1758265170,136,3.0541126831851733,0.0,0.0,0.0,events/second
1758265200,136,1.8245046194270242,0.0,0.0,0.0,events/second
1758265230,136,1.300773420077041,0.0,0.0,0.0,events/second
1758265260,136,1.0106385971744156,0.0,0.0,0.0,events/second
1758265290,136,0.8263076083376402,0.0,0.0,0.0,events/second
1758265320,136,0.6988460515768725,0.0,0.0,0.0,events/second
1758265350,136,0.6054581131812322,0.0,0.0,0.0,events/second
1758265380,136,0.5341102931039607,0.0,0.0,0.0,events/second
1758265410,136,0.477803633438267,0.0,0.0,0.0,events/second
1758265440,136,0.43223112459995405,0.0,0.0,0.0,events/second
1758266100,136,48.936984349016846,0.0,0.0,0.0,events/second
1758266130,136,4.141976426404096,0.0,0.0,0.0,events/second
1758266160,136,2.163961291276818,0.0,0.0,0.0,events/second
1758266190,136,1.4644754154624686,0.0,0.0,0.0,events/second
1758266220,136,1.106840749494609,0.0,0.0,0.0,events/second
1758266400,136,6.556357083600278,0.0,0.0,0.0,events/second
1758266430,136,2.6787831706235186,0.0,0.0,0.0,events/second
1758266460,136,1.6834948523270377,0.0,0.0,0.0,events/second
1758266490,136,1.2274005837701285,0.0,0.0,0.0,events/second
1758266520,136,0.9657781950394063,0.0,0.0,0.0,events/second
1758266550,136,0.7960585208677899,0.0,0.0,0.0,events/second
1758266580,136,0.6770965278214733,0.0,0.0,0.0,events/second
1758266610,136,0.589060320486289,0.0,0.0,0.0,events/second
1758266640,136,0.5212917692375141,0.0,0.0,0.0,events/second
1758266670,136,0.46749727241638267,0.0,0.0,0.0,events/second
1758266700,136,0.42377531423865,0.0,0.0,0.0,events/second
1758266730,136,0.38753791400600196,0.0,0.0,0.0,events/second
1758266760,136,0.3570035186132918,0.0,0.0,0.0,events/second
1758266790,136,0.33092479027932803,0.0,0.0,0.0,events/second
1758266820,136,0.3084026332664045,0.0,0.0,0.0,events/second
1758266850,136,0.2887495817664008,0.0,0.0,0.0,events/second
1758266880,136,0.27145149468609986,0.0,0.0,0.0,events/second
1758266910,136,0.2561063592716645,0.0,0.0,0.0,events/second
1758266940,136,0.24240416855048202,0.0,0.0,0.0,events/second
1758266970,136,0.23009596519874595,0.0,0.0,0.0,events/second
1758267000,136,0.21897866342250508,0.0,0.0,0.0,events/second
1758267030,136,0.20888577993601795,0.0,0.0,0.0,events/second
1758267060,136,0.19968130018780988,0.0,0.0,0.0,events/second
1758267090,136,0.19125042496442082,0.0,0.0,0.0,events/second
1758267120,136,0.1835026654867226,0.0,0.0,0.0,events/second
1758267150,136,0.1763608210085723,0.0,0.0,0.0,events/second
1758267180,136,0.16975435782649825,0.0,0.0,0.0,events/second
1758267210,136,0.16362443567312718,0.0,0.0,0.0,events/second
1758267240,136,0.1579214899464702,0.0,0.0,0.0,events/second
1758267270,136,0.1526020113639437,0.0,0.0,0.0,events/second
1758267300,136,0.1476293552112471,0.0,0.0,0.0,events/second
1758267330,136,0.1429706261821409,0.0,0.0,0.0,events/second
1758267360,136,0.13859652758176771,0.0,0.0,0.0,events/second
1758267390,136,0.13448176741436668,0.0,0.0,0.0,events/second
1758267420,136,0.13060497504561952,0.0,0.0,0.0,events/second
1758267450,136,0.12694511154790256,0.0,0.0,0.0,events/second
1758267480,136,0.12348516723011095,0.0,0.0,0.0,events/second
1758267510,136,0.12020931966100273,0.0,0.0,0.0,events/second
1758267540,136,0.11710271792158446,0.0,0.0,0.0,events/second
1758267570,136,0.11415232543247575,0.0,0.0,0.0,events/second
1758267600,136,0.11134727420397397,0.0,0.0,0.0,events/second
1758267630,136,0.10867699770480596,0.0,0.0,0.0,events/second
1758267660,136,0.10613087162048261,0.0,0.0,0.0,events/second
1758267690,136,0.10370181063166922,0.0,0.0,0.0,events/second
1758267720,136,0.10138064420759857,0.0,0.0,0.0,events/second
1758267750,136,0.09916226412657216,0.0,0.0,0.0,events/second
1758267780,136,0.09703887105108708,0.0,0.0,0.0,events/second
1758267810,136,0.09500396754039049,0.0,0.0,0.0,events/second
1758267840,136,0.09305272730577988,0.0,0.0,0.0,events/second
1758267870,136,0.09118055153222364,0.0,0.0,0.0,events/second
1758267900,136,0.08938151768236023,0.0,0.0,0.0,events/second
1758267930,136,0.0876520393204901,0.0,0.0,0.0,events/second
1758267960,136,0.08598864051793813,0.0,0.0,0.0,events/second
1758267990,136,0.08438684694747758,0.0,0.0,0.0,events/second
1758268020,136,0.08284379646678565,0.0,0.0,0.0,events/second
1758268050,136,0.08135612366525279,0.0,0.0,0.0,events/second
1758268080,136,0.07992124210090162,0.0,0.0,0.0,events/second
1758268110,136,0.07853579879263438,0.0,0.0,0.0,events/second
1758268140,136,0.07719789095298342,0.0,0.0,0.0,events/second
1758268170,136,0.07590415123581014,0.0,0.0,0.0,events/second
1758268200,136,0.07465309109280618,0.0,0.0,0.0,events/second
1758268231,136,0.07344293292560632,0.0,0.0,0.0,events/second
1758268261,136,0.0722712194617296,0.0,0.0,0.0,events/second
1758268291,136,0.07113654568270286,0.0,0.0,0.0,events/second
1758268321,136,0.07003705133151149,0.0,0.0,0.0,events/second
1758268351,136,0.06897052279459356,0.0,0.0,0.0,events/second
1758268381,136,0.06793596829824662,0.0,0.0,0.0,events/second
1758268411,136,0.06693255228688816,0.0,0.0,0.0,events/second
1758268441,136,0.0659583134348115,0.0,0.0,0.0,events/second
1758268471,136,0.06501184236886279,0.0,0.0,0.0,events/second
1758268501,136,0.0640920892571495,0.0,0.0,0.0,events/second
1758268531,136,0.06319783941256382,0.0,0.0,0.0,events/second
1758268561,136,0.06232862347687347,0.0,0.0,0.0,events/second
1758268591,136,0.061482916311173655,0.0,0.0,0.0,events/second
1758268621,136,0.06065967034953825,0.0,0.0,0.0,events/second
1758268651,136,0.05985835773586375,0.0,0.0,0.0,events/second
1758268681,136,0.05907796612541445,0.0,0.0,0.0,events/second
1758268711,136,0.05831751913189671,0.0,0.0,0.0,events/second
1758268741,136,0.057576390774680915,0.0,0.0,0.0,events/second
1758268771,136,0.05685393628866247,0.0,0.0,0.0,events/second
1758268801,136,0.056149282453760406,0.0,0.0,0.0,events/second
1758268831,136,0.05546191913632911,0.0,0.0,0.0,events/second
1758268861,136,0.05479134190837839,0.0,0.0,0.0,events/second
1758268891,136,0.054136809069374923,0.0,0.0,0.0,events/second
1758268921,136,0.05349744083458487,0.0,0.0,0.0,events/second
1758268951,136,0.052873233990544104,0.0,0.0,0.0,events/second
1758268981,136,0.052263256567304094,0.0,0.0,0.0,events/second
1758269011,136,0.05166742156353365,0.0,0.0,0.0,events/second
1758269041,136,0.05108496875881494,0.0,0.0,0.0,events/second
1758269071,136,0.0505153503951508,0.0,0.0,0.0,events/second
1758269101,136,0.049958417346438494,0.0,0.0,0.0,events/second
1758269131,136,0.04941345030579176,0.0,0.0,0.0,events/second
1758269161,136,0.04888037686948549,0.0,0.0,0.0,events/second
1758269191,136,0.04835873802992008,0.0,0.0,0.0,events/second
1758269221,136,0.04784812517749581,0.0,0.0,0.0,events/second
1758269251,136,0.04734818216872893,0.0,0.0,0.0,events/second
1758269281,136,0.04685864003692064,0.0,0.0,0.0,events/second
1758269311,136,0.04637911324764878,0.0,0.0,0.0,events/second
1758269341,136,0.04590931054877656,0.0,0.0,0.0,events/second
1758269371,136,0.04544886115089879,0.0,0.0,0.0,events/second
1758269401,136,0.0449974199885548,0.0,0.0,0.0,events/second
1758269431,136,0.044554896732358865,0.0,0.0,0.0,events/second
1758269461,136,0.044121034642093104,0.0,0.0,0.0,events/second
1758269491,136,0.043695639570298345,0.0,0.0,0.0,events/second
1758269521,136,0.043278248055358556,0.0,0.0,0.0,events/second
1758269551,136,0.04286885606148335,0.0,0.0,0.0,events/second
1758269581,136,0.04246708619274596,0.0,0.0,0.0,events/second
1758269611,136,0.042072699913289886,0.0,0.0,0.0,events/second
1758269641,136,0.041685492039224996,0.0,0.0,0.0,events/second
1758269671,136,0.04130555418166921,0.0,0.0,0.0,events/second
1758269701,136,0.040932442223295284,0.0,0.0,0.0,events/second
1758269731,136,0.04056601679355847,0.0,0.0,0.0,events/second
1758269761,136,0.04020592631607653,0.0,0.0,0.0,events/second
1758269791,136,0.0398522541814908,0.0,0.0,0.0,events/second
1758269821,136,0.0395047336060351,0.0,0.0,0.0,events/second
1758269851,136,0.03916325214783273,0.0,0.0,0.0,events/second
1758269881,136,0.03882752806423859,0.0,0.0,0.0,events/second
1758269911,136,0.038497703219184866,0.0,0.0,0.0,events/second
1758269941,136,0.03817339711107361,0.0,0.0,0.0,events/second
1758269971,136,0.03785452184190081,0.0,0.0,0.0,events/second
1758270001,136,0.03754091425627528,0.0,0.0,0.0,events/second
1758270031,136,0.03723246670593024,0.0,0.0,0.0,events/second
1758270061,136,0.036929000677339646,0.0,0.0,0.0,events/second
1758270091,136,0.036630416725859656,0.0,0.0,0.0,events/second
1758270121,136,0.03633667380356613,0.0,0.0,0.0,events/second
1758270151,136,0.03604762369367685,0.0,0.0,0.0,events/second
1758270181,136,0.03576306303484805,0.0,0.0,0.0,events/second
1758270211,136,0.03548295317910736,0.0,0.0,0.0,events/second
1758270241,136,0.0352072454996084,0.0,0.0,0.0,events/second
1758270271,136,0.034935736071715816,0.0,0.0,0.0,events/second
1758270301,136,0.03466840857269813,0.0,0.0,0.0,events/second
1758270331,136,0.03440513891228065,0.0,0.0,0.0,events/second
1758270362,136,0.03414586827247059,0.0,0.0,0.0,events/second
1758270392,136,0.033890510675294354,0.0,0.0,0.0,events/second
1758270422,136,0.03363899689006954,0.0,0.0,0.0,events/second
1758270452,136,0.033391151406719596,0.0,0.0,0.0,events/second
1758270482,136,0.033146886143023906,0.0,0.0,0.0,events/second
1758270512,136,0.03290616232424797,0.0,0.0,0.0,events/second
1758270542,136,0.03266892113623105,0.0,0.0,0.0,events/second
1758270572,136,0.03243508374940199,0.0,0.0,0.0,events/second
1758270602,136,0.03220454738503639,0.0,0.0,0.0,events/second
1758270632,136,0.03197723503995356,0.0,0.0,0.0,events/second
1758270662,136,0.031753176826016874,0.0,0.0,0.0,events/second
1758270692,136,0.0315321845985629,0.0,0.0,0.0,events/second
1758270722,136,0.0313143292835225,0.0,0.0,0.0,events/second
1758270752,136,0.031099401638495935,0.0,0.0,0.0,events/second
1758270782,136,0.030887478369759226,0.0,0.0,0.0,events/second
1758270812,136,0.030678359577486877,0.0,0.0,0.0,events/second
1758270842,136,0.03047208484604303,0.0,0.0,0.0,events/second
1758270872,136,0.030268529182702078,0.0,0.0,0.0,events/second
1758270902,136,0.030067702534923368,0.0,0.0,0.0,events/second
1758270932,136,0.02986948844037885,0.0,0.0,0.0,events/second
1758496830,136,6.969700426593839,0.0,0.0,0.0,events/second
1758496860,136,2.7449151114161636,0.0,0.0,0.0,events/second
