t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1758264660,11,0.6422543454491112,0.0,0.0,0.0,events/second
1758264690,11,0.23331014350696946,0.0,0.0,0.0,events/second
1758264720,11,0.14255302523172605,0.0,0.0,0.0,events/second
1758264750,11,0.10262079947937296,0.0,0.0,0.0,events/second
1758264780,11,0.08016706700156483,0.0,0.0,0.0,events/second
1758264810,11,0.06577868188888379,0.0,0.0,0.0,events/second
1758264840,11,0.05576901467014882,0.0,0.0,0.0,events/second
1758264870,11,0.048402246954277285,0.0,0.0,0.0,events/second
1758264900,11,0.04275486604363312,0.0,0.0,0.0,events/second
1758264930,11,0.038287909019268145,0.0,0.0,0.0,events/second
1758265140,11,0.7579570590453028,0.0,0.0,0.0,events/second
1758265170,11,0.24701175120007235,0.0,0.0,0.0,events/second
1758265200,11,0.1475658022172092,0.0,0.0,0.0,events/second
1758265230,11,0.10520742061412679,0.0,0.0,0.0,events/second
1758265260,11,0.08174150793920452,0.0,0.0,0.0,events/second
1758265290,11,0.0668328175471147,0.0,0.0,0.0,events/second
1758265320,11,0.05652367981177647,0.0,0.0,0.0,events/second
1758265350,11,0.048970403281020584,0.0,0.0,0.0,events/second
1758265380,11,0.043199728400951196,0.0,0.0,0.0,events/second
1758265410,11,0.03864558742304343,0.0,0.0,0.0,events/second
1758265440,11,0.03495962654634465,0.0,0.0,0.0,events/second
1758266100,1,0.35935453026756964,0.0,0.0,0.0,events/second
1758266130,12,0.3654322505326038,0.0,0.0,0.0,events/second
1758266160,12,0.19092786397810196,0.0,0.0,0.0,events/second
1758266190,12,0.12921388874822223,0.0,0.0,0.0,events/second
1758266220,12,0.09765983284743213,0.0,0.0,0.0,events/second
1758266400,12,0.5783803702213713,0.0,0.0,0.0,events/second
1758266430,12,0.23634402453648032,0.0,0.0,0.0,events/second
1758266460,12,0.14853602448657952,0.0,0.0,0.0,events/second
1758266490,12,0.10829603538908675,0.0,0.0,0.0,events/second
1758266520,12,0.08521322924817638,0.0,0.0,0.0,events/second
1758266550,12,0.07023876936234914,0.0,0.0,0.0,events/second
1758266580,12,0.05974259211174586,0.0,0.0,0.0,events/second
1758266610,12,0.051974985160362114,0.0,0.0,0.0,events/second
1758266640,12,0.045995609704488426,0.0,0.0,0.0,events/second
1758266670,12,0.0412491778368558,0.0,0.0,0.0,events/second
1758266700,12,0.037391460477495024,0.0,0.0,0.0,events/second
1758266730,12,0.03419412223230456,0.0,0.0,0.0,events/second
1758266760,12,0.031499971427557165,0.0,0.0,0.0,events/second
1758266790,12,0.02919895470856699,0.0,0.0,0.0,events/second
1758266820,12,0.02721174422634766,0.0,0.0,0.0,events/second
1758266850,12,0.025477682486128514,0.0,0.0,0.0,events/second
1758266880,12,0.02395140399526532,0.0,0.0,0.0,events/second
1758266910,12,0.022597443323718193,0.0,0.0,0.0,events/second
1758266940,12,0.02138844569232083,0.0,0.0,0.0,events/second
1758266970,12,0.02030244338769234,0.0,0.0,0.0,events/second
1758267000,12,0.019321518290162695,0.0,0.0,0.0,events/second
1758267030,12,0.018430981700115874,0.0,0.0,0.0,events/second
1758267060,12,0.017618831799334888,0.0,0.0,0.0,events/second
1758267090,12,0.01687493951151565,0.0,0.0,0.0,events/second
1758267120,12,0.01619132171774462,0.0,0.0,0.0,events/second
1758267150,12,0.015561165336063665,0.0,0.0,0.0,events/second
1758267180,12,0.014978248239662092,0.0,0.0,0.0,events/second
1758267210,12,0.014437379029765069,0.0,0.0,0.0,events/second
1758267240,12,0.013934182308125275,0.0,0.0,0.0,events/second
1758267270,12,0.013464821159906491,0.0,0.0,0.0,events/second
1758267300,12,0.013026061369070703,0.0,0.0,0.0,events/second
1758267330,12,0.012615000794022842,0.0,0.0,0.0,events/second
1758267360,12,0.012229053951960459,0.0,0.0,0.0,events/second
1758267390,12,0.011865989702184492,0.0,0.0,0.0,events/second
1758267420,12,0.011523922868724794,0.0,0.0,0.0,events/second
1758267450,12,0.011200996166119859,0.0,0.0,0.0,events/second
1758267480,12,0.0108957093456391,0.0,0.0,0.0,events/second
1758267510,12,0.01060666566410695,0.0,0.0,0.0,events/second
1758267540,12,0.010332555954224417,0.0,0.0,0.0,events/second
1758267570,12,0.010072228803010369,0.0,0.0,0.0,events/second
