t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1758264660,12,0.7007041288202498,0.0,0.0,0.0,events/second
1758264690,12,0.25453234127062535,0.0,0.0,0.0,events/second
1758264720,12,0.15551694032488025,0.0,0.0,0.0,events/second
1758264750,12,0.11195229359000883,0.0,0.0,0.0,events/second
1758264780,12,0.08745643010841442,0.0,0.0,0.0,events/second
1758264810,13,0.07773949981814997,0.0,0.0,0.0,events/second
1758264840,14,0.07097956426554036,0.0,0.0,0.0,events/second
1758264870,14,0.06160345879272565,0.0,0.0,0.0,events/second
1758264900,15,0.05830260362780466,0.0,0.0,0.0,events/second
1758264930,15,0.05221120179346787,0.0,0.0,0.0,events/second
1758265140,15,1.0336477708228138,0.0,0.0,0.0,events/second
1758265170,15,0.33684599026752227,0.0,0.0,0.0,events/second
1758265200,15,0.2012300457536487,0.0,0.0,0.0,events/second
1758265230,15,0.14346680902450915,0.0,0.0,0.0,events/second
1758265260,15,0.11146699053326455,0.0,0.0,0.0,events/second
1758265290,15,0.09113644723651712,0.0,0.0,0.0,events/second
1758265320,15,0.07707835858901672,0.0,0.0,0.0,events/second
1758265350,15,0.0667782881185773,0.0,0.0,0.0,events/second
1758265380,15,0.058909082425326185,0.0,0.0,0.0,events/second
1758265410,15,0.05269881842377168,0.0,0.0,0.0,events/second
1758265440,15,0.04767244846459027,0.0,0.0,0.0,events/second
1758266100,1,0.35950538530079545,0.0,0.0,0.0,events/second
1758266130,13,0.39591152643082966,0.0,0.0,0.0,events/second
1758266160,14,0.22275700876287888,0.0,0.0,0.0,events/second
1758266190,21,0.22612969184989234,0.0,0.0,0.0,events/second
1758266220,23,0.18718470928020925,0.0,0.0,0.0,events/second
1758266400,19,0.9158569844200821,0.0,0.0,0.0,events/second
1758266430,19,0.374229601832132,0.0,0.0,0.0,events/second
1758266460,19,0.23518912572626402,0.0,0.0,0.0,events/second
1758266490,19,0.17147257051660553,0.0,0.0,0.0,events/second
1758266520,19,0.13492328504164322,0.0,0.0,0.0,events/second
1758266550,19,0.11121299047005993,0.0,0.0,0.0,events/second
1758266580,19,0.0945936112785313,0.0,0.0,0.0,events/second
1758266610,19,0.08229459343327623,0.0,0.0,0.0,events/second
1758266640,19,0.0728270776026768,0.0,0.0,0.0,events/second
1758266670,19,0.06531175777473373,0.0,0.0,0.0,events/second
1758266700,19,0.059203602370442816,0.0,0.0,0.0,events/second
1758266730,19,0.054141077773173514,0.0,0.0,0.0,events/second
1758266760,19,0.049875281267908064,0.0,0.0,0.0,events/second
1758266790,19,0.04623195766675899,0.0,0.0,0.0,events/second
1758266820,19,0.043085505606374204,0.0,0.0,0.0,events/second
1758266850,20,0.04246302871054628,0.0,0.0,0.0,events/second
1758266880,20,0.039919193405089134,0.0,0.0,0.0,events/second
1758266910,20,0.03766257624448656,0.0,0.0,0.0,events/second
1758266940,20,0.035647564759329876,0.0,0.0,0.0,events/second
1758266970,20,0.03383754480065765,0.0,0.0,0.0,events/second
1758267000,21,0.033812789750389455,0.0,0.0,0.0,events/second
1758267030,21,0.032254339442153064,0.0,0.0,0.0,events/second
1758267060,21,0.03083306710864128,0.0,0.0,0.0,events/second
1758267090,21,0.029531243679852423,0.0,0.0,0.0,events/second
1758267120,21,0.028334907078809313,0.0,0.0,0.0,events/second
1758267150,21,0.027232124624066014,0.0,0.0,0.0,events/second
1758267180,21,0.026212013922944068,0.0,0.0,0.0,events/second
1758267210,21,0.02526548917979661,0.0,0.0,0.0,events/second
1758267240,21,0.024384888111536947,0.0,0.0,0.0,events/second
1758267270,21,0.023563502111556226,0.0,0.0,0.0,events/second
1758267300,21,0.02279566825821941,0.0,0.0,0.0,events/second
1758267330,21,0.022076306849026152,0.0,0.0,0.0,events/second
1758267360,21,0.02140089667559912,0.0,0.0,0.0,events/second
1758267390,21,0.020765531610664818,0.0,0.0,0.0,events/second
1758267420,21,0.02016691326885052,0.0,0.0,0.0,events/second
1758267450,21,0.019601788238209968,0.0,0.0,0.0,events/second
1758267480,21,0.0190675339825899,0.0,0.0,0.0,events/second
1758267510,21,0.018561703531405047,0.0,0.0,0.0,events/second
1758267540,21,0.018082010625968453,0.0,0.0,0.0,events/second
1758267570,21,0.017626434366708577,0.0,0.0,0.0,events/second
1758267600,21,0.017193304586275437,0.0,0.0,0.0,events/second
1758267630,21,0.016780984611178097,0.0,0.0,0.0,events/second
1758267660,21,0.01638783248708831,0.0,0.0,0.0,events/second
1758267690,21,0.016012758341196188,0.0,0.0,0.0,events/second
1758267720,21,0.015654345226732036,0.0,0.0,0.0,events/second
1758267750,21,0.015311801827293586,0.0,0.0,0.0,events/second
1758267780,21,0.014983925617055601,0.0,0.0,0.0,events/second
1758267810,21,0.014669713161206166,0.0,0.0,0.0,events/second
1758267840,21,0.014368418665054136,0.0,0.0,0.0,events/second
1758267870,21,0.014079334243860774,0.0,0.0,0.0,events/second
1758267900,21,0.01380154193855897,0.0,0.0,0.0,events/second
1758267930,21,0.013534491287833747,0.0,0.0,0.0,events/second
1758267960,21,0.013277643442860632,0.0,0.0,0.0,events/second
1758267990,21,0.0130303085506788,0.0,0.0,0.0,events/second
1758268020,21,0.01279203188788547,0.0,0.0,0.0,events/second
1758268050,21,0.012562329110789893,0.0,0.0,0.0,events/second
1758268080,21,0.012340768169436833,0.0,0.0,0.0,events/second
1758268110,21,0.012126839413583118,0.0,0.0,0.0,events/second
1758268140,21,0.011920250668975962,0.0,0.0,0.0,events/second
1758268170,21,0.011720482422035201,0.0,0.0,0.0,events/second
1758268200,21,0.011527303873421027,0.0,0.0,0.0,events/second
1758268231,21,0.011340442351531607,0.0,0.0,0.0,events/second
1758268261,21,0.011159516810726307,0.0,0.0,0.0,events/second
