t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1758264660,2,0.137667170191225,0.0,0.0,0.0,events/second
1758264690,2,0.044896659159675875,0.0,0.0,0.0,events/second
1758264720,2,0.026822781333860166,0.0,0.0,0.0,events/second
1758264750,2,0.019122286147939826,0.0,0.0,0.0,events/second
1758264780,2,0.014857445845460483,0.0,0.0,0.0,events/second
1758264810,13,0.0789665788156998,0.0,0.0,0.0,events/second
1758264840,14,0.07192717279221932,0.0,0.0,0.0,events/second
1758264870,14,0.06231598626175891,0.0,0.0,0.0,events/second
1758264900,15,0.05889746934096945,0.0,0.0,0.0,events/second
1758264930,15,0.0526877585917826,0.0,0.0,0.0,events/second
1758265140,2,0.16837975811624742,0.0,0.0,0.0,events/second
1758265170,2,0.04773690959419846,0.0,0.0,0.0,events/second
1758265200,2,0.02781364969850511,0.0,0.0,0.0,events/second
1758265230,2,0.01962335651641905,0.0,0.0,0.0,events/second
1758265260,2,0.01515903192975925,0.0,0.0,0.0,events/second
1758265290,2,0.012349188323880229,0.0,0.0,0.0,events/second
1758265320,2,0.010418145956574618,0.0,0.0,0.0,events/second
1758265350,2,0.009009436385016337,0.0,0.0,0.0,events/second
1758265380,2,0.00793665818815563,0.0,0.0,0.0,events/second
1758265410,2,0.0070921501839226455,0.0,0.0,0.0,events/second
1758265440,2,0.006409994405844042,0.0,0.0,0.0,events/second
1758265470,11,0.032162097448308044,0.0,0.0,0.0,events/second
1758266100,0,0.0,0.0,0.0,0.0,events/second
1758266130,3,0.09955535954801388,0.0,0.0,0.0,events/second
1758266160,13,0.21613670199496984,0.0,0.0,0.0,events/second
1758266190,28,0.3105403097281581,0.0,0.0,0.0,events/second
1758266220,39,0.32453578131394367,0.0,0.0,0.0,events/second
1758266250,48,0.31961489239385255,0.0,0.0,0.0,events/second
1758266400,11,0.6063657700745781,0.0,0.0,0.0,events/second
1758266430,11,0.22837795673206873,0.0,0.0,0.0,events/second
1758266460,11,0.14069933959528874,0.0,0.0,0.0,events/second
1758266490,11,0.1016638658564292,0.0,0.0,0.0,events/second
1758266520,11,0.07958579443057308,0.0,0.0,0.0,events/second
1758266550,11,0.06538349539963123,0.0,0.0,0.0,events/second
1758266580,11,0.05548437182467826,0.0,0.0,0.0,events/second
1758266610,11,0.048187986571459035,0.0,0.0,0.0,events/second
1758266640,11,0.042588321681544715,0.0,0.0,0.0,events/second
1758266670,11,0.03815374793467953,0.0,0.0,0.0,events/second
1758266700,11,0.03455628794515243,0.0,0.0,0.0,events/second
1758266730,11,0.03157926683274576,0.0,0.0,0.0,events/second
1758266760,11,0.029073991361113848,0.0,0.0,0.0,events/second
1758266790,11,0.02693662277709099,0.0,0.0,0.0,events/second
1758266820,11,0.02509247958242216,0.0,0.0,0.0,events/second
1758266850,12,0.025619525089608058,0.0,0.0,0.0,events/second
1758266880,20,0.04012783369085458,0.0,0.0,0.0,events/second
1758266910,20,0.03784825155102504,0.0,0.0,0.0,events/second
1758266940,20,0.03581386180180422,0.0,0.0,0.0,events/second
1758266970,20,0.0339873471125859,0.0,0.0,0.0,events/second
1758267000,20,0.032338301349720634,0.0,0.0,0.0,events/second
1758267030,20,0.030841827244392193,0.0,0.0,0.0,events/second
1758267060,20,0.02947757824143207,0.0,0.0,0.0,events/second
1758267090,20,0.02822840842109451,0.0,0.0,0.0,events/second
1758267120,20,0.027080817904481455,0.0,0.0,0.0,events/second
1758267150,20,0.02602326968558477,0.0,0.0,0.0,events/second
1758267180,20,0.025045263782414076,0.0,0.0,0.0,events/second
1758267210,20,0.02413802826787087,0.0,0.0,0.0,events/second
1758267240,20,0.02329416926312863,0.0,0.0,0.0,events/second
1758267270,20,0.022507223511077368,0.0,0.0,0.0,events/second
1758267300,20,0.021771729354003004,0.0,0.0,0.0,events/second
1758267330,20,0.021082793337692002,0.0,0.0,0.0,events/second
1758267360,20,0.020436062204156304,0.0,0.0,0.0,events/second
1758267390,20,0.019827773856521007,0.0,0.0,0.0,events/second
1758267420,20,0.019254756652939693,0.0,0.0,0.0,events/second
1758267450,20,0.018713876338416025,0.0,0.0,0.0,events/second
1758267480,20,0.01820261341497403,0.0,0.0,0.0,events/second
1758267510,20,0.01771861222881987,0.0,0.0,0.0,events/second
1758267540,20,0.017259678175888846,0.0,0.0,0.0,events/second
1758267570,20,0.01682386759706579,0.0,0.0,0.0,events/second
1758267600,20,0.016409575757884307,0.0,0.0,0.0,events/second
1758267630,20,0.01601523009689419,0.0,0.0,0.0,events/second
1758267660,20,0.01563925331368137,0.0,0.0,0.0,events/second
1758267690,20,0.015280600017055822,0.0,0.0,0.0,events/second
1758267720,20,0.014937910182339724,0.0,0.0,0.0,events/second
1758267750,20,0.01461042133421566,0.0,0.0,0.0,events/second
1758267780,20,0.01429698122806629,0.0,0.0,0.0,events/second
1758267810,20,0.013996627335875814,0.0,0.0,0.0,events/second
1758267840,20,0.013708643203225242,0.0,0.0,0.0,events/second
1758267870,20,0.013432351041842166,0.0,0.0,0.0,events/second
1758267900,20,0.013166869123252935,0.0,0.0,0.0,events/second
1758267930,20,0.01291167046126986,0.0,0.0,0.0,events/second
1758267960,20,0.012666238010688972,0.0,0.0,0.0,events/second
1758267990,20,0.01242991045013028,0.0,0.0,0.0,events/second
1758268020,20,0.012202251361373902,0.0,0.0,0.0,events/second
1758268050,20,0.011982797324574372,0.0,0.0,0.0,events/second
1758268080,20,0.011771133538903484,0.0,0.0,0.0,events/second
1758268110,20,0.011566771939488126,0.0,0.0,0.0,events/second
1758268140,20,0.011369432132568974,0.0,0.0,0.0,events/second
1758268170,20,0.011178617332307905,0.0,0.0,0.0,events/second
1758268200,20,0.010994105921674449,0.0,0.0,0.0,events/second
1758268231,20,0.010815637015807358,0.0,0.0,0.0,events/second
1758268261,20,0.010642845343907978,0.0,0.0,0.0,events/second
1758268291,20,0.010475521974320721,0.0,0.0,0.0,events/second
1758268321,20,0.01031339397737135,0.0,0.0,0.0,events/second
1758268351,20,0.010156133543742583,0.0,0.0,0.0,events/second
1758268381,20,0.010003592350034451,0.0,0.0,0.0,events/second
1758268411,20,0.009855650564239914,0.0,0.0,0.0,events/second
1758268441,20,0.009712013399949256,0.0,0.0,0.0,events/second
1758268471,20,0.009572478676120471,0.0,0.0,0.0,events/second
1758268501,20,0.009436885058416916,0.0,0.0,0.0,events/second
1758268531,20,0.009305056633261737,0.0,0.0,0.0,events/second
1758268561,20,0.009176923004936116,0.0,0.0,0.0,events/second
1758268591,20,0.009052259870764641,0.0,0.0,0.0,events/second
1758268621,20,0.008930910827639433,0.0,0.0,0.0,events/second
1758268651,20,0.008812798263533563,0.0,0.0,0.0,events/second
1758268681,20,0.008697772966265642,0.0,0.0,0.0,events/second
1758268711,20,0.008585690098368164,0.0,0.0,0.0,events/second
1758268741,20,0.008476459144186354,0.0,0.0,0.0,events/second
1758268771,20,0.008369982194568838,0.0,0.0,0.0,events/second
1758268801,20,0.008266132202111445,0.0,0.0,0.0,events/second
1758268831,20,0.008164833532697502,0.0,0.0,0.0,events/second
1758268861,20,0.008066010761151541,0.0,0.0,0.0,events/second
1758268891,20,0.007969554872243795,0.0,0.0,0.0,events/second
