t,value
1758264660,8
1758264690,8
1758264720,8
1758264750,8
1758264780,8
1758264810,8
1758264840,8
1758264870,8
1758264900,8
1758264930,8
1758265140,8
1758265170,8
1758265200,8
1758265230,8
1758265260,8
1758265290,8
1758265320,8
1758265350,8
1758265380,8
1758265410,8
1758265440,8
1758265470,0
1758266100,0
1758266130,8
1758266160,0
1758266190,8
1758266220,8
1758266250,0
1758266400,8
1758266430,8
1758266460,8
1758266490,8
1758266520,8
1758266550,8
1758266580,8
1758266610,8
1758266640,8
1758266670,8
1758266700,8
1758266730,8
1758266760,8
1758266790,8
1758266820,8
1758266850,8
1758266880,0
1758266910,0
1758266940,0
1758266970,0
1758267000,0
1758267030,0
1758267060,0
1758267090,0
1758267120,0
1758267150,0
1758267180,0
1758267210,0
1758267240,0
1758267270,0
1758267300,0
1758267330,0
1758267360,0
1758267390,0
1758267420,0
1758267450,0
1758267480,0
1758267510,0
1758267540,0
1758267570,0
1758267600,0
1758267630,0
1758267660,0
1758267690,0
1758267720,0
1758267750,0
1758267780,0
1758267810,0
1758267840,0
1758267870,0
1758267900,0
1758267930,0
1758267960,0
1758267990,0
1758268020,0
1758268050,0
1758268080,0
1758268110,0
1758268140,0
1758268170,0
1758268200,0
1758268231,0
1758268261,0
1758268291,0
1758268321,0
1758268351,0
1758268381,0
1758268411,0
1758268441,0
1758268471,0
1758268501,0
1758268531,0
1758268561,0
1758268591,0
1758268621,0
1758268651,0
1758268681,0
1758268711,0
1758268741,0
1758268771,0
1758268801,0
1758268831,0
1758268861,0
1758268891,0
1758268921,0
1758268951,0
1758268981,0
1758269011,0
1758269041,0
1758269071,0
1758269101,0
1758269131,0
1758269161,0
1758269191,0
1758269221,0
1758269251,0
1758269281,0
1758269311,0
1758269341,0
1758269371,0
1758269401,0
1758269431,0
1758269461,0
1758269491,0
1758269521,0
1758269551,0
1758269581,0
1758269611,0
1758269641,0
1758269671,0
1758269701,0
1758269731,0
1758269761,0
1758269791,0
1758269821,0
1758269851,0
1758269881,0
1758269911,0
1758269941,0
1758269971,0
1758270001,0
1758270031,0
1758270061,0
1758270091,0
1758270121,0
1758270151,0
1758270181,0
1758270211,0
1758270241,0
1758270271,0
1758270301,0
1758270331,0
1758270362,9
1758270392,9
1758270422,9
1758270452,9
1758270482,9
1758270512,9
1758270542,9
1758270572,9
1758270602,9
1758270632,9
1758270662,9
1758270692,9
1758270722,9
1758270752,9
1758270782,9
1758270812,9
1758270842,9
1758270872,9
1758270902,9
1758270932,0
1758496830,0
1758496860,8
1758496890,8
1758496920,8
1758496950,8
1758496980,8
1758497010,8
1758497040,8
1758497070,8
1758497100,8
1758497130,8
1758497160,8
1758497190,8
1758497220,8
1758497250,8
1758497280,8
1758497310,8
1758497340,8
1758497370,8
1758497400,8
1758497430,16
1758497460,16
1758497490,16
1758497520,16
1758497550,16
1758497580,16
1758497610,16
1758497640,16
1758497670,16
1758497700,16
1758497730,16
1758497760,16
1758497790,16
1758497820,16
1758497850,16
1758497880,16
1758497910,16
1758497940,16
1758497970,16
1758498000,16
1758498030,16
1758498060,16
1758498090,16
1758498120,16
1758498150,16
1758498180,16
1758498210,16
1758498240,16
1758498270,16
1758498300,16
1758498330,16
1758498360,16
1758498390,16
1758498420,16
1758498450,16
1758498480,16
1758498510,16
1758498540,16
1758498570,16
1758498780,0
1758498810,8
1758498840,8
1758498870,8
1758498900,8
1758498930,8
1758498960,8
1758498990,8
1758499020,16
1758499050,16
1758499080,16
1758499110,16
1758499140,16
1758499170,16
1758499200,16
1758499230,16
1758499260,16
1758499290,16
1758499320,16
1758499350,16
1758499380,16
1758499410,16
1758499440,16
1758499470,16
1758499500,16
1758499530,16
1758499560,16
1758499590,16
1758499620,16
1758499650,16
1758499680,16
1758499710,16
1758499740,16
1758499770,16
1758499800,16
1758499830,16
1758499860,16
1758499890,16
1758499920,0
1758499980,2
1758500010,8
1758500040,8
1758500070,8
1758500100,0
1758500130,0
1758500160,9
1758500190,9
1758500220,10
1758500250,10
1758500280,10
1758500310,10
1758500340,10
1758500370,10
1758500400,10
1758500430,10
1758500460,10
1758500490,10
1758500520,10
1758500550,10
1758500580,10
1758500610,10
1758500640,10
1758500670,10
1758500700,10
1758500730,9
1758500760,10
1758500790,10
1758500820,10
1758500850,10
1758500880,10
1758500910,9
1758500940,9
1758500970,10
1758501000,10
1758501030,10
1758501060,10
1758501090,10
1758501120,10
1758501150,10
1758501180,10
1758501211,10
1758501241,10
1758501271,10
1758501301,10
1758501331,10
1758501361,10
1758501391,10
1758501421,10
1758501451,10
1758501481,10
1758501511,10
1758501541,10
1758501571,10
1758501601,10
1758501631,10
1758501661,10
1758501691,10
1758501721,10
1758501751,10
1758501781,10
1758501811,10
1758501841,10
1758501871,10
1758501901,10
1758501931,10
1758501961,10
1758501991,10
1758502021,10
1758502051,10
1758502081,10
1758502111,10
1758502141,10
1758502171,10
1758502201,10
1758502231,10
1758502261,10
1758502291,10
1758502321,10
1758502351,10
1758502381,10
1758502411,10
1758502441,10
1758502471,10
1758502501,10
1758502531,10
1758502561,10
1758502591,10
1758502621,10
1758502651,10
