t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1758264660,145,9.981285777531664,0.0,0.0,0.0,events/second
1758264690,149,3.3449466663856313,0.0,0.0,0.0,events/second
1758264720,153,2.0519983434820905,0.0,0.0,0.0,events/second
1758264750,157,1.5011282637792451,0.0,0.0,0.0,events/second
1758264780,161,1.1960425418663083,0.0,0.0,0.0,events/second
1758264810,304,1.8466260048732035,0.0,0.0,0.0,events/second
1758264840,398,2.044808246863325,0.0,0.0,0.0,events/second
1758264870,402,1.7893753291972103,0.0,0.0,0.0,events/second
1758264900,496,1.947556277590406,0.0,0.0,0.0,events/second
1758264930,512,1.798421866757451,0.0,0.0,0.0,events/second
1758265140,127,10.692754878083187,0.0,0.0,0.0,events/second
1758265170,131,3.126869468132297,0.0,0.0,0.0,events/second
1758265200,135,1.8774570489005298,0.0,0.0,0.0,events/second
1758265230,139,1.3638413068832123,0.0,0.0,0.0,events/second
1758265260,147,1.1142004284473563,0.0,0.0,0.0,events/second
1758265290,151,0.9323696878908524,0.0,0.0,0.0,events/second
1758265320,155,0.8074114882136249,0.0,0.0,0.0,events/second
1758265350,159,0.7162546042366312,0.0,0.0,0.0,events/second
1758265380,163,0.6468411517710534,0.0,0.0,0.0,events/second
1758265410,167,0.5921974242553173,0.0,0.0,0.0,events/second
1758265440,172,0.5512618570760601,0.0,0.0,0.0,events/second
1758265470,177,0.5175194079163491,0.0,0.0,0.0,events/second
1758266100,0,0.0,0.0,0.0,0.0,events/second
1758266130,128,4.247821532105797,0.0,0.0,0.0,events/second
1758266160,137,2.277782248918392,0.0,0.0,0.0,events/second
1758266190,395,4.380876421678135,0.0,0.0,0.0,events/second
1758266220,524,4.360462186823347,0.0,0.0,0.0,events/second
1758266250,545,3.6289810697238853,0.0,0.0,0.0,events/second
1758266400,182,10.032851635546102,0.0,0.0,0.0,events/second
1758266430,186,3.8617529564257054,0.0,0.0,0.0,events/second
1758266460,190,2.43028944019425,0.0,0.0,0.0,events/second
1758266490,194,1.792999257872986,0.0,0.0,0.0,events/second
1758266520,198,1.432555463506471,0.0,0.0,0.0,events/second
1758266550,202,1.2006865720782112,0.0,0.0,0.0,events/second
1758266580,206,1.0390768396268695,0.0,0.0,0.0,events/second
1758266610,210,0.9199569777475765,0.0,0.0,0.0,events/second
1758266640,214,0.8285400391716463,0.0,0.0,0.0,events/second
1758266670,222,0.7700149908113938,0.0,0.0,0.0,events/second
1758266700,227,0.7131186032418977,0.0,0.0,0.0,events/second
1758266730,231,0.6631667377003889,0.0,0.0,0.0,events/second
1758266760,235,0.6211280212269248,0.0,0.0,0.0,events/second
1758266790,239,0.5852608979777655,0.0,0.0,0.0,events/second
1758266820,243,0.5543171086103338,0.0,0.0,0.0,events/second
1758266850,374,0.79847710825013,0.0,0.0,0.0,events/second
1758266880,390,0.7824942407691545,0.0,0.0,0.0,events/second
1758266910,390,0.7380423586308645,0.0,0.0,0.0,events/second
1758266940,390,0.6983716382420209,0.0,0.0,0.0,events/second
1758266970,390,0.6627544659133174,0.0,0.0,0.0,events/second
1758267000,390,0.6305979628301915,0.0,0.0,0.0,events/second
1758267030,390,0.6014166431020446,0.0,0.0,0.0,events/second
1758267060,390,0.574813700941371,0.0,0.0,0.0,events/second
1758267090,390,0.550454793188329,0.0,0.0,0.0,events/second
1758267120,390,0.5280767256680943,0.0,0.0,0.0,events/second
1758267150,390,0.5074544468819095,0.0,0.0,0.0,events/second
1758267180,390,0.48838330744850666,0.0,0.0,0.0,events/second
1758267210,390,0.4706921905964754,0.0,0.0,0.0,events/second
1758267240,390,0.4542368646020611,0.0,0.0,0.0,events/second
1758267270,390,0.438891395446414,0.0,0.0,0.0,events/second
1758267300,390,0.42454922398372213,0.0,0.0,0.0,events/second
1758267330,390,0.41111495333875797,0.0,0.0,0.0,events/second
1758267360,390,0.3985036517307197,0.0,0.0,0.0,events/second
1758267390,390,0.38664198896214924,0.0,0.0,0.0,events/second
1758267420,390,0.3754681592616845,0.0,0.0,0.0,events/second
1758267450,390,0.3649209504382098,0.0,0.0,0.0,events/second
1758267480,390,0.35495131400950497,0.0,0.0,0.0,events/second
1758267510,390,0.3455132486032812,0.0,0.0,0.0,events/second
1758267540,390,0.33656398914533087,0.0,0.0,0.0,events/second
1758267570,390,0.328065634638612,0.0,0.0,0.0,events/second
1758267600,390,0.3199870134501311,0.0,0.0,0.0,events/second
1758267630,390,0.3122972579964188,0.0,0.0,0.0,events/second
1758267660,390,0.3049656828103062,0.0,0.0,0.0,events/second
1758267690,390,0.2979719292669751,0.0,0.0,0.0,events/second
1758267720,390,0.29128949257407666,0.0,0.0,0.0,events/second
1758267750,390,0.28490344870448536,0.0,0.0,0.0,events/second
1758267780,390,0.2787913504199485,0.0,0.0,0.0,events/second
1758267810,390,0.2729344411908955,0.0,0.0,0.0,events/second
1758267840,390,0.2673187300524103,0.0,0.0,0.0,events/second
1758267870,390,0.2619310373824533,0.0,0.0,0.0,events/second
1758267900,390,0.25675412859889923,0.0,0.0,0.0,events/second
1758267930,390,0.25177775066336555,0.0,0.0,0.0,events/second
1758267960,390,0.2469918099730506,0.0,0.0,0.0,events/second
1758267990,390,0.2423834178700707,0.0,0.0,0.0,events/second
