t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1758264660,145,9.981285365285892,0.0,0.0,0.0,events/second
1758264690,149,3.3449775969564204,0.0,0.0,0.0,events/second
1758264720,153,2.0520097537093265,0.0,0.0,0.0,events/second
1758264750,157,1.5011340264415254,0.0,0.0,0.0,events/second
1758264780,161,1.1960462683322626,0.0,0.0,0.0,events/second
1758264810,303,1.84055630426747,0.0,0.0,0.0,events/second
1758264840,397,2.0396749714738998,0.0,0.0,0.0,events/second
1758264870,401,1.7849275043592938,0.0,0.0,0.0,events/second
1758264900,495,1.943631861481053,0.0,0.0,0.0,events/second
1758264930,511,1.7949120357026396,0.0,0.0,0.0,events/second
1758265140,127,10.692856430140374,0.0,0.0,0.0,events/second
1758265170,131,3.1269006961359347,0.0,0.0,0.0,events/second
1758265200,135,1.8774679838166153,0.0,0.0,0.0,events/second
1758265230,139,1.3638467907460003,0.0,0.0,0.0,events/second
1758265260,147,1.114203990638925,0.0,0.0,0.0,events/second
1758265290,151,0.932372022376941,0.0,0.0,0.0,events/second
1758265320,155,0.8074130544909673,0.0,0.0,0.0,events/second
1758265350,159,0.7162559651959063,0.0,0.0,0.0,events/second
1758265380,163,0.6468422298676955,0.0,0.0,0.0,events/second
1758265410,167,0.5921983123410509,0.0,0.0,0.0,events/second
1758265440,172,0.5512625648571304,0.0,0.0,0.0,events/second
1758265470,177,0.5175200286084136,0.0,0.0,0.0,events/second
1758266130,128,4.247875227745018,0.0,0.0,0.0,events/second
1758266160,136,2.2611707329183575,0.0,0.0,0.0,events/second
1758266190,394,4.369804428692978,0.0,0.0,0.0,events/second
1758266220,523,4.352154861965866,0.0,0.0,0.0,events/second
1758266250,544,3.6223315906229465,0.0,0.0,0.0,events/second
1758266400,177,9.757252619619742,0.0,0.0,0.0,events/second
1758266430,181,3.7579699509442284,0.0,0.0,0.0,events/second
1758266460,185,2.366344049850207,0.0,0.0,0.0,events/second
1758266490,189,1.746793590537414,0.0,0.0,0.0,events/second
1758266520,193,1.3963832029770664,0.0,0.0,0.0,events/second
1758266550,197,1.1709680175645203,0.0,0.0,0.0,events/second
1758266580,201,1.013858360830412,0.0,0.0,0.0,events/second
1758266610,205,0.8980546210690001,0.0,0.0,0.0,events/second
1758266640,209,0.809182747366015,0.0,0.0,0.0,events/second
1758266670,217,0.752673239716053,0.0,0.0,0.0,events/second
1758266700,222,0.6974119098686787,0.0,0.0,0.0,events/second
1758266730,226,0.6488131474398382,0.0,0.0,0.0,events/second
1758266760,230,0.6079131082454153,0.0,0.0,0.0,events/second
1758266790,234,0.5730174350119586,0.0,0.0,0.0,events/second
1758266820,238,0.5429118526320067,0.0,0.0,0.0,events/second
1758266850,369,0.7878028823949962,0.0,0.0,0.0,events/second
1758266880,385,0.7724627498262634,0.0,0.0,0.0,events/second
1758266910,385,0.7285807161128796,0.0,0.0,0.0,events/second
1758266940,385,0.6894185672958996,0.0,0.0,0.0,events/second
1758266970,385,0.6542579880270826,0.0,0.0,0.0,events/second
1758267000,385,0.6225136991831995,0.0,0.0,0.0,events/second
1758267030,385,0.5937064879020729,0.0,0.0,0.0,events/second
1758267060,385,0.5674445818038792,0.0,0.0,0.0,events/second
1758267090,385,0.5433979357007972,0.0,0.0,0.0,events/second
1758267120,385,0.5213067532798583,0.0,0.0,0.0,events/second
