t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1758264660,2303,158.2921319579573,0.0,0.0,0.0,events/second
1758264690,2348,52.68604355233001,0.0,0.0,0.0,events/second
1758264720,2937,39.379194625855746,0.0,0.0,0.0,events/second
1758264750,2982,28.50612692596205,0.0,0.0,0.0,events/second
1758264780,3571,26.5242232145403,0.0,0.0,0.0,events/second
1758264810,3985,24.203499486387166,0.0,0.0,0.0,events/second
1758264840,4641,23.841529756305317,0.0,0.0,0.0,events/second
1758264870,4686,20.856286143193376,0.0,0.0,0.0,events/second
1758264900,5341,20.969809545330644,0.0,0.0,0.0,events/second
1758264930,5407,18.990915422527614,0.0,0.0,0.0,events/second
1758265140,2179,183.20058073322957,0.0,0.0,0.0,events/second
1758265170,2224,53.06458500662345,0.0,0.0,0.0,events/second
1758265200,2816,39.15351322395519,0.0,0.0,0.0,events/second
1758265230,2861,28.067104040963024,0.0,0.0,0.0,events/second
1758265260,3472,26.313112371377155,0.0,0.0,0.0,events/second
1758265290,3517,21.714004281597862,0.0,0.0,0.0,events/second
1758265320,4109,21.402398366928562,0.0,0.0,0.0,events/second
1758265350,4154,18.711344885066627,0.0,0.0,0.0,events/second
1758265380,4746,18.83257757900579,0.0,0.0,0.0,events/second
1758265410,4791,16.988349792879518,0.0,0.0,0.0,events/second
1758265440,5383,17.251671576248402,0.0,0.0,0.0,events/second
1758265470,6260,18.302357936453024,0.0,0.0,0.0,events/second
1758266100,718,7703.3336766573975,0.0,0.0,0.0,events/second
1758266130,2195,72.81362760879658,0.0,0.0,0.0,events/second
1758266160,2470,41.05841376370452,0.0,0.0,0.0,events/second
1758266190,3575,39.64444115016696,0.0,0.0,0.0,events/second
1758266220,4209,35.02167506363677,0.0,0.0,0.0,events/second
1758266250,5458,36.34018086452088,0.0,0.0,0.0,events/second
1758266400,2358,129.85173553067287,0.0,0.0,0.0,events/second
1758266430,2393,49.664960858936425,0.0,0.0,0.0,events/second
1758266460,2989,38.223356301431416,0.0,0.0,0.0,events/second
1758266490,3034,28.036309467700274,0.0,0.0,0.0,events/second
1758266520,3630,26.260050147103268,0.0,0.0,0.0,events/second
1758266550,3675,21.8417848727175,0.0,0.0,0.0,events/second
