t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1758264660,700,48.09905524935086,0.0,0.0,0.0,events/second
1758264690,700,15.705715140791114,0.0,0.0,0.0,events/second
1758264720,700,9.38508678122942,0.0,0.0,0.0,events/second
1758264750,700,6.691329767477179,0.0,0.0,0.0,events/second
1758264780,700,5.199221774542819,0.0,0.0,0.0,events/second
1758264810,701,4.257529158962363,0.0,0.0,0.0,events/second
1758264840,701,3.601072945900063,0.0,0.0,0.0,events/second
1758264870,701,3.119932621347618,0.0,0.0,0.0,events/second
1758264900,701,2.7522198394245327,0.0,0.0,0.0,events/second
1758264930,701,2.462077108354345,0.0,0.0,0.0,events/second
1758265140,701,58.926077697858176,0.0,0.0,0.0,events/second
1758265170,701,16.725082376995427,0.0,0.0,0.0,events/second
1758265200,701,9.746408381079217,0.0,0.0,0.0,events/second
1758265230,701,6.8768515217624335,0.0,0.0,0.0,events/second
1758265260,701,5.312565081053711,0.0,0.0,0.0,events/second
1758265290,701,4.327931410617021,0.0,0.0,0.0,events/second
1758265320,701,3.651236787239228,0.0,0.0,0.0,events/second
1758265350,701,3.1575686881817195,0.0,0.0,0.0,events/second
1758265380,701,2.7816133675532515,0.0,0.0,0.0,events/second
1758265410,701,2.4856507812727333,0.0,0.0,0.0,events/second
1758265440,701,2.246581266560024,0.0,0.0,0.0,events/second
1758265470,705,2.0611964953345594,0.0,0.0,0.0,events/second
1758266100,298,3098.595649904443,0.0,0.0,0.0,events/second
1758266130,705,23.38466558216659,0.0,0.0,0.0,events/second
1758266160,705,11.718616392969016,0.0,0.0,0.0,events/second
1758266190,705,7.817777918406603,0.0,0.0,0.0,events/second
1758266220,705,5.8659466494781505,0.0,0.0,0.0,events/second
1758266250,705,4.693917499662082,0.0,0.0,0.0,events/second
1758266400,705,38.816166174507046,0.0,0.0,0.0,events/second
1758266430,705,14.630822631595638,0.0,0.0,0.0,events/second
1758266460,705,9.015187226084805,0.0,0.0,0.0,events/second
1758266490,705,6.5145138295117135,0.0,0.0,0.0,events/second
1758266520,705,5.099978012150117,0.0,0.0,0.0,events/second
1758266550,705,4.189979773559086,0.0,0.0,0.0,events/second
1758266580,705,3.5556822667342307,0.0,0.0,0.0,events/second
1758266610,705,3.088139011818066,0.0,0.0,0.0,events/second
1758266640,705,2.729311253543391,0.0,0.0,0.0,events/second
1758266670,705,2.4451373757982844,0.0,0.0,0.0,events/second
1758266700,705,2.2146033827614326,0.0,0.0,0.0,events/second
1758266730,705,2.0238268139272453,0.0,0.0,0.0,events/second
1758266760,705,1.8632792800498397,0.0,0.0,0.0,events/second
1758266790,705,1.726307097329933,0.0,0.0,0.0,events/second
1758266820,705,1.6081259207705607,0.0,0.0,0.0,events/second
1758266850,705,1.5050823177788972,0.0,0.0,0.0,events/second
1758266880,705,1.4144480507120547,0.0,0.0,0.0,events/second
1758266910,705,1.3340994624369407,0.0,0.0,0.0,events/second
1758266940,705,1.2623927554625372,0.0,0.0,0.0,events/second
1758266970,705,1.1980127071573112,0.0,0.0,0.0,events/second
1758267000,705,1.1398877004271153,0.0,0.0,0.0,events/second
1758267030,705,1.0871404885040712,0.0,0.0,0.0,events/second
