t,value
1758264660,9223372036854775807
1758264690,9223372036854775807
1758264720,9223372036854775807
1758264750,9223372036854775807
1758264780,9223372036854775807
1758264810,9223372036854775807
1758264840,9223372036854775807
1758264870,9223372036854775807
1758264900,9223372036854775807
1758264930,9223372036854775807
1758265140,9223372036854775807
1758265170,9223372036854775807
1758265200,9223372036854775807
1758265230,9223372036854775807
1758265260,9223372036854775807
1758265290,9223372036854775807
1758265320,9223372036854775807
1758265350,9223372036854775807
1758265380,9223372036854775807
1758265410,9223372036854775807
1758265440,9223372036854775807
1758265470,9223372036854775807
1758266100,9223372036854775807
1758266130,9223372036854775807
1758266160,9223372036854775807
1758266190,9223372036854775807
1758266220,9223372036854775807
1758266250,9223372036854775807
1758266400,9223372036854775807
1758266430,9223372036854775807
1758266460,9223372036854775807
1758266490,9223372036854775807
1758266520,9223372036854775807
1758266550,9223372036854775807
1758266580,9223372036854775807
1758266610,9223372036854775807
1758266640,9223372036854775807
1758266670,9223372036854775807
1758266700,9223372036854775807
1758266730,9223372036854775807
1758266760,9223372036854775807
1758266790,9223372036854775807
1758266820,9223372036854775807
1758266850,9223372036854775807
1758266880,9223372036854775807
1758266910,9223372036854775807
1758266940,9223372036854775807
1758266970,9223372036854775807
1758267000,9223372036854775807
1758267030,9223372036854775807
1758267060,9223372036854775807
1758267090,9223372036854775807
1758267120,9223372036854775807
1758267150,9223372036854775807
1758267180,9223372036854775807
1758267210,9223372036854775807
1758267240,9223372036854775807
1758267270,9223372036854775807
1758267300,9223372036854775807
1758267330,9223372036854775807
1758267360,9223372036854775807
1758267390,9223372036854775807
1758267420,9223372036854775807
1758267450,9223372036854775807
1758267480,9223372036854775807
1758267510,9223372036854775807
1758267540,9223372036854775807
1758267570,9223372036854775807
1758267600,9223372036854775807
1758267630,9223372036854775807
1758267660,9223372036854775807
1758267690,9223372036854775807
1758267720,9223372036854775807
1758267750,9223372036854775807
1758267780,9223372036854775807
1758267810,9223372036854775807
1758267840,9223372036854775807
1758267870,9223372036854775807
1758267900,9223372036854775807
1758267930,9223372036854775807
1758267960,9223372036854775807
1758267990,9223372036854775807
1758268020,9223372036854775807
1758268050,9223372036854775807
1758268080,9223372036854775807
1758268110,9223372036854775807
1758268140,9223372036854775807
1758268170,9223372036854775807
1758268200,9223372036854775807
1758268231,9223372036854775807
1758268261,9223372036854775807
1758268291,9223372036854775807
1758268321,9223372036854775807
1758268351,9223372036854775807
1758268381,9223372036854775807
1758268411,9223372036854775807
1758268441,9223372036854775807
1758268471,9223372036854775807
1758268501,9223372036854775807
1758268531,9223372036854775807
1758268561,9223372036854775807
1758268591,9223372036854775807
1758268621,9223372036854775807
1758268651,9223372036854775807
1758268681,9223372036854775807
1758268711,9223372036854775807
1758268741,9223372036854775807
1758268771,9223372036854775807
1758268801,9223372036854775807
1758268831,9223372036854775807
1758268861,9223372036854775807
1758268891,9223372036854775807
1758268921,9223372036854775807
1758268951,9223372036854775807
1758268981,9223372036854775807
1758269011,9223372036854775807
1758269041,9223372036854775807
1758269071,9223372036854775807
1758269101,9223372036854775807
1758269131,9223372036854775807
1758269161,9223372036854775807
1758269191,9223372036854775807
1758269221,9223372036854775807
1758269251,9223372036854775807
1758269281,9223372036854775807
1758269311,9223372036854775807
1758269341,9223372036854775807
1758269371,9223372036854775807
1758269401,9223372036854775807
1758269431,9223372036854775807
1758269461,9223372036854775807
1758269491,9223372036854775807
1758269521,9223372036854775807
1758269551,9223372036854775807
1758269581,9223372036854775807
1758269611,9223372036854775807
1758269641,9223372036854775807
1758269671,9223372036854775807
1758269701,9223372036854775807
1758269731,9223372036854775807
1758269761,9223372036854775807
1758269791,9223372036854775807
1758269821,9223372036854775807
1758269851,9223372036854775807
1758269881,9223372036854775807
1758269911,9223372036854775807
1758269941,9223372036854775807
1758269971,9223372036854775807
1758270001,9223372036854775807
1758270031,9223372036854775807
1758270061,9223372036854775807
1758270091,9223372036854775807
1758270121,9223372036854775807
1758270151,9223372036854775807
1758270181,9223372036854775807
1758270211,9223372036854775807
1758270241,9223372036854775807
1758270271,9223372036854775807
1758270301,9223372036854775807
1758270331,9223372036854775807
1758270362,9223372036854775807
1758270392,9223372036854775807
1758270422,9223372036854775807
1758270452,9223372036854775807
1758270482,9223372036854775807
1758270512,9223372036854775807
1758270542,9223372036854775807
1758270572,9223372036854775807
1758270602,9223372036854775807
1758270632,9223372036854775807
1758270662,9223372036854775807
1758270692,9223372036854775807
1758270722,9223372036854775807
1758270752,9223372036854775807
