t,value
1758264660,75509616
1758264690,92286736
1758264720,113258200
1758264750,134229664
1758264780,155201064
1758264810,167786112
1758264840,167787288
1758264870,167787192
1758264900,167788144
1758264930,167788352
1758265140,75509360
1758265170,75509424
1758265200,75509424
1758265230,75509488
1758265260,79703832
1758265290,79703896
1758265320,79703960
1758265350,79703960
1758265380,79704024
1758265410,79704024
1758265440,79704088
1758265470,92277008
1758266100,0
1758266130,79703880
1758266160,96471712
1758266190,167789360
1758266220,167791824
1758266250,167782232
1758266400,113261296
1758266430,113261360
1758266460,113261360
1758266490,113261424
1758266520,113261488
1758266550,113261488
1758266580,113261552
1758266610,113261552
1758266640,113261616
1758266670,113261680
1758266700,113261744
1758266730,113261808
1758266760,113261808
1758266790,113261872
1758266820,117456152
1758266850,125846168
1758266880,125834456
1758266910,125834456
1758266940,125834456
1758266970,125834456
1758267000,125834456
1758267030,125834456
1758267060,125834456
1758267090,125834456
1758267120,125834456
1758267150,125834456
1758267180,125834456
1758267210,125834456
1758267240,125834456
1758267270,125834456
1758267300,125834456
1758267330,125834456
1758267360,125834456
1758267390,125834456
1758267420,125834456
1758267450,125834456
1758267480,125834456
1758267510,125834456
1758267540,125834456
1758267570,125834456
1758267600,125834456
1758267630,125834456
1758267660,125834456
1758267690,125834456
1758267720,125834456
1758267750,125834456
1758267780,125834456
1758267810,125834456
1758267840,125834456
1758267870,125834456
1758267900,125834456
1758267930,125834456
1758267960,125834456
1758267990,125834456
1758268020,125834456
1758268050,125834456
1758268080,125834456
1758268110,125834456
1758268140,125834456
1758268170,125834456
1758268200,125834456
1758268231,125834456
1758268261,125834456
1758268291,125834456
1758268321,125834456
1758268351,125834456
1758268381,125834456
1758268411,125834456
1758268441,125834456
1758268471,125834456
1758268501,125834456
1758268531,125834456
1758268561,125834456
1758268591,125834456
1758268621,125834456
1758268651,125834456
1758268681,125834456
1758268711,125834456
1758268741,125834456
1758268771,125834456
1758268801,125834456
1758268831,125834456
1758268861,125834456
1758268891,125834456
1758268921,125834456
1758268951,125834456
1758268981,125834456
1758269011,125834456
1758269041,125834456
1758269071,125834456
1758269101,125834456
1758269131,125834456
1758269161,125834456
1758269191,125834456
1758269221,125834456
1758269251,125834456
1758269281,125834456
1758269311,125834456
1758269341,125834456
1758269371,125834456
1758269401,125834456
1758269431,125834456
1758269461,125834456
1758269491,125834456
1758269521,125834456
1758269551,125834456
1758269581,125834456
1758269611,125834456
1758269641,125834456
1758269671,125834456
1758269701,125834456
1758269731,125834456
1758269761,125834456
1758269791,125834456
1758269821,125834456
1758269851,125834456
1758269881,125834456
1758269911,125834456
1758269941,125834456
1758269971,125834456
1758270001,125834456
1758270031,125834456
1758270061,125834456
1758270091,125834456
1758270121,125834456
1758270151,125834456
1758270181,125834456
1758270211,125834456
1758270241,125834456
1758270271,125834456
1758270301,125834456
1758270331,125834456
1758270362,167790832
1758270392,167791024
1758270422,167791216
1758270452,167791600
1758270482,167791920
1758270512,167792112
1758270542,167792432
1758270572,167792752
1758270602,167792944
1758270632,167792944
1758270662,167793008
1758270692,167793008
1758270722,167793072
1758270752,167793072
1758270782,167793136
1758270812,167793136
1758270842,167793392
1758270872,167793584
1758270902,167793840
1758270932,167779864
1758496830,12582840
1758496860,88092392
1758496890,88092456
1758496920,88092584
1758496950,88092712
1758496980,88092776
1758497010,88092904
1758497040,88092968
1758497070,88093032
1758497100,88093096
1758497130,88093224
1758497160,104870344
1758497190,125841808
1758497220,151007488
1758497250,167784624
1758497280,167784544
1758497310,167784400
1758497340,167784344
1758497370,167784288
1758497400,167784120
1758497430,167795160
1758497460,167795232
1758497490,167795176
1758497520,167795184
1758497550,167795128
1758497580,167795072
1758497610,167795080
1758497640,167794960
1758497670,167795032
1758497700,167794976
1758497730,167795240
1758497760,167795184
1758497790,167795128
1758497820,167795072
1758497850,167795080
1758497880,167796008
1758497910,167796008
1758497940,167796136
1758497970,167796328
1758498000,167796328
1758498030,167796456
1758498060,167796520
1758498090,167796584
1758498120,167796712
1758498150,167796712
1758498180,167796840
1758498210,167796968
1758498240,167796968
1758498270,167797096
1758498300,167797160
1758498330,167797224
1758498360,167797352
1758498390,167797352
1758498420,167798464
1758498450,167798656
1758498480,167798720
1758498510,167798784
1758498540,167798912
1758498570,167798912
1758498780,0
1758498810,142620000
1758498840,142620192
1758498870,142620384
1758498900,142620448
1758498930,142620448
1758498960,151009008
1758498990,151009072
1758499020,167797448
1758499050,167797512
1758499080,167797576
1758499110,167797640
1758499140,167797768
1758499170,167797832
1758499200,167797896
1758499230,167797960
1758499260,167798088
1758499290,167798152
1758499320,167798216
1758499350,167798280
1758499380,167798408
1758499410,167798472
1758499440,167798536
1758499470,167798728
1758499500,167799600
1758499530,167799840
1758499560,167800032
1758499590,167800096
1758499620,167800224
1758499650,167800240
1758499680,167799728
1758499710,167799648
1758499740,167799632
1758499770,167799552
1758499800,167800224
1758499830,167800232
1758499860,167800152
1758499890,167800096
1758499920,167778896
1758499980,29366272
1758500010,79703680
1758500040,79703680
1758500070,83898024
1758500100,104859744
1758500130,117442936
1758500160,163594216
1758500190,163594344
1758500220,167791080
1758500250,167791272
1758500280,167791336
1758500310,167791592
1758500340,167791656
1758500370,167791912
1758500400,167792040
1758500430,167792232
1758500460,167792360
1758500490,167792552
1758500520,167792680
1758500550,167792872
1758500580,167793000
1758500610,167793128
1758500640,167793704
1758500670,167794216
1758500700,167802408
1758500730,167809960
1758500760,167810152
1758500790,167810408
1758500820,167810728
1758500850,167818280
1758500880,167824744
1758500910,167825064
1758500940,167825576
1758500970,167825704
1758501000,167825832
1758501030,167826088
1758501060,167826216
1758501090,167826408
1758501120,167826408
1758501150,167826472
1758501180,167826472
1758501211,167826536
1758501241,167826536
1758501271,167826728
1758501301,167826792
1758501331,167826792
1758501361,167826856
1758501391,167826920
1758501421,167826920
1758501451,167826984
1758501481,167827048
1758501511,167827048
1758501541,167827112
1758501571,167827112
1758501601,167827176
1758501631,167827240
1758501661,167827304
1758501691,167827560
1758501721,167827752
1758501751,167827880
1758501781,167828136
1758501811,167828328
1758501841,167828520
1758501871,167828712
1758501901,167828968
1758501931,167829032
1758501961,167829160
1758501991,167829416
1758502021,167829544
1758502051,167829544
1758502081,167829608
1758502111,167829672
1758502141,167829672
1758502171,167829736
1758502201,167829736
1758502231,167829800
1758502261,167829992
1758502291,167830056
1758502321,167830056
1758502351,167830120
1758502381,167830184
1758502411,167830184
1758502441,167830184
1758502471,167830248
1758502501,167830248
1758502531,167830440
1758502561,167830952
1758502591,167831080
1758502621,167831464
1758502651,167831592
