t,value
1758264660,12144
1758264690,12048
1758264720,11992
1758264750,11936
1758264780,11816
1758264810,13952
1758264840,15128
1758264870,15032
1758264900,15984
1758264930,16192
1758265140,11888
1758265170,11952
1758265200,11952
1758265230,12016
1758265260,12056
1758265290,12120
1758265320,12184
1758265350,12184
1758265380,12248
1758265410,12248
1758265440,12312
1758265470,2320
1758266100,0
1758266130,12104
1758266160,2720
1758266190,17200
1758266220,19664
1758266250,10072
1758266400,15088
1758266430,15152
1758266460,15152
1758266490,15216
1758266520,15280
1758266550,15280
1758266580,15344
1758266610,15344
1758266640,15408
1758266670,15472
1758266700,15536
1758266730,15600
1758266760,15600
1758266790,15664
1758266820,15640
1758266850,17048
1758266880,5336
1758266910,5336
1758266940,5336
1758266970,5336
1758267000,5336
1758267030,5336
1758267060,5336
1758267090,5336
1758267120,5336
1758267150,5336
1758267180,5336
1758267210,5336
1758267240,5336
1758267270,5336
1758267300,5336
1758267330,5336
1758267360,5336
1758267390,5336
1758267420,5336
1758267450,5336
1758267480,5336
1758267510,5336
1758267540,5336
1758267570,5336
1758267600,5336
1758267630,5336
1758267660,5336
1758267690,5336
1758267720,5336
1758267750,5336
1758267780,5336
1758267810,5336
1758267840,5336
1758267870,5336
1758267900,5336
1758267930,5336
1758267960,5336
1758267990,5336
1758268020,5336
1758268050,5336
1758268080,5336
1758268110,5336
1758268140,5336
1758268170,5336
1758268200,5336
1758268231,5336
1758268261,5336
1758268291,5336
1758268321,5336
1758268351,5336
1758268381,5336
1758268411,5336
1758268441,5336
1758268471,5336
1758268501,5336
1758268531,5336
1758268561,5336
1758268591,5336
1758268621,5336
1758268651,5336
1758268681,5336
1758268711,5336
1758268741,5336
1758268771,5336
1758268801,5336
1758268831,5336
1758268861,5336
1758268891,5336
1758268921,5336
1758268951,5336
1758268981,5336
1758269011,5336
1758269041,5336
1758269071,5336
1758269101,5336
1758269131,5336
1758269161,5336
1758269191,5336
1758269221,5336
1758269251,5336
1758269281,5336
1758269311,5336
1758269341,5336
1758269371,5336
1758269401,5336
1758269431,5336
1758269461,5336
1758269491,5336
1758269521,5336
1758269551,5336
1758269581,5336
1758269611,5336
1758269641,5336
1758269671,5336
1758269701,5336
1758269731,5336
1758269761,5336
1758269791,5336
1758269821,5336
1758269851,5336
1758269881,5336
1758269911,5336
1758269941,5336
1758269971,5336
1758270001,5336
1758270031,5336
1758270061,5336
1758270091,5336
1758270121,5336
1758270151,5336
1758270181,5336
1758270211,5336
1758270241,5336
1758270271,5336
1758270301,5336
1758270331,5336
1758270362,18672
1758270392,18864
1758270422,19056
1758270452,19440
1758270482,19760
1758270512,19952
1758270542,20272
1758270572,20592
1758270602,20784
1758270632,20784
1758270662,20848
1758270692,20848
1758270722,20912
1758270752,20912
1758270782,20976
1758270812,20976
1758270842,21232
1758270872,21424
1758270902,21680
1758270932,7704
1758496830,-72
1758496860,12008
1758496890,12072
1758496920,12200
1758496950,12328
1758496980,12392
1758497010,12520
