t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1758264660,22,1.5149854406111694,0.0,0.0,0.0,events/second
1758264690,22,0.49396559726303185,0.0,0.0,0.0,events/second
1758264720,22,0.295087423471927,0.0,0.0,0.0,events/second
1758264750,22,0.21036374588143641,0.0,0.0,0.0,events/second
1758264780,22,0.16344324469062754,0.0,0.0,0.0,events/second
1758264810,22,0.13364335611299727,0.0,0.0,0.0,events/second
1758264840,43,0.22092980716968472,0.0,0.0,0.0,events/second
1758264870,43,0.19140707971004592,0.0,0.0,0.0,events/second
1758264900,43,0.16884496945200464,0.0,0.0,0.0,events/second
1758264930,43,0.1510432428219323,0.0,0.0,0.0,events/second
1758265140,25,2.1055592660188847,0.0,0.0,0.0,events/second
1758265170,25,0.5968033398833693,0.0,0.0,0.0,events/second
1758265200,25,0.3477018677733496,0.0,0.0,0.0,events/second
1758265230,25,0.24530743821439838,0.0,0.0,0.0,events/second
1758265260,25,0.18949720000718545,0.0,0.0,0.0,events/second
1758265290,25,0.15437063143887197,0.0,0.0,0.0,events/second
1758265320,25,0.13023105749977956,0.0,0.0,0.0,events/second
1758265350,25,0.11262123620329773,0.0,0.0,0.0,events/second
1758265380,25,0.09921076703818381,0.0,0.0,0.0,events/second
1758265410,25,0.08865391450178613,0.0,0.0,0.0,events/second
1758265440,25,0.08012655244101627,0.0,0.0,0.0,events/second
1758265470,25,0.07309701422424185,0.0,0.0,0.0,events/second
1758266130,21,0.6970777825513591,0.0,0.0,0.0,events/second
1758266160,21,0.3491940850772179,0.0,0.0,0.0,events/second
1758266190,21,0.23292734795367054,0.0,0.0,0.0,events/second
1758266220,21,0.1747626256054255,0.0,0.0,0.0,events/second
1758266250,21,0.13983949232393691,0.0,0.0,0.0,events/second
1758266400,23,1.2681509759982137,0.0,0.0,0.0,events/second
1758266430,23,0.4775770088099025,0.0,0.0,0.0,events/second
1758266460,23,0.29421076777665367,0.0,0.0,0.0,events/second
1758266490,23,0.21258164935347182,0.0,0.0,0.0,events/second
1758266520,23,0.1664137449070837,0.0,0.0,0.0,events/second
1758266550,23,0.13671563819836238,0.0,0.0,0.0,events/second
1758266580,23,0.11601629672647651,0.0,0.0,0.0,events/second
1758266610,23,0.10075935014964481,0.0,0.0,0.0,events/second
1758266640,23,0.08905038354044717,0.0,0.0,0.0,events/second
1758266670,23,0.07977768085899505,0.0,0.0,0.0,events/second
1758266700,23,0.07225541098774256,0.0,0.0,0.0,events/second
1758266730,23,0.06603051721849404,0.0,0.0,0.0,events/second
1758266760,23,0.06079204027720065,0.0,0.0,0.0,events/second
1758266790,23,0.05632284678541586,0.0,0.0,0.0,events/second
1758266820,23,0.05246681527028291,0.0,0.0,0.0,events/second
