t,value
1758264660,347057656
1758264690,362786296
1758264720,377466360
1758264750,380612088
1758264780,387952120
1758264810,239936360
1758264840,128070256
1758264870,133313136
1758264900,154284656
1758264930,158478960
1758265140,236463592
1758265170,240657896
1758265200,257435112
1758265230,259532264
1758265260,274212328
1758265290,276309480
1758265320,281552360
1758265350,282600936
1758265380,288892392
1758265410,295183848
1758265440,301475304
1758265470,409478632
1758266100,131014744
1758266130,227359808
1758266160,236796992
1758266190,118663112
1758266220,205694920
1758266250,300066760
1758266400,145860328
1758266430,150054632
1758266460,165783272
1758266490,167880424
1758266520,173123304
1758266550,175220456
1758266580,180463336
1758266610,187803368
1758266640,193046248
1758266670,196191976
1758266700,202483432
1758266730,204580584
1758266760,210872040
1758266790,212969192
1758266820,218212072
1758266850,294758120
1758266880,342992616
1758266910,344041192
1758266940,349284072
1758266970,351381224
1758267000,225639192
1758267030,228784920
1758267060,232979224
1758267090,235076376
1758267120,239270680
1758267150,240319256
1758267180,245562136
1758267210,246610712
1758267240,250805016
1758267270,252902168
1758267300,257096472
1758267330,259193624
1758267360,263387928
1758267390,264436504
1758267420,268630808
1758267450,270727960
1758267480,274922264
1758267510,277019416
1758267540,281213720
1758267570,283310872
1758267600,288553752
1758267630,289602328
1758267660,294845208
1758267690,295893784
1758267720,300088088
1758267750,302185240
1758267780,306379544
1758267810,308476696
1758267840,312671000
1758267870,313719576
1758267900,318962456
1758267930,320011032
1758267960,324205336
1758267990,326302488
1758268020,330496792
1758268050,331545368
1758268080,336788248
1758268110,337836824
1758268140,342031128
1758268170,344128280
1758268200,349371160
1758268231,350419736
1758268261,355662616
1758268291,356711192
1758268321,360905496
1758268351,363002648
1758268381,367196952
1758268411,368245528
1758268441,372439832
1758268471,374536984
1758268501,378731288
1758268531,380828440
1758268561,385022744
1758268591,386071320
1758268621,390265624
1758268651,392362776
1758268681,396557080
1758268711,397605656
1758268741,401799960
1758268771,403897112
1758268801,114302080
1758268831,116399232
1758268861,121642112
1758268891,122690688
1758268921,126884992
1758268951,128982144
1758268981,133176448
1758269011,134225024
1758269041,138419328
1758269071,140516480
1758269101,144710784
1758269131,146807936
1758269161,151002240
1758269191,152050816
1758269221,156245120
1758269251,157293696
1758269281,162536576
1758269311,163585152
1758269341,167779456
1758269371,168828032
1758269401,174070912
1758269431,175119488
1758269461,180362368
1758269491,181410944
1758269521,185605248
1758269551,186653824
1758269581,190848128
1758269611,192945280
1758269641,197139584
1758269671,198188160
1758269701,202382464
1758269731,204479616
1758269761,208673920
1758269791,209722496
1758269821,214965376
1758269851,216013952
1758269881,220208256
1758269911,221256832
1758269941,225451136
1758269971,227548288
1758270001,232791168
1758270031,234888320
1758270061,238034048
1758270091,240131200
1758270121,244325504
1758270151,246422656
1758270181,250616960
1758270211,251665536
1758270241,255859840
1758270271,257956992
1758270301,262151296
1758270331,263199872
1758270362,357571712
1758270392,375397504
1758270422,386931840
1758270452,126864912
1758270482,143642128
1758270512,156225040
1758270542,196070928
1758270572,205508112
1758270602,214945296
1758270632,215993872
1758270662,222285328
1758270692,224382480
1758270722,227528208
1758270752,229625360
1758270782,233819664
1758270812,235916816
1758270842,242208272
1758270872,244305424
1758270902,249548304
1758270932,251645456
1758496830,98112760
1758496860,302920712
1758496890,319697928
1758496920,321795080
1758496950,333329416
1758496980,335426568
1758497010,341718024
1758497040,343815176
1758497070,349058056
1758497100,351155208
1758497130,362689544
1758497160,366883848
1758497190,374223880
1758497220,378418184
1758497250,385758216
1758497280,389952520
1758497310,396243976
1758497340,398341128
1758497370,404632584
1758497400,163068864
1758497430,380124096
1758497460,122276144
1758497490,129616176
1758497520,131713328
1758497550,138004784
1758497580,141150512
1758497610,146393392
1758497640,149539120
1758497670,157927728
1758497700,161073456
1758497730,204065072
1758497760,206162224
